[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 美伊现在距离停战
[00:31] 似乎越来越近了
[00:32] 那一旦接下来中东问题解决之后
[00:35] 是否就意味着
[00:36] 通膨的压制
[00:37] 必须要立即赶快有效实施
[00:39] 毕竟过去几个月
[00:41] 通膨已经有一点外溢效果了
[00:43] 从原本的农粮价格
[00:45] 到原本能源价格
[00:47] 到终端价格
[00:48] 甚至连3C电子产品
[00:49] 都有受到进一步的冲击
[00:51] 当然这不代表股票市场
[00:53] 是否就会因此而
[00:54] 得到更进一步的拉抬力道
[00:57] 毕竟那是否代表着
[00:59] 利多进出呢
[01:00] 我们回过头看
[01:01] 其实上一半
[01:01] 没有股市表现还是不错的
[01:03] 道琼单周上涨2.1%
[01:05] 标普上涨0.8%
[01:07] 纳指上涨0.4%
[01:09] 费办一周涨了快要5%
[01:11] 有趣的事情是
[01:12] 即便我们看到
[01:14] 在过去两个月当中
[01:16] 还是受到中东战火的影响
[01:18] 但是呢
[01:19] 本质上VIC指数
[01:20] 却是持续的下行
[01:21] 就代表市场的避险情绪
[01:23] 仍然不是特别高
[01:24] 那这一波随着中东战事
[01:26] 走到尾声以后
[01:27] 是否代表着
[01:28] Vick指数恐慌情绪还要再持续破年呢
[01:33] 尤其接下来因为上礼拜五
[01:35] 沃许已经正式担任联总会主席
[01:37] 四年任期展开以后
[01:39] 接下来针对整个利率预期的变化
[01:42] 会如何影响到市场对于通膨的供应评价
[01:45] 值得多做一些留意
[01:46] 至少我们看到从礼拜六开始
[01:48] 国务卿卢比欧就已经表示
[01:50] 美国和伊朗可能会在未来几天宣布重大协议
[01:54] 目标就是结束目前中东冲突
[01:56] 外界关注的荷姆兹海峡危机
[01:59] 也有望可以因此而快速的降温
[02:01] 那卢比欧在印度新德里
[02:03] 现在在受访的过程当中
[02:05] 其实已经表示
[02:06] 双方大概已经推升到最后的细节了
[02:09] 就只剩下最后千字而已
[02:11] 朝不再担心伊朗拥有核武的方向来做推进
[02:15] 当然了
[02:16] 这种事情就会让大家会担心
[02:17] 会不会最后力多进出
[02:19] 高点到了抓最后一只
[02:21] 这就不一定
[02:22] 原因很简单
[02:23] 我们知道现在市场上
[02:24] 其实虽然费半在冲高
[02:26] 但是美欧股市
[02:27] 不管是软体股
[02:28] 还是我们看到科技巨头
[02:30] 仍然有估值轮动的空间
[02:32] 因为这些基金蛮低的
[02:34] 本益比并没有一折飙高
[02:35] 现在最强的
[02:37] 其实都在费半
[02:37] 那么如何从费半开始挖出资金
[02:40] 往非硬体股来做轮动
[02:43] 就值得大家观察的重点
[02:44] 我们看SANDEX
[02:45] 今年标普百指数当中
[02:47] 最强的十档股票
[02:48] 第一名就SANDEX
[02:49] 涨幅有501%
[02:51] INTEL涨幅213%
[02:53] 再来是希捷涨了187%
[02:55] 威腾涨了171%
[02:58] 美光153%
[02:59] 其他我们看一下是戴尔康宁超伟
[03:02] 基本上清一色
[03:03] 几乎全部都是硬体股
[03:05] 这是标普白纸书当中最漂亮的股票
[03:07] 那就代表着其他的大型全职股
[03:10] 其实在本年度并没有非常显著的资金轮动
[03:14] 何时能够回到资金的潮水
[03:17] 值得大家多做一些留意
[03:18] 当然了
[03:19] 如果现在回过头看
[03:21] 整体伊朗战事打到现在
[03:23] 现在的点位还比伊朗战事开打前
[03:26] 还高了接近有7%
[03:28] 那对于很多对冲基金来说
[03:29] 今年是标准的量化趋势操作
[03:32] 基本上是股价到一定位阶以后
[03:34] 城市单就被迫要因此而开始追升
[03:37] 所以系统单的获利了结卖压
[03:39] 也许在未来废班也会非常的明显
[03:42] 那我们就看
[03:42] 本轮中东战事来到接近尾声以后
[03:45] 它是否会形成适度的资金轮动
[03:48] 当然川普这一次的放话
[03:50] 让大家的消息
[03:52] 或者对于中东战事
[03:54] 终局的希望
[03:55] 又稍微延后了一些
[03:56] 美国是今天是不开盘了
[03:58] 可是我们看
[03:59] 在卢比欧发表声明以后
[04:00] 川普后续在出了搜索箱
[04:02] 就特别提到
[04:03] 说我们现在
[04:04] 还是希望能够达成和平的
[04:06] 但是我们对于新版的伊朗协议
[04:09] 是有非常非常
[04:11] 关注他的政策正当性
[04:13] 什么意思呢
[04:14] 他在里头特别提到
[04:15] 他说美国历史上最糟糕的协议
[04:18] 就是由欧巴马
[04:19] 当时彻头彻尾的业余人士
[04:21] 所提出生效的伊朗核协议
[04:23] 那份协议
[04:24] 根本就是让伊朗发展核武的直接通道
[04:27] 我们现在川普政府
[04:28] 正在与伊朗谈判的这笔协议
[04:30] 完全的相反
[04:31] 是彻底的反方向
[04:33] 目前谈判正在以非常有秩序建设性的方向进行
[04:36] 来确保伊朗一辈子
[04:38] 这辈子下辈子都不会拥有任何的核武器
[04:42] 在协议达成前
[04:43] 我们会持续进行封锁
[04:45] 双方都必须花好时间
[04:46] 而且愿意给谈判代表更多的时间
[04:50] 所以我不急于达成协议
[04:51] 当然我不急着达成协议
[04:54] 就是还没达成
[04:55] 接近达成也是没达成
[04:57] 所以不管怎么说
[04:58] 现在只能说
[04:59] 至少双方所释出的消息
[05:01] 协议正在逼近当中
[05:03] 但何时公布还很难说
[05:05] 川普其实现在要关注的是
[05:08] 他背部的政策意涵
[05:10] 因为川普现在面临的是
[05:11] 两股相反的力量
[05:13] 一部分是中东盟友和全球市场
[05:16] 当然是希望能够停火降温
[05:19] 而且他还有通膨要救
[05:20] 但另外一方面
[05:21] 其实川普内部
[05:22] 尤其是建制派的共和党的鹰排
[05:25] 目前还是强烈反对
[05:26] 认为只要伊朗的政权还存在
[05:28] 未来就有可能重新发展核武
[05:30] 像Tay Cruz
[05:31] 或者我们看蓬佩奥前国务卿
[05:35] 他们都公开批评这份协议
[05:36] 有可能只是重演欧巴马当时协议的错误
[05:40] 我们应该全面性的推翻伊朗
[05:42] 我们应该把战事给升级化
[05:44] 这是一部分人的看法
[05:46] 当然了一下说要停战
[05:47] 一下又说要反悔
[05:49] 一下说不要
[05:50] 一下又说停
[05:51] 过一阵子又不要停
[05:53] 消息变动很大
[05:54] 早上可能才刚签完和平协议
[05:57] 下午就说不急着达成和平协议
[06:00] 那搞得那个市场情绪跟跳弹一样
[06:03] 那川普就掌握那个遥控器
[06:06] 但是好处是
[06:08] 每一次川普释放利多
[06:10] 那都长一大根
[06:11] 那每一次谈不成
[06:12] 那叠一小根
[06:13] 这是好事
[06:15] 但不管如何
[06:16] 我认为可以关注的两大方向
[06:18] 一个当然就是油价
[06:19] 油价相当于回跌5%
[06:20] 可是回跌幅度相对于伊朗战事前
[06:23] 那有四五十块的距离
[06:26] 所以油价的回跌幅度多大
[06:28] 代表市场情绪对于本场中东战局的中局
[06:32] 有了多清晰的预期
[06:33] 第二个是全球保险市场
[06:36] 我们知道这次伊朗战争爆发之后
[06:38] 除了油价和航运市场剧烈震荡以外
[06:41] 全球保险正在承受
[06:43] 数十年来最大的冲击
[06:45] 没有人愿意去保
