[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 是从纳指电子盘
[00:31] 还是从昨天台股的上涨格局
[00:33] 似乎都暗示着
[00:34] 其实不管伊朗战事达到哪里去
[00:36] 行情就会一路的向上
[00:38] 这个时候我们要回过头来看
[00:40] 来梳理一些台股的经济数据
[00:42] 从情绪角度
[00:44] 从资金面而言
[00:45] 以及整个台韩市场
[00:47] 是不是相对于欧洲市场
[00:49] 它是属于一个特殊极度繁荣的迹象
[00:51] 还是现在是全球一系列的繁荣
[00:54] 还是只限于AI的繁荣呢
[00:56] 今天来跟投资朋友多多一些留意和观察
[00:58] 其实在昨天台股创下了四大惊喜
[01:02] 这个月其实已经涨了4700点了
[01:04] 那搞不好还更多
[01:05] 但回过头来看
[01:06] 第一是外资的回补效果开始陆续出现
[01:09] 那第二呢是这一次加权指数
[01:12] 第一记录是指数创高
[01:14] 收在43645点
[01:16] 那贵买上涨到437点
[01:20] 昨天是收盘稍微收低434点
[01:23] 不过盘中也是大幅创下史高
[01:25] 加权指数单日昨天上涨1376点
[01:29] 这算是历史上第五大
[01:31] 也是5月份来累计涨点由4717点
[01:35] 强于1989年5月份的1898点
[01:39] 那也很正常
[01:39] 因为现在位积高了
[01:40] 第三是总市值的创高
[01:42] 上市已经攀升到142.3兆
[01:45] 上柜是11.8兆
[01:47] 上市柜合计有154.2兆
[01:50] 那最后呢是台股ETF
[01:51] 在昨天也创下历史新高了
[01:53] 来到6.4兆的显著规模
[01:55] 当然我们回过头说
[01:56] 这一波外资的同步抢入台股
[01:59] 就要看有没有机会在今年上半年之前
[02:02] 外资针对今年台股的买进水位回入到正值
[02:06] 因为到现在为止
[02:08] 其实外资卖出今年的资金水位
[02:11] 上市还是有卖了4600亿
[02:13] 所以如果能够在今年上半年开始陆续转正的话
[02:17] 下半年的回补
[02:18] 那外资可能就是过去两年多以来
[02:22] 首次又要回到正买超了
[02:24] 外资在过去7年
[02:25] 其实只有买超一年
[02:26] 只有在2023年
[02:28] 而且回过头看
[02:29] 这一波的融资余额
[02:30] 也从在5月初的4700亿
[02:34] 已经上升到5304亿了
[02:36] 那投信的买超
[02:37] 就是来的相对比较稳定
[02:39] 不过我们回过头说
[02:41] 本来其实不靠外资
[02:43] 台股也可以创高到现在
[02:44] 这是我们过去一直以来的利润
[02:46] 过去外资在20年
[02:48] 它是卖超5300亿
