[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 那这一波显著的市场拉动,
[00:32] 总体来看,
[00:33] 其实今年绩效因为是三月份,
[00:35] 当时回调幅度曾经来到7.1%,
[00:38] 所以其实如果我们把年初拿过来看,
[00:42] 今年标普也不过涨幅10.4%,
[00:44] 所以看起来最近的涨势是真的非常离谱了,
[00:47] 可是从整个大盘以标普白指数来做定谋的话,
[00:51] 涨幅10.4%在历史的位阶当中,
[00:55] 其实跟年化报酬差不多,
[00:56] 我们看在1975年到2025年之间,
[00:59] 其实标普白指数的年化报酬差不多就12.5
[01:02] 那REIT是11.1
[01:04] 其他像头等债或者黄金反而更低
[01:07] 通膨大概往年平均来看是3.7%
[01:10] 这件事情就意味着
[01:12] 我们主要在短期内有如此大的信心动能
[01:15] 一方面其实来自于
[01:17] 三月份当时所造成的跌幅
[01:19] 收复速度相当快
[01:21] 几乎跟去年关税战收复的速度一样快
[01:24] 那第二呢
[01:25] 是目前的市场聚焦
[01:27] 并不是由科技巨头所撑起的繁荣
[01:29] 主要还是由费办
[01:31] 费办就真的长得很夸张了
[01:33] 整体而言
[01:33] 今年涨幅已经高达70%
[01:35] 接近到80%了
[01:37] 所以反而是大型股票
[01:39] 作为一个稳盘的作用
[01:40] 而由费办卖产的企业
[01:42] 开始多点开花
[01:43] 好了那问题来了
[01:45] 市场上就在预估
[01:46] 那今年首先达标
[01:48] 过往的年轻年化报酬率之后
[01:51] 接下来要如何做进一步的突破
[01:53] 毕竟从宏观角度而言
[01:55] 云油价格虽然在过去两天中跌
[01:57] 不过呢
[01:58] 美筒大概还维持在90美元左右
[02:00] 代表通膨预期仍然会持续拉升
[02:03] 不过呢
[02:04] 由于当前股市的显著拉动
[02:06] 很明显
[02:07] 大家的共识是海峡迟早一定会开
[02:10] 不管用什么样的方式
[02:11] 尤其前两天又传出接近停战协议
[02:14] 虽然这两天好像又消失了
[02:16] 双方有没有在谈我也不确定
[02:17] 但市场不是很在乎
[02:19] 大家关注的是AI资本支出狂潮
[02:22] 即便没有反映在科技巨头的显著资本拉动
[02:25] 基本也反映在卖产的这些废办企业身上
[02:29] 现在的问题就在于
[02:30] 殖利率其实还在高位阶
[02:32] 美债的压力还是很大
[02:34] 但是科技股却照样持续上涨
[02:37] 目前十年级公债殖利率
[02:38] 基本还位在4.4到4.5%左右
[02:42] 它照理来讲
[02:43] 应该对于股票市场会有一定程度的估值压力
[02:47] 不过看起来至少对于废办而言是完全没有发生的
[02:50] 甚至当前的避险情绪也正在快速的滑落
[02:54] 我们如果细看
[02:55] 现在通膨因子其实也没消失
[02:57] 利率的压力也没有消失
[02:58] 地缘政治也没有消失
[03:00] 美债制利率也没有消失
[03:01] 但是VIX指数最近的波动率真的非常低
[03:05] 低到好像市场真的非常稳定
[03:08] 完全没有任何的国际外部的系统性变数或者压力
[03:13] 大量的资金现在正在用杠杆ETF和买权选择权
