[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 或者说心态上就有点难承受了
[00:32] 毕竟大家已经习惯过去一个月的涨势了
[00:35] 那接下来要如何以盘代叠
[00:37] 或者造成过去我们提到的
[00:39] 藉由硬体股的适度回挡
[00:41] 来造成软体股的拉动呢
[00:42] 今天来跟投资朋友多做一些观察
[00:45] 事实上我们看到最近的半导体讯号
[00:47] 至少从杠杆牛市的角度而言
[00:50] 开始出现了一些晃动
[00:51] 我们知道在过去这两个月
[00:53] AI概念股几乎是无脑上涨
[00:55] 尤其是半导体更像是失控列车
[00:58] 所有的回档都被资金给暴力隔接回去
[01:00] 但现在呢
[01:01] 市场开始第一次出现那种
[01:04] 杠杆过度放大之后的疲态
[01:06] 我们以费办以及辉达来做观察
[01:09] 第一个脱钩是来自于
[01:11] 费办其实还在高位进行震荡
[01:13] 但是辉达其实从法说财报过后
[01:17] 他已经算是回档幅度不小了
[01:19] 这说明着
[01:20] 作为硬体股的卖产值的龙头
[01:23] 似乎开始出现显著松动
[01:25] 那第二个是属于SOXL
[01:27] 它是SOXX
[01:28] 也就是费办三倍型的杠杆ETF
[01:31] 在最近出现了史上最大的跌幅K棒
[01:35] 那代表着大量的短线杠杆资金
[01:37] 现在开始进行杠杆下滑
[01:39] 也可以说是资金踩踏了
[01:41] 但是本身而言似乎都说明着
[01:44] 过去我们看到的周期轮动现象
[01:46] 开始逐步的涌现
[01:47] 那到底是由硬体股转回到软体股
[01:50] 还是说整个大盘要开始出现
[01:53] 新一轮的系统性回躺呢
[01:54] 虽然我们看到短线上
[01:56] 似乎有一点回调的空间
[01:58] 休息的空间
[01:59] 不过呢
[02:00] 投行最新的报告陆续都已经出来了
[02:02] 高盛在昨天所发布的报告
[02:04] 直接把标普白指数持续上调到8000点目标价
[02:08] 原本是7600点
[02:09] 那核心原因就来自于AI带来的企业获利爆发
[02:13] 其实今年标普也没有涨很夸张
[02:15] 标普也不过涨10%而已
[02:17] 但是呢
[02:18] 整体而言高盛预估
[02:19] 今年的标普企业EPS即将会年增幅24%
[02:24] 其中有接近一半的获利成长
[02:26] 都会来自于AI基础建设相关企业
[02:28] 所以现在是属于AI卖产值的先行
[02:32] 到时候达到一定规模
[02:34] AI生产力爆发
[02:35] 就会由云端巨头来承接
[02:37] 吃下这一波的红利
[02:38] 其实我们也看得出来
[02:40] 这一轮其实除了从2025年当时关税战
[02:44] 其实就算是当时关税战
[02:46] EPS都没有严重下滑
[02:47] 顶多就是持平
[02:48] 但是从整个25年中旬左右
[02:51] 整个标普的EPS上行通道
[02:53] 速度就来得越来越快
[02:55] 那即便在今年曾经经历到伊朗战事的冲击
[02:58] 美欧股市回调幅度也不小
[03:00] 可是在那段期间
[03:02] EPS是完全没有做任何的松动
[03:04] 或者预期值也没有做任何的表态
[03:07] 就一路的向上冲到现在
[03:09] 所以基本面是推动本轮上涨的一个重要推力
[03:12] 每一次股价你觉得有点高
[03:14] 季度财报一公布出来
[03:16] EPS马上就把本益比给拉下来了
[03:18] 显得费办就不贵了
[03:20] 这就是根本原因
[03:21] 费办在今年的EPS成长
[03:23] 平均已经来到70%了
[03:25] 它股价差不多也是涨70%
[03:28] 其实一步一趋
[03:29] 其实如果我们细看
[03:30] 如果把它拿来从AI基础建设
[03:33] 以及等权重指数来进行对照
[03:35] 会发现资金的确就高度的集中在
[03:38] AI伺服器 GPU或者HBM
[03:40] 或者云电商资料中心
[03:41] 相关的电力基础设施
[03:43] 但是我们看到的中下方
[03:45] 标普等权指数的企业获利和股价
[03:48] 那成长就非常之平淡了
[03:50] 所以到底算不算牛市
[03:52] 真的要取决于你有没有投资到AI股
[03:55] 如果非AI股
[03:56] 其实还是可以看得出来
[03:58] 从等权指数来看
