[00:00] 投资编欢迎收听早晨财经速解读
[00:03] 现在是台北时间2026年5月4号礼拜一
[00:06] 早上8点31分
[00:07] 大家早上好我是有停号
[00:08] 每天早上开播前半小时
[00:10] 我们在这边陪伴着各位一起解读国际财经新闻时事变化
[00:13] 在苹果财报的助攻下
[00:16] 科技股在礼拜五又创下历史新高了
[00:18] 这一次标普白指数和纳斯达克指数
[00:21] 同步创下历史的收盘新高
[00:23] 那等同于标普已经连续第五周收高了
[00:26] 写下2024年以来最长的周涨的上限记录
[00:31] 当然了
[00:31] 整体而言
[00:33] 创下历史新高的次数大概是12次左右
[00:36] 油价反而因为中东局势出现进展而稍微回落
[00:40] 从纳斯达克指数来看也是如此
[00:42] 你会发现从4月份开始
[00:45] 这种激涨行情
[00:46] 几乎把过去一年到两年的纳斯达克的年化涨幅给涨了回来
[00:51] 那就回过头来说
[00:52] 那随着科技股财报
[00:54] 已经奠定了资本支出基础以后
[00:57] 是否会有软硬体股之间的资金
[00:59] 持续轮动
[01:00] 与此同时
[01:01] 在外部地缘政治冲突的部分
[01:03] 这一次5月1号
[01:05] 法律届满之际
[01:06] 川普已经正式致函国会
[01:08] 宣布对伊朗的敌对行动
[01:11] 已经终止了
[01:11] 宣布停止进行战争行为
[01:14] 那也就代表着
[01:15] 美国虽然在中东地区
[01:17] 仍然有军事部署
[01:18] 可是对于整体而言
[01:20] 军事行动已经算告了一段落
[01:22] 与此同时伊朗也提出了一个分阶段的方案
[01:25] 先用一个月的时间达成协议
[01:28] 重新开放荷姆治海峡
[01:29] 并且同时结束美国海上封锁伊朗和黎巴嫩的战事
[01:34] 接着呢再用第二个月去谈核问题
[01:36] 不过条件也很硬啊
[01:38] 要求美军的撤离以及解除制裁取消封锁
[01:41] 甚至还要提出赔偿
[01:43] 所以整体而言
[01:44] 川普说他看了这份方案的初步内容
[01:47] 但是呢付出的代价明显还不够
[01:49] 双方的谈判还在拉锯
[01:50] 所以我们过几天再跟投资朋友观察
[01:53] 荷姆兹海峡现阶段的封锁情况
[01:55] 可是至少整体地缘政治的冲突
[01:58] 加上这次科技股的财报公布之后
[02:01] 你到底说科技股财报是好还是坏
[02:04] 反正资本支出都是调高
[02:05] 对于卖产值的企业肯定是有利的
[02:08] 可是至少也可以彰显的
[02:10] 市场上以更加谨慎的角度
[02:12] 来看待AI未来的终局
[02:14] 因为这一次资本支出已经上调到
[02:17] 四大世界的毕业者来到接近有7250亿
[02:20] 从Amazon Alphabet Meta和Microsoft
[02:23] 这些钱几乎无一例外都是砸向AI基础设施
[02:26] 所以问题一方面
[02:28] 当然是卖产的企业能够分到多少征服的订单
[02:33] 另外一道问题就是花这么多钱那回报在哪里
[02:36] 市场上开始会要求产出是否能够因此而跟上
[02:40] 你像Meta的部分就因为资本支出大幅上扬
[02:43] 股价反而是下跌
[02:44] 大家要圆宇宙计划的前车之鉴
[02:46] 所以市场上已经从原本只看你的资本支出的规模
[02:50] 转向变成有效率的投资
[02:53] 当然回过头说
[02:54] 现在没有股市的强势上攻
[02:57] 科技股和半导体族群成为主力
[02:59] 难道内部的轮动是均衡式的大涨吗
[03:02] 似乎也不是
[03:03] 可是至少从心态层面看得出来
[03:06] 这种强者横强的追涨意愿
[03:09] 其实是非常明显的
[03:10] 现在没有股市流行一个关键词
[03:12] 叫做Made up
[03:13] 叫融涨
[03:14] 就是情况本质
[03:16] 不只是由基本面做进一步的驱动
[03:19] 而是资金害怕
[03:20] 错过行情而加速进场
[03:22] 也就是我们讲的former形态
[03:23] 例如晶片股在短时间内大幅上涨
[03:26] 甚至出现短期内暴涨数倍的个股
[03:29] 那背后呢
[03:30] 当然它有营收或者获利
[03:32] 可是光是一次财报
[03:34] 就让它涨个50% 70%
[03:36] 很明显是有情绪或者动能交易的参与
[03:39] 那判断是否进入到融涨
[03:41] 可以观察几个特征
[03:43] 比如说价格上涨很明显过快
[03:45] 成交量过度放大
[03:47] 资金的大笔流入
[03:48] 比如说ETF每日资金的流入显著增加
[03:51] 以及波动加大
[03:52] 那更细看内部
[03:53] 会发现股市和债券市场的波动出现了背离
[03:56] 代表的是跨资产讯号不再一致
[03:59] 加上科技股的高度集中
[04:01] 现在全十大的全职股
[04:03] 大概贡献了75%的涨幅
[04:05] 这其实就看得出来
[04:07] 你没有买到ETF
[04:08] 或者你没有买到全职股
[04:10] 在当前的行情
[04:11] 不一定报仇能够跟得上大盘
[04:14] 我们又重新回到追不上大盘的格局了
[04:16] 好处是现在从情绪指标来看
[04:19] LIG指数居然还在下行
[04:21] 代表的是当前市场情绪仍然抱持着
[04:24] 没有太多的避险情绪角色
[04:26] 原因很简单
[04:27] 市场现在的不相信
[04:28] 不相信外部地缘政治冲突这么严重
[04:32] 不相信AI泡沫有立即破灭的风险
[04:35] 我们举例来说
[04:36] 过去每一次的供给冲击
[04:38] 油价几乎都是翻倍或者数倍上涨
[04:41] 那这次从60块一路涨到100块
[04:43] 实际涨幅大概是40到45%
[04:45] 那也才两个月
[04:47] 那市场上很明显就在压住另外一种情境
[04:49] 就相信冲突是不会长期中断供给的
[04:53] 或者之后至少会有补偿性的供应
[04:56] 我们对于这个世界的调试能力
[04:59] 心理的接受能力是很强的
[05:01] 我们疫情都经历过了
[05:03] 哪有什么事情会因为一场中东战事
[05:05] 就完全打垮我们经济
[05:07] 就算有冲击以后都会补回来
[05:09] 有这样的一个心理情绪的推升
[05:11] 当然我们回过头说
[05:13] 风险的爆表
[05:14] 为什么美国股市到目前为止
[05:16] 持续的创高
[05:17] 一个最根本原因
[05:18] 是这一波不只是台股
[05:20] 美股也很明显
[05:21] ETF和演算交易法
[05:23] 已经占了市场的60%到80%
[05:25] 这也让整个资金的流动
[05:27] 更倾向于追涨杀跌
[05:29] 市场更类似由动能来驱动
[05:32] 已经不是由单纯估值的高低了
[05:34] 以前是估值高要减码
[05:36] 估值低那要加码
[05:37] 现在不太一样
[05:38] 现在市场上价值投资者也不是特别多
[05:40] 基本就是追涨杀跌
[05:43] 资金只要创高
[05:44] 那么城市单就要被迫回补
[05:46] 散户也会有FOMO心态
[05:48] 所以有两种心态
[05:49] 应该讲三种心态同步成立
[05:51] 一个叫TINA
[05:52] 一个叫FOMO
[05:54] 另外一个叫TACO
[05:55] TINA叫There is no alternative
[05:57] 没有其他选择
[05:59] FOMO
[06:00] Fear of missing out
[06:00] 最后就是TACO
[06:01] 相信川普政策会脱底
[06:03] 三种心态的一个交错
[06:06] 正在强化这种上涨循环
[06:08] 那你也必须承认
[06:09] 你问每个散户
[06:10] 真的别无选择
[06:11] 大家都在买ETF
[06:12] 我不买还能够怎么办
[06:15] FOMO心态
[06:16] 我现在不买以后更高怎么办
[06:18] TACO就算有利空
[06:19] 川普最后一定会TACO的
[06:21] 这种心态就很明显反映在市场当中
[06:24] 那现在七大科技股占整体市值的权重
[06:27] 从2020年的20%
[06:29] 一路升到接近35%到37%
[06:32] 它的报酬已经明显的甩开大盘
[06:35] 那原本想说这一次会有比较大的一个周期轮动
[06:37] 没有
[06:38] 这次还是由科技股来向上带头冲
[06:41] 所以我们才会讲说
[06:42] 为什么有些投资朋友觉得
[06:44] 自己的绩效不算特别好
[06:45] 尤其跟大盘比较起来
[06:47] 因为美国股市最近不断的创下历史新高
[06:49] 但结构其实也不是很健康
[06:51] 不是每个人都像我们买ETF
[06:53] 在最新的数据显示当中
[06:55] 目前创高的交易日当中
[06:57] 下跌的股票数量远远多于上涨股票
[07:00] 比如说在美股一天上涨172档
[07:03] 下跌平均下跌有328档
[07:05] 代表的是市场并不是全面的上涨
[07:08] 而是有少数大型全职股硬撑上去
[07:11] 把指数给拉高了
[07:12] 整体来看
[07:13] 科技七巨头从战争以来上涨大概10%左右
[07:17] 标普派指数上涨大概5%
[07:19] 可是如果以等权重指数
[07:21] 就每一家公司都设定为1%
[07:23] 今年还是下跌的
[07:25] 尤其这一波行情
[07:27] 它是由半导体单一主线带头工
[07:29] 废半指数
[07:30] 整体而言
[07:31] 如果是从今年2月中旬以来
[07:35] 大概已经涨了接近有30%到40%
[07:37] 如果是从三月底的话
[07:39] 那涨幅快要50%了
[07:40] 这很明显相对于标普500
[07:42] 或者标普等权重指数
[07:44] 有非常明显的落差
[07:46] 所以回过头来说
[07:48] 市场上很明显
[07:49] 在本轮的上涨过程当中
[07:51] 有些人大赚
[07:52] 有些人小赚
[07:53] 甚至有些人赔钱
[07:54] 但是呢
[07:55] 这中间的原因来自于
[07:56] 整体上涨的比例和均衡幅度
[07:59] 相对不健康
[08:00] 那你往好处想
[08:01] 那是否有轮动的机会
[08:02] 大型股可能会类似像去年10月份一样
[08:05] 终究要有休息的一天
[08:07] 那能不能让大盘
[08:08] 让中小型股能够有跟上的空间
[08:10] 我们回过头说
[08:12] 要从两种角度来看
[08:13] 第一种角度是在多头格局它一定会达成这种轮动只是说最后谁的报酬高还不好说可是从第二个角度就是怀疑整个系统性是不是估值又放大了
[08:23] 泡沫又开始了
[08:25] 我们今天主轴是聊巴菲特
[08:26] 或者说聊伯克夏
[08:28] 因为巴菲特已经退休了
[08:30] 那伯克夏这次的年会
[08:32] 是由新任的执行长阿贝尔所主导
[08:35] 他也非常幽默
[08:36] 而且以非常好笑的方式
[08:38] 来回应目前的接班压力
[08:39] 但是市场上更为关注的是什么
[08:41] 就是在巴菲特时期
[08:43] 大量的现金水位创高以后
[08:45] 他要如何处理呢
[08:47] 结果在他上任的第一个季度
[08:49] 仍然选择跟巴菲特一样
[08:51] 持续解码股票
[08:53] 现金和短债部位
[08:55] 已经来到3800亿
[08:56] 他的短债或者现金部位
[08:58] 也不是纯现金
[08:59] 通常是以定存期单
[09:02] 或者是以美国短天期国债为主
[09:04] 那基本就是说明
[09:05] 他有3800亿的资金
[09:07] 大概占整体股市部位
[09:09] 应该讲说整体资产部位
[09:11] 接近45%左右的比例
[09:12] 是认为他的报酬是不会超过5%的
[09:15] 因为美债的整体回报率
[09:17] 大概就是4%到5%左右
[09:19] 也就代表着
[09:20] 他不相信他买股票
[09:22] 可以超过5%的报酬
[09:23] 所以他选择买短债
[09:25] 用这样的一个方式来做理解
[09:27] 就可以了解
[09:27] 目前即便是阿贝尔接任
[09:30] 仍然没有太多回补的意愿
[09:32] 整体而言
[09:33] 甚至单季的净卖股金额来到80亿美元
[09:36] 所以是说明的
[09:37] 整体波克夏已经连续14个季度
[09:40] 都在卖出股票了
[09:42] 这说明即便你有很多次机会
[09:45] 在股市回调的时候
[09:46] 有可能进行回补
[09:47] 整体而言
[09:48] 看起来波克夏仍然在等待
[09:50] 一个更大的系统性的回调
[09:51] 从基本面来看
[09:53] 巴菲特照来讲
[09:55] 波克夏他的现金水会越来越高了
[09:57] 就算没有任何的实质获利表现
[09:59] 也是如此
[10:00] 因为他有不断的保险资金
[10:02] 不断的涌进来
[10:03] 那现在的问题就在于
[10:04] 这样的一个资金不断上升以后
[10:07] 如果占整体规模
[10:09] 你想想看
[10:09] 如果假设你的资产有1000万
[10:11] 你现在有450万都是现金
[10:15] 其实是有点压力的
[10:16] 因为你会害怕被通膨给侵蚀
[10:19] 但是连续14个季度
[10:22] 就代表着
[10:22] 其实对于波克夏而言
[10:25] 对于股票市场保持戒慎恐惧
[10:27] 也长达三年的时间
[10:28] 基本上就是上一次
[10:29] 他把台积电卖掉以后
[10:30] 他就一直处于卖超股票
[10:31] 所以他看起来也不是针对台积电
[10:33] 他看起来就是针对整个大盘
[10:35] 都抱持着戒慎恐惧
[10:36] 巴菲特甚至在受访当中直言
[10:39] 虽然他这次不在股东会上发表
[10:41] 过多谈话了
[10:42] 不过他还是有受访
[10:43] 巴菲特说
[10:44] 现在的市场其实就变成了赌场
[10:47] 也不代表说投资机会完全消失
[10:49] 但是价格已经失真了
[10:51] 他在描述说
[10:52] 过去市场其实也有投机
[10:54] 可是这一次太夸张了
[10:55] 短天期的选择权
[10:57] 零手续费的交易日
[10:58] 甚至预测市场和体育博弈
[11:01] 已经把下注这件事情给金融化
[11:03] 全美国人全部都在赌钱
[11:05] 必须承认他讲的是真的
[11:07] 以前我们回学校
[11:09] 因为我在新竹念书
[11:11] 以前我念书的时候
[11:12] 学生活动大部分都是社运
[11:15] 我们那个时候是
[11:16] 整个新竹可以算是
[11:18] 时代力量大本营
[11:19] 可是这几年回学校演讲
[11:22] 全部都在炒股票
[11:23] 全部都是证据研究生
[11:25] 谁在搞社运
[11:26] 这也不只是美国
[11:27] 全球市场都是如此
[11:28] 巴菲特特别提到
[11:30] 自己60年来
[11:31] 真正有吸引力的投资机会不多
[11:33] 尤其是现在
[11:35] 几乎是全民金融化投机
[11:37] 当然他这样讲
[11:38] 某种程度也暗示着
[11:39] 波克夏的投资氛围
[11:41] 不会因为接班人而改变
[11:43] 我们目前来看
[11:44] 波克夏现在现金
[11:45] 不会接近4000亿
[11:46] 从阿贝尔接任以来
[11:48] 波克夏股价已经下跌12.4%了
[11:50] 目前的股价位节
[11:52] 基本上跟去年七八月差不多
[11:55] 它也已经盘整盘了
[11:57] 接近有一整年左右了
[11:58] 足以彰显着市场上这种心态
[12:01] 你说巴菲特会不会有一天former
[12:03] 应该是不会
[12:04] 但是我们讲说老人家
[12:06] 不懂AI
[12:07] 这很好理解
[12:08] 他也不懂网路
[12:09] 所以他一定会撑到
[12:10] 下一次的资产价格的系统性回调
[12:13] 才有可能
[12:14] 让他的价格表现稍微好一点
[12:16] 没这波克夏股价创高
[12:17] 通常都是股市表现
[12:19] 不是特别好的时候
[12:20] 所以很明显
[12:21] 现在年轻人都只看妖姐
[12:23] 没有人在看巴菲特
[12:25] 就是市场心理情绪的转变
[12:27] 好 那我们回过头来说
[12:28] 现金部位的创高
[12:30] 市场找不到机会
[12:31] 4000亿
[12:32] 已经快要可以买Enthropy
[12:34] 或者买OpenAI了
[12:35] 那我们看波克夏的回购节奏
[12:37] 来表现说
[12:38] 他现在是在等待一个新机会
[12:40] 还是认为股价正严重过高
[12:42] 以前波克夏
[12:43] 即便在23年或者20年21年
[12:46] 即便在股价位阶相对比较高
[12:48] 海量货币宽松的时候
[12:49] 他都会选择回购自家股票
[12:52] 这技巧性的抬升股价
[12:53] 因为其他股价很贵
