[00:00] 投资品欢迎收听早晨财经速解读
[00:03] 现在是台北时间
[00:04] 2026年5月5号礼拜二
[00:06] 早上8点31分
[00:07] 早上好我是有听号
[00:08] 每天早上开门前半小时
[00:10] 我们在这边陪伴着各位
[00:11] 一起解读国际财经新闻时事变化
[00:14] 没有股市在昨天稍微收黑
[00:16] 从历史高点往下坠
[00:18] 当然主因是中东战火
[00:20] 似乎再度升级
[00:21] 这一次由美国宣布引导船只
[00:24] 离开荷姆兹海峡的自由计划之后
[00:26] 南韩的货船在几个小时之前
[00:28] 起火爆炸了
[00:30] 那阿联呢
[00:31] 也拦截到伊朗的飞弹
[00:32] 这很有趣啊
[00:33] 在美伊之间的冲突啊
[00:36] 阿联好像是受到
[00:37] 最多飞弹攻击的区域啊
[00:38] 那也就这么小的一块区域
[00:40] 布兰特原油上涨了5.4%
[00:43] 美统来到114块
[00:45] 西德州原油也上涨了3.14%
[00:48] 美统也回到了105块
[00:50] 所以在种种中东讯息的持续
[00:53] 冲击底下
[00:54] 我们其实还是可以感觉到
[00:55] 这种通膨形成的外溢效果
[00:57] 对于实体经济有可能形成的成本上升压力
[01:01] 其实回过头看现在的原油市场
[01:03] 那表面好像觉得波动也不大
[01:05] 反正就在一百上下持续的游走
[01:08] 好像一切都在控制范围之内
[01:10] 不过实际上呢
[01:11] 整个市场目前还是靠库存在撑的
[01:14] 也就是说只要还有油可以释放出来
[01:16] 价格还不至于全面失控
[01:19] 但问题是真正的备用产能
[01:21] 因为地缘政治现在已经锁死了
[01:23] 市场唯一的就一直在销库存
[01:25] 全球大概有84亿桶的库存
[01:28] 陆上的有66亿桶
[01:30] 海上大概有18亿桶
[01:31] 看起来很多
[01:32] 但结构其实并不是很灵活
[01:34] 尤其浮动库存大部分集中在原油
[01:37] 成品油现在反而不足
[01:39] 所以调节能力是非常有限的
[01:41] 那更关键的是
[01:42] 这一场缓充电正在被慢慢的消耗
[01:45] 现在根据OECD的库存
[01:47] 大概剩下32天
[01:49] 如果供应持续受到倾老
[01:51] 到夏天可能逼近操作下限
[01:53] 所以我们才讲说
[01:54] 为什么这次美军还真的就护航了
[01:56] 至少先把整条供应链管道
[01:59] 美系供应链能够打通再说
[02:02] 那后续再把全球的能源价格
[02:04] 做一系列的压回
[02:05] 当然我们把油价拿来跟它的波动率
[02:08] OVX拆开来看
[02:09] 油价现在要重新冲高到110美元以上
[02:12] 但是OVX反而在回落
[02:15] 说明这个油价虽然还在走高
[02:18] 可是市场对风险本身的恐慌
[02:21] 似乎正在下滑
[02:22] 对于供给收受的定价在上升
[02:25] 简单来讲就是市场开始把这一次的油价
[02:27] 开始视为一个很长期结构性的问题
[02:31] 那短期内也不会结束
[02:32] 但是呢
[02:33] 我们始终啊
[02:34] 在接受高油价的过程当中
[02:36] 还是可以维持一定程度的经济成长
[02:39] 什么意思啊
[02:40] 战争只要没打到足科就没事啊
[02:42] 继续涨
[02:43] 那有这样的一个感觉
