[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 来跟投资朋友做一些观察了
[00:31] 因为昨天不只是纳指标普废办
[00:35] 尤其废办标了接近4%
[00:37] 创下劣质新高
[00:38] 30年期国债殖利率
[00:40] 也在往上暴冲创新高
[00:42] 那在这个过程当中
[00:43] 我们也不太可能期待
[00:45] 公债殖利率一直往上飙
[00:46] 对于股市的估值毫无影响
[00:48] 到底双方谁会先认输呢
[00:51] 今天来跟投资朋友多做一些观察
[00:53] 其实把这一轮行情拆开来看
[00:56] 逻辑很清楚
[00:57] 经济数据
[00:58] GDP和就业
[00:59] 的确算是撑住了当前的市况
[01:01] 那重点在于企业获利的爆发
[01:04] 这一次预估
[01:05] 原本标普白指数在本季度财报
[01:08] 大概会有12%左右的增长
[01:09] 结果呢直接翻倍了
[01:11] 现在预估大概是24%
[01:13] AI资本支出也带动了营收的财策预期
[01:17] 那加上中东停火这件事情
[01:19] 目前美伊局势并没有进一步的恶化
[01:22] 只是谈判遇到了僵局
[01:24] 市场从避险转为加码
[01:26] 这几个力量叠加在一起以后
[01:28] 撑出这一波的行情
[01:30] 那问题在于
[01:31] 其实这些利多好像大部分也知道了
[01:33] 甚至部分已经走到了尾端
[01:35] 比如说财政支撑开始退场
[01:37] 今年看起来也没有太多
[01:39] 大幅降息的空间
[01:40] 财报的高成长
[01:42] 你资本支出调越高
[01:43] 就代表着这些巨头
[01:44] 要把钱收回来的难度也越高
[01:46] 所以接下来呢
[01:48] 短线市场上会关注几大方向
[01:50] 第一个就是油价和通膨
[01:52] 油价持续的高涨
[01:53] 通膨预期不断的升温
[01:55] 那你难道30年级之利率
[01:57] 5%你没反应
[01:58] 5.5%你不反应
[02:00] 6%你也不反应
[02:01] 如果告诉你30年级国债殖利率
[02:03] 一年殖利率给你10%
[02:05] 你会不会有一点市场的回补
[02:07] 又因形成股市估值的回调呢
[02:09] 第一个观察重点
[02:10] 所以债市的不稳
[02:12] 可能会反过来影响到股市的估值
[02:14] 那再来是市场结构
[02:16] 有点过度急冻
[02:18] 现在真的就是半导体天下
[02:20] 半导体的主线一路拉高以后
[02:22] 会不会压抑到其他板块呢
[02:24] 所以后续我们要观察的几大重点
[02:27] 就会围绕着油价利率
[02:29] 以及半导体全职过度集中之后
[02:31] 是否能够让AI营收做拉抬的这种预期落差
[02:35] 毕竟卖产值的一直赚
[02:37] 那你的客户都赚不到钱
[02:39] 挖金矿的都没有挖到半枚金子
[02:41] 那是不是市场压力终有一天会发酵呢
[02:44] 我们回过头看
[02:45] 至少市场是完全被情绪给推着走
[02:48] 道琼指数上涨356点
[02:51] 0.73%
[02:52] 在49298点
[02:54] 标普上涨58点
[02:56] 0.81%
[02:57] 刷7259点
[02:59] 创下历史新高
[03:00] 那萨克指数上涨258点
[03:02] 1.03%
[03:03] 刷25326点
[03:05] 历史新高
[03:06] 再看一下废办
[03:07] 哇这废办真的涨不停
[03:09] 上涨445点
[03:11] 4.23%
[03:12] 所在10980点
[03:14] 昨天AMD是大涨了4%
[03:16] 博通涨2.6%
[03:18] 硬材上涨4.9%
[03:20] 高通10%
[03:21] 美光上涨11.06%
[03:24] 记忆体又回来了
[03:25] 所以这一波记忆体的强势拉抬
[03:27] 想说因为现货价格在中国市场
[03:30] 我们最近是看到真的有在下跌了
[03:32] 可是合约价
[03:33] 第一个公布的数据相对而言
[03:36] 频率不像是现货价格的体感温度来得大
[03:39] 第二合约价格按照目前台厂的报价还在调升
[03:42] 所以记忆体制造商
[03:44] 有没有机会摆脱过去十几年那种
[03:47] 消费性电子循环爆起爆落的景气周期
[03:50] 完全打开本轮的AI格局
[03:53] 值得观察
[03:54] 美光昨天晚上大涨11%
[03:57] 市值首次突破了7000亿美元
[03:59] 那Intel CPU的部分
[04:01] 也收红了接近有13%
[04:03] 写下历史的新高价
[04:05] 昨天我们看两大财报
[04:06] 一个是超维
[04:08] 超维在AI资料中心的过程当中
[04:10] 它当然不是单一受惠企业
[04:12] 而是整个半导体企业
[04:14] 目前全数进入到高速成长区间
[04:17] 其实如果我们细看
[04:18] 本次市场上针对IC设计上游
[04:22] 非常显著的资金带动
[04:24] 台厂也是
[04:25] 台厂主要是联发科
[04:26] 可是你会发现
[04:27] 这一波的资料中心的业务
[04:29] 年增幅还是高达57%
[04:31] 成为推动公司成长的最大引擎
[04:33] 没有股市感觉废办
[04:35] 有一点从挥达外溢的效果
[04:37] 就挥达本身
[04:38] 涨幅没有这么亮烈
[04:40] 虽然它也是创高
[04:41] 可是挥达要涨一个percent
[04:43] 它可以让好多家中大型企业
[04:46] 涨10%涨20%
[04:47] 因为你要让推达
[04:48] 推达市值已经四兆五兆了
[04:50] 你要让它推升1%
[04:52] 所需要的资金量体是非常大的
[04:53] 那你把这个资金量体拿到其他股票
[04:56] 它一样可以造成者数创高
[04:57] 但是可以让整体市场的龙井表现得更为好看
[05:01] 那虽然现在人工智慧市场仍然是由辉达主导
