[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 那大家更为关注的当然是标普和纳指改写历史新高以后
[00:34] 废办还会是市场主流吗
[00:35] 哇昨天废办啊
[00:36] 我们知道这过去25个交易日已经暴涨了54%
[00:40] 昨天持续跳空开高
[00:43] 如果硬要讲说单月涨幅啊
[00:45] 应该是网络泡沫破灭以来最大的一次单月实施击涨幅啊
[00:50] 整体2000年那一次啊
[00:52] 大概是短期内暴涨了56%
[00:55] 那这一次涨54%啊
[00:57] 同样很亮丽
[00:58] 当然会让大家担心啊
[00:59] 一样是AI基建
[01:00] 一样是数据中心
[01:02] 就好像当年的光纤铺设一样
[01:04] 那到底这种行情会推高到什么样的一个地步
[01:07] 情绪何时会反转
[01:08] 一旦反转
[01:09] 到底是以盘带跌高乖离区间
[01:12] 让情绪稍微恢复
[01:14] 还是说就来一长黑
[01:16] 让市场上短期情绪能够顺势的消耗呢
[01:19] 今天就来观察
[01:20] 市场上好像现在只剩下利多了
[01:23] 战事即将结束的利多
[01:25] 油价回跌的利多
[01:26] 川习会释放美国订单的利多
[01:29] 那真的市场上只剩下利多了吗
[01:31] 我们后续观察
[01:32] 因为川普政府原本在昨天
[01:35] 应该讲前天
[01:36] 才高调推出了叫做自由计划
[01:38] 试图由美军来护送商船穿越荷姆兹海峡
[01:42] 而且还真的有人办刑
[01:43] 但是才启动一天
[01:45] 川普这一次就突然宣布暂停了
[01:48] 背后一方面当然是反映
[01:50] 华府开始发现事情并没有想象中的简单
[01:53] 美军虽然有压倒性的军力
[01:54] 但是伊朗还是会透过飞弹或者无人机或者低成本
[01:58] 你像一下子攻击韩国的
[02:00] 一下子攻击印度的商船或者货轮
[02:02] 压力很大
[02:03] 所以川普我们过去想说
[02:05] 陷入一个比较典型的战略两难
[02:08] 如果选择妥协
[02:09] 那只谈海峡通航问题
[02:11] 那美国等同于放弃目前封锁伊朗港口
[02:14] 所建立的谈判筹码
[02:15] 如果继续施压
[02:16] 全球能源市场就会承受高油价和供应风险
[02:19] 不过至少伊朗在目前
[02:22] 在受到多日的石油禁运以后
[02:24] 也采取了新的停战方案
[02:26] 双方达成了某种形式的备忘录协议
[02:30] 按照川普的说法
[02:31] 目前要距离和平协议
[02:33] 肯定有一段距离
[02:34] 可是目前所流出的备忘录协议
[02:37] 是双方理解双方的旗舰在哪里
[02:39] 双方接下来进入30天的谈判期
[02:43] 还是有机会能够解除
[02:44] 荷姆斯海峡的封锁
[02:45] 当然这次由于伊朗代表团
[02:48] 在巴基斯坦的谈话
[02:49] 基本上也透露了这样的一个氛围
