[00:01] 投资编欢迎收听早晨财经速解读
[00:03] 现在是台北时间2026年5月8号礼拜五
[00:06] 早上8点30分
[00:07] 大家早上好我是顶浩
[00:08] 每天早上开播前半小时
[00:09] 我们在这边陪伴着各位一起解读国际财经新闻时事变化
[00:13] 美股市周市终于涨多拉回了
[00:16] 标普牌指数和纳斯达哥指数
[00:18] 其实盘中还是创下了历史新高点
[00:20] 但是随着原油价格从低点反弹
[00:23] 后续三大指数尾盘还是收黑
[00:26] 非半稍微跌幅大一点
[00:27] 不过本来波动就大
[00:29] 跌幅大概2%左右
[00:30] 那好处是
[00:31] 虽然原油价格尝试做反弹
[00:33] 不过呢
[00:34] 整体而言
[00:35] 局势至少在降温
[00:36] 不然在原油
[00:37] 如果是从收盘跌价来看
[00:39] 还是跌了1.19%
[00:41] 每桶大概收在100块左右
[00:43] 那盘中是一度
[00:44] 当然跌破每桶100块
[00:46] 所以后续还是要看
[00:47] 到底每一支间
[00:48] 是否有新一波备忘录的事出
[00:50] 可是呢
[00:51] 至少我们回过头看
[00:52] 本轮的AI狂潮
[00:54] 到底谁是输家呢
[00:55] 这场AI狂潮最可怕的地方
[00:57] 也不一定是大家投入太多
[01:00] 是没有人敢停下来
[01:01] 从美国的科技巨头
[01:03] 到中国到韩国到台湾
[01:05] 到中东的主权基金
[01:06] 现在全球都在疯狂的砸钱
[01:09] 盖资料中心
[01:09] 完全没有停止的迹象
[01:11] 有一件事情几乎已经成为共识了
[01:13] 就是不投入的人一定会成为输家
[01:16] 有投入的人也不一定会成为赢家
[01:19] 毕竟市场还是有竞争
[01:21] AI不只是有新产品
[01:22] 它还有下一代的生产力
[01:24] 和国力的基础建设
[01:25] 就好像过去的电力
[01:27] 网路
[01:28] 高速公路一样
[01:29] 一旦企业
[01:30] 国家错过这一波算力
[01:32] 和资料累积
[01:33] 未来可能连参与竞争的资格
[01:35] 都没有了
[01:36] 所以即便难免有一点泡沫
[01:38] 但资本只能继续向前冲
[01:40] 我们就从这样的一个角度
[01:41] 从宏观到微观
[01:43] 从国家政策
