[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 这次会议被迫一定要做一些表态
[00:32] 那可能没有当下要申请
[00:33] 但事出紧缩的氛围是重要的
[00:36] 以此来抗衡市场的通膨预期
[00:38] 与此同时川普也警告伊朗
[00:41] 谈判拖太久了
[00:42] 扬言对伊朗采取更为猛烈的攻击
[00:45] 市场的恐慌情绪还开始升高
[00:47] VIX指数在昨天大幅上扬了11%
[00:50] 那昨天晶片股卖压
[00:51] 因为是涨幅最高
[00:52] 也是卖压最重的
[00:54] 每超为崩跌了27%
[00:56] 费办重挫3.5%
[00:58] 道琼指数下跌950点
[01:00] 这段行情是又V又A
[01:02] 八来八去的
[01:03] 人家说最近上班族
[01:05] 礼拜五早盘大涨
[01:07] 才跟老板讲
[01:08] 老子就做到今天
[01:10] 拜拜
[01:10] 礼拜六收盘之后
[01:12] 抱歉老板
[01:12] 可以收回离职单吗
[01:14] 到礼拜一开盘
[01:15] 抱歉老板
[01:16] 上礼拜有点大声
[01:17] 礼拜二收盘
[01:18] 我大声一点怎么样了
[01:19] 到礼拜三抱歉抱歉
[01:20] 我确实有点大声
[01:22] 都要人格分裂了
[01:24] 所以我们要回过头看
[01:25] 到底这场通膨预期的拉升
[01:27] 它会对于股票市场的估值卖压形成多久
[01:30] 这种盘叠迹象是不是反而是最健康的呢
[01:33] 叠太快也不好
[01:34] 那买盘力道会一次来吗
[01:36] 慢慢叠
[01:37] 每叠一次反弹一下
[01:39] 市场上始终会出现异性蓝山的时候
[01:42] 毕竟筹码投光了
[01:44] 那接下来成交量也许就能够回到正常位阶
[01:47] 好我们回过头看一下
[01:48] 这一次美国的通膨就业数据情况
[01:51] 5月份的消费者物价指数年增幅是4.2%
[01:54] 高于4月份的3.8%
[01:56] 创下了三年来的新高
[01:58] 那这一波通膨的升温
[02:00] 主要原因并不是因为消费需求爆发
[02:03] 是因为中东冲突所导致的能源价格大涨
[02:06] 那这反而是大致的观察的方向
[02:08] 因为我们知道其实需求已经爆发了
[02:11] 只不过不是由民间消费爆发
[02:13] 是由AI所拉动的记忆体
[02:15] 以及相关电子零组件产品正在爆发
[02:18] 那这些产品多快会反映到CPI
[02:21] 我们目前还没有看到笔电或者手机价格失控
[02:24] 但是很快的
[02:25] 随着iPhone折叠机的推出
[02:27] 下半年的新款
[02:28] 我们就看看
[02:29] 这一波新机到底会涨多少
[02:31] 尤其是中低阶手机
[02:33] 那从今年二月份以来
[02:35] 因为国际游士受到
[02:37] 荷姆兹海峡封锁的影响
