[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 是否现在终于波云见日
[00:32] 我们看到这一次美伊协议
[00:34] 几乎已经确认在本周五
[00:36] 就会正式的签署
[00:37] 虽然已经狼来了好多次
[00:39] 但会不会有意外呢
[00:40] 另外一方面
[00:41] SpaceX上市之后的首日狂飙
[00:43] 是否意味着全球市场
[00:45] 会引来新一波的被动买盘呢
[00:48] 虽然纳入指数还有一段时间
[00:50] 可是不同指数的上架或者挂牌时间
[00:53] 编转指数的时间并不太一样
[00:55] 那是否意味着
[00:56] 接下来本来从短期的疯狂行情
[00:59] 即将成为更为稳健的牛市
[01:00] 今天来跟投资朋友多做一些观察
[01:03] 事实上我们看到穷指数
[01:04] 在上礼拜报在51202点
[01:08] 标普小涨0.5%
[01:09] 纳指小涨0.3%
[01:11] 但是重点在于原油价格
[01:13] 这一次美加仑已经跌到81美铜左右了
[01:17] 这其实就意味着
[01:18] 市场针对这一次荷姆斯海峡的即将重启
[01:22] 至少从资产价格层面
[01:23] 开始拥有了新一波的信心
[01:25] 事实上这一次美国和伊朗
[01:27] 针对荷姆兹海峡重新开放和停火延长达成协议之后
[01:32] 预估在本周五就会在瑞士正式签署备忘录
[01:35] 根据协议的内容
[01:37] 伊朗会在30天以内逐步的清除水雷
[01:40] 恢复这条全球最重要的航道正常运作
[01:43] 美国的部分会即将解除针对伊朗港口的海上封锁
[01:47] 荷姆兹海峡过去我们提过
[01:49] 大概是承担全球20%的石油和天然气的运输量
[01:53] 今年2月底之后就一度陷入到全面停摆
[01:56] 那现在原油价格显著回挡
[01:58] 我们就会观察
[01:59] 那到底现在川普给予的谈话
[02:02] 或者给予的谈判条件为何呢
[02:04] 毕竟我们从川普的最新发文来看
[02:06] 几乎已经板上钉钉
[02:08] 川普表示说
[02:09] 美方会在礼拜五签署文件之后
[02:12] 同步解除对伊朗港口的海上封锁
[02:15] 那伊朗也会展开水雷的清除作业
[02:17] 让邮轮和商船能够恢复正常通行
[02:20] 然后他在Truce Social上直接提到
[02:22] 全世界的船只发动引擎吧
[02:25] 让石油再次流动
[02:26] 三个月的时间
[02:28] 搞定了这场的中东冲突
[02:29] 当然那到底这一次的协议内容
[02:32] 双方所给予的谈判筹码为何呢
[02:35] 其实跟内容跟外界差距当中
[02:37] 还是有很大的落差
[02:38] 所以我们还是要看周五
[02:39] 根据目前所披露的资讯
[02:41] 彭博社的整理
[02:42] 核心协议并不是要立即解除
[02:45] 美国最在乎的核武问题
[02:47] 而是采取分阶段的交换利益模式
[02:50] 首先是由伊朗逐步恢复
