[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 不过这一次周一的全面上涨
[00:32] 主因当然还是每一支签达成协议所造成的市场提振效果
[00:37] 其实除了从中东局势降温之外
[00:40] 这一次我们看到不管是SpaceX
[00:43] 上市首日大涨了19%
[00:45] 第二天又涨了19.6%
[00:47] 单日的市值增加接近有4000亿
[00:50] 现在市值居然已经超过台积电了
[00:52] 那随着不管是电商龙头社群媒体我们看到超为
[00:56] 記憶體族群持續上的輪動都會讓大家更進一步關注
[01:00] 第一這一次的利空消除以後
[01:03] 下一次的利多會有什麼樣的訊息來做提振呢
[01:06] 畢竟現在算是財報空窗期
[01:08] 難道是造夢的空間又開始產生了嗎
[01:11] 今天我們就從宏觀到微觀
[01:14] 先看宏觀層面目前中東局勢
[01:17] 距離整個停火時間線在禮拜五簽署的協議可能性為何
[01:21] 另外一方面也來看看AI行情重新歸來以後
[01:25] 如何点梦以及AI的副作用表现为何
[01:28] 事实上我们看这一次美国和伊朗
[01:30] 几乎已经板上钉钉
[01:32] 即将完成协议
[01:33] 礼拜五就会在瑞士来进行正式签署
[01:36] 美国除了解除对伊朗港口的海上封锁
[01:39] 延长现行停火安排之外
[01:41] 基本上又进一步解封接下来
[01:44] 过去长期的资谈封锁
[01:46] 或者我们看到在河东做问题
[01:48] 直接延后60天来做进一步谈判
[01:50] 那如果我们从原油价格来做观察
[01:53] 它已经连续第二天
[01:55] 大概保持在每桶80美元左右
[01:58] 所以市场看起来是有信心
[01:59] 一旦跌破这个大平台
[02:02] 这就有点end头的味道了
[02:03] 那我们就看能不能一次性的挑战回战前的水准
[02:07] 当然回过头说
[02:09] 以色列和美国在二月底
[02:11] 针对伊朗所采取的军事行动
[02:13] 原本也预期能够迅速的采取压倒性的优势
[02:17] 但战事现在算白天
[02:19] 说到底这场战事对于川普的民调是拉伸还是冲击作用
[02:24] 看起来是冲击最多
[02:25] 而且伊朗把报复的重点
[02:27] 大多数都放在波湾国家
[02:30] 阿联的部分承受了45%的攻击
[02:33] 许多能源设施受损
[02:35] 以此来看
[02:36] 在整个中东的修复成本
[02:38] 大概也要580亿
[02:40] 当然伊朗战事对于全球能源最大的冲击
[02:43] 其实并不是油田被炸毁
[02:45] 是因为荷姆治海峡的航运几乎陷入停摆
[02:48] 战争爆发前
[02:49] 每天大概有80到100艘船舶来进出波斯湾
[02:52] 但是开战之后
[02:54] 无论是进入还是离开海湾的船只数量
[02:57] 它都跌到了各位数字的水准
[02:59] 其实到本周这两天也没有太大的改变
[03:02] 所以我们讲说
[03:03] 美国和伊朗现在和平协议
[03:05] 大概就差最后一关
[03:07] 也就是前和核武接下来的一步一步确认
[03:10] 与此同时
[03:11] 核武制海峡是否能够在本周五确定重开呢
[03:14] 就目前来看
[03:15] 重开可能性的确还是很大的
[03:17] 因为欧洲盟友已经采取了部分
[03:20] 接下来在恢复通航之后的措施
[03:23] 虽然我们知道
[03:24] 在有水雷的冲击底下
[03:26] 它还有排雷任务的举行
[03:28] 还有海上巡逻安排
[03:30] 以及国际授权的程序
[03:32] 最重要的是伊朗之前有提到
[03:34] 那个黎巴嫩是否能够顺势的降温
[03:37] 这件事情其实非常重要的
[03:40] 所以以色列也必须要配合
[03:42] 才能够直接影响到接下来执行的进度
[03:45] 那最大的重点就不在于协议了
[03:48] 就是执行时间线到底会花多长
[03:50] 不过由于现在
[03:52] 根据彭博社的报道
[03:53] 欧洲已经准备出兵荷姆治海峡了
[03:56] 那代表的事情是
[03:57] 现在的战后秩序的争夺战已经开始
[04:00] 大家的确相信
[04:02] 荷姆治海峡的冲击和封锁已经结束了
[04:05] 我们看英国首相斯凯尔
[04:07] 和法国总统马克宏表示
[04:09] 一旦协议正式生效
[04:10] 欧洲会派遣海军的扫雷部队
[04:13] 来协助清除海峡中的水雷
[04:15] 来恢复商船的通行
[04:17] 目前已经有15个国家承诺
[04:19] 提供军事装备和人员支援
[04:21] 包括法国的航母
[04:23] 英国的自主扫雷系统
[04:25] 还有德国和意大利的海军部队
[04:27] 都已经进入待命状态
[04:29] 随时在周末就进军到
[04:31] 赫姆治海峡来进行扫雷
[04:33] 那当然这是一场国际扫雷
[04:35] 和维护的联合任务
[04:36] 但背后当然是战后中东秩序的
[04:39] 重新分配
[04:40] 尤其连现在法军都愿意去谈判
[04:44] 应该讲说连法军都要去护航
[04:46] 来清除水雷
[04:47] 那应该说明的
[04:49] 这项协议真的要谈成了
[04:50] 那传说中法军跟法国警察一样嘛
[04:53] 只要有法国警察在的地方
[04:55] 通常都很安全
[04:56] 因为法国警察不会去危险的地方嘛
[04:59] 但不管怎么说啦
