[00:00] 投资朋友欢迎收听早晨财经速解读
[00:03] 现在是台北时间2026年6月17号礼拜三
[00:06] 早上8点31分
[00:08] 大家早上好我是邓浩
[00:09] 每天早上开门前半小时
[00:10] 我们在这边陪伴着各位一起解读国际财经新闻时事变化
[00:14] 多多转转现在来到青森
[00:16] 所以今天一样在海外跟大家做追踪
[00:19] 没有股市在昨天废办杀了5.7%
[00:22] 让大家开始紧张
[00:23] 到底现在是逢跌必买的时刻
[00:26] 还是说行情间仍然有高估值的疑虑呢
[00:29] 毕竟现在是财报空窗期
[00:31] 本梦比可以造梦无限
[00:33] 可是下一个季度的财报
[00:35] 就会视为当前的本益比
[00:37] 是否有均值修正的空间
[00:39] 有些人说有点疲惫
[00:41] 我们现在早上是看台股
[00:43] 晚上是看美股
[00:45] 半夜看市主
[00:46] 凌晨看风俗
[00:48] 有点顺缘不足
[00:49] 但是行情波动这么剧烈
[00:51] 大家也是心惊胆战的
[00:53] 很怕动不动又要回去睡公园
[00:55] 不过这年头睡公园的时间
[00:57] 是越来越短了
[00:59] 那可能一年可能不到三周在睡公园了
[01:02] 尤其在川普行情之后啊
[01:04] 正常的中期回调以前都是三个月起跳
[01:07] 现在有三个礼拜就已经很庆幸了
[01:10] 现在平均常态是三天了
[01:12] 好那回过头说
[01:13] 为什么当前在昨天市场买盘还是相当大量呢
[01:17] 原因来自于第一
[01:18] 非半的确获利了结
[01:20] 卖压算沉重
[01:21] 纳斯达克指数也下跌了接近1.15%
[01:23] 不过呢原油价格似乎暗示着你
[01:27] 当前中东问题的确几乎快要彻底解决
[01:31] 布兰特原油价格在昨天已经正式跌破每桶80元
[01:35] 西德诺原油部分已经跌到75块左右
[01:38] 那么美国和伊朗代表在周五
[01:40] 在瑞士所正式所签署的谅解备忘录
[01:43] 基本上可以奠定在本周末之前
[01:46] 和母子海峡会全面的恢复通航
[01:49] 当然伊朗停火之后
[01:51] 美国的派对才真正必须要做进一步的考验
[01:54] 因为我们过去讲说
[01:56] 美股现在有三个比较棘手的挑战
[01:58] 一个就是明天联准会的问题
[02:01] 联准会FOMC利率决策会议就要召开了
[02:04] 那这一次凯文沃许
[02:06] 他即将主持首次的FOMC利率决策会议
[02:09] 过去他曾经多次批评联准会的沟通方式
[02:13] 好了那现在换你了
[02:14] 你想要怎么沟通
[02:16] 你还要公布点证图吗
[02:17] 你会不会根本连点证图都不想公布呢
[02:19] 他也主张货币政策应该要进入到新的体制
[02:23] 在通膨剧有粘性
[02:24] 市场甚至开始压住
[02:26] 年底重新升息的背景底下
