[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 可是呢他又没有造成全面性的系统性的飙升
[00:33] 毕竟目前标普白指数
[00:35] 今年以来涨幅也不过12%
[00:38] 反而是废办涨幅接近80%
[00:41] 而韩国股市涨幅已经100%了
[00:43] 台北股市也紧追在后
[00:45] 在这样的一个过程当中
[00:47] 我们要来如何来理解
[00:48] 当前的缺货潮会如何影响到
[00:51] 接下来的泡沫幅度呢
[00:52] 我们过去提过
[00:53] 如果你还是缺货的
[00:55] 他就无法算力过剩
[00:56] 可是呢一直这样子缺货下去
[00:59] 记忆体价格一直上涨
[01:00] 难道对于这些四大CSP业者
[01:03] 一点影响都没有吗
[01:04] 今天我们就要用更宏观的角度
[01:07] 来做一些梳理
[01:08] 事实上我们看上礼拜
[01:09] 纳斯达克指数多涨幅还有2.4
[01:11] 标普多涨幅1.4
[01:13] 道琼涨0.9
[01:14] 不过如果从月涨幅来看
[01:16] 纳指五月份的月涨幅是高达8%
[01:19] 标普是5%
[01:21] 道琼是3%
[01:22] 废办
[01:23] 废办一个月涨了25%
[01:25] 所以关键
[01:26] 绩效是否能够非常显著的拉开
[01:29] 就在于你有没有买废半
[01:31] 但是不管怎么说
[01:32] 标普白指数从周线等级来看
[01:34] 它也已经算是突破了
[01:36] 2020年以来的上升循环
[01:38] 也就是新的一轮趋势
[01:40] 已经逐步展开
[01:41] 毕竟没有股市
[01:42] 现在标普
[01:43] 纳指
[01:44] 废半
[01:44] 都已经连续九周创新高了
[01:47] AI的狂潮
[01:48] 到底能够推到什么样的一个位阶
[01:50] 上礼拜我们才看到
[01:51] 全球私服器大涨
[01:53] 入区大涨之后
[01:55] 这一次连台股存存欲动
[01:58] 应该讲说
[01:59] 沉寂已久的老AI
[02:00] 都开始受到新一波的资金涌入以后
[02:02] 那就代表着涨价潮形成确认
[02:05] 那么接下来的资本支出
[02:06] 是否要进入到新一波的调高呢
[02:09] 从资金流向来看
[02:10] 市场正在进入典型的
[02:12] AI牛市第二阶段
[02:13] 第一阶段当然就是挥达
[02:15] 超为这些晶片公司的受惠
[02:18] 第二阶段呢
[02:19] 则是开始扩散到伺服器
[02:21] 资料中心
[02:22] 软体和企业的应用层
[02:23] 当市场同时拥有AI获利成长的故事
[02:27] 以及地缘政治风险
[02:28] 现在逐步要降温的过程
[02:30] 资金就开始大量的回流到风险资产当中
[02:33] 当然对于投资人而言
[02:35] 是否现在的乖离过高
[02:37] 大家有不同的解读
[02:38] 所以有些人可能要等拉回
[02:40] 有些人只是现在来不及了
[02:43] 可能准备要上车了
[02:44] 回过头看
[02:45] 现在从更宏观的角度而言
[02:47] 其实还是量能市场情绪的问题
[02:50] 这么高涨的拉升
[02:52] 不太可能是没有情绪在里头
[02:54] 你像上礼拜五
[02:55] 台股报了1.8兆元的历史天量
[02:58] 4月份不止已经涨了7200点
[03:00] 5月份又涨了5800点
[03:02] 最高冲到44954点
[03:05] 所以在这次computax
[03:07] 黄仁勋的人气旋风底下
[03:09] 如何扭转市场情绪呢
[03:11] 毕竟那次的买盘
[03:13] 我们已经确认了
[03:14] 重点在于外资到今年为止
[03:17] 仍然处于显著卖潮
[03:18] 整体而言
[03:19] 外资其实五月份已经买了2000多亿回来
[03:22] 但到目前为止
[03:23] 还是卖了大概有4000亿左右
[03:24] 在今年以来
[03:25] 过去12个月台股的月K
[03:28] 其实也只有两个月是收黑K
[03:30] 所以这种量能
[03:32] 就要看证交所什么时候挂牌了
[03:34] 那我一定要买
[03:35] 这种非常显著的资金飙升
[03:38] 对于台湾今年的财政体系
[03:40] 一定也会有更强的助力
[03:42] 当然它基本上就取决于两大角度
[03:44] 一个是AI的区货潮
[03:46] 让硬体股大幅上涨
[03:48] 可是又没有扩及到全面性的标普大张
[03:50] 所以系统性风险可控
[03:52] 但是肺瓣一定先喷了
[03:54] 跟肺瓣连接度比较高的台股和韩股就往上带动
[03:57] 第二个当然就是市场的通膨预期
[04:00] 在过去几周开始有陆续降温的迹象
[04:03] 如果我们细看这一次川普和伊朗的协议
[04:06] 虽然反复的进行拉锯
[04:08] 但是似乎大家都有意想要往终端终局的角度来做推进
[04:13] 虽然时间线可能还很长
[04:15] 和母子海峡实质上还是封锁的
[04:17] 不过从债市来看
[04:19] 看起来有一点市场通膨预期降温的迹象了
[04:23] 最近十年期公债殖利率
[04:24] 终于回落到今年三月低点以来形成的上升趋势线附近
[04:28] 那三十年期国债殖利率也跌到了50日移动平均线
[04:33] 稍微啦
[04:33] 本来想说突破了过去几年的高点以后
[04:36] 可能会有新的趋势
[04:37] 不过在最近几周快速的进行拉回
[04:40] 就代表着如果油价没有跟着冲高
[04:43] 那公债殖利率也没有跟着冲高
[04:45] 那市场的通膨预期
[04:46] 当然就稍微下压一点
[04:48] 当然这不代表
[04:49] 赫姆在海峡已经全面开放
[04:50] 市场上还是会有
[04:52] 新一波的意外可能产生
[04:53] 至少我们看情绪层面
[04:56] 大家认为通膨不会失控
[04:58] 而且AI能够让至少废办
[05:00] 带动新一波的行情
[05:01] 而且我们也知道
[05:03] 这一波其实辉达
[05:04] 已经股价在高位进行拉回了
[05:06] 那大股票不涨
[05:07] 就让很多的中大型股的废办
[05:10] 因此而受惠
[05:11] 甚至我们过去所提过的
[05:13] 资金开始回流到
[05:14] 相对低基期的这些板块
[05:17] 举例来说
[05:18] 费办这一年涨幅已经160%了
[05:21] 今年涨已经涨了80%了
[05:23] 可是过去一整年
[05:24] 软体型的ETF IGV
[05:26] 它几乎是原地踏步
[05:28] 许多的基金经理人
[05:29] 和避险基金的持续卖超
[05:32] 基本都是奠定在
[05:33] 今年一到二月份
[05:35] 当时的AI软体恐慌
[05:37] 大家还记得吗
[05:37] 那个时候代理人AI
[05:38] 大家就想说
[05:39] 哇以后我就不用点开LINE
[05:41] 不用点开WhatsApp
[05:42] 里头的通讯记录
[05:44] 我只要对于我的装置来说话就可以了
[05:47] 因为这是代理型AI正在做的事情
[05:49] 那就跳过了原本的很多界面
[05:51] 结果最近IGP
[05:52] 价格正在非常显著的飞增
[05:55] 4月低点这样子反弹
[05:57] 涨幅也超过30%
[05:59] 最近重新站上了200日移动平均线
[06:01] 而且最近10个交易日的表现
[06:03] 甚至已经开始超越半导体股的反弹
[06:06] 目前市场对软铁股的放空部位
[06:09] 还很高
[06:09] 大概有过去6年来的最高水准
[06:12] 所以一旦做突破
[06:14] 就年限关卡快速做拉伸
[06:16] 假设这一次不是假突破的话
[06:18] 那就代表到
[06:19] 软铁股的嘎空行情就即将来临
[06:22] 那是否就意味着
[06:23] 市场就开始产生进一步的资金轮动
[06:26] 这个是反而最为健康的牛市
[06:28] 就是由先涨的带动后涨的
[06:30] 让大家能够均衡的受力
[06:32] 那其实我们也知道
[06:34] 只要挥达不涨
[06:35] 资金在其他股票就有持续轮动的机会
[06:38] 比如说在过去一段时间
[06:40] 主要往上攻的是超维
[06:42] 那辉达今年涨幅也不过18到20%
[06:46] 最近开始有比较显著的拉回
[06:48] 但如果连软体型ETF都开始上涨
[06:51] 就过去我们一二月提到的那个SaaS末日论
[06:55] 就是大家认为AI改变整个软体产业
[06:58] 所有软体业可能被迫受到冲击的这种想象
[07:01] 开始改观
[07:02] 大家相信只要你学会AI
[07:04] 软体业照样可以守住自己的护城河
[07:06] 那第一波就是轮动到低基期的AI国
[07:09] 但重点都是在AI里打转
[07:11] 非AI还是没有太大的收费
[07:13] 第二就回流到
[07:15] 非辉达以外的七巨头
[07:16] 我们举例来说
[07:18] 你看微软的部分
[07:19] 微软终于硬起来了
