[00:00] 投资朋友欢迎收听早晨财经速解读
[00:03] 现在是台北时间2026年6月22号礼拜一
[00:06] 早上8点31分
[00:07] 大家早上我是林浩
[00:08] 每天早上开会前半小时
[00:10] 我们在这边陪伴着各位一起解读国际财经新闻时事变化
[00:13] 礼拜五跟台股一样
[00:15] 没有股市是六月结
[00:16] 所以休市一天
[00:17] 不过我们回顾过去一周
[00:19] 没有股市涨幅
[00:21] 礼拜四当时标普白指数收涨1.08%
[00:24] 纳斯达克指数上涨1.9%
[00:27] 整体而言
[00:28] 虽然整个周的交易日算是缩短了
[00:32] 但美欧股市上礼拜
[00:33] 其实周涨幅还是很漂亮
[00:34] 标普周涨幅有0.9
[00:36] 道琼0.7
[00:38] 重点是纳指
[00:39] 周涨幅有2.4%
[00:40] 费办甚至单周上涨幅度7%
[00:44] 就连台积电ADR
[00:45] 都在礼拜四创下了历史新高
[00:47] 其实我们就看看
[00:48] 在今天在外资的系统
[00:50] 买盘带动底下
[00:52] 台积电距离现货创新高
[00:54] 到底有多远
[00:55] 那五万点是否会因此而到来呢
[00:57] 至少从整体美国股市的概况来看
[01:00] 估值仍然维持高档
[01:01] 可是内部的轮动
[01:02] 其实某种而言
[01:04] 已经出现了过去十几年来罕见的讯号
[01:07] 那就是七巨头在今年整体报酬率
[01:10] 大概就只有小幅上涨
[01:12] 甚至落后给标普白指数了
[01:14] 代表其他中大型股票
[01:16] 已经开始进行显著的资产轮动
[01:19] 其实除了2022年的熊市之外
[01:21] 七巨头基本上没有在上涨年份
[01:24] 输给标普白指数过
[01:25] 以前七巨头都是
[01:27] 带领着指数创新高的重要关键
[01:29] 那今年你有没有发现
[01:31] 台积电也是一样
[01:32] 台积电已经不是
[01:33] 台股创新高的主力来源
[01:35] 而来自于其他全职股
[01:37] 台积电今年甚至跑输给台股
[01:39] 这件事情都意味着
[01:40] 全球资产价格
[01:42] 随着各类型的缺货潮
[01:44] 开始产生轮动
[01:45] 市场领涨结构改变之后
[01:47] 美股的报酬
[01:48] 开始集中在其他中大型的科技股
[01:51] 那甚至往小型股
[01:53] 或者国际股市来开始扩散
[01:55] 值得大家观察
[01:56] 当然短期内大家比较聚焦的
[01:58] 还是这一次美伊的永久停火谈判
[02:01] 虽然现在讯息很混乱
[02:03] 一下说目前正在谈判
[02:05] 一下说谈判已经破裂了
[02:07] 但至少确认的事情是
[02:08] 美伊双方都在瑞士
[02:10] 尝试着谈定新一轮的协议
[02:13] 只是双方可能会在部分议题当中
[02:16] 形成歧见
[02:16] 核心议题当然包括伊朗核计划
[02:19] 和荷姆兹海峡的长期开放
[02:21] 那泛斯抵达瑞士之后
[02:23] 巴基斯坦和卡达是担任调解方
[02:26] 根据之前双方所签署的备忘录
[02:28] 美伊是拥有60天的谈判极限的
[02:31] 所以即便你说现在稍微谈不拢
[02:33] 休息一下
[02:34] 好像也在谈判议程之内
[02:37] 尤其这一次伊朗代表团的阵容
[02:39] 其实非常庞大
[02:40] 包括国会议长加利巴夫
[02:42] 外交部长阿勒嘎奇
[02:44] 以及央行总裁赫马提
[02:46] 那这也显示
[02:47] 德黑朗也算是非常高度重视
[02:49] 这一次的谈判结果
[02:50] 当然谈判前景你看前两天不是说突然不谈了吗
[02:54] 原因就来自于伊朗指控
[02:56] 以色列违反了黎巴嫩的停火协议
[02:58] 而且宣布再次关闭全球最重要的能运航道
[03:02] 赫姆兹海峡
[03:03] 不过随后美方的谈话已经表明
[03:06] 赫姆兹海峡没有封锁
[03:07] 目前基本上几乎是完全畅通的
