[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 这次马斯克旗下的SpaceX
[00:32] 创下美国股市史上最受瞩目的IPO之案之后
[00:36] 股价现在迅速反转
[00:38] 6月23号单日是重挫了16.4%
[00:41] 市值蒸发了4000亿美元
[00:43] 这么多的散户在车上压力一定很大
[00:46] 这也说明着行情内部的资产轮动
[00:49] 它一样会有适度对于当前合理估值的评价
[00:53] 不管是我们昨天所看到
[00:55] 市场上资金持续轮动到正在收支票的人
[00:59] 而并不是开支票的人
[01:01] 所以开支票的人
[01:02] 最近宣布要发债
[01:04] 宣布要投入更多的资本支出
[01:07] 你有没有发现
[01:07] Google股价反而受到
[01:09] 比较大的一个承压
[01:10] 还有七巨头
[01:11] 反而我们看到
[01:12] 持续在扩敞的半导体股
[01:14] 他们也是扩展
[01:15] 也是扩大自己的资本支出
[01:17] 但是市场的评价反而越来越高
[01:19] 等同于废办花钱
[01:21] 大家看好你
[01:22] 因为产能紧俏
[01:23] 但是如果是七巨头花钱
[01:25] 那你收得回来吗
[01:27] 市场上开始有不同的认知
[01:29] 尤其SpaceX最近在IPO以后
[01:32] 马上又开始发债了
[01:33] 市场上给予的总体评价又开始有所松动
[01:37] 从6月16号接近3兆美元的高点来做计算
[01:40] 短短几天内市值已经大幅缩水了
[01:43] 市场上针对高估值的科技公司态度开始转为保守
[01:46] SpaceX的挂牌价是135块
[01:49] 那现在从高点下跌下来
[01:51] 还没有碰到啦
[01:52] 不过也跌了三成左右了
[01:54] 说明着之前强劲的新股资金
[01:57] 已经开始慢慢的消化
[01:59] 好那对于高科技股
[02:00] 尤其现在利率也不算低
[02:02] 还是有一定的沉压
[02:04] 当然我们回过头看
[02:06] 其实今年大多数资产还是属于正报酬
[02:09] 科展在市涨幅最多的
[02:11] 有24.7%
[02:12] 其他像大宗资产涨幅有23%
[02:15] 纳斯达克指数今年涨幅有20%
[02:18] 而且七巨头大多数都跑输给纳指
[02:20] 小型股的部分涨幅有20.6%
[02:23] 今年算是中大型股和小型股的大爆发
[02:27] 价值股涨幅有15%
[02:28] 中型股13%
[02:30] 新兴市场股市
[02:31] 发达市场股市
[02:33] 平均在10%到13%左右
[02:34] 美国大型股涨幅大概就10%而已
[02:37] 其他像REITs
[02:39] 成长股
[02:39] 特别股
[02:41] 或者高收益债
[02:42] 涨幅大概2%到4%左右
[02:44] 那涨幅呢
[02:45] 大概接在0%到2%左右的
[02:47] 主要就是债券资产
[02:49] 像长天期国债
[02:50] 或者短天期国库券投资等级债
[02:53] 唯一收
[02:54] 应该讲唯二收叠的两大资产
[02:56] 一个就黄金
[02:57] 今年是叠了2.3%
[02:58] 今年年初报酬很漂亮
[03:00] 那第二个
[03:01] 又是你比特币
[03:03] 叠幅是28%
[03:04] 比特币过去十多年来
[03:06] 一直都被市场认为风险偏好的领先指标
[03:10] 基本上撇开这两年的行情
[03:12] 比特币基本跟纳斯达克指数高度联动
