[00:01] 投资编欢迎收听早晨财经速解读
[00:03] 现在是台北时间2026年6月25号礼拜四
[00:06] 早上8点31分
[00:08] 大家早上好我是谢霆昊
[00:09] 每天早上开盘前半小时
[00:10] 我们在这边陪伴着各位一起解读国际财经新闻事实变化
[00:13] 开始下雨了
[00:15] 山雨欲来风满楼
[00:18] 大风吹乱了你的秀发
[00:20] 豪雨湿润了公园的指向
[00:23] 但是我们仍然要坚强
[00:24] 没有股市在昨天算平盘
[00:26] 不过市场的流动性
[00:28] 在各项资产似乎开始有点收缩
[00:31] 最近像是黄金白银比特币的同步重挫
[00:34] 说明着目前流动性
[00:36] 其实并没有想象中还要来得宽裕
[00:38] 要让股市上涨
[00:40] 势必得让其他资产
[00:42] 受到一些资产价格的迈押
[00:44] 我们回过头看
[00:45] 今天我们从美光财报一路往下延伸
[00:48] 看一下市场内部资金的轮替
[00:50] 以及来看台商在本轮的AI行情当中
[00:54] 是否外资的狂卖
[00:56] 能够借由内资稳定的外汇收益
[00:59] 来做支撑呢
[01:00] 给投资朋友做一些思考
[01:01] 其实我们回过头看
[01:02] 从华许释出了
[01:04] 比较鹰派的抗通膨胸号之后
[01:06] 最近不管是油价
[01:08] 金价
[01:09] 银价
[01:09] 比特币都在重挫
[01:11] 黄金期货价格是一度跌破了
[01:13] 每盎司4000美元
[01:14] 那7个月以来的新低
[01:16] 白银跌到58.09块
[01:18] 这是7个月以来首次失守60块
[01:20] 比特币也跌破了6万美元的大关
[01:23] 那重点是油价也在跟着跌
[01:25] 好 现在就差股价还没有比较大的修正了
[01:28] 要不然等同于只剩下风险资产还在高位
[01:31] 事实上油价从高点这样子算下来
[01:34] 跌幅算最重的
[01:35] 跌幅已经高达四成了
[01:37] 基本上媲美比特币
[01:39] 其实这一次布兰特汉希德州原油
[01:42] 陆续跌破70美元每桶以后
[01:44] 国际海事组织已经表示
[01:46] 陆续收到安全保证
[01:48] 等同于现在数百艘在波斯湾的船
[01:51] 可以自由的离境
[01:52] 而阿联目前的原油出口
[01:54] 也已经恢复到战前85%的水准
[01:57] 所以虽然谈判还在持续
[01:59] 协议还没有做最终敲定
[02:01] 可是其实现在
[02:02] 荷姆治海峡已经完全自由畅通了
[02:05] 那当然油价回落的速度
[02:08] 川普看起来还不是很满意
[02:09] 在昨天随着美国和伊朗
[02:12] 逐步达成初步和平协议之后
[02:14] 油价由于回落的太慢
[02:16] 川普是要求开始调查石油业者
[02:19] 这油价这种跌幅不快吗
[02:21] 我觉得算是蛮快的
[02:22] 但川普很明显中期选举压力是越来越大了
[02:25] 在这样效果底下直接要求司法部来调查石油公司
[02:29] 是否存在价格超重或者哄抬价格的行为
[02:33] 其实如果我们从美国汽车协会
[02:35] 现在普通汽油价格每家轮来看
[02:38] 一个月前是4.53块
[02:40] 现在大概是3.93块
[02:43] 那川普很明显想要直接挑战回战前爆发的2.9块
[02:47] 那就等同于还有一块左右的距离要往下压
[02:51] 那当然现在原油价格和终端汽油价格
[02:55] 一直以来本来就是存在一些时间差的
[02:58] 从原油的开采到炼油到生产到运输
[03:01] 到加油站的销售
[03:03] 通常也至少需要数周才能够完全反映成本
[03:07] 那我们就看川普很明显是要推进这样的一个速度
[03:10] 那另外一个是受到利率预期影响的就是金价了
[03:13] 黄金已经走了三年多的一个大多头
[03:17] 难道在这个时间点要重新进入到熊市吗
[03:20] 市场的转折
[03:21] 这一波的卖压
[03:22] 主要还是来自于利率预期的变化
