[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 不过在肺瓣部分成分股仍然有显著的带动
[00:34] 在昨天肺瓣仍然是大涨收高
[00:36] 美光财报的财策大幅优于预期以后
[00:39] 股价也飙升了接近有16%
[00:41] 不过这次苹果却因为调涨Mac还有iPad产品的售价
[00:46] 股价是重出了6%
[00:48] 说明着即便价格有所调升
[00:51] 科技通膨有可能产生
[00:53] 但是市场上并不针对今年的3C电子产品
[00:56] 消费新电子有多高的预期
[00:59] 在这样效果底下
[01:00] 等同于市场上的资金
[01:02] 似乎还是完全锁定在废办
[01:04] 雨下整夜
[01:06] 我的废办溢出就像雨水
[01:09] 雨很大
[01:10] 大家记得带雨伞
[01:11] 但不管怎么说
[01:12] 航行走到这个地步
[01:13] 说明的市场上
[01:15] 还是有那么一丝丝精明
[01:17] 只愿意投资那些
[01:18] 立即马上就能够赚到钱的这些企业
[01:20] 我们看稍早之前
[01:22] IMO也就是联合国的国际海事组织
[01:25] 已经正式宣布
[01:26] 原本协助受困超过100天的船舶撤离计划
[01:30] 已经正式暂停
[01:31] 原因在于在几个小时之前
[01:33] 一艘刚通过海峡的货柜船
[01:36] 在阿曼湾遭到不明飞行物的攻击
[01:38] 伊朗革命卫队重申
[01:40] 所有通过荷姆斯海峡的船舶
[01:42] 你可以通过
[01:43] 但你必须事先跟伊朗的海军协商航线
[01:47] 以防误伤
[01:48] 根据之前美国和伊朗已经签署的停火协议
[01:52] 基本上不太可能在这个时间点
[01:54] 产生进一步的攻击
[01:56] 也就是说双方是认定
[01:59] 在谈判期间
[02:00] 船舶是可以自由的离开
[02:01] 所以我们后续要做一些细节观察
[02:03] 因为原油价格的提振效果
[02:05] 也不是很明显
[02:06] 说明大家也不把这件事情
[02:08] 当成一个多大的导火线
[02:10] 毕竟现在波斯湾的原油出口
[02:12] 已经开始逐步恢复
[02:14] 不然这个原油价格
[02:15] 昨天还是下跌了1.8%
[02:17] 现在这大概就在71块左右上下
[02:19] 甚至一度跌破7字头
[02:22] 现在也认为
[02:23] 目前油价下跌主要是反映供给的短期恢复
[02:27] 有没有代表长期的供需关系已经解除呢
[02:29] 那后续就要看
[02:30] 因为一方面这段时间我们知道
[02:33] 其实在中国市场原油需求已经做高强度的收缩
[02:37] 那么如果这是一个长久很久性的情况
[02:39] 就代表着未来供给恢复需求不一定回来
[02:43] 那如果全球的消费性电池或者零售销售持续疲惫的话
[02:48] 那么就算产出可以回到之前的水位
[02:51] 它只会造成原油价格下跌幅度持续加大
[02:54] 那美国能源部也表示
[02:56] 过去24个小时已经有2000万桶原油
[02:59] 共72艘邮轮通过了荷姆斯海峡
[03:02] 所以应该是能够对原油价格有进一步的抑制作用
[03:06] 当然我们回过头来看
[03:07] 现在像是VLCC
[03:10] 目前中东地区的邮轮租金价格
[03:13] 租金都是翻倍上涨
[03:14] 所以我们要看回档的幅度到底会有多大
[03:17] 因为日租金大概是10.6万美元
[03:20] 现在飙到19万
[03:22] 那部分超大型的原油运输船
[03:25] VLCC每天的收入高达47万美元
[03:28] 创下本轮危机期间以来最高水准
[03:31] 所以战争虽然刚结束
[03:33] 可是获利的高峰也才刚刚开始
[03:35] 那现在就要回过头来看一下
[03:37] 这些利润何时可以快速缩窄
[03:39] 可以进一步的降低中东市场的能源成本
[03:43] 毕竟现在从美国库兴原油
[03:46] 就是西德州WTI
[03:47] 原油期货最重要的交割中心
[03:49] 目前库存大概也是
[03:51] 14年以来的最低水准
[03:53] 而且还在下滑
[03:54] 说明虽然中东局势在缓和
[03:56] 不过你也没有看到那种
