[00:00] 投资本欢迎收听早晨财经速解读
[00:02] 现在是台北时间2026年6月29号礼拜一
[00:06] 早上8点31分
[00:07] 大家早上好我是薛婷昊
[00:09] 每天早上开办前半小时
[00:10] 我们在这边陪伴着各位一起解读国际财经新闻时事变化
[00:14] 一早我们来观察
[00:15] 没有股市在周五震荡收底
[00:18] 市场持续消化这一波AI题材的降温
[00:21] 不过回过头来看
[00:23] 到底本轮晶片股的重衰
[00:25] 纳斯达克指数连五黑之后
[00:27] 美股股市到底是在巨头层面开始出现松动
[00:31] 还是在整体指数层面
[00:33] 已经开始迎来了新一轮的系统性回挡
[00:35] 来跟投资朋友多做一些观察
[00:37] 首先我们看美股股市在礼拜五
[00:40] 道琼指数级还收涨0.5%
[00:42] 不过标普从周跌幅来看的话
[00:45] 已经跌了接近有2%左右
[00:47] 与此同时
[00:48] 纳斯达克指数周跌幅是4.5%
[00:51] 废办周跌
[00:52] 等我一下
[00:53] 我的影印机不知道为什么突然开始大叫
[00:55] 吓到我了
[00:56] 好我们看一下
[00:58] 没有股市的整体概况
[01:00] 应该没事了
[01:04] 又开始叫
[01:05] 我先把影音机关掉
[01:07] 不知道发生什么事情了
[01:10] 吓死我了
[01:12] 从来没有直播被吓到过
[01:14] 好那我们回过头来看
[01:15] 台北股市在上周创下48218点历史新高之后
[01:21] 连续四天的下跌
[01:23] 单周是大跌了1894点
[01:26] 失守了月限的关卡
[01:28] 那与此同时
[01:29] 去年11月份以来
[01:31] 我们看台北股市
[01:32] 通常在这种单日单周大跌
[01:35] 外资上周单周卖超是3312亿
[01:39] 期间
[01:39] 不好意思他又在大叫
[01:41] 我要想办法把它关掉
[01:43] 实在是非常恐怖
[01:46] 刚才可能不知道按到什么东西
[01:48] 好恐怖好恐怖
[01:50] 吓死我了
[01:51] 你看行情这么恐怖
[01:52] 终于被我关掉了
[01:53] 外周上一周单周大卖了3312亿以后
[01:57] 过去每一次都是V转
[01:59] 那这一次集结还会是买点吗
[02:02] 来跟投资朋友多做一些观察
[02:03] 我们知道在本波市场上
[02:06] 在礼拜五没有股市重挫的其中一个原因
[02:09] 来自于美伊之间的互轰
[02:11] 虽然在几个小时之前
[02:13] 双方看起来有进一步的和谈
[02:15] 双方互相退让
[02:16] 不过至少是引导市场波动的主要因子
[02:20] 这一次在6月17号
[02:22] 签署了荷姆兹海峡的停火协议之后
[02:24] 有没有可能再度破裂呢
[02:26] 荷姆兹海峡
[02:27] 我们过去跟投资朋友提过
[02:29] 本来其实就是一直打打弹弹
[02:31] 在60天的停火期间
[02:33] 甚至连互相交火
[02:35] 好像双方都是允许的
[02:36] 重点是观察资产价格的走向
[02:39] 我们看在超级邮轮运价的部分
[02:42] 在4天已经大跌了接近有44%
[02:45] 如果从部落地海交易所数据来看
[02:47] 一艘可以载运200万桶原油
[02:50] 往返沙乌丁阿拉伯到中国航行的超级邮轮
[02:53] 现在邮轮的日租金
[02:55] 上上礼拜是51.4万美元
[03:00] 上礼拜五只剩下28.7万
[03:02] 这四天跌了44%
[03:05] 这应该礼拜五也没有任何反弹的迹象
[03:08] 应该就说明着
[03:09] 和睦之海峡目前应该还是完全通行的情况
[03:12] 尤其美伊签署临时协议之后
[03:15] 已经约有7500万桶的原油
[03:17] 经过邮轮从波斯湾出口
[03:19] 整体出口量已经恢复到
[03:21] 战前的75%的水准
[03:23] 如果我们细节来看一下
[03:24] 船舶的实质通过数量
[03:26] 当然没有完全回到战前水准
[03:29] 可是呢
[03:30] 26年2月份平均每天71艘
[03:33] 现在呢
[03:34] 每天大概也有49到50艘左右
[03:37] 所以换句话说
[03:38] 就算没有完全恢复
[03:39] 也恢复了80% 90%左右
[03:43] 这是实质的具体运量
[03:45] 与此同时
