[00:00] 投资朋友欢迎收听早晨财经速解读
[00:02] 现在是台北时间2026年6月2号礼拜二
[00:06] 早上8点31分
[00:07] 大家早上好我是邓浩
[00:08] 每天早上开完前半小时
[00:10] 我们在这边陪伴着各位一起解读国际财经新闻时事变化
[00:13] 那先来跟投资朋友宣传一下
[00:16] 本周六6月6号晚上8点钟
[00:19] 就是我们财经号角第三季的听友会
[00:21] 那每个季度我们都会针对当前行情来做一些推演
[00:24] 也会针对过去一个季度的资产操作和行情判断来做检讨
[00:29] 直播呢
[00:30] 主要是分享一些市场动态
[00:31] 但大多数
[00:32] 我个人的实际观点
[00:33] 会在我们的会议系统
[00:34] 还有在听友会当中
[00:36] 来做一些分享
[00:37] 如果大家对我们的内容有兴趣
[00:38] 常听我们直播的话
[00:39] 欢迎也可以来到我们的网站
[00:41] 来下取订单
[00:42] 或者呢
[00:43] 参加我们的订阅系统
[00:44] 里头除了有一整年的
[00:45] 听友会的收听权
[00:47] 也会有我个人资产部位
[00:49] 周知的一些分享
[00:50] 也会有一些专题影片
[00:51] 还有宏观专业报告
[00:52] 那当然回过头看
[00:54] 这一次由辉达所带领的旋风
[00:56] 辉达股价
[00:57] 开始耶
[00:58] 极其之最
[00:59] 那是否意味着
[01:01] 第一
[01:01] 内部的资金又开始产生轮动
[01:03] 过去啊
[01:04] 是辉达股价稍微不涨之后
[01:06] 结果呢
[01:07] 各大半导体股啊
[01:08] 多点爆发
[01:09] 那现在
[01:10] 辉达涨回来
[01:11] 会把资金给收回来吗
[01:13] 还是他只是让指数
[01:14] 撑高到另外一大的位阶呢
[01:16] 我们看在昨天
[01:17] 辉达正式发表了
[01:19] RTX Spark超级晶片之后
[01:21] 整体股价涨幅是高达
[01:23] 接近6%
[01:24] 开始上弯了
[01:25] 这段时间
[01:26] 我们也知道
[01:27] 汇达股价其实已经回档算蛮大幅度了
[01:30] 虽然只是打到月线左右
[01:32] 可是毕竟这段时间
[01:33] 记忆体各大废办板块几乎是多点开花
[01:37] 所以现在废办是否有机会再创下历史新高
[01:41] 我们就要看汇达现在的股价回神
[01:44] 当然昨天三大指数也是创下历史新高
[01:47] 标普白指数涨0.26%
[01:49] 说在7599点
[01:50] 造穷上涨46点
[01:52] 纳指在昨天也一度突破了
[01:55] 市场上27000点大关之后
[01:58] 现在三大指数应该都创高
[02:01] 昨天反而是肺瓣在高位盘旋
[02:03] 就看辉达给不给力了
[02:04] 当然了
[02:05] 现在没有股市持续创下历史新高
[02:08] 市场针对AI泡沫的警告声浪
[02:10] 其实也没有停止
[02:11] 那我们过去提过
[02:12] 由于标普派指数
[02:13] 到目前年涨幅也不过12%
[02:16] 也没有到很极端
[02:18] 涨最多就是肺瓣而已
[02:19] 涨幅高达81%
[02:21] 所以就算费半未来出现一个比较大的市场回调
[02:24] 好像也可以理解
[02:25] 更何况出现的几率也不是想象中来的大
[02:28] 原因是因为费半今年的EPS上调幅度已经来到80%了
[02:33] 甚至我们看到很多的老AI
[02:35] 目前也是显著资金开始涌入
[02:38] 因为业绩几乎是翻了三倍到四倍
[02:41] 我们如果细看
[02:43] 现在Nokia上涨了200%在过去一年
[02:46] 戴尔上涨180%
[02:49] 其他我们看到像是黑莓上涨100%
[02:52] 联想80%
[02:54] 而很多老AI
[02:55] 包括台湾市场也是如此
[02:56] 在这一次成功点火
[02:58] 当然今年涨幅最为亮丽的板块
[03:01] 还是属于记忆体族群
[03:02] 整体涨幅已经高达136%
[03:05] 与此同时
[03:06] 标普白指数涨幅也不过15%左右
[03:09] 如果放大到宏观
[03:11] 几乎全球的涨幅都是围绕着半导体市场
[03:14] 刚才讲到
[03:15] 标普涨的其实并没有想象中来得多
[03:17] 今年也不过涨11%
[03:19] 可是韩国COSPI指数
[03:21] 目前涨幅是96%
[03:23] 费办涨幅74%
[03:25] 台股涨幅52%
[03:26] 日金涨幅27%
[03:28] 基本上能够跑赢标普白指数的
[03:31] 在今年全球市场
[03:32] 基本都是以科技半导体股
[03:35] 作为主轴的这些指数
[03:37] 反而输给标普白的
[03:38] 像是STI
[03:40] 新加坡海峡指数
[03:42] 道琼指数今年也不过涨6%
[03:44] 上证指数今年才涨2%
[03:46] 印度Sensec指数
[03:47] 甚至下跌12%
[03:49] 那印度股市这段时间
[03:51] 即便有一长段时间
[03:53] 受惠于美中贸易战的转单效果
[03:56] 但是如果你没有足够的贴近于AI
[03:58] 很抱歉
[03:59] 股价照样不给力
[04:01] 如果以两年涨幅来看的话
[04:03] 就更夸张了
[04:04] 韩国南韩市场的EWY
[04:07] 目前涨幅已经高达313%
[04:10] 就这两年指数翻了接近有三倍
