[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 是在上方盘旋一阵子
[00:31] 等待着本一笔的下滑
[00:33] 跟类似去年10月份
[00:35] AI永动机高点以后
[00:37] 轮流接棒
[00:38] 做一些适度的盘整休息
[00:41] 等下一个季度
[00:42] 再开始展现出亮丽的展示
[00:44] 还是说这一波直接要V转了呢
[00:47] 按照过去
[00:48] 不管是费办还是台股的经验
[00:49] 基本上触碰到预线
[00:51] 差不多买盘就会触发
[00:53] 那每一次都是V转
[00:55] 过去几周都是如此
[00:56] 这一次一样是吗
[00:57] 今天来跟投资朋友
[00:59] 多做一些探讨
[01:00] 事实上我们看到
[01:01] 美股股市在周一
[01:02] 整个波动其实很大
[01:03] 最后是全面收高
[01:05] 在科技股的强势反弹底下
[01:07] 阿发贝这一次正式加入了
[01:10] 道琼工业指数
[01:11] 受到市场的买盘协助推升
[01:13] 股价是大涨有5%
[01:14] 道琼指数上涨306点
[01:17] 0.59%
[01:18] 所在52,182点
[01:20] 纳斯达克指数上涨522点
[01:22] 2.07%
[01:24] 所在25,820点
[01:26] 标普上涨86点
[01:28] 1.18%
[01:30] 收在7440点
[01:31] 肺瓣的部分是大涨了506点
[01:35] 3.83%
[01:36] 收在13709点
[01:38] 看得出来
[01:38] 好像四大指数都有点在缠斗的感觉
[01:42] 基本作为一循着月经线上下持续的徘徊
[01:46] 肺瓣的部分是属于基期特别高
[01:48] 所以当日波幅波动也特别大
[01:50] 昨天SpaceX也大涨了7.06%
[01:53] 纳斯达克交易所正式宣布
[01:55] SpaceX将于7月7号正式纳入到纳斯达克100指数
[02:01] 哇 ETF的被动买盘真的要出现了
[02:04] 之前是标普延后了
[02:06] 延后到2027年7月份以后再说
[02:09] 结果纳斯就直接给它纳入了
[02:11] 哇那就代表着全球相关的ETF
[02:14] 就连台湾的ETF
[02:16] 被动的都要开始买入SpaceX这支股票
[02:19] 那台股也是如此
[02:20] 台股在周一是一扫上周五的重挫阴霾
[02:24] 这一次台积电的走扬
[02:25] 加上面板双虎的发威
[02:27] 买盘转进到无人机和升级族群以后
[02:30] 盘中昨天是一度大涨了900点
[02:32] 可是一样
[02:34] 有没有发现
[02:35] 好像这几次
[02:36] 从去年年底以来
[02:37] 基本都是直接V转比较多
[02:40] 只要碰触到
[02:41] 季线算是运气好了
[02:43] 通常是碰到月线
[02:45] 通常价格就会非常明显的拉升
[02:47] 昨天最终中场是上涨428点
[02:50] 那你说接下来的行情
[02:52] 到底是走V
[02:54] 还是两个V变W
[02:56] 还是就在高位持续盘旋
[02:57] 类似AI永动机
[02:59] 还是要做一个比较大的回调
[03:01] 市场上筹码
[03:02] 才能够算是清理干净
[03:04] 毕竟这一波好像洗融资洗杠杆
[03:07] 好像也洗不了多少
[03:08] 只能是曝险部位特别大的
[03:10] 才有机会被洗掉
[03:11] 要不然大部分
[03:12] 适度杠杆的投资人
[03:14] 基本上也很难在本波顺势的被洗掉
[03:17] 所以接下来到底是升V还是潜V
[03:20] 那我个人是偏好升V了
[03:23] 谁讨厌升V呢
[03:24] 我是说股市
[03:26] 就当然是希望能够有更大的回档
[03:28] 没买够
[03:29] 每个人都没买够
[03:30] 市场上大概是两种思维
[03:32] 因为其实七巨头到目前为止
[03:35] 整体卖压还是非常沉重
[03:37] 这说明着对于纳指而言
[03:39] 一次过高可能性不是特别大
[03:41] 它就分成两种情况
[03:43] 一个是费办和台股为主的硬体股
[03:45] 一次拉高
[03:46] 好像蛮符合惯性的
[03:47] 可是如果是纳斯达克指数的七巨头
[03:50] 昨天我们提到了
[03:51] 你的微软跌了三成
[03:53] Meta也跌了三成
[03:54] 你要让它顺势的价格
[03:56] 直接做好突破
[03:57] 看起来它都要一段时间
[03:59] 所以这一种卖压就导致了
[04:02] 外资的系统单
[04:03] 无法立即有效的快速回补
[04:05] 就是费办或者台股供高
[04:08] 靠自己
[04:08] 你要说因为外资回补
[04:11] 台股过高
[04:12] 有点难
[04:13] 上礼拜外资卖了3000亿
[04:15] 第二种
[04:16] 还是希望有一点V
[04:18] 或者说有升V的可能性
[04:20] 是因为对于市场比较健康
[04:21] 那本益比
[04:22] 其实现在台股也不算低
[04:24] 主要就是市场的买盘
[04:25] 透支预期过强
[04:27] 如果我们仔细观察
[04:28] 现在台湾和美国
[04:30] 应该算是全球本益比市场当中
[04:32] 算是偏高的
[04:33] 尤其我们从喜乐本益比来看
[04:35] 台湾已经到50倍了
[04:37] 这个比美国比日本
[04:38] 南韩欧洲都要来得高
[04:39] 我们的巴菲特指标也是如此
[04:41] 当然高估值也意味着
[04:43] 成长的潜力受到肯定
[04:45] 可是由于今年外资还是卖超
[04:47] 那也说明着
[04:48] 台湾人对于台湾的股票
[04:50] 非常具有潜力和信心
[04:52] 所以其实推高的倍数也比较高
[04:55] 那你适度的等下一个季度财报
[04:57] 月报陆续开出来
[04:58] 慢慢的本益比下滑
[05:00] 也是一种方式
[05:01] 那第三个
[05:02] 希望生V的原因是出于私心
[05:04] 因为还没买够
[05:06] 那希望价格有没有
[05:08] 更进一步回调的空间存在
[05:09] 这也是另外一种思维
[05:10] 可是不管怎么说
[05:11] 现在在整个AI市场当中
[05:14] 突然出了另外一道讯号
[05:16] 也就是市场的泡沫预估本益比的扩大
[05:19] 是什么呢
[05:20] 国家级的市场预估
[05:22] 谢谢台北第二大道
[05:24] 好阔绰
[05:26] 福居灭洋
[05:27] 谢谢你
[05:27] 很多人以为我们都是录播
[05:30] 我们在直播
[05:31] 我每次都直播
[05:32] 所以有时候为了要让内容顺畅的讲下去
[05:36] 有时候我是左眼看聊天室
[05:39] 右眼看着脚本
[05:42] 来讲述今天的内容
[05:44] 要不然其实大家讲的话
[05:45] 我都会看到
[05:45] 让我切画面就代表我在偷笑
[05:48] 但不管怎么说
[05:48] 我们要讲的事情是
[05:50] 随着韩国这一次的AI国家队计划
[05:52] 开始陆续推出以后
[05:54] 说明着市场上针对当前
[05:56] 政府在AI泡沫破灭之前的
[05:59] 推手推力来得越来越强
[06:01] 让大家更有信心
[06:02] AI泡沫破灭
[06:04] 等同于国家信用政策破灭
[06:06] 那等同于对于内部的民意支持度
[06:09] 产生重大影响
[06:10] 让大家有了更乐观的一个预期
[06:12] 我们知道美国现在的经济引擎
[06:14] 基本上是越来越依赖AI和负债
[06:17] 我们根据目前德银的报告
[06:19] 现在推动力大概两个来源
[06:21] 一个就是AI科技巨头
[06:23] ASL中心大举发债
[06:25] 所以导致了储蓄率的下滑
[06:26] 那我们用压缩民间的消费
[06:29] 来换取史诗级的投资抱枕
[06:31] 那如果更值得注意的事情是
[06:33] 全球的信贷卖充
[06:35] 已经从过去的中国转向美国
[06:37] 以前大部分大量去举债
[06:39] 做基础建设的都是中国市场
[06:41] 为什么
[06:42] 中国有很长一段时间的基建潮
[06:44] 但是过去一年
[06:46] 美国新增的信用贷款
[06:47] 占GDP高达2.6%
[06:49] 这等同于8000亿美元的信用扩张
[06:52] 而且70%以上都跟AI有关
[06:55] 换句话说
[06:55] 现在不只是美国股市依赖AI
[06:57] 美国经济本身也越来越依赖
[07:00] AI所带动的投资和融资活动
[07:02] 好 这是第一件事情
[07:04] 那第二件事情呢
[07:05] 就是我们聊到
[07:06] 在政府的介入底下
[07:07] 它似乎为AI的基建潮
[07:10] 做了一定的程度保证
[07:12] 因为现在AI泡沫要破灭
[07:15] 等同于政府政策的信用破灭
[07:17] 那政府当然更不愿意让它倒了
[07:19] 那我是不是可以给它更高的泡沫呢
[07:21] 这就是双重角度
[07:23] 那尤其这一波AI基建潮一路走下来
[07:26] 原本需要数十万克的GPU
[07:28] 然后到变成HBM高频宽记忆体
[07:31] 到Coworks先进封装
[07:32] 到更多的AI伺服器
[07:34] 超大型的资料中心
[07:36] 接着我们要光纤网路
[07:37] 我们要变压器
[07:38] 整个电网甚至都得要扩建
[07:40] 从OpenAI到Google到Meta到微软
[07:43] 每一家科技巨头都投了数千亿美元的KPX
[07:47] 背后带动了就是整个供应链的同步扩张
[07:49] 所以从一个点一个点一个点大家发现需求越来越高就外溢出去把终端产品的需求全部给抢光这也是本轮涨价槽的主要来源本来只想要一个拥抱
[08:01] 不小心多了一个吻
[08:02] 后来发现需要一张床
[08:04] 一套房
[08:06] 离婚的时候才想起
[08:08] 原来我只是想要一个拥抱
[08:09] 现在AI就是这样子
[08:11] 原本就以为就缺GPU
[08:13] 缺一些算力而已
[08:14] 结果现在什么都在缺
[08:16] 所以我们昨天才讲到
[08:17] 这一波由AI所引发的晶片电架
[08:20] 科技产品的涨价潮
[08:22] 是目前市场上最为头疼的
[08:24] 那当然对于国家而言
[08:26] 目的就是要把资源投入到这一块
[08:28] 可是对他来说
[08:29] 成本上升过快
[08:31] 也会对于选民的反制造成压力
[08:33] 我们把今年主要商品
[08:35] 拿来放在一起比较
[08:36] 最令人意外的
[08:37] 不是石油天然气或者黄金
[08:39] 是半导体
[08:40] 我们把AI基础建设
[08:42] 持续带动状态底下
[08:43] 拿来跟过往大宗商品的价格
[08:46] 来做对照
[08:46] 会发现今年涨价最多的
[08:49] 根本就不是大众资产
[08:50] 基本就是半导体
[08:52] 我们要庆幸
[08:53] 虽然半导体的原材料
[08:54] 是计算在大众资产当中
[08:57] 像矽
[08:57] 可是半导体本身
[09:00] 它并没有特别纳入一个
[09:01] 权重是大众资产
[09:03] 所以它并没有造成
[09:05] 原物料价格的失控
[09:06] 可是半导体的涨价潮
[09:07] 它却逐步的外溢到上游
[09:10] 所以我们看到
[09:11] 这一波随着涨价潮
[09:13] 持续的发酵
[09:14] 美国消费者和企业
[09:15] 在昨天也正式采取了法律行动
[09:17] 在昨天全球三大的低润制造商
[09:20] 三星 海力士 还有美光
[09:23] 遭到美国加州北区联邦地方法院
[09:26] 集体诉讼
[09:27] 告他什么
[09:28] 垄断
[09:29] 反垄断法的操控
[09:31] 因为他们预估了
[09:33] 这三家这种涨幅
[09:35] 美光毛利率84%
[09:37] 毛利率比台积电还高
[09:40] 跟抢银行差不多
[09:41] 涉嫌联手限制产能
[09:43] 超重价格 垄断市场
[09:45] 记忆体末日的始作俑者
[09:47] 被美国法院告了
[09:49] 不是被美国
[09:50] 被美国联邦地方法院检察官集体诉讼
[09:54] 所以我猜
[09:56] 背后捅刀的应该是苹果
[09:58] 苹果最近跟美光好像关系不是很好
[10:00] 苹果又涨价槽
[10:02] 但是污点证人会不会出现
[10:05] 如果有那肯定也不是美光
[10:07] 当你还不知不觉当中
[10:10] 你可能已经被韩国人出卖了
[10:12] 这是台商几十年来的痛苦经验
[10:14] 但可以说明的这波涨价潮压力有多大
[10:17] 连法律争议都已经逐步开始了
[10:20] 所以在后续的状态底下
[10:21] 市场上就会更进一步聚焦
[10:23] 国家力量的介入
[10:25] 是否可以让泡沫的征服进一步的扩大
[10:27] 保持在高本益比区间
[10:29] 我们以前阵子股价创高的Intel来说
[10:32] 事实上目前川普政府针对国家队的扶植
[10:36] 也没有任何停止的迹象
[10:37] 这一次其新任执行长在成立五上任以后
[10:40] 就展开了大规模的改革
[10:41] 二五年三月份他接手的时候
[10:44] 市值是大概就1000亿美元
[10:47] 甚至不到
[10:48] 到现在6月份已经来到7000亿美元
[10:51] 增加超过5000亿美元以上
[10:53] 股价从25块直接翻了400%以上
[10:58] 这件事情就意味着
[10:59] 我们看到一方面
[11:01] 当然是过去两年
[11:02] Intel的确也是大财源
[11:04] 从原本是3万名的员工
[11:07] 到现在只增加8.5万名
[11:09] 那更重要的事情是
[11:10] Intel在成立我上任以后
[11:13] 其实有非常明显这种国家资本主义的影子
[11:16] 就他一方面获得了美国政府
[11:18] 金片法案还有安全计划当中
[11:21] 89亿美元的资金支持
[11:23] 他也吸引了软银和辉达
[11:25] 分别投资20亿和50亿
[11:27] 而且展开AI和X86的平台整合合作
[11:30] 与此同时对于科技巨头
[11:33] 尤其是川普的亲友们
[11:34] 扩大他的投资完全没有拒绝
[11:37] 这一次刚才聊到美国政府的入股
[11:41] 然后软银然后辉达
[11:42] 一系列的投资结果
[11:44] 都让国家形象
[11:46] 拿来跟intel的个股股价
[11:48] 作为高度连接
[11:49] 那这种美国的国家资本主义
[11:51] 从政策干预到市场进一步
[11:54] 反映国家政策方向的估值体系
[11:57] 它都形成现在市场上
[11:59] 进一步想象空间
[12:00] 其实spacex也是如此
[12:02] 你看我们学生时
[12:04] 不是难免要去稍微阅读一下马克思吗
[12:08] 毕业以后
[12:09] 现在发现大家读的都是马斯克
[12:10] 像有一本书叫做马斯克主义
[12:12] 大家可以去看一下
[12:14] 或者我记得好像有翻中文版相关的书籍
[12:17] 那里头其实就提到
[12:18] 马斯克之于21世纪资本主义
[12:21] 就好像福特当年之于20世纪的工业化一样
[12:24] 什么意思呢
[12:25] 就是马斯克的企业
[12:28] 它是一种透过科技和制度
[12:30] 维持统治的社会当中
[12:31] 相信科技不只是创新工具
[12:34] 更是建立控制力和安全感的核心
[12:36] 就马斯克主义的真正核心
[12:39] 其实就是国家共生的资本主义
[12:41] 你看SpaceX
[12:41] 它可以帮美国政府
[12:43] 帮NASA去发射火箭
[12:45] 它可以去运送太空人
[12:47] Starlink可以直接影响到乌克兰战争
[12:50] 让马斯克成为少数
[12:51] 能够左右地缘政治的企业家
[12:53] 包括他的特斯拉
[12:56] 还有他的机器人
[12:57] 更像是一场大型的网络信仰活动
[12:59] 它必须要由政府的法规的松绑
[13:02] 当时他在川普政府的政府效率部
[13:05] 互相合作以后
[13:06] 都是让他的企业
[13:08] 能够顺势走出的关键
[13:09] 所以就让大家意识到
[13:10] 一个新的时代
[13:11] 国家力量其实功不可没
[13:13] 一定要有进一步的法规松绑
[13:15] 或者统一性的法规监管统合
[13:17] 才能够创造更进一步的社会
[13:19] 好所以这个时候
[13:20] 我们就要回过头来看一下
[13:21] 昨天市场上最为关注的
[13:23] 那就是南韩的记忆体大扩敞计划
[13:26] 这一次由南韩政府
[13:28] 正式启动由三星
