[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 费办昨天居然一个晚上指数上涨了5.9%
[00:33] 台积电ADR上涨了2.5%
[00:36] 那这种高强度的资金轮动
[00:38] 每一次费办涨高了
[00:40] 其他资金开始补涨
[00:41] 费办又开始冲
[00:43] 到底会冲高到什么样的地步呢
[00:45] 至少在昨天大型科技股层面
[00:48] Google母公司Alphabet宣布大规模的募资计划
[00:52] 反而重挫了4%
[00:53] 看起来市场上也不是全面性的乐观
[00:56] 他知道卖产值的钱会不断的进来
[00:58] 钱一直进来
[00:59] 即便股价未在高位
[01:01] 本益比可能也会很快下滑
[01:03] 所以看起来涨最多
[01:05] 也许没有这么贵
[01:06] 可是对于那些科技云端业者而言
[01:09] 看起来很多投资人
[01:10] 还是抱持着相对谨慎的
[01:11] 一直在看你花这么多钱
[01:14] Google你要怎么收回来
[01:15] 这一次居然因为大规模的募资计划
[01:17] 决定要撒更多的钱
[01:19] 投资更多资金
[01:21] 结果反而股价受到显著的沉压
[01:23] 那我们就要来具体观察
[01:24] 市场的心理情绪到底表现为何
[01:27] 其实我们回过头来看
[01:28] 在今年整体五月份最为赚钱的资产
[01:31] 基本就是韩国股市
[01:33] 费办或者部分晶片股
[01:35] 整体赢家层面来看
[01:37] 因为南韩股市在今年涨幅已经超过100%了
[01:40] 那费办其实五月份涨幅也不少
[01:43] 涨了22%
[01:44] 今年累计涨幅到目前是85%
[01:47] 费办对于南韩股市现在是极其之最
[01:50] 南韩股市五月份是上涨28%
[01:53] 现在已经来到30%
[01:54] 今年涨幅来到105%
[01:56] 是全球最为强劲的市场
[01:58] 那回过头来说
[02:00] 当然你说今年
[02:01] 有没有资产相对走皮呢
[02:03] 如果是从五月份来看
[02:04] 像是原油的走皮
[02:06] 黄金的走皮
[02:07] 还有比特币
[02:08] 哇比特币快要破底了
[02:09] 是五月份的主要数价
[02:11] 不过呢
[02:12] 总归来看
[02:13] 今年收叠的资产
[02:15] 仍然就只有比特币而已
[02:16] 大多数的资产
[02:17] 只是在今年上半年的高位
[02:20] 开始做适度回调
[02:21] 那资金全部灌到科技硬体股
[02:24] 或者部分科技软体股当中
[02:25] 很多人会想过去9周
[02:28] 因为半导体几乎进入了疯狂模式
[02:31] 上礼拜肺瓣也涨不多
[02:33] 涨4.7
[02:34] 4.7好像从指数来看也不算少
[02:37] 但是这是真的涨不多
[02:38] 在过去几周当中涨的算少了
[02:40] 应该是第三差的表现在过去9周
[02:43] 目前半导体股的走势
[02:45] 很多人会想
[02:46] 那是不是跟1999年越来越像了
[02:49] 就算不是99年
[02:50] 也类似于98年
[02:51] 的确
[02:52] 如果你把96年到03年的走势
[02:55] 拿来跟目前2022年
[02:57] 确实GBT发表以来的走势
[02:59] 是有一点异曲同工之妙
[03:00] 但是时间尺度历史会重复
[03:04] 或者说历史不会重复
[03:05] 但它会有一点押韵的感觉
[03:07] 到底时间尺度会多久呢
[03:09] 过去我们看到的光纤骨的大量铺设
[03:12] 它是为了要新建基地台
[03:14] 而新建基地台
[03:15] 是为了让每个人有一台
