[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 一方面川普再度启动了301的关税战
[00:33] 他的目的是什么
[00:34] 是在中期选举以前
[00:36] 取得更多美国的落地投资
[00:38] 另外一方面
[00:39] 这一次川普在本周期稍早也表示了
[00:43] 美双方目前的谈判正在快速推进当中
[00:46] 甚至他对纽约时报的采访当中直接坦言
[00:49] 现在对于伊朗的施压可能会持续下去
[00:54] 那短期内虽然谈判可能性并不高
[00:57] 但是呢如果谈成结果
[00:58] 一定是一个极度亮丽的协议
[01:00] 那不管如何
[01:02] 市场上如何来看待
[01:03] 在中期选举以前
[01:04] 当前他所采取的动作
[01:06] 与此同时
[01:07] 我们知道台湾市场
[01:09] 现在股市房市
[01:11] 不能讲房市
[01:12] 股市车市
[01:13] 在5月份也开始复苏了
[01:15] 那是否代表着
[01:16] 内生经济开始做显著拉动
[01:18] 而内部政府的所得再分配
[01:20] 也陆续正在重启当中
[01:22] 今天就把整个宏观政策
[01:24] 以及围观的经济
[01:25] 来做一些梳理
[01:26] 给投资朋友做一些思考
[01:27] 当然投资朋友
[01:28] 有兴趣的话
[01:28] 本周六我们晚上八点钟
[01:31] 会有财经号角第三季的线上听友会
[01:33] 如果大家有兴趣可以来参与
[01:35] 或者参加我们的年订阅系统
[01:37] 里头除了未来一整年的听友会的收听权
[01:39] 也有一些宏观专业报告
[01:41] 或者一些专题影片相关课程
[01:43] 欢迎大家来参加
[01:44] 好我们先回过头看
[01:45] 美国是在昨天是稍微有所修正
[01:48] 道琼指数下挫620点
[01:50] 标普下滑0.7%
[01:52] 不过费办还在创高
[01:54] 那这次大家最关注的
[01:55] 当然就是川普重新启动他的保护主义政策
[01:58] 这一次有美国贸易代表署USTR的最新提案
[02:02] 美国会针对全球60个国家
[02:04] 课征10%的新关税
[02:06] 其中包含台湾、欧盟、英国、加拿大和墨西哥
[02:09] 那其他有些更高
[02:11] 像中国、日本、南韩、印度
[02:13] 会面临12.5%左右的税率
[02:15] 那这次理由不是因为贸易逆差
[02:17] 是因为强迫劳动
[02:19] 那就很明显这是要钱的借口
[02:21] 那美方的调查认为
[02:22] 60个经济体都能够为能有效的禁止
[02:26] 或者执行强迫的劳动产品进口规范
[02:29] 所以造成不公平的竞争
[02:31] 你们都压迫劳动
[02:33] 压迫劳工
[02:34] 好像也有点道理
[02:36] 东亚市场在就业指南层面
[02:39] 的确不像是欧美这么开放
[02:40] 可是问题是你也针对欧盟课征关税
[02:43] 你对欧盟课的关税还比台湾高
[02:45] 所以这很明显说明
[02:47] 川普一定对这些国家有所图
[02:49] 我们后续再来做一些追踪
[02:51] 另外一大方面是美国众议院
[02:53] 这一次正式以215票赞成
[02:56] 208票反对
[02:58] 通过民主党所主导的战争权力决议
[03:01] 很明显共和党有人跑票了
[03:04] 这一项权力法案要求川普政府
[03:06] 如果要对伊朗继续采取军事行动的话
[03:09] 一定绝对要取得国会授权
[03:12] 这一次就是有四名的共和党议员倒戈
[03:15] 他们完蛋了
[03:16] 到时候川普一定会事后找人
[03:18] 事后众议院今年
[03:20] 其实已经有三次
[03:22] 尝试的要推动类似的决议
[03:24] 三月份其实就表决过这个法案
[03:27] 当时是以212票
[03:29] 对219票失败
[03:30] 没人跑票
[03:31] 4月仅仅差一票
[03:33] 到现在已经
[03:34] 共和党内部开始明显松动
[03:37] 所以这就说明
[03:38] 当然了
[03:39] 这项决议
[03:40] 感觉是象征意义
[03:42] 因为你最后还是要参议院的通过
[03:44] 参议院看起来
[03:44] 只要共和党能够守住
[03:46] 看起来没有太大问题
[03:47] 但重点在于
[03:48] 整个政治讯号
[03:50] 从美伊战争228爆发以来
[03:52] 军事目前的支出估计
[03:54] 已经突破1000亿美元
[03:56] 那区域的封锁和军事布局
[03:58] 到目前为止
[03:59] 其实也没有完全停止
[04:00] 川普只是没有采取
[04:01] 更进一步的大规模设施的轰炸
[04:03] 但不代表没有继续投注军力
[04:06] 这也就意味着
[04:07] 美方在伊朗战事层面
[04:09] 就连共和党议员都开始有所松动
[04:11] 形成川普政府的压力
[04:13] 那当然
[04:13] 现在美伊谈判的卡关
[04:15] 目前主要取决于四大分歧
[04:17] 第一个是赫姆斯海峡的控制权
[04:20] 伊朗希望能够保留对于这些
[04:22] 全球最重要的石油运输航道的影响力
