[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 直播呢主要是跟大家分享一下市场动态
[00:33] 但大多数的操作和个人实际观点
[00:35] 会在我们的会员系统当中来做分享
[00:37] 短期波动永远都会变来变去
[00:39] 但长期一定会依循着某些规律
[00:42] 我们在听友会当中
[00:43] 就是去寻找这样的规律
[00:44] 如果大家收听我们直播
[00:46] 对于我们的内容有兴趣的话
[00:47] 欢迎可以来到我们的网站来下取订单
[00:50] 那礼拜六就可以来线上收听了
[00:53] 那当然会有一定的收听权
[00:54] 如果是参加我们年订阅制的会员朋友们
[00:58] 会有一整年的听友会的收听权
[01:00] 就慢慢看
[01:00] 然后还有一些个人资产周知的变化
[01:03] 一些赚题影片
[01:04] 我们过去讲过
[01:05] 赚钱不费力
[01:07] 费力不赚钱
[01:08] 只有钱生钱来的是最快的
[01:11] 但是人性又是追求少劳多得
[01:14] 你感觉好像存下钱来去做投资
[01:17] 去做理财
[01:18] 但有时候我们要知道
[01:19] 如果你没有一个好的财商的理财思维
[01:23] 有时候投资到底是消费
[01:25] 还是投机就很难说了
[01:27] 巴菲特说过
[01:28] 最伟大的投资
[01:29] 其实就是投资自己
[01:30] 所以也不要每天刷抖音
[01:33] 玩游戏
[01:33] 不要惦记一些虚荣的事情
[01:35] 要先学会投资自己
[01:37] 什么是投资自己呢
[01:38] 多听财经号讲
[01:40] 多读书
[01:41] 多阅读
[01:41] 让自己的知识不断的更新
[01:43] 能力更新
[01:44] 理念更新
[01:45] 了解AI
[01:46] 如果已经有了钱
[01:47] 更要学会如何保住自己的财富
[01:49] 远离那些肮脏的人脉
[01:51] 肮脏的圈子
[01:52] 多跟家人在一起
[01:54] 财富自然就能够来
[01:55] 钱是有吸引力的
[01:57] 但是不是要你被他吸引
[01:59] 是你做对事情之后
[02:01] 钱就会被你给吸过来
[02:03] 很多人是这样子
[02:04] 穷的时候
[02:05] 以为有钱了就会快乐
[02:07] 等到真的有钱了才发现
[02:09] 有钱岂止是快乐
[02:10] 那简直是醉生梦死
[02:12] 还可以找coco
[02:13] 所以不管怎么说
[02:15] 你要了解说
[02:16] 这个财富的自然逻辑
[02:17] 会发现
[02:18] 它其实一直在一个激化的过程
[02:20] 但你只要选对一边
[02:22] 理念对了
[02:23] 观念对了
[02:24] 也许跑着就越来越快了
[02:26] 好回过头说
[02:26] 虽然昨天晶片股遭受到比较大沉压
[02:29] 这一次博通财报引爆了晶片股的获利了结
[02:32] 可是道琼指数昨天还在冲下历史新高
[02:36] 事实上道琼昨天上涨了870点
[02:38] 1.73%
[02:39] 历史新高的过程当中
[02:41] 说明着市场似乎有一点轮动的味道
[02:44] 其实你不要看说纳指昨天终于开始收黑
[02:47] 晶片股终于开始有卖压了
[02:49] 这一波纳斯达克指数
[02:50] 已经逼近到长期趋势线的上缘
[02:53] 在过去45个交易日里头
[02:56] 纳斯达克指数出现了8根的下跌K棒
[03:00] 而且大多数跌幅都非常轻微
[03:02] 要跌都跌不太动
[03:03] 要涨都涨一大根
[03:04] 所以从技术角度来看
[03:06] 本来所有的指数看起来都有点过热了
[03:09] 所以即便一次5% 10%的修正
[03:12] 搞不好都打不到一个月之前
[03:14] 所以现在才会有这样的一个共识
[03:17] 逢跌就有比较大的买入量
[03:19] 台北股市特别明显
[03:20] 昨天外资卖了700多亿
[03:22] 内资看起来接盘意愿还是很强
[03:25] 你说这种周期的轮动
[03:27] 是每一个都轮到吗
[03:28] 看起来是像台股层面
[03:30] 几乎每个族群都会轮到过
[03:33] 那美欧股市AI板块也是如此
[03:35] 可是像比特币就不是如此了
[03:37] 比特币这一次价格是一路回落到6万美元附近
[03:41] 这是本轮牛市最重要的支撑区之一
[03:43] 一旦跌破压力就大了
[03:46] 那代表川普行情所带动的比特币加密货币行情正式破灭
[03:51] 当时川普在2024年年底当选以后
[03:56] 加密货币就采取了新一波的显著喷发行情
[03:59] 结果到目前为止
[04:01] 一个大型头部已经逐步形成
[04:03] 事实上我们回过头说
[04:04] 今年表现最亮丽的也不是QQQ
[04:07] 表现最亮丽的也不是废办
[04:09] 而大部分都是集中在新兴市场
[04:12] 如果我们观察新市场的ETF叫做EEM
[04:15] 许多投资人的脑中
[04:17] 对于新市场我们的印象可能还是原物料
[04:20] 搞能源的
[04:21] 人口很多
[04:22] 银行或者传统制造业
[04:23] 可是根据iShare的资料
[04:26] 目前台积电
[04:27] 三星和海力士
[04:28] 腾讯阿里巴巴
[04:29] 五家企业占EEM的权重
[04:31] 已经高达35%
[04:33] 其中光是台积电
[04:34] 三星和海力士
[04:35] 三家半导体巨头
[04:37] 就占了接近有30%
[04:38] 所以现在投资新兴市场
[04:40] 你会大幅的跑赢美国股市
[04:42] 各大指数除了废办
[04:44] 所以本质上
[04:45] 它现在越来越像一档
[04:46] 亚洲AI ETF了
[04:49] 如果我们来做比较
[04:50] 甚至从过去一整年绩效来看
[04:52] 新兴市场还跑赢了废办了
[04:54] 这就很神奇
[04:55] 我投资废办就是为了要对赌晶片
[04:58] 原来我投资新兴市场
[05:00] 可以跑得比晶片股
[05:01] 涨幅还要来得更多
[05:02] 更有趣的事情是
[05:03] 我们过去以来
[05:05] 一直在讨论的七巨头
[05:07] 结果今年的涨幅
[05:09] 是严重落后给新兴市场
[05:12] 就七巨头不只跑输给晶片股
[05:15] 它连新兴市场也跑输
[05:16] 那为什么
[05:16] 因为新兴市场就是晶片股
[05:18] 看起来是如此
[05:19] 背后原因就是AI基础的大爆发
[05:21] 先进制成的台积电
[05:23] 记忆体龙口的海力士
[05:25] 还有整个亚洲供应链
[05:26] 导致全球在过去18个月的资金
[05:29] 正在大幅的流向台湾和韩国市场
[05:32] 所以这就导致
[05:33] 从EEM这个指标来看
[05:35] 好像有点过了
[05:36] 但是七巨头某种程度而言
[05:38] 好像就非常的具有吸引力
[05:41] 所以我个人的看法是
[05:42] 你不要觉得现在所有股票都很贵
[05:44] 有些晶片股短期乖离真的拉很高
[05:47] 可是它的本益比也没有失真
[05:48] 毕竟它的EPS正在追上来
[05:50] 那相反的
[05:51] 对于这些MAG七巨头来说
[05:53] 这一次股票的创高
[05:55] 七家有六家股价都没有跟着创高
[05:58] 那其实就意味着
[06:00] 他们的基期大概也高不到哪里去
[06:02] 大家回过头看本益比就知道了
[06:04] 所以现在整个新兴市场
[06:06] 已经完全长成台韩的形状
[06:08] 第三名的中国市占率只增加20%
[06:11] 所以现在的新兴市场最大权重
[06:13] 几乎就是由台韩来做主导
[06:15] 第一名就是台积电
[06:17] 投资比例高达14%
[06:19] 第二名是三星6%
[06:20] 第三名是海力士4%
[06:22] 第四名的腾讯就只剩下3%
[06:25] 阿里巴巴只剩下2%
[06:26] 这件事情就意味着
[06:28] 全球的资金就在这个AI池当中
[06:31] 持续的做打赚
[06:32] 当然了
[06:33] 有时候你要了解
[06:34] 内部的竞争也会导致资金的轮替
[06:36] 不是说只轮动到低级企的
[06:39] 而是看谁最具有基本面的带动
[06:41] 所以导致本益比的积极下滑
[06:43] 我们举例来说
[06:44] 这一次博通受到比较大的市场承压
[06:47] 其中一个根本的关键原因是什么
[06:49] 就是这次不只是联发科说
[06:51] 自己获得了ASIC的晶片
[06:53] Google也跟联发科有进一步的合作
[06:57] 回答也跟联发科合作
[06:58] 这个都大家讲了
[06:59] 发布对自己有利的讯息
[07:01] 这一次是连博通都首度公开承认
[07:04] 的确博通的客户正在寻找第二供应链
[07:07] 现在就是去找联发科
[07:09] 所以联发科的势头
[07:10] 就完全把博通给盖过去了
[07:12] Google未来会拥有更多多元化的晶片供应
[07:15] 以前我们也经常听到台积电转单的新闻
[07:19] 但最后转两个月又转回台积电
[07:21] 要不然就是台积电产量已经满了
[07:23] 他没办法只好去找三星找其他厂商
[07:25] 所以这就说明着Google不再愿意把所有的AI晶片的设计案交给单一供应商
[07:31] 消息曝光之后
[07:32] 博通股价就重挫了15%
[07:34] 联发科开始进军了国际的AISX设计
[07:38] 那我们知道
[07:39] 这就等同于成长无限
[07:42] 因为是刚进入这条市场
[07:44] 2026年才进入
[07:45] 未来如果逐步的蚕食
[07:47] 这些美系的IC设计上游
[07:49] 那个商机到底会有多大呢
[07:51] 联发哥目前有多个超大型的云端商
[07:54] 专案正在洽谈当中
[07:55] 执行长蔡立行甚至把2027年
[07:58] 全球资料中心的SX市场
[08:00] 规模从700亿上调到800亿美元
[08:02] 而且设定10到15%的市占率
[08:05] 在两年前
[08:07] 市占率是零
[08:08] 现在要在两年内达到10%到15%的市占
[08:12] 光是存量竞争就可以赚很多钱了另外一个就是台积电的股东会目前好消息是持续性的释放我们唯一的观察重点是因为台积电今年是少数
[08:23] 没有跑赢大盘的圈子股
[08:26] 今年大部分圈子股
[08:27] 前面十名大多数都是跑赢大盘
[08:29] 除了少数三家
[08:30] 一个是台积电
[08:31] 然后鸿海广达
[08:32] 不过鸿海广达
[08:33] 最近涨幅也拉得蛮高的
[08:35] 反正是台积电
[08:36] 当时创高以后
[08:39] 盘整时间就稍微有了一段时间
[08:41] 那跟美国股市的回答有点像
[08:42] 回答也看起来越来越有那种稳盘的作用
[08:46] 那这次股东会嘛
[08:47] 因为过去法说我们已经知道
[08:49] 今年营收的预估成长会超过30%
[08:52] 这个是公司数周之前上调之后的目标
[08:55] 那当然在股东会当中就有非常多的问题
[08:57] 值得我们做更进一步的思考
[08:59] 来看一下魏董的回应
[09:01] 那魏哲嘉是表示
[09:02] 这次很多人会聊到
[09:04] 为什么在这个时间点进行员工的分红
[09:06] 原因就来自于
[09:08] 台积电对员工的照顾是不遗余力的
[09:10] 这次想要在分红制度上来做改变
[09:12] 台积电现在市值占台股接近有40%
[09:16] 公司和员工的个人总缴税额大概是25%
[09:21] 所以整个公司位于台湾社会
[09:23] 贡献了相当的资源
[09:24] 那魏哲嘉也指出很多人误解台湾
[09:26] 就说好像台积电用了很多便宜的台湾的电
[09:31] 所以但其实第一
[09:34] 它缴的电费是比
[09:36] 因为它是用电大户
[09:37] 是比一般民众来的高的
[09:38] 第二是台积电用电量
[09:39] 大概占全台湾市10%
[09:41] 每一度电的电费都是最高的
[09:44] 相当于也是减轻了民生的用电负担
[09:47] 这是第一层解释
[09:48] 第二层就是很多人
[09:49] 现在把南韩的企业
[09:50] 拿来跟台积电对比
[09:51] 人家发那么多
[09:52] 你怎么这样
[09:53] 他说因为低人公司
[09:55] 常常五年当中
[09:56] 有四年是亏损的
[09:57] 可是我们每一年都发
[09:58] 所以我们每一年发起来
[10:00] 加起来可能比人家三星
[10:01] 或者SK海内是
[10:02] 一次发的还来得多
[10:03] 而且人家只发给半导体部门
[10:05] 人家公司这么大
[10:06] 只有一点点人拿到钱
[10:08] 我们是所有公司人都有拿到钱
[10:10] 大家来做一些回应
[10:11] 他也表示说台积电薪资水平的衡量
[10:14] 过去三年的员工分红
[10:16] 每一年都有超过30%
[10:18] 今年也是超过30%
[10:19] 过去台积电还有两次的结构性的调薪
[10:22] 一次性的加薪20%
[10:24] 都是为了响应政府应该提升
[10:26] 台湾薪资水准的一个策略
[10:28] 所以目前来看
[10:29] 整体而言
[10:30] 这是他给予员工薪资的回应
[10:32] 另外一大方面
[10:33] 是关于三奈米制程何时要涨价
[10:35] 你看人家三星
[10:37] 那意思啊
[10:38] 那随便涨涨200% 300%
[10:40] 我们为什么都不涨价呢
[10:42] 我们不是已经独断了吗
[10:43] 那台积电这一次魏哲嘉也特别提到了
[10:46] 三奈米的涨价
[10:47] 或者说
[10:48] 他不会依循着三星跟SK海力士
[10:52] 跟客户的互动习惯
[10:54] 习惯套用在台湾身上
[10:55] 原因很简单
[10:56] 我们的客户是我们长久的客户
[10:59] 我们不会去敲诈他
[11:00] 我们不会乱涨价
[11:02] 某种程度在酸记忆体
[11:03] 他的意思就是
[11:04] 我们不会看别人涨价
[11:06] 我们就跟着涨
[11:06] 不会像那记忆体公司那样
[11:08] 那不可长久了
[11:09] 这是它的原话
[11:10] 所以这件事情就说明了
[11:11] 台积电为了要维护跟客户的关系
[11:15] 涨价是非常克制的
[11:17] 所以我们看到
[11:18] 毛利率等同于在未来
[11:20] 如果是逐步涨价的话
[11:21] 还有持续走高的空间
[11:23] 当然台积电的先进制程的布局
[11:25] 也非常清楚
[11:25] 真正的产能会在27年到28年左右
[11:28] 我们看到N2
[11:29] 大概在25年26年
[11:31] 大概是个月5万片的铺路期
[11:33] 到27年就会上升到6.5万片
[11:36] 28年会维持在5.5万片的高档
[11:38] 那这说明了
[11:40] 其实量产的主战场
[11:41] 基本上在今年下半年已经开达了
[11:43] 再来就资本支出的问题
[11:45] 这有人问说
[11:46] 现在的资本支出
[11:48] 会不会被继续的往上投
[11:49] 那当然
[11:50] 这个为这家的看法是
[11:52] 我都不确定
[11:52] 现在是不是高原期
[11:53] 有没有继续成长空间
[11:55] 看起来好像很高了
[11:56] 但其实看起来
[11:57] 在未来几年当中
[11:59] 不管是客户
[12:00] 还是客户的客户
[12:01] 给予的市场评估
[12:02] 都让台积电
[12:03] 有继续扩敞的可能性
[12:04] 台阶过去提到
[12:05] 因为先进制程
[12:06] 大概要30%在美国生产
[12:08] 那么魏哲嘉今天指出说
[12:10] 两奈米产能当中
[12:11] 30%在美国生产
[12:13] 不是所有产能在美国生产
[12:16] 不是所有的30%
[12:17] 是只有两奈米的30%
[12:20] 那原因很简单
[12:21] 他说海外的建厂环境
[12:22] 还是困难太多了
[12:23] 现在他在Arizona的厂房
[12:25] 的建制过程当中
[12:26] 他就有提到
[12:27] 当地的建筑工人都不够
[12:29] 他还要从德州
[12:30] 去找建筑工人过去
[12:32] 那现在德州也要盖一堆厂
[12:33] 所以德州现在当地也缺建筑工人
[12:35] 所以他也必须承认说
[12:37] 那个压力商
[12:37] 包括有比较严格的空污排放限制
[12:40] 还有水啊
[12:41] 电啊
[12:41] 种种问题啊
[12:42] 也不是台积电做不到
[12:44] 是说大家都知道这个情况
[12:45] 所以时间可能会拖得稍微久一点
[12:48] 但不管如何
[12:48] 资本支出今年达到560亿美元
[12:51] 应该不会有太大的问题
[12:53] 那这个比例也不用调高
[12:54] 因为如果按照资本支出的上升
[12:57] 大概每年基本上
[12:59] 还是以大概30%到40%的速度上行
[13:02] 可是我们知道
[13:03] 这个营收或者获利
[13:05] 它是远远高于资本支出上行的速度
[13:07] 这就说明目前台积电的资本支出
[13:10] 上升速度是慢于公司的获利速度的
[13:13] 那原因是什么
[13:14] 原因就是因为跟对手已经逐步拉开了距离
[13:16] 好多人送了礼物
[13:18] 真是阔绰
[13:20] 我发现最近一直有人在送礼物
[13:22] 大家节制一点
[13:23] 到时候等我睡公园
[13:25] 你也要送我礼物
[13:26] 送会计也OK
[13:27] 感谢投资朋友的帮助
[13:30] 很多人是请小编喝咖啡的
[13:32] 他以前有时候会请我喝City咖啡
[13:35] 他现在请我喝星巴克
[13:37] 就跟吃布丁不舔钙是一样的
[13:41] 吃蛋卷不吃屑屑是一样的
[13:43] 财富效应正在慢慢的膨胀
[13:44] 不过这个财富效应
[13:46] 是没有反映在台积电的资本支出身上
[13:48] 他资本支出看起来扩张的条件
[13:50] 还是非常节制
[13:51] 所以赚钱的速度远远大于他投资的速度
[13:54] 原因就是因为跟对手拉开距离了
[13:56] 不用那么急着投了
[13:58] 以前是因为跟三星
[13:59] 还在7奈米10奈米
[14:01] 有纠结期
[14:02] 资本支出一定增速要够快
[14:04] 那现在呢
[14:05] 其实不用那么急了
[14:06] 因为对手已经追不上了
[14:08] 那人家问他
[14:09] 那个Intel跟马斯克的Terra Fab
[14:11] 他的竞争该怎么办呢
[14:13] 人家也要建晶圆厂
[14:14] 那CC位的看法是很明显
[14:16] 那怎么办呢
[14:17] 那就努力一直赢他们
[14:18] 那当然了
[14:20] 也不会说完全的唱衰他们
[14:22] 说没有可能
[14:23] 但其实马斯克
[14:24] 自建晶片帝国这件事情
[14:26] 所需要的技术协作
[14:27] 其实是非常多元的
[14:29] 需要大量厂商的参与
[14:31] 光靠自企以及Intel
[14:33] 其实是有点难度的
[14:34] 这是大家拥有的共识
[14:36] 毕竟在两奈米的推进
[14:38] 和制程的切换过程当中
[14:39] 目前台积电仍然占据了
[14:41] 相当主导性的地位
[14:43] 我们事实上回过头看
[14:44] 台积电在过去的
[14:46] 先进制程的节点
[14:47] 领先至少有10年了
[14:48] 看起来15年
[14:49] Intel在技术上一直是领先的
[14:52] 特别是22奈米
[14:53] 和14奈米的节点上
[14:54] 表现还是很优异
[14:55] 但是进入到10奈米的时候
[14:57] 英特尔就遭受了技术的瓶颈
[14:59] 开发延档
[15:00] 那台积电就趁势的超车
[15:02] 技术主导权就是在
[15:04] 14年15年左右正式的一手
[15:06] 那从18年开始
[15:08] 台积电的领先就开始拉大
[15:09] 率先生产7奈米5奈米3奈米
[15:12] 现在往2奈米1.8奈米
[15:14] 英特尔的技术落后
[15:15] 大概从10奈米就一路落后到现在
[15:17] 所以这个领先
[15:19] 你也不要觉得是昙花一现
[15:20] 也不过是疫情以后
[15:22] 现在领先时间至少已经有10年以上了
[15:24] 那这个距离看起来还在拉开当中
[15:27] 那当然了
[15:27] 我们看到很多人说
[15:29] 这一次台积电
[15:30] 真正能够获得在AI龙井当中的极大获利
[15:34] 是不是跟过去的节制建厂是有关的
[15:38] 就是说之前我们看知名的基金经理人
[15:40] Gavin Baker
[15:41] 他其实就提到
[15:42] 说AI之所以不像是网络泡沫破灭的这么快
[15:45] 要归功于台积电
[15:47] 有一群70岁有经验
[15:49] 而且固执的老人
[15:50] 频频踩刹车
[15:52] 他的意思就是台积电的扩产
[15:53] 很谨慎
[15:54] 不乱扩产的
[15:56] 那这就导致了
[15:58] 现在永远属于稀缺的
[15:59] 算力无法过剩
[16:01] 晶片不够
[16:02] 记忆体不够
[16:02] 所有亚洲的企业货都不够
[16:04] 因为已经过去好几轮的扩存周期
[16:06] 都被你们伤害过了
[16:08] 我已经不愿意再扩厂了
[16:09] 结果现在真的AI基建到爆发了
[16:11] 结果所有厂区都供不应求
[16:13] 那CTV当然有幽默的说
[16:16] 说这的确我们是70岁是没错
[16:18] 但是有没有故意要踩刹车
[16:20] 这就不一定了
[16:21] 他说台湾现在有台积电
[16:23] 十几个工地都在盖
[16:24] 全台工人也不够
[16:26] 我们自己也没料到
[16:27] 现在盖的房子的成本
[16:29] 钢筋的成本都垫高了
[16:30] 所以也不要再抱怨了其实大家都没有意料到AI会有这样的一个荣景其实我们回过头看维持家过去不管是股东会还是法所会有没有发现其实过去几个季度
[16:41] 也没有讲什么具体的差别
[16:43] 基本面就是不错
[16:45] 那你发现
[16:46] 我们好像也不用去估它涨跌
[16:48] 你已经知道它两年之后的股价
[16:50] 它的EPS在哪里了
[16:51] 你只剩下寻找介入的点位和机会而已
[16:54] 很多投资人
[16:55] 每天都在猜下一季的财报
[16:57] 猜下一次的法所
[16:59] 下个月的股价会涨还是跌
[17:01] 但真正重要的讯息
[17:02] 其实没那么复杂
[17:03] 你回过头看
[17:04] 魏董过去几年的股东会和法术
[17:08] 那核心内容就没有变
[17:09] 先进制程持续领先
[17:11] AI的需求持续增加
[17:12] 资本支出持续扩张
[17:14] 毛利率维持高档
[17:15] 核心对手依旧赶不上
[17:17] 当一家公司每个季度
[17:19] 都在重复同样的叙事过程
[17:21] 而且数字还不断兑现的时候
[17:23] 投资人真正该思考的
[17:25] 往往就不是去预测明天的涨跌
[17:27] 而是判断这家企业
[17:29] 五年十年后
[17:30] 会不会比现在来得更强
[17:32] 所以你不要每天
[17:33] 在想说下一个季度
[17:36] 或者说明天
[17:38] 后天下个月的涨底
[17:40] 你基本上要了解的事情是
[17:42] 如果他讲的话
[17:43] 一直都没有改变
[17:44] 他讲的话
[17:45] 一直都没有什么差别的话
[17:46] 那你其实只是在寻找
[17:48] 介入的位阶而已
[17:49] 这给投资朋友做一些思考
[17:51] 之前看那个晚上
[17:53] 太太突然问先生
[17:55] 如果我又胖
[17:56] 脾气又差
[17:58] 整天碎碎念
[17:59] 还很爱管东管西
[18:01] 你还会爱我吗
[18:02] 先生沉默了几秒
[18:04] 看了一下太太
[18:06] 太太很急
[18:07] 你说啊你说啊
[18:09] 先生说
[18:10] 你说的跟现在有什么差别
[18:12] 警察先生这就是事发经过
[18:15] 所以如果他讲的
[18:16] 根本就没有差别
[18:17] 那么股价短期的波动
[18:19] 你就会发现
[18:20] 就是市场情绪而已
[18:21] 而并不是企业价值的改变
[18:23] 所以其实你回过头看
[18:25] 他讲的跟过去几个季度
[18:26] 真的没有什么差别
[18:27] 有时候听了会有点腻
[18:28] 可是你就发现
[18:29] 因为正由于他讲的没有差别
[18:31] 你根本就没有必要
[18:33] 去根据财报法说的变化
[18:35] 来大幅调节自己的部位
[18:36] 你一直都是在寻找介入点而已
[18:38] 我们看一下稍早前他的说法
[18:41] 第一个是这波的资本投入周期
[18:43] 预期至少还会持续多久
[18:44] 第二个是资本支出的高原期
[18:46] 预期会落在什么时候
[18:47] 然后第三个是管理层
[18:49] 预期在看到什么样的
[18:50] 特定的市场讯号
[18:51] 还有产业的指标之后
[18:52] 会果断的降低资本支出
[18:55] 好 谢谢
[18:55] 陈股东
[18:57] 您问了好几个很难回答的问题
[19:00] 我如果知道哪时候是高原期
[19:02] 我有更好的决策跟投资
[19:06] 我们来讲
[19:07] 我们对我们的客户
[19:09] 给我们的预测
[19:11] 跟我们客户的客户给我们的预测
[19:13] 我们对未来几年有相当的信心
[19:16] 台积公司的成长会一直往上成长
[19:19] 所以请你看我们的资本支出
[19:22] 我在法说会讲了
[19:24] 第一季的時候說是會到520億美金到560億美金
[19:30] 然後再來我們又開始講說會比較偏向於560億美金
[19:35] 表示出我們的信心來 也就是說會成長
[19:38] 至於陳股東你說高原期 預期落在哪時候
