[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 结果我们陆续迎来史上第一大跌点
[00:33] 第二大跌点
[00:34] 第一大涨点
[00:35] 第一大跌点
[00:36] 所以行情走到现在
[00:38] 能够经历这几年行情的人
[00:40] 实在是很厉害
[00:41] 所以大家要清楚知道
[00:43] 既然我们已经经历过这么多
[00:45] 也不要一天的涨跌
[00:46] 就让你改变自己的投资信仰
[00:48] 我们很清楚知道
[00:50] 这一次在美国五月份非农业数据公布之后
[00:53] 所造成的美债殖利率飙升
[00:55] 对于市场的获利了结慢压有多大
[00:58] 不过呢
[00:58] 公债殖利率它也没有创高
[01:00] 到底它是一个逢高获利了结的借口
[01:03] 还是说
[01:04] 接下来即将迎来一场市场的修正段呢
[01:07] 今天来跟投资朋友多做一些观察
[01:09] 科技股这一次成为了卖压的重灾区
[01:12] 肺斑在礼拜五崩跌了10.2%
[01:14] 纳指崩跌4.2%
[01:16] 道琼跌幅反而不大1.3%
[01:19] 其实上礼拜我们看到单周跌幅
[01:21] 纳斯达克跌4.7
[01:23] 它仍然处于高乖离区间的适度回调
[01:26] 那当然回过头说
[01:27] 礼拜五当时的夜盘
[01:29] 一度达到跌停
[01:31] 跌到4500两
[01:32] 22点
[01:33] 那现在大家就会关注
[01:34] 因为本波
[01:35] 我们看过去几个月
[01:36] 市场的直压借贷意愿不断提高
[01:39] 虽然我们跟投资朋友分享过
[01:40] 我们对于杠杆的态度
[01:42] 不过四代同堂的高杠杆循环底下
[01:45] 就要看在本周
[01:46] 是否会有一系列的停损效果
[01:49] 当然要往反方向来想
[01:51] 可是你觉得持有现股的投资人不多吗
[01:55] 不要看借钱的人很多
[01:56] 不借钱的人也很多
[01:57] 那这些不借钱的人
[01:59] 号称台北股市第四法人
[02:01] 散户大军
[02:02] 基本上逢跌必买
[02:04] 那我们就看一下
[02:05] 国家队肯定是在场外待命的
[02:08] 但是这个逢跌买盘
[02:10] 到底会不会在今天
[02:11] 留下一个下影线呢
[02:13] 值得大家多多一些观察
[02:14] 毕竟在几分钟之前
[02:17] 我们看韩国股市的部分
[02:18] 韩国股市其实已经涨四倍了
[02:20] 那刚才已经熔断了
[02:21] 杀这一点好像也还好嘛
[02:24] 尤其日本股市跌幅
[02:25] 也没有想象中
[02:26] 还要来得重
