[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 上礼拜五本来中错4%
[00:31] 这一次收红大概0.8%
[00:34] 那我们就看本轮的回调
[00:36] 到底是类似于去年10月份
[00:38] 当时是AI永动机高点
[00:40] 瞬间价格回调以后
[00:42] 大家就做了一个
[00:43] 接近有半年左右的头部
[00:45] 或者说半年左右的盘整期之后
[00:47] 叙事待发
[00:49] 等到下个季度的财报季公布之后
[00:51] 再上攻
[00:52] 还是说现在只是刚开始
[00:54] 回调仍然能够持续
[00:56] 不管如何
[00:57] 我们过去已经针对
[00:58] 本轮美国股市的回调
[01:00] 从本一笔角度而言
[01:01] 做了实质的定价
[01:03] 那就是整体基本面
[01:04] 还在显著的上行
[01:06] 很多人会拿来跟2022年
[01:08] 当时的高强度升息
[01:10] 来做直接性的对比
[01:11] 但是的确
[01:12] 本轮虽然现在的市场卖压
[01:15] 还是来自于利率预期的升高
[01:17] 不过目前第一
[01:19] 升息水位由于利率水准
[01:21] 还是相对高
[01:21] 它没有像2022年暴利升息的
[01:24] 这种态势或者意图
[01:26] 第二件事情是
[01:28] 2022年当时是有严重库存过剩问题
[01:31] 那现在我们都知道
[01:33] 任何一间半导体库
[01:35] 几乎没有太多库存可以做消耗
[01:37] 原因很简单
[01:38] 当前市况AI已经把整个产能给吸走了
[01:42] 所以2022年是标准的库存过剩
[01:44] 原因是因为2021年
[01:46] 我们囤太多PC囤太多手机了
[01:48] 关在家里每个人都要买一台
[01:50] 那现在基本面还在上行的情况底下
[01:53] 始终会把它当成一种中期毁掉
[01:55] 那当然了有些人说
[01:57] 还涨急跌是牛市
[02:00] 急涨缓跌是熊市
[02:02] 那现在这种急涨急跌是什么
[02:05] 在听会再跟大家开玩笑
[02:07] 不行人事
[02:08] 所以这种行情
[02:10] 有些人说叫做猴市
[02:11] 而就是说市场的不对称性
[02:14] 共识预期的显著脱钩
[02:15] 也造就市场行情的波动率
[02:18] 短期内放大许多
[02:20] 那可能长期趋势
[02:21] 我们都知道终点在哪里
[02:22] 可是还是很多人会死在波动
[02:24] 台北股市在昨天一度中挫
[02:27] 接近3000点
[02:28] 不过呢
[02:29] 最后跌点只有1568点
[02:32] 算是守住43000了
[02:33] 事实上昨天
[02:34] 电子权值股
[02:35] 虽然市场卖压相对沉重
[02:37] 但整体卖压并没有想象中
[02:40] 如礼拜五夜盘来了如此显著
[02:43] 就连融资余额
[02:44] 这一次下滑幅度也不过156亿
[02:48] 是有减啦
[02:49] 但也没有想象中还要来得多
[02:51] 这件事情其实也就意味着
[02:53] 市场上你说清理筹码
[02:56] 清理的干净吗
[02:57] 感觉好像也没什么人断头
[03:00] 昨天真的是裤子都脱了
[03:02] 来这一出
[03:03] 但不管如何
[03:04] 至少有乖离回党的条件
[03:06] 以盘代典也是一种乖离回调
[03:08] 但行情走到现在
[03:10] 华尔街针对AI的估值
[03:12] 的确是否来得更加严谨
[03:13] 答案是的
[03:14] 目前给予高盛的看法是
[03:17] 高盛在昨天所出的报告
[03:19] 其实很明显是代表着市场
[03:22] 正在寻找下一个接棒者了
[03:24] 我们过去一段时间
[03:25] 对于AI交易进行高度集中的预期
[03:28] 那从博通的财报
[03:30] 不如最乐观的预期
[03:32] 到南韩的AI股开始暴跌
[03:34] 到美国强劲的就业数据
[03:36] 来推升升息预期
[03:38] 让市场可能意识到了
[03:39] AI的相关资产
[03:41] 持仓其实已经相对拥挤了
[03:43] 那的确很多高Beta
[03:45] 高波动科技股
[03:46] 已经出现过去五年来
[03:48] 最剧烈的单日跌幅
[03:50] 或者单日涨幅
[03:51] 但更重要的事情是
[03:52] 整体市场来看
[03:54] 市场针对利率上行
[03:56] 对于纳斯达克指数
[03:57] 是否会形成长期的抑制效果
[04:00] 就产生了拖接
[04:01] 你像高盛的看法就不一定认同
[04:03] 如果利率维持在这么高档
[04:05] 总有一天一定会压到科技股的估值
[04:07] 因为在98年99年
[04:09] 在网络泡沫末期的时候
[04:11] 当时市场完全沉浸在新科技的革命狂潮当中
[04:15] 即便利率上升
[04:16] 我们看到基本上科技股的买盘还是不断的推升
[04:20] 那现在纳斯达克的年化涨幅
[04:22] 如果是从去年六月到现在
[04:24] 涨幅大概45%
[04:26] 即便美债殖利率
[04:27] 还有利率预期升高的可能性
[04:29] 市场总会有一股预期
[04:31] 那就是反正我的AI成长速度
