[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 这个上周五台股没有开盘之后
[00:32] 本周第一是否会有顺势的补涨行情
[00:35] 毕竟在上礼拜五
[00:37] 我们看到美国股市和日韩股市
[00:39] 也是相对强劲
[00:40] 整体涨幅平均来看也有接近1%
[00:43] 那另外一方面
[00:44] 标普白指数现在距离历史的高点
[00:47] 也不过就是咫尺之遥了
[00:48] 礼拜五当时南韩的记忆体大厂
[00:51] SK海力士在美国首日挂牌的表现
[00:55] 也非常亮丽
[00:55] 涨了13%
[00:57] 那是否意味着
[00:58] 能够顺势的本轮行情
[01:00] 一路传导回亚洲股市呢
[01:02] 值得大家多做一些观察
[01:03] 当然有些人说
[01:04] 可是现在在六日
[01:06] 好像现在油价的推升
[01:08] 又让市场上同时开始面临
[01:10] 新一轮财报季的压力
[01:12] 还有通膨的双重考验
[01:13] 毕竟这一次伊朗革命卫队
[01:15] 在攻击一艘通过荷姆兹海峡
[01:18] 塞浦勒斯奇的货柜轮之后
[01:20] 宣布荷姆兹海峡无限期又关闭了
[01:23] 禁止所有的船舶来通行
[01:25] 不过呢又过了几个小时
[01:27] 川普和美国中央司令部又发文强调
[01:30] 荷姆兹海峡目前是维持全面开放
[01:33] 所以到底现在是处于什么样的情况呢
[01:36] 毕竟美军在周末的确已经展开了本周第三波的空袭
[01:41] 出动了战机无人机和军舰
[01:43] 攻击了140多个伊朗的军事目标
[01:45] 那原油价格目前也上涨到73到74块左右
[01:49] 虽然距离历史高点还有很长一段路要走
[01:52] 不过也让市场担心
[01:54] 是否会迎来进一步的利率预期的压制呢
[01:58] 毕竟现在刚好又是财报季
[02:00] 财报季搭的重点会除了从资本支出来观察以外
[02:04] 也会从货币政策的环境
[02:05] 来看待这些公司它发行投资等题材的空间
[02:10] 飘普500指数现在第二季的获利
[02:12] 其实年增幅还有24%左右的预估
[02:14] 欧洲Stock600指数预估获利成长也有12%
[02:18] 亚太区域就很漂亮了
[02:20] 成长预估是39%
[02:22] 几乎被日韩给带上去
[02:24] 那如此高强度的获利基本面
[02:26] 是不是已经可以阻挡
[02:28] 任何通膨就额复燃的可能性呢
[02:31] 毕竟我们虽然知道市场上
[02:33] 还是有人会相对谨慎
[02:34] 不过大多数的相对谨慎的操作者
[02:37] 或者一些基金经理人
[02:39] 大部分都是看待以估值回调的角度
[02:42] 很少人认为现在系统性泡沫破灭了
[02:45] 就算是大麦空
[02:47] Michael Berry
[02:48] 他基本上
[02:49] 他在放空美光的过程当中
[02:51] 他本身他还买进了PayPal
[02:53] 或者一些房地美房利美相关股票
[02:56] 说明他好像也不算是全面性的系统性看空
[03:00] 他只是针对单一产业认为有估值过高的风险
[03:03] 所以在这样的效果体下
[03:04] 我们就要回过头看
[03:06] 华尔街为什么几乎已经没有人看空了
[03:08] 至少那种史诗级崩盘泡沫破灭的这种构想
[03:12] 好像已经不复存在了
