[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 那主要也来自于半导体类股目前的市场沉压
[00:34] 我们也知道昨天韩国股市的熔断情况
[00:37] 晶片股在美国股市受到的市场卖压也相当沉重
[00:41] 像是Sendix的部分在昨天是下跌了14%
[00:44] 安某跌8%
[00:46] 英特尔跌6%
[00:47] 希杰跌6%
[00:48] 威腾跌5%
[00:49] 印财跌4%
[00:51] 其他像是超微 爱斯姆尔 博通 辉达
[00:54] 整体跌幅也大概是3-4%
[00:57] 台积电ADR昨天是下跌接近3%
[01:00] 那韩国股市在昨天也是暴跌接近9%
[01:03] 熔断了两次
[01:04] 那最值得观察的就是
[01:06] 强制平仓潮已经正式出现
[01:08] 也就是韩国股市开始洗杠杆了
[01:11] 信用杠杆陷入了负向循环
[01:13] 从高点这样子跌下来
[01:14] 因为SK海力士是一天跌15%
[01:16] 从高点这样跌已经跌三成到四成了
[01:19] 你想想看如果他是正二的ETF
[01:22] 那要跌多少呢
[01:23] 当然我们知道他是反映的是单日跌幅
[01:26] 可是如果是用简单换算来看的话
[01:29] 100块现在搞不好只剩下2、30块了
[01:32] 这种如此高强度的市场跌幅
[01:35] 杠杆将会清洗得非常干净
[01:37] 毕竟韩国股市的大盘已经媲美台股的个股了
[01:41] 在这样的效果底下
[01:42] 我们要如何看待
[01:43] 现在是一股新筹码的清洗之后
[01:47] 买点到了吗
[01:48] 海峡的封锁是否代表有一天又会打开呢
[01:51] 是不是让市场上充满的投资机会
[01:54] 而台股现在还在高位震荡
[01:57] 到底是台股有补贴的可能性
[01:59] 还是本轮的韩国股市已经修正的差不多了呢
[02:03] 对突然想到今天7月14号
[02:05] 是银色情人节
[02:07] 另一半不赔你没关系
[02:11] 股票会赔
[02:12] 所以我们看到行情走到这一地步
[02:15] 我们从宏观面到微观面来做更进一步的留意
[02:18] 首先看的是川普这一次重启封锁伊朗之后市场的态势
[02:23] 的确我们看到美军这一次预计对于伊朗港口和延安的封锁行动
[02:28] 已经正式开始
[02:29] 也限制伊朗船只以及相关客户的进出
[02:32] 不过目前只要你愿意通过荷姆兹海峡
[02:36] 美军都不会做阻拦你
[02:37] 但是你要自己承担有可能被伊朗集成的风险
