[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 支持下去的鼓励
[00:31] 走到现在
[00:32] 我们直播这么多年了
[00:33] 都是大家一点一点的鼓励
[00:35] 支撑我们到现在的
[00:37] 当然我们要回过头来看
[00:38] 在现在行情的变化当中
[00:41] 我们知道市场波动持续加大
[00:43] SK海力士才在上周五
[00:45] 遭受到持续性的市场卖压
[00:47] 在本周波动继续飙大
[00:49] ADR价格在昨天居然飙涨了27%
[00:52] 但是IBM股价却崩跌了25%
[00:56] 所以市场内部轮动还在持续
[00:58] 我们也知道
[00:58] 韩国股市的确这一波
[01:00] 是引发了试图的断头潮
[01:02] 不管是记忆体股
[01:03] 还是韩国股市的散户
[01:05] 这个股民的
[01:07] 或者我们看到足球市场也是
[01:09] 爆冷
[01:10] 所以我们看到
[01:12] 全世界资产价格的显著波动
[01:14] 都会走到这一步
[01:16] 让大家有更高的波动率的预期
[01:18] 也就是以后5% 10%
[01:21] 还算是回调吗
[01:22] 还是它只是单日的正常波动
[01:24] 熔断真的有很意外吗
[01:26] 偶尔熔断一下也很正常吗
[01:27] 所以我们要回过头来看
[01:29] 现在对于美国股市的提振效果
[01:31] 来自于几大方向
[01:32] 一个就是风水轮流转
[01:35] 不只是股市波动很大
[01:36] 川普的政策波动也是如此
[01:39] 这一次我们看到
[01:40] 川普已经正式宣布撤回前一天
[01:43] 才提出的荷姆兹海峡20%消费
[01:46] 或者我们想说通行补偿费的计划
[01:49] 改成以促使波斯湾国家
[01:52] 对美国大规模的贸易和投资协议
[01:54] 作为替代方案
[01:55] 他把海峡当冰箱
[01:57] 开开关关的
[01:58] 他也表示说
[01:59] 未来会由中东盟友增加对美国的投资
[02:02] 而非经由荷姆兹海峡的货船直接来收费
[02:05] 当然他也没有透露出现在投资的金额和参与国家
[02:09] 搞不好最后也不会有国家做更进一步的表态
[02:12] 但至少消息公布之后
[02:13] 对原油价格产生了一定程度的抑制效果
[02:16] 大概又回到七字头左右了
[02:19] 那市场也普遍认为
[02:20] 原先20%的收费方案不仅是执行困难
[02:23] 也可能会违反国际法
[02:25] 而且大幅的推升全球能源和运输成本
[02:27] 如果是以每桶78块来看的话
[02:30] 超大型的邮轮
[02:31] 如果真的课20%的补偿费
[02:33] 那就是3000万美元的成本
[02:35] 甚至会让美国每家轮汽油价格增加37美分
[02:39] 所以这跟川普原本压低通膨的目标
[02:42] 是显著矛盾的
[02:44] 那在这样效果下
[02:45] 我们看得很清楚
[02:46] 川普以前都是政策
[02:48] 至少等七天
[02:50] 然后下一周就转累了
[02:51] 现在都是七个小时左右
[02:54] 他就开始改口了
[02:55] 我又关起来了
[02:56] 我又打开了
[02:57] 就韭菜抬出去了
[02:58] 所以根据政策风格来做交易变化的
[03:02] 要相当谨慎
[03:03] 那当然像原油价格
[03:04] 也没有说完全的重新回到下行轨道
[03:07] 只是停止上涨而已
[03:08] 现在布兰特原油和希特州原油
[03:11] 还在80美元关卡上下
[03:13] 持续的徘徊
[03:14] 但至少整个头部的卖压还是相当大
[03:17] 那杜拜当然这一次也宣布
[03:19] 要打造新的港口
[03:20] 尝试着绕过赫姆治海峡
[03:22] 也就是我们看中东国家
[03:24] 似乎都开始把现在的美伊冲突
[03:27] 视为长期的常态化
[03:29] 竟然我面对这样的局势
[03:31] 我可能要谨慎的去评估
[03:34] 荷姆治海峡长期封锁
[03:36] 或者说运量持续下滑的机会
