[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 记忆体资产价格的承压它是真的
[00:32] 可是巨头们居然有六巨头
[00:35] 都在下半年开始陆续翻为正报酬
[00:37] 而且陆续的超越了大盘
[00:40] 所以在这样效果底下
[00:41] 等同于内部的轮动开始有所加快
[00:44] 甚至我们看到最近的金融传产
[00:46] 也受到资金的扩散
[00:48] 那要如何来观察美国股市
[00:50] 台北股市韩国股市
[00:52] 甚至我们看到
[00:53] 在中国市场最新所公布的经济数据当中
[00:56] 是否已经完全跟AI完全脱钩
[00:59] 那就代表着AI的投资
[01:01] 完全奠定了未来经济成长的动力
[01:04] 那也欢迎大家可以帮我们先按赞
[01:06] 先赞后看
[01:08] 有按赞的
[01:09] 当当涨停当当涨不停
[01:12] 那是Jenny的台词
[01:13] 祝大家在下半年的行情当中
[01:17] 都能够跟上半年一样继续大赚
[01:19] 如果后来看了不喜欢也没关系
[01:22] 也可以按导赞
[01:23] 按两次导赞就最好了
[01:26] 好那我们回过头看
[01:27] 没有股市周三是普遍收高了
[01:29] 不过记忆体价格还是受到显著的承压
[01:32] 这一次SK海力是美光和Sendex
[01:35] 平均下跌幅度是接近8%
[01:37] 那费半是收错了2%
[01:39] 不过呢在最新美国六月份的核心生产者物价指数
[01:43] 年增幅是4.7
[01:45] 比预期还要来得低
[01:46] 这说明市场现在已经慢慢的从原本预估
[01:50] 可能会升息两码到升息一码
[01:53] 到现在变成五码
[01:54] 那联准会今年真的有机会能够按兵不动
[01:58] 不过我们还是要看
[01:59] 这一次在美伊战事
[02:01] 是否会有进一步的谈判条件出现
[02:04] 要不然到时候又出现什么样的动静
[02:06] 原油价格似乎也没办法直接性的破底
[02:09] 可能就硬是盘在这样的一个位阶
[02:11] 我们虽然知道美国经济
[02:14] 其实这几年是越来越省油了
[02:16] 什么意思呢
[02:16] 虽然美国人的消费习惯
[02:19] 还是比较制造垃圾量还是比较高一点
[02:22] 可是从二次大战结束之后的25年间
[02:25] 美国的原油消耗量大概是增加两倍
[02:28] 真正的原因都是说到人口成长
[02:30] 汽车普及和制造业的代贡
[02:32] 不过从1970年代开始
[02:34] 美国每创造一美元的实质国内生产毛额
[02:38] 所需要的石油正在明显的下滑
[02:41] 这说明的
[02:42] 这就是来自于劳力密集或者机械密集
[02:45] 最后转向我们看到智慧产产密集
[02:48] 也就是市场上
[02:50] 针对原油的需求依赖程度
[02:52] 本来就在下滑
[02:53] 所以本来在2022年的乌鲁战事以后
[02:56] 市场对于停滞性通膨的担忧
[02:58] 就跟1970年代
[03:00] 当时的能源依赖就不太一样
[03:01] 当时是大部分的能源都是依赖中东
[03:05] 而且当时的重工业
