[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 纳斯达克指数也不过跌1.4
[00:33] 标普才跌0.5
[00:34] 所以半导体族群才是这一次盘面的重灾区
[00:37] 那我们也知道上半年它涨幅这么大
[00:40] 歪离回调当然也会因此而加大
[00:43] 不过呢值得关注的留意的方向
[00:46] 它主要是总体跌幅的部分
[00:48] 因为如果把肺瓣从最高点
[00:50] 当时6月22号历史收盘高点往下算
[00:54] 现在跌幅大概是19%
[00:56] 几乎已经进入到熊市了
[00:58] 可是呢从今年整体涨幅来看
[01:01] 哇它都还是有50%60%以上的报酬
[01:04] 所以这个时候就要回过头
[01:06] 到底我们只是把它视为乖离波动的放大
[01:09] 还是肺瓣鹿熊已经形成了系统性的沉压
[01:13] 现在真的是一天暴涨一天暴跌
[01:15] 波动真大
[01:16] 不过有时候我们在景气或者科技高速发展的过程当中
[01:21] 行情波动就会变这样
[01:23] 跟人生一样
[01:24] 总会有起伏嘛
[01:25] 人生就是这样子起起落落落落落落落落
[01:29] 所以这个失忆是人之常情
[01:33] 涨的时候你嫌自己买不到
[01:34] 你也很难过
[01:35] 跌的时候你觉得自己好像又受到一些冲击
[01:38] 也很难过
[01:39] 大多数时间都是不开心的
[01:41] 可是重点是只要掌握住机会
[01:43] 也许财富在未来几个季度就会依序的浮现
[01:47] 我们看美股股市四大指数表现
[01:49] 道琼指数下跌105点
[01:51] 0.2%
[01:52] 收在52552点
[01:54] 标普白指数下跌38点
[01:57] 0.51%
[01:58] 收在7533点
[01:59] 纳指下跌387点
[02:02] 1.47%
[02:03] 收在25881点
[02:05] 其实标普和纳指看得出来
[02:07] 第一是季线还有成
[02:09] 而且本轮其实已经以盘待跌
[02:11] 有很长一段时间了
[02:13] 算是买盘相当坚固
[02:14] 反而是废半
[02:15] 这一次是一次性的跌破了季线
[02:18] 废半下跌531点
[02:20] 4.29%
[02:21] 收在11867点
[02:24] 那费判刚才提到
[02:25] 由于从上方跌下来
[02:26] 几乎已经进入到熊市
[02:28] 那今年春季
[02:29] 本来晶片股的强势上涨
[02:32] 就来自于投资人降低
[02:33] 针对科技七巨头的持股比重
[02:36] 那现在虽然巨头也没有收到大涨
[02:38] 可是反而对标普和纳指
[02:40] 形成了一定的稳盘作用
[02:42] 而且短期内我们看
[02:44] 银行财报的量力带动
[02:46] 标普500金融指数在昨天创下
[02:49] 第二天的历史新高了
[02:50] 道琼运输指数
[02:52] 今年以来上涨超过三成了
[02:54] 也接近历史新高
[02:55] 所以虽然废办
[02:57] 几乎30档成分股
[02:58] 在6月份是全数下跌
[03:00] 跌最大的是Marvel
[03:02] 整体跌幅已经四成了
[03:05] 也算蛮重的
[03:06] 那回过头看
[03:08] 整体而言
[03:09] 它虽然跌幅这么重
[03:10] 可是今年以来还是收涨
[03:12] 就是从6月份以来的跌幅
[03:14] 大家都跌个两成三成
[03:15] 有的跌到四成
[03:16] 可是从今年以来
[03:18] 大家涨幅几乎都是百分之百起跳
[03:20] 即便有这么大的乖离修正
[03:22] 所以根据道琼数据观察
[03:24] 过去十年当中
[03:25] 肺瓣曾经出现过六次跌幅超过20%的修正
[03:29] 还有31次跌幅超过10%的修正
[03:32] 相比之下
[03:33] 标普500在过去十年
[03:35] 只有两次跌幅超过20%的年度修正
[03:38] 八次跌幅超过10%
[03:40] 所以值得观察的事情是
[03:42] 肺瓣的波动本来就稍微比较大一点
[03:44] 我们反而可以从一些部分的指标
[03:47] 过来观察市场走向
[03:49] Netflix昨天公布第二季财报
[03:51] 营收和获利符合市场预期
[03:54] 不过投资人对于Netflix
[03:56] 接下来的获利和展望感到失望
[03:59] 股价盘后是暴跌了8%
[04:01] 这样从高点跌下来
[04:03] 网飞今年也跌了43%
[04:06] 这说明我们知道本轮的上涨
[04:08] 一直以来都不是流动性繁荣
[04:10] 不是全面个股的受惠
[04:12] 而是集中在少数的硬体股
[04:14] 网飞就是其中一个例子
[04:16] 从以前的尖牙五股
[04:18] 到后来七巨头没有包含它
[04:20] 到最后市场上对它的提振效果
[04:22] 也没有特别明显了
[04:24] 再来就是SpaceX
[04:25] SpaceX特别留意的是
[04:26] 因为最近它真的是完全跌破了IPO价格
[04:30] 盘中昨天已经跌到130块
[04:32] 创下6月上市以来的新低
[04:34] 从高点降算
[04:35] 那也算是腰斩
[04:37] 跌幅要接近五成了
[04:39] 所以我们很清楚知道
[04:41] 本轮的火箭行情
[04:42] 看起来蜜月行情也不过就是一个月而已
[04:45] 我们虽然过去一直提过
[04:47] 我们最看好的就是马斯克
[04:48] 带动人类的科技生产力提升
[04:50] 那我们从来不会说
[04:51] 你看好它
[04:52] 你去买特斯拉
[04:53] 你去买SpaceX
[04:54] 第一
[04:55] 梦想是有时间线的
[04:57] 也许它是以十年
[04:58] 二十年的构想来做实践
[05:00] 那第二
[05:00] 现在这种并非流动性繁荣的区间
[05:04] 市场不要讲说对SpaceX
[05:06] 对科技七巨头都越来越严格了
[05:09] 都一定要看你花了那么多钱
[05:10] 到底花去哪了
[05:11] 这也说明了市场上
[05:13] 你说现在是极度繁荣泡沫吗
[05:15] 在过去一整年当中
[05:17] 费办市场很夸张
[05:18] 可是过去一整年
[05:20] 你其实并没有看到
[05:21] 市场上针对这些巨头
[05:23] AI生产力的爆发
[05:24] 抱有多大的乐观希望
[05:27] 马斯克是持有SpaceX
[05:29] 接近42%的股份
[05:30] 那他的股票价值
[05:32] 也从1.2兆美元
[05:33] 缩水到7600亿
[05:35] 所以这一波
[05:36] 基本上大家都在针对
[05:38] AI概念股的高估值修正
[05:39] 不管是硬的还是软的
[05:41] 都是如此
[05:42] 那更进一步观察的
[05:43] 反而是再试的效果
[05:44] 因为股市它至少还成功挂牌了
[05:47] 所以它也是募到了资金
[05:49] 虽然股价跌回来
[05:50] 但也没有那么差
[05:51] 也许未来股价又可以涨回去
[05:53] 重点是债市
[05:54] 当时6月12号SpaceX上市之后
[05:57] 首次公开募股
[05:59] 募到857亿
[06:01] 公司估值来到两兆
[06:02] 结果在6月底
[06:04] 它马上又透过5批公司债
[06:06] 筹出了250亿美元
[06:08] 那现在问题来自于
[06:09] 票面利率是5.35到6.65
[06:12] 已经算蛮高了
[06:13] 从2031年一直到2056年
[06:15] 他借钱借到2056年
[06:18] 难怪票面利率这么高
[06:20] 他借钱真的借很远
[06:22] 那要等同于要借20年以后
[06:24] 你要把你付钱给他
[06:27] 拿取他的公司债
[06:28] 是他20年以后才要还你的
[06:30] 你说对于Google
[06:31] 对于微软
[06:32] 那还有点信心
[06:33] 对于SpaceX
[06:34] 20年以后才陆续还你钱
[06:37] 我们看到这种市场上
[06:39] 这种融资的需求
[06:40] 它肯定是要让市场上有进一步的情绪提振
[06:44] 才如此能够承接
[06:46] 如果无法承接
[06:47] 那会造成什么结果
[06:48] 长期债券必定会大幅下跌
[06:50] 其中我们看到
[06:52] 35亿美元票面利率高达6.65%
[06:56] 2056年的到期债券
[06:57] 发行价为每一美元面额99.45美分
[07:01] 到7月7号下旬
[07:03] 到本周
[07:04] 应该讲7月17号
[07:05] 已经跌到94块了
[07:08] 两周已经跌了快要6%
[07:10] 价格的下跌就代表
[07:12] 殖利率上升
[07:13] 反映投资人针对SpaceX
[07:15] 已经发行这么高的利率的债券
[07:17] 还要求你更高
[07:19] 为什么
[07:19] 因为信用风险越来越大
[07:21] 所以从债市的崩跌
[07:23] 其实也看得出来
[07:24] 市场上现在是越来越紧张的
[07:26] 包括我们从最近
[07:27] 摩根大通的资料
[07:29] 从Google
[07:30] 微软
[07:30] Meta和亚马逊
[07:31] 甲骨文
[07:32] 最近所拥有的投资等级
[07:34] 公司债的信品
[07:35] 的确还维持在GPB以上
[07:38] 可是市场交易利差
[07:39] 已经逐步向A级公司靠拢
[07:42] 而非过去接近AAA企业的融资水准
[07:45] 换句话说
[07:46] 就这些债券市场
[07:47] 很明显认为
[07:48] 这些公司虽然基本面很稳健
[07:50] 然后继续扩大AI的资本支出
[07:52] 已经提高了未来的财务风险
[07:55] 但是未来的风险
[07:57] 看起来比想象中还要更不可控
[07:59] 所以就必须要有更多的风险补偿
[08:01] 其中一个讯号
[08:02] 就是来自于CDS市场
[08:04] 信用违约交换
[08:05] 目前Meta五年期的CDS利差
[08:08] 已经高于美国头等债公司平均水准
[08:11] 高非常多
[08:12] 接近快要一个百分点了
[08:14] 这件事情就意味着
[08:15] 因为我们讲说
[08:16] 这个信用利差讲就是
[08:17] 你要比美国国债要高多少的利率
[08:21] 一起的回顾
[08:22] 比如说可能公债值利率
[08:24] 现在是4.6%
[08:25] 那你一家公司
[08:26] 你的风险肯定比美国还要来得高
[08:28] 那你要给我更多
[08:29] 那你如果是5%
[08:31] 那中间的利差就0.4
[08:33] 那现在看起来
[08:33] 这个利差扩张的速度是越来越快
[08:35] 就代表着
[08:36] 市场上对于股市它只是没涨而已
[08:39] 对于这些期巨头
[08:40] 可是对于债市已经非常明显的要求
[08:43] 你给予我更多的回馈
[08:45] 因为我怕你还不出钱来
[08:46] 债市反而是要特别去做观察和留意到
[08:49] 当然回过头看
[08:50] 那对于亚洲股市的影响毕竟现在没有股市开始回调了那亚洲股市这一波的繁荣来自于哪里都是废办都是硬体股卖压就会来了韩国股市今天至少不会熔断
[09:03] 今天休市
[09:05] 但是欧巴们等到下礼拜周一
[09:08] 会不会又变成两倍暴击
[09:10] 我们清楚知道在昨天SK海力士
[09:13] 又受到市场上显著的承压
[09:15] 甚至我们看到南韩金融服务委员会FSC
[09:18] 已经正式宣布
[09:19] 从本周起立即暂停新的单一股票杠杆ETF的上市
[09:25] 也才一个月吧
[09:27] 现在就停止所有杠杆ETF上市
[09:29] 当时一堆人排队等着要上市
[09:31] 直到市场恢复稳定之后
[09:33] 再来做决定
[09:34] 同时南韩政府也祭出了多项管制措施
[09:38] 包括由杠杆ETF的交易最低保证金
[09:41] 从1000万韩元提升到3000万韩元
[09:43] 大概是2万美元
[09:44] 8月5号开始实施
[09:46] 投资人本来要有教育课程
[09:48] 你买杠杆型ETF都要上课了
[09:50] 本来是两个小时
[09:51] 现在变成三个小时
[09:52] 最小交易单位从一个单位提高到20单位
[09:55] 而且要求ETF的市价和净值价差
[09:59] 也就是我们讲的溢价折价幅度
[10:01] 必须缩小从3%到2%以内
[10:03] 官方也表示
[10:05] 如果市场波动没有改善
[10:06] 不排除推出更严格措施
[10:08] 这就是很明显要降低南韩股市的波动率
[10:12] 不允许你有事没事就垄断
[10:15] 这是南韩政府的做法
[10:16] 那当然这件事情就来自于南韩政府在过去一段时间
[10:21] 已经遭受到了民意上的压力
[10:23] 赚钱没有人怪你
[10:24] 那其实现在也不算赔钱
[10:26] 现在就波动变大
[10:27] 波动变大有人赔钱就开始怪你了
[10:30] 南韩大概4.1兆美元的股市
[10:32] 应该算是全球现在交易量来得最高的新市场经济体
[10:37] 即便台湾股市比南韩股市来得大
[10:39] 但是市场上从交易流动性来看南韩来得更高
[10:42] 外资今年也卖了南韩股市又卖了1000亿美元
[10:46] 那当时韩国股市
[10:48] 一天熔断涨顶
[10:50] 一天熔断跌停
[10:51] 大盘累积跌幅
[10:52] 现在也接近25%
[10:54] 所以追踪两大晶片股的
[10:57] 多档杠杆ETF
[10:58] 现在平均下跌
[10:59] 大概是40到50%
[11:00] 管理的资产规模
[11:02] 还是有100亿美元
[11:03] 所以一定会形成
[11:04] 市场上的反压
[11:05] 那当然很多人说
[11:06] 那AI是不是真的
[11:08] 改写了记忆体循环呢
[11:09] 我们过去所观察到的
[11:11] 这些科技巨头们
[11:12] 其实大家只是
[11:13] 估值评价的区别而已
[11:15] 我们也没有说
[11:16] 因此认为AI就不能够成
[11:18] 只是大家投资角度来得更为刁钻
[11:21] 要观看你营收回馈的幅度
[11:23] 可是记忆体的营收真的拿到了
[11:25] 那为什么股价疯狂的下跌
[11:27] 会不会只是获利了结卖压呢
[11:29] 难道记忆体没有脱离循环吗
[11:31] 这个是我们就要回过头来聊
[11:32] 因为大家第一个想到记忆体
[11:35] 都认为景气循环应该是没有改变的
[11:38] 因为需求好价格暴涨
[11:39] 供体追上
[11:40] 那供体追上之后价格就暴跌
[11:42] 获利创高之后就迎来亏损
[11:44] 每隔几年本来都是这样子轮一次
[11:46] 所以我们才看到之前
[11:47] Michael Burry才会选择去放空美光
[11:50] 他认为记忆体本质上
[11:52] 还是由供需决定的价格
[11:53] 这也没错了
[11:54] 因为只要供给增加
[11:56] 速度开始追上需求
[11:58] 再好的故事都可能会结束
[11:59] 所以我们才看到
[12:01] 现在南韩市场的出口规模
[12:04] 相对于整个欧洲市场成长的速度
[12:08] 它形成结构性脱节
[12:09] 很多人认为
[12:10] 迟早有一天它会下来
[12:12] 可是我们也观察到
[12:14] 这一波全球也没有发生PC的换机槽
[12:17] 也没有手机的大升级
[12:19] 可是美光海力士
[12:21] 它的获利就是以图表中这种速度
[12:23] 直接直线性的喷出
[12:25] 那这个效果
[12:27] 它其实某种程度就意味着
[12:28] 从数据上来看
[12:30] 这一波虽然供需失衡
[12:32] 但是它供需失衡的程度
[12:34] 已经超越了过去任何一次的景气循环
[12:37] 目前低润市场又是90%
[12:39] 由三星海力士和美光三家公司所掌握
[12:42] 那HBN更是由三家公司完全几乎垄断了
[12:45] 所以导致市场的毛利率预期
[12:48] 又是来到70%到80%
[12:50] 所以我觉得个人的看法是
[12:53] 现在我们虽然知道
[12:55] 不太可能一辈子
[12:57] 记忆体价格就永远上涨
[12:58] 那有一天
[12:59] 那资料中心1000亿美元
[13:01] 有800亿美元都是在买记忆体
[13:03] 那还得了
[13:04] 记忆体价格不可能一辈子都不条件上涨
[13:06] 记忆体不太可能永远一辈子
[13:08] 供给都跟不上
[13:09] 可是
[13:10] 当市场上产能逐步开出以后
[13:14] 它可能会迎来新一轮的周期反龙
[13:17] 也就是有一天供给终于跟上了
[13:19] 但不代表获利或者营收会大幅衰退
[13:22] 因为大家都在使用AR
[13:24] 跟我们过去讲过的杰文斯理论
[13:27] 是一模一样的
[13:28] 在汽车成本从10万降到9万8万
[13:32] 降到1万块的时候
[13:33] 正常逻辑是汽车厂商会全倒光
[13:35] 如果你如果持续做车架的抑制的话
[13:39] 汽车每个售价
[13:41] 十万美元到一万美元
[13:42] 肯定会倒一片
[13:43] 可是如果到时候
