[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 买盘开始出现
[00:31] 那到底本轮会以盘待跌一阵子
[00:33] 让本益比的乖离回调
[00:35] 等到接下来财报公布再往上拉
[00:38] 还是说也许美国股市
[00:40] 就目前的杠杆洗盘情况来看
[00:43] 其实也清洗的差不多呢
[00:45] 尤其我们也看到
[00:46] 整体大盘融资维持率
[00:48] 也在做一个缓步的下滑
[00:50] 那韩国股市这一波的杠杆
[00:52] 其实筹码清洗
[00:53] 也不能说很干净
[00:54] 但至少是有痛到
[00:56] 那如果是从这样的角度来看
[00:58] 本轮到底我们看到
[00:59] 是否有基本面的松动呢
[01:01] 今天来跟投资朋友多多一些观察
[01:03] 因为费办在上礼拜是单周跌幅
[01:06] 接近10%
[01:07] 那如果往高点往下看
[01:09] 其实整体已经超过了20%
[01:12] 进入到技术性的熊市了
[01:13] 纳斯达克指数周五是再跌了1.4%
[01:16] 标普跌了1%
[01:18] 美光Sendix等记忆体股成为了重灾区
[01:21] 原本市场上一直以来都是
[01:23] 比较盛行做多半导体
[01:25] 放空大型云端业者
[01:26] 这一波反而纳指和标普是比较有称的
[01:29] 跌幅很有限
[01:30] 跌幅连10%都没碰到
[01:32] 可是废办已经进入到熊市
[01:34] 现在要回过头看
[01:37] 卖压是否会进一步的扩散到全球
[01:39] 因为日经当时
[01:41] 礼拜五是下跌4%
[01:42] 中国沪深300也跌了3.6%
[01:45] 凯夏跌了16%
[01:46] 很多股票都是从高位这样子下来
[01:49] 已经快要腰斩了
[01:50] 这一波修正
[01:52] 其实不只是单纯针对AI需求产生质疑
[01:55] 更多其实是拥挤部位实在太大了
[01:58] 太多人进来记忆体
[02:00] 太多人进入到单一族群了
[02:03] 所以有很多股票
[02:03] 如果今年上半年没什么在涨的
[02:06] 其实本波也没什么在下跌
[02:08] 如果以全周来看
[02:09] 标普周跌幅是1.5%
[02:11] 纳指周跌幅是2.9%
[02:13] 道通也不过周跌1%
[02:15] 所以很多股票真的没怎么跌
[02:16] 那反而是废办
[02:17] 一周就给它跌了10%
[02:19] 尤其那些比较属于杠杆型的投资者
[02:22] 其实情绪降位也降得很快
[02:24] 4000给你跌5乘4
[02:26] 一档ETF
[02:27] 所以真正该思考的
[02:29] 也不是说还会再跌几根
[02:31] 而是说那本波的下跌
[02:32] 难道它改变了半导体
[02:34] 景气的长期趋势吗
[02:36] 难道半导体
[02:37] 已经没有超级循环了吗
[02:39] 如果基本面没有出现
[02:40] 结构性的恶化
[02:41] 你只因为害怕
[02:43] 短线下跌就停损离场
[02:45] 那你很有可能
[02:46] 只是避开了最后几根黑K
[02:48] 那却错过了下一轮反弹
[02:50] 或者多年的报酬
[02:51] 这还是要理解的
[02:52] 但是这种跌幅
[02:53] 的确也让很多杠杆投资者
[02:56] 看对趋势实在波动了
[02:57] 这一波也差不多要洗出场了
[02:59] 那当然财报季就成为了科技股
[03:02] 下一轮的关键重点
[03:03] 因为过去两个月
