[00:00] 投资朋友欢迎收听早晨财经速解读
[00:03] 现在是台北时间2026年7月21号礼拜二
[00:06] 早上8点31分
[00:07] 大家早上好我是邓浩
[00:08] 每天早上开拍前半小时
[00:10] 我们在这边陪伴着各位一起解读国际财经新闻时事变化
[00:13] 美欧股市周一开高之后是失去了动能
[00:16] 盘中走势大致是震荡
[00:18] 那现在市场上在针对记忆体的上方卖压还是相对沉重
[00:23] 不过呢至少在上礼拜所公布的整体财报表现并不差
[00:27] 也许只是杠杆或者心理情绪的回调
[00:31] 毕竟上礼拜我们看到美国通膨的降温
[00:34] 银行股优于市场预期
[00:35] 那接下来七巨头准备释出展望
[00:38] 而在七巨头之前
[00:39] 我们也看到艾斯摩尔台积电
[00:41] 对于半导体的需求
[00:42] 还是释出相对乐观的展望
[00:45] 所以即便中东持续有冲突
[00:47] 标普白指数
[00:48] 现在还在高档持续维持
[00:50] 依旧震荡的
[00:51] 距离像是费半所经由的熊市
[00:54] 还有一长段距离
[00:55] 那另外一方面
[00:56] 市场的资金大概也轮动了接近有一整个月了
[01:00] 投资人现在是逐步的撤出了半导体
[01:03] 转向机具头
[01:04] 软体以及医疗保健类股
[01:06] 使得最近的半导体型ETF
[01:08] SMH从高点降跌下来
[01:10] 当然是跌超过两成了
[01:12] 可是标普牌指数
[01:13] 买盘反而特别的显著
[01:15] 你像Google或者我们看到在最近
[01:18] 微软Amazon
[01:20] 在7月份以来的股价都是收红的
[01:22] 市场的买盘还是相对踊跃
[01:24] 那这个时候我们就可以从几个角度来观察
[01:26] 第一那七巨头是否能够成为本轮美国股市轮动的救星
[01:31] 那第二那这一次记忆体
[01:33] 或者我们看到部分肺瘢成分股的套牢期会多久呢
[01:38] 距离下一次的荣景还有多久才能够归来
[01:41] 我们回过头来看
[01:42] 其实台股股市在昨天虽然是一度开高
[01:46] 但随后也是震荡走低
[01:47] 贵买指数甚至回撤到半年线
[01:50] 最近我们看高融资个股已经成为市场的沙盘重心了
[01:54] 所以至少杠杆比较高的
[01:56] 融资幅度比较大的
[01:58] 受到的市场承压的确比较显著
[02:01] 融资维持率现在偏低的个股
[02:03] 是接连跌停了
[02:05] 让你逃不掉
[02:06] 反映杠杆的资金水位
[02:07] 已经遭到明显的追缴或者断头压力
[02:11] 虽然不像是韩国股市这么严重了
[02:13] 但我们也知道
[02:14] 这两天的确融资余额都在持续下滑
[02:17] 我们看昨天上市融资余额
[02:19] 单日是大减了189亿
[02:21] 上季是减少了80亿
[02:23] 合计缩水269亿
[02:25] 那上跪维持率甚至降到133%
[02:29] 已经逼近130%的追缴水位
[02:32] 那如果整个大盘的话
[02:33] 大概还在143左右
[02:35] 但是至少都看得出来
[02:36] 短短几个交易日
[02:38] 市场去杠杆的压力是明显增温的
[02:41] 尤其我们知道
[02:42] 不少使用融资操作的投资人
[02:44] 被迫不交保证金以后
[02:46] 可能就会有那种
[02:48] 卖出其他持股的那种
[02:49] 挖东墙补西墙
[02:51] 引发一连环的卖压
[02:53] 这叫多杀多
[02:54] 虽然恐慌情绪
[02:56] 我们还是感受不是特别明显
[02:58] 但是在部分板块
[03:00] 其实已经开始陆续出现了
[03:01] 从被动元件到实营元件
[03:03] 分离式元件
[03:04] 半导体封刺或者波线布等等
[03:06] 当然本轮杀对重的
[03:08] 从记忆体一路延续到被动元件
[03:11] 市场沉压持续放大
[03:13] 我们昨天就跟投资朋友提过
