[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 那也符合我们过去所说的
[00:32] 基本面没有出现任何的松动
[00:34] 未来几天的科技股财报
[00:36] 再来看看
[00:36] 有没有进一步资本支出调高的空间
[00:39] 可是这一波的杠杆去化的
[00:41] 难道非常成功吗
[00:42] 杠杆是有降
[00:44] 我们知道在过去一整周
[00:45] 杠杆型ETF都在流出
[00:48] 可是就这么洗个几天
[00:49] 难道大多数的散户会因此而松动吗
[00:52] 会不会马上杠杆又加回来呢
[00:54] 未来几天的大盘融资维持率和融资余额
[00:58] 仍然是市场观察的重点
[00:59] 但昨天连过去衰最终的晶片股都开始做显著反弹
[01:04] 这一半是大涨了接近5%
[01:06] 投资人现在即便现在每一战事其实又在升温了
[01:10] 油价现在布兰特原油要重返90美元了
[01:13] 市场上好像也不是很担心的
[01:15] 大家更为关注的是Google的财报
[01:17] IBM和特斯拉财报
[01:19] 我们看到从指数变化是上涨385点
[01:22] 0.70%
[01:23] 收在52,224点
[01:26] 标普上涨65点
[01:27] 0.8%
[01:28] 收在7509点
[01:30] 纳指上涨329点
[01:31] 1.29%
[01:32] 收在25837点
[01:34] 其实标普和纳指
[01:35] 基本都还保持在高位做盘旋
[01:38] 本轮其实下压幅度并没有特别大
[01:40] 衰最终的费半
[01:41] 这一次尝试着要站回到季线
[01:43] 费半上涨612点
[01:45] 5.2%
[01:46] 收在12356点
[01:49] 那当然
[01:50] 这一次我们看台积电AD
[01:52] 在昨天大涨了5.55%
[01:55] 昨天台股就已经率先上涨了
[01:57] 但这一波能否引发这种系统性的去杠杆以后
[02:02] 迎来更为健康的牛市值得观察
[02:05] 如果马上杠杆又拉上去
[02:07] 那其实你说洗第二波第三波就仍然会有机会
[02:10] 因为我们这两天才好不容易迎来了史上最大跌点和史上最大涨点
[02:15] 昨天是涨了1783点
[02:17] 涨幅有4.2%
[02:19] 不仅收复了44000点的关卡
[02:21] 也重新站回了季线
[02:23] 所以市场上现在如果费办陆续站回季线以后
[02:26] 代表这次声明线明显有成
[02:29] 不过呢
[02:29] 这一波反弹
[02:30] 特别值得留意的讯号就是
[02:32] 乐观情绪
[02:33] 其实并没有特别明显了
[02:34] 这是好事还是坏事
[02:36] 坏事就是那量开始不够了
[02:38] 成交金额只有8600亿
[02:40] 8000亿现在是三个月以来新低
[02:42] 8000亿是量缩小量
[02:46] 说明市场信心虽然回升
[02:48] 但是追价力到现在有待确认
[02:50] 有没有可能类似那种
[02:52] 去年10月份AI永动机以后
[02:54] AI行情还是存在
[02:55] 可是部分科技全职股
[02:57] 它就进入到长期的盘整期间
[03:00] 当时的七巨头
[03:01] 七巨头不是今年才开始
[03:03] 丝毫未动的
[03:04] 七巨头是从去年十月份
[03:06] 那个时候AI巨头
[03:08] 把龙井推上去以后
[03:10] 它就盘整了一整个大半年
[03:12] 那有没有可能
[03:13] 接下来美股台股重要全职股
[03:15] 就进入到同样的模式呢
[03:17] 以盘代叠
[03:18] 等到你财报端出更好的表现
[03:21] 当然这也说明着
[03:22] 市场上其实这几天
[03:24] 或者说这几个季度
[03:25] 波动率一直都在加大
[03:27] 甚至连川普上任之后
[03:29] 我们都可以明显感觉到
[03:30] 这种时长
[03:32] 这种A转V转
[03:33] AV市场的这种概况
[03:35] 一下大涨一下大跌
[03:37] 那这种流动性
[03:39] 依照讯息来做操作
[03:40] 你只能对赌波动性的加大
[03:42] 但是短期方向还真的摸不太准
[03:44] 过去几年我们也知道
[03:45] 金融市场是一路上涨
[03:47] 让不少人认为风险已经明显降低
[03:49] 只要逢低买进就会赚钱
[03:51] 从长周期来看的确是如此
[03:53] 但是真正值得担心的
[03:55] 是市场上由于越来越多的资金
[03:57] 开始涌入到市场当中
[03:59] 那流动性的角色就开始逐渐退出
[04:02] 就真正在市场恐慌时
[04:04] 能够接盘维持秩序的长期投资人
[04:07] 以前是投行啊
[04:08] 政府央行啊
[04:09] 重要性在下滑
[04:10] 那反而是那种私募基金
[04:13] 被动投资的ETF买盘
[04:14] 量化基金
[04:15] 多策略避险基金
[04:17] 还有散户啊
[04:18] 现在反而能够带来大量的交易量
[04:20] 那有时候市场压力升高的时候
[04:22] 痛不进出啊
[04:24] 反而放大了市场的波动
[04:26] 私募市场就是一个最典型的例子
[04:29] 过去几年我们看到
[04:30] 大量的资金流入到私募股权和私募信贷
[04:33] 那投资人愿意放弃流动性
[04:35] 你很多是避左行基金
[04:37] 把资金锁定好几年
[04:38] 希望换取更高的报酬
[04:40] 结果遇到市场修正的时候
[04:42] 这些资产根本无法快速的出售
[04:44] 也不能够重新的配置资产
[04:45] 只能靠投资组合当中
[04:47] 剩余的上市股票和债券来提供现金
[04:50] 那有时候反而卖压会集中到公开市场
[04:53] 因为你投了很多
[04:54] 非公开的市场
[04:55] 没有挂牌的公司
[04:57] 那这个时候反而导致
[04:59] 因为流动性的原因
[05:00] 你的钱被锁住了
[05:02] 所以让上市股票波动性开始显著加大
[05:05] 我们看到24年为止
[05:07] 私募股权的管理资产
[05:08] 已经高达接近10兆美元
[05:10] 私募信贷更是突破2兆美元
[05:12] 现在我们知道
[05:13] 投资等级债现在发行表现
[05:15] 并不是特别好
[05:16] 公司利差不断的扩大
[05:18] 那最后呢
[05:19] 很多公司现在是跟私募来做信贷
[05:22] 那第二件事情
[05:23] 是当私募信贷快速扩张的过程当中
[05:26] 风险也会慢慢的累积
[05:27] 因为90%受评价的私募资产
[05:31] 基本上并不是由我们传统那种
[05:34] 莫迪或者标普会议
[05:36] 这三大国际机构来做评等
[05:38] 他们是由专门的信评来进行负责
[05:41] 市场透明度就比较值得受到关注
[05:43] 那其实因为它公开数据并没有特别多
[05:46] 所以美国对于大型私募信贷的曝显
[05:50] 大概是3000亿美元
[05:51] 那其中呢
[05:52] 由于数据的不公开
[05:53] 你也没办法确定
[05:54] 这个引值到底有多大
[05:56] 所以这是第一件事情
[05:57] 市场的波动性放大
[05:59] 因为有些钱被锁住了
[06:01] 那有时候卖压来的时候
[06:02] 就会集中灌到部分科技股
[06:04] 全资股当中
[06:05] 那第二个改变是什么呢
