[00:00] 投资变化 欢迎收听早晨财经速解读
[00:02] 现在是台北时间2026年7月23号礼拜四
[00:05] 早上8点31分
[00:07] 大家早上好 我是邱廷浩
[00:08] 每天早上开播前半小时
[00:09] 我们在这边陪伴着各位
[00:10] 一起解读国际财经新闻时事变化
[00:13] 行情真是一波未平一波又起
[00:16] 正当我们觉得没事了
[00:18] 股价这一次的回调是否来到一个
[00:21] 我们不能说急速反弹
[00:23] 但至少来到一个本一笔回调合理的区间之后
[00:26] 市场上针对本轮的财报纪要又开始分歧了
[00:29] 原本缴出极度量力财报的Google
[00:32] 这一次反而因为现金快烧光了
[00:35] 引起市场的价格跌势
[00:37] 甚至引起一些恐慌
[00:38] 不过呢
[00:39] 整体股价跌幅也不是特别大
[00:41] 总比特斯拉好一些
[00:42] 整体我们看到科技七巨头
[00:45] 因为率先公布业绩的企业
[00:46] 它会为未来的市场预期产生定调
[00:49] 如果连缴出优秀财报的公司
[00:52] 都有可能遭受到沉压
[00:54] 那未来预估可能自由现金流烧更快的
[00:57] 比如说SpaceX
[00:58] 或者Meta
[00:59] 是否会压力来得更大呢
[01:01] 今天来跟投资朋友观察一下
[01:03] 这些巨头们目前的钱
[01:05] 还可以撑多久
[01:06] 那未来是要用私募基金
[01:09] 以信贷方式来做更进一步的资金借款
[01:12] 还是只能发行更多的投资等级债
[01:14] 最后导致债券市场的沉压呢
[01:16] 今天来跟投资朋友多做一些观察
[01:19] 也来了解
[01:19] 如果日元的贬值行情能够持续的话
[01:22] 是否至少让全球的利差交易
[01:25] 有更多空间
[01:26] 日元如果大幅升值
[01:28] 反而全球这一套宽松的系统
[01:30] 就玩不下去了
[01:31] 所以贬值对于日本有好有坏
[01:34] 或者说贬值对于日本
[01:35] 一直贬下去是坏事了
[01:36] 但对于全球而言
[01:38] 也不见得这么坏
[01:39] 好那我们先回过头看
[01:40] 有些人说老黄
[01:43] 对了
[01:43] 昨天老黄也有发表
[01:44] 针对目前AI局势的谈话
[01:46] 有些人说你是老黄
[01:48] 你也是又老又黄
[01:50] OKOK
[01:51] 我是网黄嘛
[01:52] OK
[01:52] 不管怎么说了
[01:53] 我们待会会把这些人的言论
[01:55] 做一个综合性的叙述
[01:57] 来看待市场是怎么评价的
[01:59] 那这些企业家是如何做评价的
[02:02] 以及过两个月以后
[02:04] 我们会回过头
[02:05] 怎么评价本季度的财报
[02:06] 首先看的是Google财报
[02:08] Google在第二季2026年财报
