[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 看起来并不是特别的满意
[00:31] 虽然整体财报表现
[00:33] 在Google其实表现是不错的
[00:35] 但从特斯拉的暴跌也看得出来
[00:38] 财报好的不一定涨
[00:39] 但财报跌的那真的会跌很重
[00:41] 或财报不好的市场卖压会持续
[00:43] 那我们要从两个角度来观察
[00:45] 随着在整体
[00:47] 我们自由现金流的显著下滑以后
[00:49] 就代表着这些巨头们
[00:51] 接下来肯定要从其他方式
[00:53] 来获得更多的融资管道
[00:55] 不管是以私募信贷的方式
[00:57] 还是发行更多的投资等级战
[00:59] 那对于债券市场的沉压
[01:01] 是否会导致债券持利率的持续上行
[01:04] 那第二点是由于目前原油价格
[01:07] 不然这原油又收在每桶100美元以上了
[01:10] 从低点这样子谈起来
[01:12] 也谈了接近有三成了
[01:14] 油价的再起是否导致
[01:16] 联准会的利率决策会议有可能会出现变数呢
[01:19] 市场的利率预期开始升温以后
[01:21] 是否会造成整体债券市场的沉压
[01:24] 如果你发行债券市场会持续性进行抛售
[01:27] 那接下来大家还借得到这么多钱吗
[01:30] 融资成本正在快速的上升
[01:32] 我们先从油价来做探讨
[01:34] 目前原油价格已经接近到100美元左右
[01:38] 持续做震荡
[01:39] 这是大家知道
[01:40] 因为不只是荷姆兹海峡受阻
[01:42] 我们看伊朗支持的燕门的青年运动
[01:45] 也以飞弹和无人机开始攻击沙乌地阿拉伯的两艘邮轮
[01:49] 那其中有人受伤
[01:51] 不过呢并没有死亡事件
[01:53] 但是至少这件事情导致全球的保险价格
[01:57] 开始陆续做攀升
[01:58] 那如果双方
[02:00] 或者说我们看到红海
[02:01] 和荷姆兹海峡
[02:02] 持续受到一轮的冲击或者封锁
[02:06] 那就代表着
[02:07] 全球的供给紧张再度出现
[02:09] 其实我们知道
[02:10] 沙奥地在过去两个月
[02:12] 已经大量的依赖东西向的输油管线
[02:15] 把原油是运到红海的盐布港
[02:18] 再来出口
[02:18] 那结果现在
[02:19] 叶门那边又出了乱子
[02:21] 那是不会导致的
[02:22] 市场的紧张情绪持续升温呢
[02:25] 美国现在也在持续针对伊朗沿岸军事设施
[02:28] 来进行进一轮的军事空袭
[02:30] 不过我们也知道
[02:32] 这个空袭虽然加大了力度
[02:34] 短时间内也很难让船东恢复信心
[02:37] 这之前是两艘阿拉伯级的游轮受到攻击
[02:41] 那前两天是希腊的游轮
[02:43] 他也是尝试着想要沿着阿曼航道
[02:47] 直接来试图穿越海峡
[02:48] 结果他也被伊朗飞弹给击中了
[02:51] 这也说明着美军虽然现在轰炸轰得很凶
[02:54] 还是无法完全的消除威胁
[02:57] 尤其伊朗现在从7月8号
[02:59] 美军恢复空袭以来
[03:01] 已经至少确定攻击到7艘船只
[03:04] 而且大量使用低成本的沙德无人机
[03:08] 反舰飞弹还有高速飞艇
[03:10] 那7月19号那一天
[03:12] 更是有85艘的伊朗快艇部署于海峡
[03:15] 创下历史新高
[03:16] 所以现在伊朗真正的优势
[03:18] 当然不是他真的全面封锁海峡
