[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 特斯拉和Google的财报
[00:31] 其实表现并不乐观
[00:32] 似乎只要自由现金流转付
[00:35] 都会引得市场上
[00:36] 有进一步的价格下压
[00:38] 事实上这一次
[00:39] 我们看到那种
[00:40] 从买金矿挖金矿
[00:43] 往卖产值的资金流向
[00:45] 晶片股的卖压
[00:46] 其实也相对来的大
[00:47] 说明现在即便是卖产值
[00:49] 像Intel
[00:50] 市场上也并不一定会因此
[00:52] 受到更高的评价
[00:53] 似乎整个市场
[00:55] 都在用更理性的角度
[00:56] 来看待本场AI
[00:58] 是否能够有足够的营收来做回馈
[01:01] 要不然其实从上礼拜我们看到
[01:03] 不管是费办还是纳指的波动度
[01:06] 都在显著的加大
[01:07] 如果我们从市场上的波动率角度来做观察
[01:11] 会发现每年的7月
[01:13] 通常是美国股市的确相对疲惫的月份
[01:16] 过去5年7月的报酬率大概是-6%
[01:19] 21年到26年
[01:21] 已经连续6年
[01:22] 7月份都是收黑的
[01:24] 这好像没法打破这个魔咒
[01:27] 事实上我们看从去年
[01:30] 当时也是7月份的下节以后
[01:32] 引来了8月9月10月
[01:34] 当时AI用动机的上涨
[01:36] 所以能不能先有一个先蹲
[01:38] 后面后跳呢
[01:39] 毕竟过去几年的跌幅
[01:41] 其实都蛮重的
[01:42] 有的跌7%
[01:43] 有的跌4.7%
[01:45] 有的跌6.4%
[01:46] 有的跌8%
[01:47] 从单月跌幅来看
[01:48] 7月的确是大屠杀月
[01:50] 那我们就静看
[01:51] 现在随着7月底到来
[01:53] 8月初是否有机会
[01:55] 让本人的回调来到一定程度
[01:57] 因为这一次的下跌也不是毫无收获
[02:00] 至少我们从高盛的统计来看
[02:02] 整个26年上半年的南韩杠杆ETF规模
[02:06] 正在快速膨胀
[02:07] 可是在过去一个月下降幅度其实非常快
[02:11] 管理资产规模当时在6月中旬的高点
[02:14] 曾经一度来到500亿美元
[02:16] 可是从6月下旬到7月中左右
[02:19] 就做大幅度的修正
[02:21] 杠杆型ETF的资产规模和曝显
[02:24] 从当时最高是接近3.5%
[02:27] 现在瞬间下滑为2%
[02:29] 已经差不多回到五月底的水准了
[02:32] 虽然还是比五月初高了一些
[02:34] 可是你说本轮到底有没有去到杠杆呢
[02:37] 台股你可能觉得融资好像没怎么杀
[02:39] 的确
[02:40] 可是台股本轮其实上涨的幅度相对于韩国股市
[02:44] 也没有来得这么疯狂
[02:45] 因此可以显著的判定
[02:47] 至少本轮的降温有一点收获
[02:50] 那就是的确杠杆有蛮显著的去化
[02:53] 那刚好随着11月份美国期中选举的到来
[02:57] 我们按照过往经验
[02:58] 通常期中选举行情
[03:00] 它不是选前行情
[03:01] 很多人的理解都是因为期中选举要到了
[03:04] 所以为了要让市场有多一份政绩
[03:07] 所以我必须要拉股市
[03:09] 这是主流的说法
[03:10] 可是每一次我们都跟投资朋友提过
[03:13] 我们已经跟投资朋友陪伴好几次的期中选举了
[03:15] 不管是总统选举年还是期中选举年
[03:18] 通常都是在选后价格才有更为显著的带动
[03:22] 为什么呢
[03:23] 我们按照过往经验
[03:24] 通常标普白指数在7月到10月
[03:27] 会因为选举政策产生的不确定性而显出的偏弱
[03:31] 所以平均和中位数报酬率反而会因此而下滑
[03:35] 这件事情就意味着
[03:36] 在选前其实你不确定
[03:38] 到底川普共和党能不能持续绝对执政
[03:41] 所以他是有不确定性的
[03:43] 不确定性就要有更高的风险贴水
[03:45] 所以股价就要沉压的稍微大一点
[03:47] 可是在选后
[03:48] 不论是共和党是否达成了绝对执政
[03:51] 还是他接下来会受到民主党的钳制
[03:53] 杯葛
[03:54] 但是至少是确认了
[03:56] 所以当不确定性的消除
[03:57] 就是利多的展现
[03:59] 所以正常来讲
[04:00] 我们讲的期中选举年的多头行情
[04:02] 是期中选举结束之后
[04:04] 才开始发表的
[04:05] 我们从1974年以来
[04:07] 13次的美国期中选举年
[04:09] 历史数据发现
[04:10] 标普波动率
[04:11] 通常在选举数月前
[04:14] 开始显出放大
[04:14] 大概从7月开始放大
[04:16] 一路带到8月9月
[04:18] 然后10月来到全年高峰
[04:20] 月时限波动率有时候会超过20%
[04:22] 然后在11月开始环部的下滑
[04:25] 多头行情重新归来
[04:27] 所以如果我们用一个
[04:28] 中期回调的角度来看
[04:30] 看一下本年度
[04:31] 能不能符合过往的经验
[04:33] 就用一个季度的回调
[04:34] 让市场的情绪完全的清洗
[04:37] 让大家对于AI
[04:38] 再也没有任何的希望
[04:39] 让大家对于股市投资
[04:41] 再也没有意愿
[04:41] 其实大幅下跌也不好了
[04:43] 下跌有时候大家就揽起希望了
[04:45] 最好就给它盘叠盘叠盘整
[04:48] 或者说就一路盘整
[04:49] 类似去年10月份AI
[04:51] 熔洞记一样
[04:52] 盘了一阵子以后
[04:53] 市场的情绪就会慢慢的淡掉
[04:56] 那也许这个就是多头
[04:58] 或者长期投资者
[05:00] 投资的契机和机会了
[05:01] 但不管怎么说
[05:02] 因为这两年基本没有发生过
[05:05] 以前我们讲其中选举年的
[05:07] 这种一个季度的中期回调
[05:09] 那通常都是发生在川普以外的时代
[05:12] 川普时代发生以后
[05:14] 是不是川普允许股市盘整这么久
[05:16] 下跌这么久呢
[05:17] 那又是另外一个角度来做观察
[05:20] 稍后我们再做分析
[05:21] 但至少可以承认
[05:23] 现在市场主要受到两大因素影响
[05:26] 第一个就是中东局势推升了能源价格
[05:28] 第二就是AI投资所带来的庞大融资需求
[05:32] 我们知道波斯湾原油运输量
[05:34] 已经降到战前不到30%
[05:37] 如果和母子海峡
[05:38] 加上近代的红海又持续受阻的话
[05:41] 那的确让油价有进一步拉升的空间
[05:43] 不过其实油价
[05:44] 你看上礼拜五也是显著回跌
[05:47] 油价最近已经反映不少溢价了
[05:49] 那其实现在的状况
[05:50] 过去几个月都没有差太多
[05:52] 凭什么现在就要涨这么多呢
[05:54] 这是一种角度
[05:55] 另外一个当然就是资本支出的部分
[05:57] 我们就看本周
[05:58] 大型云端服务商
[06:00] 预估还会持续的加码AI的投资
[06:03] 应该是不会停
[06:04] 那问题就在于
[06:05] 那它的自由现金流表现情况怎么样
[06:07] 因为目前看起来
[06:08] 运营的现金流
[06:09] 看起来已经不足以支应全部的支出
[06:12] 那就必须要透过发债来筹资
[06:14] 从整个26年以来
[06:16] 全球AI相关的投资等级债和高收益债
[06:19] 还有杠杆贷款发行的规模已经高达4890亿
[06:23] 比25年的3220亿还要来得高
[06:25] 那其中今年有10笔超过200亿美元的大型融资案
[06:30] 几乎追过过去7年合计的11笔的记录
[06:34] AI相关债券占现在美元投资等级债发行的规模已经高达23%
[06:39] 高收益债甚至高达20%
[06:41] 那这就是今天我们要聊的两大重点
[06:43] 一个是用能源因子的外溢效果
[06:46] 连总会有没有可能突袭式的升息
[06:48] 那第二种呢
[06:49] 是来自于现在的债务膨胀
[06:51] 七巨头的本益比陆续的滑落
[06:54] 那难道本益比滑落到
[06:56] 20倍你不买
[06:57] 18 17 15倍
[06:59] 什么时候价值投资者的买盘才会出现呢
[07:01] 还是说价值投资者的买盘
[07:03] 已经被目前的资本支出的上行
[07:06] 债务的膨胀所形成的利空给打消了呢
[07:09] 这就是两种逻辑
[07:10] 一个是极其低到离谱
[07:12] 你要不要买
[07:12] 另外一个是AI借钱借到很夸张
[07:15] 你还敢不敢买
[07:16] 两者互相冲销
[07:17] 好那我们先回过头看
[07:18] 现在在中东局势的情况
[07:20] 其实目前伊朗战事爆发之后
[07:23] 沙尔的阿波已经大幅的调整石油的出口路线
[07:27] 现在利用横跨国内的东西输油管线
[07:29] 把原油运往鸿海的盐布港
[07:32] 所以其实上礼拜真正反映的
[07:34] 是来自于鸿海是否有进一步遭到
[07:37] 叶门湖赛武装所攻击所形成的类封锁
[07:41] 就是他当然没有能力做封锁
[07:43] 可是当保险费上涨到一定程度以后
[07:46] 其实跟封锁也差不多了
[07:48] 苏伊士运投现在当然也只是替代方案
[07:50] 他还没办法完全取代荷姆治海峡
[07:52] 可是至少各大波斯湾各国
[07:55] 都尝试的用其他方式来进行管线的替代
[07:58] 大家开始把目前的美伊战事视为常态化
[08:02] 尤其伊朗现在的王牌飞弹
[08:04] 的确越打越强
[08:05] 有没有发现
[08:06] 最近好像特别容易击中邮轮
[08:08] 之前好像美伊局势很紧张的时候
[08:10] 都没那么容易击中到
[08:12] 现在好像莫名其妙就可以打中
[08:14] 这次伊朗最短时间所使用的
[08:16] 叫做海巴尔破坏者
[08:18] 叫中程导弹飞弹
[08:20] 成为美军和盟友最头痛的威胁之一
[08:23] 那这款飞弹从2022年服役以来
[08:25] 的确造成的伤害
[08:28] 死亡人数并不高
[08:29] 可是精准度其实慢慢在提升那有些人说是用俄国或者中国的卫星所以射击的精准力度开始有所加强但是的确他已经对于各地区尤其波斯湾形成进一步的威胁
[08:42] 现在荷姆治海峡几乎又重新回到完全停止运送禁运的情况
[08:47] 那回过头说等同于原油价格
[08:50] 虽然不会说一路的就往上来做突破
[08:53] 毕竟现在紧张局是也没有比三个月前紧张嘛
[08:56] 可是啊他似乎在年限有支撑以后啊
[08:59] 几乎就保持在70到80美元的区间
[09:02] 那我们就看本轮
[09:04] 即便可能无法一次性的跌破
[09:07] 那能不能至少保持在这样的一个区间
[09:09] 比2026年年初稍微上一个台阶就好
[09:12] 就等于原油不期待你变成通缩
[09:15] 不期待你回到完全暂停的水准
[09:17] 可是可以不要上涨太多吗
[09:18] 我们回过头看伦敦布兰特原油
[09:21] 期货价格其实上礼拜五还大跌了3.8%
[09:24] 主要就是原本川普所预估的
[09:27] 采取进一步军事行动
[09:28] 看起来是延期了
[09:30] 那就一路延期
[09:32] 那就看油价会不会一路的下跌
[09:33] 西德州原油是下跌3.12%
[09:36] 基本上每桶大概收在90到96块左右
[09:40] 逼近百块美元
[09:41] 那你要说突然之间就回挡了10块美元
[09:44] 那也很刺激
[09:45] 那川普难道一个喊话就足以导致价格如此显著的回挡吗
[09:50] 其实这个时候要特别观察
[09:51] 因为似乎现在全球的需求正在自我降温
[09:55] 尤其是中国市场
[09:56] 中国市场真的是出现了非常神奇的一幕
[09:59] 从今年美伊战事开打之后
[10:01] 基本上对于中东的能源进口
[10:04] 就在高强度的缩减
[10:06] 那中国当然内部有这个产能上的一个调试
[10:09] 包括改换燃料
[10:11] 减少能源的使用等等
[10:12] 但是似乎亚洲市场的需求疲惫
[10:15] 是压回整个中东油价的主因
