[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 乖离休政
[00:31] 但是目前看起来
[00:32] 并没有持续的外溢到其他指数层面
[00:35] 那只是有一点卖压了
[00:37] 毕竟卖产值的跟挖金矿的还是有点联动
[00:40] 可是道琼指数反而在昨天
[00:42] 持续性的受到显著拉抬
[00:44] 这次可口可乐的财报
[00:46] 由于预期以后
[00:47] 加上昨天国际油价也算是明显回落
[00:49] 带动资金转进到消费
[00:52] 金融和医疗保险领域
[00:54] 所以表现其实还算不差
[00:56] 反而是晶片股的部分
[00:57] 这次回调幅度已经差不多杀到接近5月份了
[01:01] 半导体肋骨在昨天再度的空军集结
[01:04] 肺瓣是重挫了接近5%
[01:07] 美光SK海力是ADR下跌8%
[01:10] Sandisk下跌13%
[01:12] 我们看追踪科技类型ETF的XLK
[01:16] 已经跌到5月7号以来的最低水准了
[01:20] 那由于4月到5月这一段涨幅是比较夸张一点了
[01:23] 那会不会跌幅也很夸张呢
[01:25] 那就算跌幅很夸张
[01:26] 如果在半年线或者年线有支撑
[01:29] 那顶多就是从头来过
[01:31] 就把4月5月的行情抹去以后
[01:34] 重新做计算
[01:35] 可是到底我们看
[01:37] 美欧股市就目前资金轮动来看
[01:39] 是否已经有那种
[01:41] 从原本的晶片板块
[01:43] 回过头往传产的方向走
[01:45] 如果是如此的话
[01:46] 那似乎说明着
[01:48] 也不算是系统性的崩底
[01:49] 它更类似于
[01:51] 过去这一段惊人的行情
[01:53] 终于告了一段落
[01:54] 大家开始用比较合理的
[01:56] 本一笔评价来重新估算现在的行情
[01:59] 那另外一方面
[02:00] 我们也知道
[02:01] 这一次的AI多头
[02:02] 费办的部分在11000点
[02:04] 这条重要平台区如果跌破的话
[02:07] 那回到年限关卡
[02:09] 其实Range也蛮远的
[02:11] 因为费办的确现在就在重要的平台区
[02:13] 如果完全跌破
[02:15] 那可能往半年线年限来做
[02:17] 直接做的校正回归
[02:18] 虽然有可能直接做到超卖水准
[02:20] 但因为现在量能
[02:21] 跟6月比较起来
[02:23] 其实也低蛮多的
[02:25] 所以有没有可能一次性的赶底
[02:27] 把本轮的股灾下杀
[02:29] 一次性给解决掉
[02:31] 因为从四大指数来看
[02:32] 目前也仅仅只有费半处于技术性熊市
[02:36] 另外一方面
[02:37] 市场当然也重新审视AI投资循环的品质
[02:40] 现在很明显在财报过程当中
[02:43] 大家不会只看资本支出
[02:44] 我们看信用利差
[02:46] 债券市场的销售情况
[02:48] 待会我们也会细谈
[02:49] 也是现在投资人最为关注的重点
[02:52] 我们从三倍杠杆型的ETF
[02:54] 从这一波看得出来
[02:56] 第一波洗掉了
[02:57] 就连长期投资者投资废办了
[03:00] 我也不认为这一轮就会被洗掉了
[03:02] 那绩效已经这么漂亮了
[03:03] 涨幅都是百分之百了
[03:05] 过去几年以来持续性的做拉抬
[03:07] 那可能就是把5月6月
[03:09] 这一波高杠杆投资者做适度的清洗
[03:13] 我们看三倍杠杆半导体的ETF
[03:16] SOXL
[03:17] 它已经从300块跌到现在110 120了
[03:21] 哇那已经跌幅超过50%
[03:23] 高点买进的人
[03:25] 现在可能要反弹超过150%
[03:28] 才能够有机会回本
[03:29] 加上ETF本来在
