[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 那是否代表着巨头有开始获得新一轮资金的机会
[00:33] 那如果不是资金轮替
[00:35] 而是一个系统性的回调
[00:37] 那是不是也说明着
[00:38] 本轮的乖离本来就已经拉高非常久了
[00:41] 市多的回调也是为下一轮的多头来做铺垫呢
[00:44] 这一次晶片股的走落
[00:46] 其实还是伴随着Meta股价的大涨
[00:49] 所以资金还是有所轮动的
[00:50] 加上联总会主席华许在昨天表示
[00:54] 最近的通膨其实已经稍微有所缓解了
[00:57] 这位市场至少提供了部分
[00:59] 未来流动性预期的支撑
[01:01] 毕竟花絮强调
[01:03] 他会坚守央行2%的通膨目标
[01:05] 但是呢
[01:06] 如果通膨已经逐步缓解的情况底下
[01:09] 提前针对金融资产来做反应
[01:11] 那也许某种程度
[01:13] 这代表升息预期的缩窄
[01:15] 这个时候你会发现
[01:16] 行情走到这一步
[01:18] 波动开始以限度加大
[01:19] 昨天美光是跌了10%
[01:21] 现在韩国股市开盘
[01:22] 韩国股市大概也是跌了接近5%
[01:25] Sandisk跌幅也大概有10%
[01:28] 不过这些股票
[01:29] 今年涨幅是260%和750%
[01:32] 跌10%也还好
[01:34] 昨天台积电AD反而是中出了6.9%
[01:37] 这个慢压是比较沉重的
[01:39] 昨天才看到网友讲
[01:41] 有时候玩股票真的能够改变阶级
[01:43] 上周只是一个普通老百姓
[01:46] 这两天说实在有点想偷东西
[01:49] 上礼拜能够数条加大
[01:52] 这礼拜只能捡人家掉在地上
[01:54] 短短几天就成为百万富翁了
[01:58] 因为上周还是千万富翁
[01:59] 行情波动真的很剧烈
[02:01] 现在我们讲的是指数
[02:03] 动不动波动就7% 8%
[02:05] 好我们回过头来看
[02:06] 当然推动今年AI行情最重要的力量
[02:10] 就是投资人大量的买进科技股的看涨选择权
[02:14] 形成股价上涨波动率同步上升的迹象
[02:17] 那现在有趣的事情就是
[02:19] 其实科技股还在高位继续震荡
[02:21] 其实纳指也不算弱
[02:22] 甚至感觉有点在高位足底的迹象
[02:25] 可是我们看科技股波动率的VXN指数
[02:29] 它却是持续性的滑落
[02:30] 这说明着追逐AI概念股选择权的热度
[02:34] 其实正在降温
[02:35] 从数据上来做显示
[02:37] 也会发现4月份当时AI行情展开之后
[02:41] AI记忆体龙头股的看当选择权的溢价
[02:45] 也开始出现了首次的收敛
[02:47] 这也意味着
[02:48] 即市场情绪感觉快要恢复正常了
[02:51] 我们以VXN相较于大盘的波动率VIX
[02:55] 为此来看
[02:56] 现在还是属于相对偏高水平
[02:59] 但是从QQQ相较于小型股的ETF
[03:02] IWM或者螺丝2000的避险成本
[03:05] 多年来都处于历史高点
[03:07] 现在持续性的降温
[03:09] 都说明着至少大股票大家没有那么疯狂了
[03:12] 虽然谈过股市可能还是很疯狂
[03:14] 不过在美国股市看起来
[03:16] 大家至少都在退却当中
[03:18] 更加的理性看待
[03:20] 那这也导致了在整个二季度
[03:22] 也不是所有AI股都因此而受惠
[03:24] 目前仍然表现持续分化
[03:26] 我们以Enthorpe目前的生态系
[03:29] 相关概念股表现最为强劲
[03:32] 涨幅其实接近80%
[03:34] 那OpenAI生态系的涨幅也不差
[03:36] 大概是50%
[03:37] 不过如果是以过去涨高的Gemini的生态系
[03:41] Gemini大概平均而言
[03:43] 涨幅大概是20%
[03:44] 那反观如果是大型云端服务商
[03:47] 那涨幅就更有限了
[03:48] 今年平均甚至还逐步进入到收跌
[03:51] 这也说明着AI投资
[03:53] 其实已经进入了挑选时代
[03:55] 不再是必研买就会涨
[03:57] 我们如果从第二季AI概念股的
[04:00] 报酬率的离散程度
[04:02] 就分散的程度
[04:03] 现在又创高了
[04:04] 来到53个百分点
[04:06] 这说明以前我们都觉得
[04:08] 如果七巨头一直涨
[04:10] 其他股票都不涨
[04:11] 那离散程度已经很高了
[04:13] 之前都来到30%左右
[04:14] 现在七巨头不涨了
[04:16] 但是只涨记忆体
[04:18] 只涨部分废板
[04:20] 有很多股票也没涨到
[04:21] 反而离散程度来得更高
[04:23] 来到53
[04:24] 现在就代表着
[04:25] 半导体和基础设施
[04:27] 仍然是在二季度三季度行情的最大赢家
[04:31] 有些股价是持续的创高
[04:33] 但是有些股价则是明显的回落
[04:35] 从买AI花资料中心
[04:38] 盖钱的这些AI巨头厂商
[04:40] 现在变成挑选真正能够赚钱的少数AI
[04:43] 当然AI的交易降温
[04:45] 不过基本面倒是没有什么太大的波动
[04:47] 昨天我们有跟投资朋友提到
[04:49] 标普500指数和市场加权指数
[04:52] 一年的滚动相关系数是降到了79%
[04:55] 这个比历史的平均值96%大幅的创低
[04:58] 这就代表着
[05:00] 现在并不是所有股票同步涨跌
[05:02] 它是由个别公司的基本面来做决定
[05:04] 其实如果从总体来看的话
[05:06] 表现还不错
[05:07] 标普整体而言
[05:09] 在二季度到三季度
[05:10] 预估还是会有20%到25%左右的EPS成长
[05:14] 可是问题在于
[05:15] 明年的资本支出
[05:16] 到底会呈现什么模样
[05:18] 大家又开始相对拘谨了
[05:20] 原因就来自于
[05:21] 如果我投那么多钱
[05:23] 以前都是每多投一块钱
[05:25] 股价就会多上升
[05:26] 因为市场会看好
[05:27] 你在未来AI的垄断可能性
[05:29] 可是我现在每多投一块钱
[05:31] 我发现市场好像不买单
[05:33] 对于股东利益来说
[05:36] 股东就没有那么希望
[05:38] 你砸钱速度这么快了
[05:39] 这是一个很好理解的
[05:40] 这所有的CEO的决策
