[00:00] 投资品欢迎收听早晨财经速解读
[00:03] 现在是台北时间2026年7月30号
[00:06] 礼拜四早上8点30分
[00:07] 大家早上好我是雪婷
[00:08] 每天早上开会前半小时
[00:10] 我们在这边陪伴着各位一起解读国际财经新闻时事变化
[00:14] 感觉有点痛了
[00:15] 美欧股市周三是尾盘击杀
[00:18] 联准会这一次的决议维持利率不变
[00:20] 不过有三名的决策官员是主张要升息
[00:24] 代表着利率的沉压对于市场的融资成本开始有效提升
[00:28] 那长天期美国十年期供债殖利率
[00:31] 不管是十年期二十年期三十年期
[00:33] 陆续在走高
[00:34] 三十年期已经创下本世纪的新高
[00:36] 在这样的一个过程当中
[00:38] 原油价格也在中东战事的升温底下重新的大涨
[00:42] 让市场上针对九月份的升息预期开始显著提升
[00:46] 那到底有没有机会能够在九月份开会以前
[00:50] 让中东局势能够有所瓦解呢
[00:52] 至少在美国股市涨最高的杀最凶
[00:56] 昨天其实纳指和标普
[00:58] 大概是跌了1.5%左右
[00:59] 真正跌最重的还是费半
[01:01] 不过那个尾盘杀下去也很快
[01:04] 你看标普500的ETF SPY
[01:07] 它在短短几分钟之内
[01:09] 每股重挫超过10美元
[01:11] 不仅是完全回吐了
[01:13] 本来是上半天的涨幅
[01:14] 更是直接跌破了盘中的低点
[01:17] 创下当日的新低
[01:18] 那如此快速的下杀
[01:20] 这也显示的这一次的FED会议
[01:22] 科技巨头的财报
[01:24] 还有AI投资的疑虑
[01:25] 多重因素的交错之下
[01:27] 我们看这个城市交易
[01:29] 或者动量交易的卖压是瞬间涌现的
[01:32] 其实我们已经很明显感受到
[01:34] 在过去几年的行情当中
[01:36] 越来越有那种动能交易的影子在其中
[01:39] 就涨的时候特别快
[01:41] 跌的时候也特别快
[01:42] 甚至在散户的交错底下
[01:44] 拥挤交易也成为了常态
[01:46] 一下搞被动元件
[01:47] 一下搞黄金
[01:48] 一下搞白银
[01:49] 好像只要点了一个题材
[01:51] 市场所有的资金流向
[01:53] 都在往单一题材来做挺进
[01:55] 好那等同于在短短两周之内
[01:58] 全球的金融市场已经出现了多项变化
[02:01] 首先就是中东局势还没有完全落幕
[02:03] 可是市场上已经开始为长期的供应链的锻炼来做准备
[02:08] 而中东局势虽然不会导致云油价格创高
[02:11] 可是光是维持在八九十块
[02:14] 它就会对于未来的抗通膨压力形成更大的冲击
[02:17] 再来就是华许首次主持利率决策会议之后
[02:21] 基本上都保持着2%的目标通膨区间
[02:24] 代表的是对于市场快速降息的期待
[02:27] 几乎完全打消
[02:28] 大家只能期待
[02:30] 有没有可能年底是五码
[02:31] 不要升息就好了
[02:33] 这是大家的唯一期待
[02:34] 再来就是市场焦点
[02:36] 从六月份当时杠杆型的ETF
[02:39] 还有SpaceX上市之后的剧烈波动
[02:41] 股价先大涨后大跌
[02:43] 那也反映出股东解禁卖压
[02:46] 和被动型基金纳入之后
[02:48] 所带来的买盘的重新角力
[02:50] 那这些事情都意味着
[02:51] 市场上在六月七月
[02:53] 因为买盘还是持续在高位
[02:55] 说明着多空角力持续
[02:58] 说明本轮有一个大换手
[03:00] 那到底本轮换手的买家是最后的赢家
[03:03] 还是卖家呢
[03:04] 我们就拭目以待
[03:05] 从两个角度来做观察
[03:07] 一个就是联准会当前所释出的利率氛围
[03:11] 第二就是目前的去杠杆情况
[03:13] 来看看市场筹码面
[03:15] 这一波洗得干不干净
[03:16] 先看联准会的利率决策会议
[03:18] 这一次是维持在3.5到3.75%区间
[03:21] 没有意外的升息
[03:23] 基本上升息预期大概是反映在9月份左右
[03:26] 不过本次会议最大的变化
[03:29] 并不是利率决策本身
[03:30] 而是联邦公开市场委员会FOMC
[03:33] 内部对于政策的方向
[03:35] 看起来有明显的分歧
[03:37] 已经有多位官员考虑
[03:39] 应该要重新考虑升息来压抑通膨
[03:41] 如果细看
[03:42] 这一次是三位票委投下反对票
[03:45] 这个应该是2016年9月份以来
[03:47] 最多的反对票记录
[03:49] 三位的反对票
[03:51] 分别是克里夫兰的联准银行总裁哈马克
[03:54] 还有米尼亚波利斯的联总会总裁卡什卡利
[03:58] 还有达拉斯的联总会总裁罗根
[04:01] 反而之前跟川普不对盘的Lisa Cook
[04:04] 或者鲍尔
[04:06] 他们反而是维持当前利率不变
[04:08] 你说才三个人反对
[04:10] 有点意见不正常
[04:12] 应该讲说内部意见不一致
[04:15] 那不是一个很正常的事情
[04:17] 没错
[04:17] 联总会内部经常会意见不一致
[04:20] 可是通常是反映在
[04:22] 未来的利率点阵图当中
