[00:00] 投資朋友歡迎收聽早晨財經速解讀
[00:02] 現在是台北時間2026年7月31號禮拜五
[00:05] 早上8點31分
[00:07] 大家早安我是劉廷浩
[00:08] 每天早上開播前半小時
[00:09] 我們在這邊陪伴著各位一起解讀國際財經新聞時事變化
[00:13] 今天換我開始焦慮了
[00:15] 沒買夠怎麼辦啊
[00:17] 我跟你講這一波
[00:18] 有人因為套牢而焦慮
[00:20] 有人因為斷頭而焦慮
[00:22] 有人現在可能一天要被嘎2000點而焦慮
[00:26] 但是行情就是這樣子
[00:27] 你永遠找得到擔心的點
[00:29] 涨了交易买不够
[00:31] 跌了又害怕再被套
[00:32] 停损担心砍在阿呆股
[00:35] 抱着又怕一路掉
[00:37] 空手你又怕它继续涨
[00:38] 满手你又怕它明天到
[00:40] 所以有时候我们行情走到这个地步
[00:43] 还是要了解自己的投资原则和初心为何
[00:45] 对对对可以开除老板了现在
[00:47] 但我们要回过头说
[00:48] 现在美国股市台北股市
[00:51] 其实本轮的下旬
[00:52] 今年年初期一直以来都是正报酬
[00:54] 南韩股市即便从上方跌下来
[00:57] 跌了接近有30%到35%
[01:00] 可是它今年涨幅都还有40%
[01:02] 即便都已经跌了这么多
[01:04] 很多人想说
[01:05] 哈哈
[01:05] 囤了一整年的现金
[01:07] 现在终于可以进场了
[01:09] 一年前你买大盘
[01:10] 到现在还赚70几%呢
[01:12] 所以我们才讲说
[01:13] 即便可能适度的留有现金来做加码
[01:16] 它是一个明智的选择
[01:18] 可是你要了解说
[01:20] 浪费资金效率其实也是如此
[01:22] 好我们看这边美国股市
[01:23] 在周市是集体回暖
[01:25] 摆脱了前一天交易日
[01:27] 说到联准会维持利率不变
[01:29] 所引发的猛烈卖压
[01:31] 这一次微软财报是优于市场预期
[01:34] 加上半导体类股
[01:35] 同步展开了报复性反弹
[01:37] 费办指数
[01:38] 昨天一天涨了8%
[01:41] 纳斯达克指数大涨接近3%
[01:43] 终止了连续6个交易日的下跌
[01:46] 道琼也上涨了接近600点
[01:48] 那这一波微软一天就飙涨了16%
[01:51] 微软终于硬了
[01:52] 也创下了18年来的最佳单日表现
[01:55] 也创下了全球史上企业最大的单日市值增长记录
[01:59] 那这个时候对于记忆体股的拉动
[02:02] 是否对于资本支出有新一波的信心呢
[02:05] 昨天SK还历史
[02:07] ADR也急涨了是7.5%
[02:09] 美光狂涨18%
[02:11] Sendex飙涨25.9%
[02:13] 当然我们知道下跌这么久
[02:15] 这种显著的空头回补反弹
[02:18] 本来力度就会稍微大一点
[02:20] 可是更重要的关键来自于
[02:22] 那市场的叙事是否会跟着改变
[02:24] 尤其本波下跌的主要元凶
[02:27] 主要元凶也就是杠杆的问题
[02:29] 是否已经成功的去化
[02:31] 事实上就算是去化
[02:32] 也不代表反弹就一定要一路创高
[02:34] 但至少可以让本轮有阻底的可能性
[02:38] 毕竟本轮杀杠杆是目前最终的要职
[02:42] 如果杠杆能够顺势的做清洗
[02:45] 也许就能够达到阻底的条件
[02:47] 我们看科技股期到目前为止
[02:48] 上方还是沉压很大
[02:50] 因为很多中长期均线
[02:53] 包括月线季线
[02:54] 都有可能已经开始拐头下弯
[02:56] 形成反压
[02:57] 不过目前杠杆型的ETF
[02:59] 我们按照小摩的统计
[03:01] 已经有85%的前期新增部位
[03:04] 已经被平仓
[03:05] 也就是预估
[03:06] 今年1到2月份的杠杆开启者
[03:09] 也许还没有被洗掉
[03:10] 可是在4月5月6月
[03:13] 85%的前期新增部位
[03:15] 大概已经被平仓了
[03:16] CTA也大致撤出
[03:18] 纳斯达克 韩股 台股和日股
[03:20] 等科技权重市场
[03:22] 大家的买进买全的热度都在明显下滑
[03:25] 韩国股市尤为明显
[03:26] 那历史上通常也不代表说
[03:29] 接下来就是报复性反弹
[03:30] 而是历史上通常在杠杆显著降温之后
[03:33] 很容易进入到盘整区间
[03:34] 量能可能还是会持续进行搜索
[03:37] 毕竟当时由杠杆所推弃的
[03:40] 不管是台股的当充量能
[03:41] 肯定会在市场去杠杆之后
[03:45] 资金量会稍微少一点
[03:46] 我们根据摩根大通的统计
[03:48] 截至到昨天为止
[03:50] 纯动能因子从高点大概回落19.1%
[03:53] 比大盘动能更重挫15.6%
[03:56] 已经超越了25年2月份
[03:58] 22年和20年
[03:59] 历次10%的修正幅度
[04:01] 这代表着市场其实
[04:03] 从动量交易的角度来看
[04:05] 正在快速的从那些高估值
[04:07] 高永久交易的AI和成长股来撤出资金
[04:10] 它不代表要跌
[04:11] 那就不玩了
[04:13] 就是这一波即便反弹了
[04:14] 记忆体的热度
[04:15] 还有被动元件的热度
[04:17] 看起来都能够有望显做的降温
[04:19] 那更重要的事情是
[04:21] 7月所建立的市场大规模去杠杆
[04:24] 它好处就是因为最后一天大谈
[04:26] 那最后一天大谈就代表着
[04:28] 至少月线不会太难看
[04:30] 当然了
[04:31] 最剧烈的卖压或许已经接近尾声
[04:33] 不过地缘政治的问题
[04:35] 联准会的紧缩政策问题
[04:38] 还有企业财报的叙事问题
[04:40] 还是会推升市场波动
[04:41] 毕竟CDS价格没有回挡多少
[04:44] 昨天10年级公债殖利率
[04:46] 30年级公债殖利率也没有回挡多少
[04:48] 现在机构投资人
[04:50] 已经认为当前市况稍微健康了
[04:53] 但总体总杠杆仍然处于
[04:55] 近五年的第93个百分位
[04:57] 就代表着是
[04:58] 你看现在的量能
[05:00] 现在其实持押的人还很多
[05:02] 融资的确被清洗了一批
[05:04] 但是你觉得
[05:05] 今年年初去搞持押
[05:07] 去买ETF
[05:08] 买台积电
[05:08] 买联发科的那些人
[05:10] 他会因为本波的下跌停损吗
[05:12] 买国具差不多
[05:13] 买联发科也可能
[05:15] 买台积电买0050的
[05:17] 我们知道今年年初很多人这样子搞
[05:19] 你觉得质押会被它洗掉吗
[05:21] 大盘又叠得不够重
[05:22] 所以从整个26年以来
[05:24] 美国股市也是一样的概况
[05:26] 美股的ETF资金
[05:28] 共同基金两个持续加总之后
[05:31] 高达6590亿
[05:33] 创下历史新高
[05:34] 所以即便在7月份
[05:35] 我们知道全球股市是受到显著重挫
[05:38] 可是从7月份以来
[05:40] 美国的被动式基金ETF资金流入量仍然持续走高
[05:44] 今年大概是7500亿
[05:46] 这就说明着
[05:47] 看起来大家没有在怕的
[05:49] 至少从长期投资者而言
[05:51] 你越跌我越买
[05:52] 在整个7月份
[05:54] 单月流入金额是340亿美元
[05:56] 这个很明显
[05:58] 去年同期的时候
[05:59] 7月份还流出350亿
[06:01] 今年居然流入这么多
[06:03] 你其实可以理解说
[06:04] 市场上
[06:05] 对于当前的下跌概况
[06:07] 去年是股市上涨
[06:09] ETF资金流入还没有大幅走高
[06:11] 现在是股市下跌
[06:12] 反而大家长期买盘已经逐步进驻
[06:15] 那你说能够完全把
[06:17] 你说散户筹码完全清理干净吗
[06:19] 其实就是洗洗杠杆而已
[06:20] 当然了
[06:22] 美国在其中选举前后
