[00:00] 投资朋友欢迎收听早晨财经速解读
[00:03] 现在是台北时间2026年7月3号礼拜五
[00:06] 早上8点32分
[00:07] 大家好我是游婷号
[00:09] 每天早上开盘前半小时
[00:10] 我们在这边陪伴着各位一起解读国际财经
[00:13] 新闻时事变化
[00:14] 稍微晚到一下
[00:15] 刚才在看C螺
[00:17] 所以行情走到这一步
[00:19] 到底是否内部会产生资金轮动呢
[00:22] 就有时候我们会对于他有过高的期待
[00:24] 觉得有时候他好像又跟队友有一些嫌隙
[00:27] 结果始终会反映它的实力
[00:30] 基本面也是如此
[00:31] 前两天我演讲的时候
[00:33] 才跟大家聊到说
[00:34] 我们都知道有狗鱼主人理论
[00:37] 有时候有些人会牵到的是
[00:39] 马尔济时
[00:41] 波动率比较低的市场
[00:43] 可能像这几年的标普500
[00:44] 好像这几年入港股
[00:47] 或者我们看到欧洲股市
[00:49] 相对比较平稳一点
[00:50] 有时候我们牵到的是黄金猎权
[00:53] 但是有时候
[00:54] 如果我们牵到的是藏敖
[00:56] 线断掉该怎么办呢
[00:58] 所以在投资的过程当中
[01:00] 各大指数都有自己的惯性和波动
[01:02] 但并不代表所有指数
[01:04] 最后都能够成功的创高
[01:06] 它还是受惠于
[01:07] 在AI国家层面的竞争
[01:10] 所给予的整体回馈报酬
[01:12] 巴菲特说过
[01:13] 其实投资久了
[01:14] 最后还是在赌国运
[01:16] 好 那我们今天就要回过头来说
[01:17] 川普的金元梦
[01:19] 这次又点名了台积电
[01:20] 对于美国AI的国力增长
[01:23] 他的态度为何
[01:24] 与此同时我们也来了解
[01:26] 最近非农就业数据的公布
[01:28] 台湾失业率的公布
[01:29] 日本失业率的公布
[01:30] 是否都意味着
[01:32] 全球针对人力需求的需求
[01:35] 越来越高呢
[01:36] 毕竟如果呢
[01:38] 不管非农再怎么爆人
[01:39] 失业率都还在偏低
[01:41] 台湾现在缺工率又越来越高
[01:43] 那是否我们针对AI的投资
[01:45] 也停不下来呢
[01:46] 今天来跟投资朋友
[01:47] 多做一些探讨了
[01:48] 美国股市周市走势
[01:50] 是比较分歧的
[01:51] 受到科技股走弱的影响
[01:53] 纳斯达克指数是收跌
[01:54] 不过美国就业数据低于市场预期
[01:57] 这也让原本大家的升息预期担忧开始下滑
[02:01] 昨天反而是资金在轮动
[02:03] 我们看到穷指数是大跌了接近600点
[02:06] 创下历史的收盘新高
[02:08] 所以不要看到废办下跌就睡公园
[02:11] 你都忘了有些人是买到穷的呢
[02:13] 标普牌指数上涨0.01点
[02:15] 上在7483点
[02:19] 波动并不大
[02:20] 达克指数是下跌207点
[02:22] 0.8%
[02:23] 收在25832点
[02:26] 费半的确是跌幅稍微重一点
[02:28] 跌了727点
[02:30] 5.44%
[02:31] 收在12626点
[02:33] 感觉好像有一点在挑战本轮的平台期的下缘
[02:37] 那当然了
[02:38] 因为费半本轮涨幅已经很高
[02:40] 稍微碰到季线
[02:42] 守住这个平台好像也没有什么太大问题
[02:44] 毕竟乖离已经拉高非常久了
[02:47] 事实上如果是以过去14个月的滚动报酬来看
[02:50] 整体肺瓣的涨幅已经高达237%
[02:54] 哇这个涨幅已经超过了
[02:56] 2000年当时连续14个月上涨234%的水准
[03:01] 换句话说
[03:02] 本轮的硬体股已经超越了
[03:04] 网际网络的泡沫时期
[03:06] 那当然本轮的本益比
[03:08] 相对于2000年又相对低了非常多
[03:12] 这就形成有趣的迹象
[03:13] 单从绩效来看是有一点泡沫的
[03:16] 可是如果以获利追上的速度
[03:19] 其实废办反而没什么泡沫
[03:21] 大家反而觉得泡沫是集中在七巨头
[03:23] 而七巨头刚好涨幅又不是特别多
[03:26] 所以我们才会有这样的一个论调
[03:27] 如果我们知道AI行情的最终投射
[03:31] 是盖这些资料中心的人
[03:32] 是否能够有具体的营收回馈
[03:34] 那么他们如果股价涨太多
[03:37] 我们就要予以谨慎
[03:38] 问题是他们刚好就涨不多
[03:40] 而现在卖产值立即马上有现金回馈
[03:43] 每一次股价一涨高
[03:44] 下个季度本益比马上又下滑的
[03:46] 就是废办
[03:47] 所以从整个二季度来看
[03:49] 根据德意志银行的统计
[03:50] 二季度金融市场其实也是非常脱钩的
[03:53] 费办是一个二季度
[03:55] 它单季就上涨了接近88%
[03:57] 南韩COSPI指数上涨是64%
[04:00] 它们都是1990年代指数成立以来的最佳的单季表现
[04:05] 事实上另外一方面
[04:07] 商品和避险资产的表现就明显转弱
[04:10] 布兰特原油在二季度是重挫了38.4%
[04:13] 这个是20年疫情爆发以来的最大单季跌幅
[04:18] 黄金是下跌14.1%
[04:20] 白银是下跌了22%
[04:22] 这看得出来
[04:23] 大宗资产还有贵金属价格
[04:26] 压力其实算是蛮大的
[04:27] 这个都陆续结束了
[04:29] 过去连续5季的上涨
[04:30] 我们要知道
[04:31] 从去年中旬开始
[04:33] 其实很多大宗资产表现就非常亮丽了
[04:36] 那现在呢
[04:37] 比特币在二季度也下跌了14%
[04:40] 累积以来跌幅来到33%
[04:43] 在整个二季度表现比较差的
[04:45] 除了一些避险资产
[04:47] 贵金属资产
[04:48] 还有比特币以外
[04:49] 另外一个是鹿港股市
[04:51] 鹿港股市必须承认
[04:53] 主要是因为港股的组合成分
[04:56] 有很大是属于消费性的电商股
[04:59] 那这一波并没有受到那种
[05:01] 废办硬体股的显著带动
[05:03] 所以它也会根据内部指数的权重
[05:06] 有比较大的一个区别
[05:07] 毕竟港股
[05:08] 其实你仔细想想看
[05:10] 前面几名腾讯阿里
[05:11] 那都是电商平台经济或者消费服务
[05:14] 那AI投资尚未有效的转化成获利
[05:17] 所以就造成
[05:18] 各大指数的失之绩效表现
[05:21] 其实就并不太一样
[05:22] 那你要知道
[05:23] 现在很多人看到股票回跌了
[05:25] 房子已经一两年卖不掉了
[05:29] 黄金修正了
[05:30] 就觉得像是一笔失败的投资
[05:32] 也不要这么认为
[05:34] 你真正决定价值的
[05:36] 它并不是眼前的价格
[05:38] 那只是整个人生资产配置当中的一环而已
[05:41] 你要了解你当时买进这项资产
[05:44] 长期拥有的原因为何
[05:45] 做资产配置
[05:46] 用半年度的绩效来看待
[05:48] 那你还是有点交易的感觉
[05:50] 这给投资朋友做些思考
[05:52] 前两天才在脸书看到
[05:54] 讲说13万买的比特币
[05:57] 现在6万了
[05:58] 5500买的黄金
[06:00] 现在4000了
[06:01] 120块买的白银
[06:03] 现在剩下50了
[06:05] 1000万买的房
[06:06] 已经两年卖不掉了
[06:08] 只剩下20岁时嫁的老公
[06:11] 现在50多了
[06:12] 肚子大的跟什么似的
[06:14] 所以有时候开玩笑
[06:15] 很多人好像只习惯看
[06:17] 那个买入价跟现在的价格
