[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 半导体型的ETF
[00:31] 都受到了一个比较大的沉压
[00:33] 那虽然因为从今年4月份以来
[00:37] 半导体股市平均指数涨幅
[00:40] 是接近100%
[00:41] 所以回挡从高点这样子下来
[00:43] 跌15%好像也不算什么
[00:45] 但至少让整个6月份
[00:48] 已经形成第一波的卖压套牢量
[00:50] 那是否会持续延续到整个7月份呢
[00:53] 今天我们就来具体观察
[00:55] 到底目前费办的集体卖压
[00:57] 是属于记忆体行情见顶的机会
[01:00] 还是说只是内部的资金开始轮动
[01:03] 做休息呢
[01:04] 也许回归到季线
[01:06] 甚至到半年线
[01:07] 半年线就跌得有点重了
[01:09] 也许就能够达到更进一步的资产周期的衍生
[01:12] 或者说内部的轮动
[01:14] 毕竟市场针对记忆体产业
[01:16] 在价格下跌的过程当中
[01:18] 鬼故事就出来了
[01:19] 现在大概几种嘛
[01:21] 第一种是传出Meta
[01:22] 可能会缩减HBM等AI记忆体的订单
[01:25] 因为计划将部分的闲置AI伺服器对外出租
[01:29] 引发需求降温或者产能过剩的冲击担忧
[01:32] 那第二个呢是中国的机体大厂
[01:34] 长期存储
[01:35] 最近是打出有机会能够真的打进iPhone供应链
[01:39] 那甚至连苹果都已经的确承认
[01:42] 目前正在跟中国厂商来洽谈
[01:44] 大家会担心是否会冲击到
[01:46] 接下来三星SK海力士或者美光原本具有的实战率
[01:51] 那第三就是上礼拜韩国宣布
[01:53] 投入高达800兆韩元的
[01:55] 大型记忆体产业聚落
[01:57] 那很多人会觉得
[01:58] 如果连韩国都要大扩产
[02:00] 那是否产业的景气会接近高峰
[02:03] 未来的供给可能会大幅增加
[02:04] 当然我们稍后会仔细分析
[02:07] 这三项利空
[02:08] 其实都缺乏足够的证据
[02:10] 来说服目前记忆体行情见顶
[02:13] 不过至少是目前股价下压
[02:15] 卖出的理由
[02:17] 那我们待会就从这些证据当中
[02:18] 寻找一些蛛丝马迹
[02:20] 那如果是从宏观层面来看
[02:22] 那也几乎不用担心
[02:23] 因为呢
[02:24] 废办本来就已经是
[02:26] 整个二季度当中涨幅最高的
[02:28] 涨100%跌15%
[02:30] 真的就只是
[02:31] 算是正常的波动区间
[02:33] 其实如果细节观察
[02:35] 今年啊
[02:36] 好赚的钱啊
[02:37] 基本就是集中在
[02:38] 卖铲子的这些企业
[02:39] 那如果是一部分科技股啊
[02:42] 以大型股票来看
[02:43] 硬柴今年涨了62%
[02:45] 科类涨了55%
[02:46] 所以资金的确
[02:48] 就算把记忆体的资金
[02:50] 做适度流出
[02:51] 那也不代表上游的设备
[02:53] 或者光通讯
[02:54] CPU OEM或者ODM的供应链
[02:57] 就会因此而受到相当大的衬压
[02:59] 所以大家会关注的是
[03:01] 下一轮的财报季
[03:02] 投资人第一观察AI的采用率
[03:05] 如果AI大家还是使用越来越多
[03:07] 那怎么可能未来
[03:08] 对于这些实体的硬体需求
[03:10] 会有多大的衰退呢
[03:12] 再来就是Token的使用量
[03:13] 云端的资本支出
[03:15] 2026年以后的能见度
[03:18] 这些数据
[03:19] 都是接下来大家会观察的重点
[03:21] 所以现在看到了一个检验的时刻
[03:24] 当然我个人认为更有可能的是属于从原本的单压
[03:29] 可能从记忆体持续进入到选择性的扩散
[03:32] 就从工业股现在受惠于油价的回落
[03:36] 那PNI的循环在改善
[03:38] 船产的确开始有后续跟上的感觉了
[03:41] 航空燃油成本的下降
[03:43] 然后资料中心建设的需求
[03:45] 外溢效果
[03:46] 电网的铺设
[03:47] 那这些都是有机会
[03:49] 让其他产业有机会带动的
[03:51] 要不然资金集中在硬体股是在太久了
[03:54] 我们不是说一定要回软体股
[03:56] 而是说那也可以回到重电股
[03:58] 回到基础建设概念股
[04:00] 这是大家值得观察的重点
[04:02] 毕竟整个26年上半年
[04:04] 美国股市除了废办以外
[04:06] 其实其他指数涨幅也没有到很夸张
[04:08] 纳指甚至有点头部
[04:10] 标普白指数整个上半年涨幅也才10%
[04:13] 如果年底还是收在这个价位
[04:16] 当然它有两种突破
[04:17] 第一种突破
[04:18] 那就是今年涨幅没有特别的高
[04:21] 它是一个相对低基期的指数
[04:23] 第二个
[04:24] 它是过去68年以来
[04:26] 第二次连续四年出现双位数字的报酬
[04:29] 所以10%虽然不多
[04:31] 可是连续四年都是双位数字的报酬
[04:35] 那也很少见
[04:36] 前一次是1995年和1999年的五年大涨
[04:40] 所以我们的概念是
[04:41] 这种行情它有两个意涵
[04:43] 第一个意涵是
[04:45] 它长得没有很夸张
[04:46] 可是它长得很健康
[04:48] 那第二个角度呢
[04:49] 是它现在的涨幅规模
[04:51] 如果按照历年来做观察
[04:53] 它有一点行情的暗示
[04:56] 就告诉你
[04:56] 它突破库存循环了
[04:58] 就以前我们讲说
[05:00] 美欧股市很少连续出现
[05:02] 四年的双位数字报酬
[05:03] 根本原因就来自于
[05:05] 两到三年
[05:06] 它也许不是从年初跌到年尾
[05:08] 它一定要做一个比较大的修正
[05:10] 要反映两到三年一次的库存循环
[05:12] 所以去年手机比电卖的好不好
[05:15] 不是很好
[05:16] 今年你觉得会卖的好吗
[05:18] 今年看起来也不是很乐观
[05:19] 可是手机和消费性电子
[05:21] 已经不再去阻拦
[05:23] 或者说不再去影响
[05:25] 当前的市场氛围
[05:26] AI伺服器的需求
[05:27] 已经远远大于
[05:29] 这些消费性电子产品了
[05:30] 最终所导致的结果就是
[05:31] 第四年了
[05:32] 出现双位数字的报酬
[05:34] 但是大家已经开始习以为常
[05:36] 因为订单量还在持续增高
[05:38] 这就是消费性电子循环的破坏
[05:40] 当然今年涨势
[05:42] 也不只是集中在大型科技股
[05:44] 标普的等权指数是上涨了12%
[05:47] 小型股市大涨了23%
[05:49] 说明从七巨头层面
[05:51] 已经开始出现
[05:52] 比较显著的外溢
[05:53] 如果我们从高盛所统计的
[05:55] 各类型股票
[05:56] 记忆体年初到现在
[05:58] 涨幅是250%
[05:59] 资料中心是115
[06:01] AI半导体是101
[06:02] 那亚洲市场
[06:03] 韩国股市是102
[06:05] 台湾加权指数是接近60%
[06:07] 日金是40%
[06:08] 那其他资产
[06:10] 还是有小型股的轮动
[06:11] 所以回过头来说
[06:12] 现在我们要探讨的几大方向
[06:14] 第一大方向
[06:15] 是由本波AI半导体所引起的通膨预期
[06:19] 能否借由石油价格的回跌来互相冲销
[06:22] 那第二
[06:23] 把通膨的问题解决之后
[06:25] 那记忆体到底有没有见顶的压力呢
[06:27] 到底整个库存面
[06:29] 是不是现在已经过度透支了未来的股价
[06:31] 来跟投资片做一些观察
[06:33] 首先我们看的是
[06:34] 从川普的建国250周年的演讲来做回归
[06:39] 因为这一次他是高度肯定
[06:41] 他在耶朗所采取的行动
[06:43] 表示美国已经持续性的摧毁伊朗的军事力量
[06:47] 那我们要清楚知道
[06:48] 虽然现在我们知道谈判好像有点僵局
[06:51] 到底90天内能不能谈出一个结果
[06:54] 不重要
[06:54] 重点是一直到目前为止
[06:57] 荷姆兹海峡的游轮仍然是进行全面的恢复通行
[07:01] 也就代表着天然气的运输已经开始恢复
[07:04] 但航行方向有稍微改变
[07:06] 最新的观察显示
[07:07] 有6艘游轮和天然气船会选择沿着阿曼海岸
[07:10] 经过美军的保护航道来做通行
[07:13] 也有部分船只是靠近伊朗的海岸
[07:16] 离开波斯湾
[07:17] 简单来讲就是
[07:18] 双方要么就是跟美方先打过招呼
[07:22] 那美国就伴随着你离开
[07:23] 要么是跟伊朗打过招呼
[07:25] 让伊朗看着你的船离开
[07:27] 但是如果你从中间离开
[07:29] 那两方都不知道的话
[07:30] 容易被收到攻击
[07:32] 所以目前海峡的中央水域
[07:34] 按照目前西方海军的警告
[07:36] 还是有水雷
[07:37] 所以仍然属于高度威胁
[07:39] 但是沿岸走
[07:41] 第一可以规避安全
[07:42] 第二可以让人家提前知道
[07:43] 你这个船只要通过
[07:45] 那就算不能通过
[07:46] 他也会提前告诉你
[07:47] 这样就不会被飞弹直接进行攻击
[07:50] 那当然回过头说
[07:51] 英国金融时报的最新民调
[07:53] 多数选民在建国250周年
[07:56] 对于伊朗战争的评价
[07:58] 其实结果并不是特别好
[07:59] 结果显示58%的受访者
[08:01] 认为美国对于伊朗的战争
[08:03] 不值得付出这样的代价
[08:05] 44%认为这场冲突
[08:07] 在美国对伊朗的关系中处于劣势只有31%认为美国地位因此变得更强它其实是一个反转我们要知道在今年1到2月份其实在委内瑞拉事件以后
[08:19] 国人或者说选民对于川普
[08:22] 对外采取军事行动的态度
[08:24] 抱持的是相当正面的
[08:26] 包括在第一次斩首哈梅尼的时候
[08:29] 基本上市场上选民给他的评价
[08:32] 仍然是高达60%以上
[08:34] 认为这是一个果断的军事行动
[08:35] 但是时间是最大的敌人
[08:37] 如今整个民调进行反转
[08:39] 所以这代不代表川普当时采取的行动是错的
[08:42] 这不一定
[08:43] 因为当时民意是支持的
[08:45] 但是时间拖太久
[08:46] 影响到我的荷包
[08:47] 影响到我的通膨
[08:48] 选民就改观了
[08:50] 这是我认为最直观的因素
[08:51] 所以才要立即把通膨问题给解决
[08:54] 尤其美国政府目前已经向国会申请了
[08:57] 670亿美元的联邦预算
[08:59] 用于支付至今的战争支出
[09:01] 到目前为止
[09:02] 还是有大量的军事支出在东东
[09:04] 那民调也反映出
[09:06] 战争已经开始影响到国内的政治
[09:08] 现在受到油价和民生物价的影响
[09:11] 川普的施政支持率
[09:13] 已经降到了36%
[09:14] 比上个月又跌了两个百分点
[09:16] 无党籍选民的支持率是降到21%
[09:19] 我这比上个月下滑了八个百分点
[09:22] 如果是以现在
[09:24] 就7月份直接举行国会选举的话
[09:27] 就把11月提前到7月的话
[09:30] 那44%的受访者
[09:32] 表示会支持民主党候选人
[09:34] 38%是支持共和党
[09:35] 民主党的领先幅度
[09:37] 从上个月的4个百分点
[09:39] 扩大到6个百分点
[09:40] 当然我们知道
[09:41] 共和党可能基本盘
[09:43] 投票意愿比较高
[09:44] 然后可能在平时民调过程当中
[09:46] 没有做直接性表态
[09:48] 但我们看的是相对未解
[09:49] 就它的趋势变化
[09:51] 还是可以感受到
[09:52] 川普政府所产生的民调压力
[09:54] 那整体而言
[09:55] 42%的受访者认为
[09:57] 这一次的协议就算敲定了
[09:59] 对于中东和平
[10:00] 几乎没有任何的影响
[10:01] 有25%甚至认为
[10:03] 反而会增加区域的不确定性
[10:05] 那等同于说这一次协议
[10:08] 假设90天以内
[10:10] 不管有签证没签证
[10:12] 那对于川普而言
[10:13] 看起来本场战事都是川普的累赘
[10:16] 那要如何
[10:16] 因为一开始大家是
[10:18] 对于这场战事是可以高度评价的
[10:21] 那现在战事也没有太大改变
[10:23] 当时做的事情也没有太大改变
[10:24] 但是现在变成低评价了
[10:26] 那如何扭转这种低评价呢
[10:28] 也许重点不在于伊朗的态度
[10:30] 重点在通膨
[10:32] 打了伊朗通膨还变低
[10:34] 那我就支持打伊朗了
[10:35] 就是这么简单
[10:36] 所以我们现在要观察的事情
[10:38] 就是CPI到底
[10:39] 在其中选举之前
[10:40] 下滑幅度会有多快
[10:41] 现在美国5月份的CPI年增幅
[10:43] 是4.2%
[10:44] 这是23年4月份以来的最高
[10:46] 十年期供债则利率
[10:47] 当时是一度突破4.6%
[10:49] 担心通膨的卷土重来
[10:51] 不过这一次
[10:52] 受到石油价格的显著滑落
[10:55] 有机会让未来几个月内
[10:57] 看美国的薪资
[10:59] 有没有出现
[11:00] 实质薪资翻证的可能性
[11:01] 为什么这样讲
[11:02] 我们这样讲
[11:03] 其实通膨
[11:04] 美国这几年一直以来都有通膨
[11:06] 那也不代表说一有通膨
[11:09] 那选民马上就会受到伤害
[11:10] 根本还是来自于
[11:12] 薪资的增长跟通膨间的关系
[11:13] 如果前沿角目
[11:15] 如果薪资增长幅度远远高于通膨
[11:18] 那通膨也没有那么讨厌
[11:20] 重点是薪资增幅
[11:22] 那现在问题就来自于
[11:23] 由于过去在3月4月的能源通膨
[11:26] 上升幅度太快
[11:27] 基本上美国的失职薪资
[11:29] 在5月份以后已经正式进入翻覆
[11:32] 也就是薪资增幅已经低于通膨增幅
[11:35] 所以现在一方面
[11:36] 要让基本薪资有更进一步的调高
[11:39] 或者让薪资的预期成长要开始拉高
[11:42] 另外一部分要持续性的压低能源价格
[11:45] 这是比较大的挑战
[11:46] 那像OPEC传出好消息了
[11:47] 再度增产18.8万桶
[11:50] 和母子海峡又现在来看
[11:52] 应该算是全面畅行
[11:53] 这就代表着
[11:54] 未来从中东战争爆发以来
[11:57] OPEC已经累积了94万桶
[11:59] 相当于全球原油需求的1%
[12:02] 那如果后续供给持续增加
[12:03] 我们要知道
[12:04] 整个原油的大头部已经形成
[12:06] 油价已经跌到
[12:08] 三月份战前的水准了
[12:09] 其实也就意味着
[12:10] 行情在接下一段时间
[12:12] 通膨的滑落
[12:13] 它是迟早的事情
[12:15] 因为现在呢
[12:16] 已经从供应的中段
[12:18] 转向供给过剩
[12:19] 布兰特原油从高点跌下来
[12:21] 到底跌多重
[12:21] 我算了一下
[12:22] 跌幅大概是44%左右
[12:24] 所以现在这种这么大的跌幅
[12:27] 你也不期待说
[12:28] 一定要再往下跌了
[12:29] 因为它已经腰斩了
[12:30] 可是保持在这样的一个位置
[12:33] OPEC会面临两大两难
[12:35] 第一个就是重新限制产量来支撑油价
[12:37] 那是有可能发生的
[12:38] 因为油价已经跌回很多了
[12:39] 第二个是我目前看到的
[12:41] 我认为应该不会有那种
[12:43] 重新限制产量的问题
[12:45] 因为联盟现在出现裂痕了
[12:48] 之前是怎么样
[12:49] 伊拉克要求提出
[12:51] 自身生产的配额提高
[12:54] 扬言要退出OPEC
[12:55] 然后阿拉伯联合大公国
[12:58] 阿联的部分
[12:58] 五月份已经退出组织了
[13:00] 它也是不满配额的限制
[13:01] 所以内部利益冲突这么高
[13:04] 看起来大家就要毛起来生产了
[13:07] 对于云油价格的持续走落
[13:09] 我还是抱持着一定乐观的
[13:10] 这说明着现在就要比时间了
[13:13] 有点赶
[13:13] 就是你必须让期货价格的下跌
[13:16] 尽快的传导回现货价格
[13:18] 毕竟现在在7月上旬的国庆假期
[13:22] 我们知道美国国庆假期
[13:23] 很多人都会这个时间点开车出游
[13:26] 全美的平均汽油价格
[13:27] 每家轮还在3.8块
[13:29] 你要知道已经跌很重了
[13:31] 可是问题是相对占钱的三块
[13:34] 它还是高出了快有一块钱
[13:36] 这个是美国历史有史以来
[13:38] 第三昂贵的国庆加油成本
[13:41] 仅次于08年和2022年
[13:42] 那今年大概会有6000万人开车出油
[13:45] 那当大家意识到原来我开车还美国
[13:49] 花的油钱这么多
[13:51] 它会多快的反映到终极选举的民调
[13:53] 这就很难说了
[13:55] 所以另外一方面是能源的问题
[13:57] 就是我们虽然知道
[13:59] 石油价格它已经有回跌
[14:01] 可是第一现货价格回跌幅度
[14:03] 其实算蛮慢的
[14:04] 那第二件事情是
[14:05] 由石油所引发的能源外溢通膨
[14:07] 已经有点出去
[14:08] 比如说电价问题
[14:10] 电价其实这一波
[14:11] 今年美国又全体做上涨
[14:13] 平均上涨幅度是5到6%
[14:15] 超过通膨了
[14:16] 但问题在于下得来吗
[14:18] 尤其现在美国东岸
[14:19] 还有中大西洋地区
[14:21] 都遭遇到热浪
[14:22] 现在整个应该讲整个北美
[14:24] 或者说整个地球北部
[14:26] 基本上都是受到非常显著的高温热浪袭击
[14:30] 这一次全美最大的电网运营商PJN
[14:33] 它用电需求快速攀升
[14:35] 基本上已经远远超出负载了
[14:38] 那就代表着及时批发电价
[14:40] 也创下历史新高
[14:41] 那在发电结构当中
[14:43] 天然气占43.6
[14:44] 蓝煤20.6
[14:46] 核能20.6
[14:47] 对于能源需求的拉抬幅度越来越快
[14:49] 纽约市周边地区
[14:51] 现在气温摄氏是38度
[14:54] 有这么热
[14:55] 台湾30度以上已经受不了
[14:58] 真的有38度
[14:59] 这个也许在美国的网友
[15:01] 可以回馈一下
[15:03] 那有没有比台湾
[15:04] 我觉得台湾热
[15:05] 有一部分是台北市区热岛效应
[15:07] 那个冷气出风
[15:09] 那个热气
[15:10] 那真的是有点受不了
[15:12] 但是纽约市及时电价
[15:14] 每兆已经突破1100美元了
[15:16] 其实美国能源部
[15:17] 上礼拜已经发布了紧急命令
[15:19] 允许部分电厂放宽环保限制
[15:23] 以确保电力的供应稳定
[15:25] 现在同时安排大量的备用发电机来待命
[15:28] 6700万人的供电系统
[15:30] 目前负载能耗可能已经创下历史记录
[15:34] 这也说明着我又有资料中心要建
[15:36] 然后电价需求
[15:37] 然后现在用电量又开始
[15:39] 远远高于市场的预期
[15:41] 市场的压力来得越来越大
[15:43] 那当然油价下跌到电价下跌
[15:45] 总会有产生效果的
[15:47] 不过现在看起来
[15:48] 可能来不及在今年中期选举之前
[15:50] 做显著回跌
[15:51] 你要知道美国家庭的冷气普及率
[15:55] 大概有89%
[15:56] 台湾是接近99%
[15:57] 美国现在还是受到部分热浪的影响
