[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 极度亮丽的财报表现
[00:32] 仍然无法受得市场上更进一步的资金回补
[00:35] 我们看美国股市记忆体
[00:37] 昨天也杀得蛮重的
[00:38] 美光下跌了4.7%
[00:40] SANDEX昨天下跌7.3%
[00:43] 整个费办总跌幅是4.6%
[00:46] 今年本来累计涨幅还接近100%
[00:48] 现在收敛到涨幅只剩下74%了
[00:52] 那等同于过程当中费办的波动率
[00:55] 好像跌个两层三层都算是正常均值回调了
[00:59] 即便三星公布了创纪录的获利
[01:01] 也未能够带动AI晶片股
[01:03] 尝试的走稳
[01:04] 反而形成系统性的沉压
[01:06] 当然每一次股市下跌之后
[01:09] 鬼故事又重新归来
[01:10] 现在大家又开始重新怀疑
[01:12] 数千亿美元的资料中心
[01:14] AI基础建设
[01:15] 是否能够带来足够的回报
[01:17] 我们看到德意志银行
[01:18] 以及美银都陆续发布报告
[01:21] 来担忧市场
[01:22] 是否有进一步估值回调的空间
[01:24] 所以反而是股市下跌
[01:26] 空头的报道就陆续出炉了
[01:28] 与此同时在这个时间点
[01:30] 市场又会关注中东局势是否再度升温
[01:33] 因为昨天西德州原油价格是上涨了2.5%
[01:37] 每桶来到70.23块
[01:39] 其实油价还是不高了
[01:40] 但是十年其功在此利率又重新攀升到4.51%以上
[01:45] 这代表能源价格僵固性
[01:47] 还是有可能会延后连总会压低通膨的进程
[01:51] 虽然不至于到升息了
[01:52] 但是要让它今年年底之前赶着回落到降息格局
[01:57] 似乎也有一点压力
[01:58] 毕竟和姆兹海峡这一次又爆发冲突了
[02:02] 6月17号当时美伊达真停火协议之后
[02:05] 本来说好不会蓄意的攻击对方商船
[02:10] 结果在前几天
[02:12] 我们看到三艘商船在和姆兹海峡遭到攻击
[02:15] 一艘是卡达的LNG
[02:17] 异化天然气的运输船
[02:18] 另外一艘是沙烏地阿拉伯的原油优伦
[02:21] 还有另外一艘是创下停火协议生效以来
[02:24] 最多的攻击事件
[02:26] 应该是一天攻击三艘吧
[02:28] 所以昨天川普宣布采取伊朗新一轮的空袭
[02:33] 取消过去允许伊朗石油出口60天的豁免措施
[02:37] 那才几天
[02:38] 他好像解封也才十几天而已
[02:42] 现在是全部取消重新封锁
[02:44] 从7月7号起禁止新的伊朗原油的销售
[02:48] 伊朗的船再也出不去了
[02:49] 同时采取了进一步的空袭
[02:51] 所以在这样的一个效果底下
[02:54] 我们看原油价格的反弹到70美元
[02:57] 好像也还好
[02:58] 看起来局势又再度紧张
[03:00] 故事一直重演
[03:02] 可是市场上对于鬼故事
[03:04] 也没那么害怕了
[03:05] 也许对于资本市场而言
[03:07] 每一次财报公布的利多出尽
[03:09] 股市的下跌
[03:10] 久了之后大家也不害怕了
[03:12] 反而形成一种买盘的刺激
[03:14] 这也不一定
[03:15] 我们先点出
[03:16] 德英现在提出了六大矛盾
[03:18] 他其实背后
[03:20] 即便中东地缘政治这么混乱
[03:22] 还是能够对于股效市场
[03:24] 没有那么大影响的根本原因
[03:26] 来自于互相的错位矛盾
[03:28] 第一个矛盾
[03:29] 其实来自于油价和公债殖利率
[03:31] 我们知道在美伊冲突期间
[03:33] 布兰特原油价格
[03:35] 和美国十年期公债殖利率
[03:36] 它基本上是同步联动的
[03:38] 因为油价上涨
[03:40] 通常代表着通膨升温
[03:41] 联准会就有可能升息
[03:43] 那布兰特原油价格
[03:44] 从100到现在70美元左右
[03:46] 油价其实已经
[03:48] 差不多回到战前水准
[03:49] 就算现在反弹
[03:50] 也差不多是战前水准
[03:52] 但是美国十年期公债殖利率
[03:54] 却仍然维持在高档
[03:56] 这说明利率市场好像并没有反映油价降温带来的影响
[04:01] 那我们可以合理的判断
[04:02] 有可能是外溢出去了
[04:04] 或者科技通膨所造成的利率预期
[04:06] 那第二个矛盾就是通膨预期其实也在下滑
[04:10] 所以大家并没有认为通膨会一路的失控
[04:12] 可是升息预期居然还缓步的走高
[04:16] 美国一年级的通膨交换利率来到2.11%
[04:19] 两年级来到2.32%
[04:21] 这都是两个年度以来的低点
[04:23] 代表市场其实并不太相信通膨就会这样子实控
[04:27] 反而认为通膨会缓步的回挡
[04:29] 但同一时间利率期或去预估联准会在年底之前
[04:33] 还是有升息一码的可能性
[04:35] 那就很吊诡了
[04:36] 通膨再降温升息预期却增加
[04:40] 那是不是大家已经相信华旭就是一个鹰派人物
[04:43] 不管通膨高不高他都要升息了呢
[04:45] 那第三个矛盾是市场一方面压住联准会年底之前有可能会升息
