[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 昨天期货价格大涨了5.2%
[00:32] 美债殖利率的同步走高
[00:34] 再度回压到道琼指数的氛围
[00:37] 事实上这一次我们看到
[00:39] 因为卡达当时是在天空蓝气的运输船
[00:43] 被赫姆斯海峡伊朗革命卫队击中以后
[00:47] 美军采取的报复行动持续性的扩大
[00:50] 在昨天川普出席北大西洋公约主持
[00:54] 峰会当中就特别谈到
[00:56] 表示说目前美国和伊朗的停火
[00:59] 已经正式结束
[01:00] 他也预告说
[01:01] 接下来几天会持续性的痛击伊朗
[01:04] 并且扬言夺下伊朗石油出口
[01:06] 枢纽哈格岛
[01:08] 来恢复海上的封锁
[01:09] 这不是已经痛击过了吗
[01:12] 国庆我记得他才说
[01:13] 已经打赢这场战争了
[01:15] 战争又开始了
[01:16] 那不管如何
[01:17] 现在布兰特原油每桶收在78块
[01:20] 单日上涨5.2%
[01:21] 那西德州原油的部分
[01:23] 是收在73.5块
[01:25] 上涨4.4%
[01:26] 盘中曾经一度上涨到9%
[01:28] 后续是稍微有点收敛
[01:30] 但是至少从川普所宣扬的
[01:33] 美军可能会再度采取空袭行动以后
[01:36] 让荷姆茨海峡的航运风险持续升高
[01:38] 其实过去能够出来的船都已经出来了
[01:41] 那现在的问题就是
[01:42] 看起来他们也无法再进去了
[01:44] 那另外一个推升油价的关键
[01:46] 是俄罗斯宣布从今天开始
[01:49] 暂停柴油出口
[01:51] 以稳定国内燃料供应
[01:53] 这很难想象
[01:53] 俄罗斯是产油大国
[01:55] 不过俄罗斯现在缺油
[01:56] 我们知道最近乌克兰无人机
[01:59] 持续攻击俄罗斯的炼油厂
[02:01] 最远已经达到西伯利亚
[02:02] 输油设施和亚述的海油轮
[02:05] 那这些都使得
[02:07] 俄国本土内部的柴油供给
[02:09] 来得更加吃紧
[02:10] 那这也导致美国超低硫化柴油
[02:14] 期货价格一度在昨天暴涨了
[02:16] 接近有14%
[02:17] 所以能源市场的波动再度兴起
[02:20] 不过从现行图来看
[02:21] 看得出来市场上
[02:22] 也仅多是一个适度的空头回补
[02:25] 原油价格的上方头部压力还是比较大
[02:28] 加上它还是有外部性的因子
[02:30] 仍然在抑制住油价
[02:32] 比如说沙尔的阿拉伯目前是罕见的
[02:35] 祭出了油价的折扣
[02:36] 大幅调降8月份销往亚洲
[02:39] 阿拉伯氢原油的官方售价
[02:41] 而且下滑幅度很大
[02:43] 每桶下调11美元
[02:46] 改为以中东基准油价
[02:48] 折价1.5美元来做出售
[02:50] 这个是26年以来的最大单月降幅
[02:53] 那当然表面上的说法
[02:56] 是因为荷姆兹海峡
[02:57] 已经来到尾声
[02:57] 所以就把过去的涨价
[02:59] 一次性的反应完
[03:00] 那另外一方面
[03:01] 2020年疫情价格战开打以后
[03:04] 这是第一次
[03:05] 以折价方式来进行销售
[03:08] 好这说明着
[03:09] 看在亚洲市场
[03:10] 亚洲市场当中
[03:11] 一个全球最大的石油进口国
[03:14] 看起来需求是真的衰退蛮多的
[03:17] 所以导致
[03:18] 也不得不用这样的一个方式
[03:19] 重新夺回中国市场的进口量
[03:22] 所以在这样下
[03:23] 我等一下
[03:23] 不管怎么说
[03:24] 原油市场还在角力当中
[03:26] 但让股票形成了一个估值回调的理由
[03:29] 虽然估值回调理由
[03:30] 到底跟中东问题有没有关系
[03:33] 3月4月5月
[03:34] 一两战事有终局吗
[03:36] 也没有
[03:36] 现在也没有
[03:37] 那凭什么说现在的下跌
[03:39] 是来自于中东问题呢
[03:41] 因为4月5月的上涨
[03:43] 也不来自于中东问题
[03:44] 所以回过头来看
[03:45] 它只是一个营老市场估值回调的理由
[03:48] 但不是根本原因
[03:49] 根本原因还是来自于
[03:51] 这一次记忆体涨高之后的均值回调
[03:53] 获利了结卖压
[03:54] 在过去几个月
[03:55] AI概念股它是一路带领着指数上涨
[03:59] 但现在市场开始出现反转了
[04:01] 如果我们仔细观察
[04:02] 诚心最新的报道
[04:04] 标普500资讯科技指数当中的成分股
[04:07] 已经有70%
[04:09] 七成的股票
[04:10] 从52周盘中高点回落超过20%
[04:14] 也就是说
[04:15] 现在美国股市在科技板块
[04:17] 有七成股票已经进入到熊市
[04:19] 或者我们可以把它理解成技术型熊市
[04:22] 因为它涨幅有点夸张
[04:24] 所以好像跌两成
[04:25] 也算不算熊市
[04:26] 从技术角度来看算
[04:28] 但是跌两成
[04:29] 它股价位积还是蛮高的
[04:30] 那这也代表这一波下跌
[04:32] 它不单单是个股的股票修正
[04:35] 它是整个AI的交易都面临了
[04:37] 获利了结和估值的重固
[04:39] 我们看大型的半导体股
[04:41] 是这一波卖压的重灾区
[04:42] 美光从高点这样子跌下来
[04:45] 已经跌了25%
[04:46] 博通的部分下跌超过两成
[04:48] Myware跌幅是接近三成
[04:51] Sendix跌幅快要四成
[04:52] 废办指数第二季创下历史性的涨幅
[04:56] 那第三季不会是历史性跌幅吧
[04:58] 当然这一次市场最为关注的
[05:01] 就是记忆体和存储晶片族群
[05:03] 从希杰到威腾
[05:05] Sendix到美光
[05:06] 过去两周都从高点的大幅回落
[05:09] 那如果是从现在的位界来看
[05:11] 其实都还算是正常的估值回调
[05:13] 虽然已经算是入熊了
[05:14] 可是由于七巨头
[05:16] 目前整体市场卖压
[05:18] 不像是晶片股这么沉重
[05:20] 对于指数的沉压反而还好
[05:22] 我们看标普甚至还有守月线
[05:24] 纳指大概就是月线到季线的保卫战
[05:27] 今年以来我们如果细看
[05:29] 整体来说苹果涨幅还有15%
[05:31] Google涨幅有13%
[05:33] 算是勉强跑赢的大盘
[05:35] 不过我们看Amazon涨幅只有7%
[05:37] Meta还跌7%
[05:39] 特斯拉跌了10%
[05:41] 微软整个跌幅高达18%
[05:43] 从高点跌下来
[05:45] 跌幅也大概接近有三成了
[05:46] 所以对于很多股票而言
[05:49] 为什么对于七巨头
[05:50] 反而到现在还不是特别的担心
[05:52] 真的就没涨
[05:53] 第一大多数跑输给大盘
[05:55] 第二还有很多股票收跌
[05:57] 有时候我们这样举例
[05:59] 七巨头过往以前是送分题
[06:01] 随便买随便赚
[06:03] 过去五六年都是如此
[06:05] 结果今年却有这样的一个惨状
[06:07] 除非它的边际
[06:09] 它的护城河出现了重大改变
[06:11] 要不然AI如果真的有赢家
[06:13] 那肯定是七巨头其中一家
[06:15] 至少有一家
[06:17] 那这件事情就意味着
[06:18] AI的行情的成功
[06:20] 必定跟他们密不可分
[06:21] 而现在
[06:22] 他们的本益比
[06:23] 正在以惊人的速度下行
[06:24] 所以有时候我们讲说
[06:26] 可能就是在地域第17层
[06:28] 第16层的位置
[06:29] 它可能会更惨是没错
[06:31] 可是因为它没怎么涨
[06:33] 它也很难缠到哪里去
[06:34] 反而有机会爬到地域14层
[06:36] 第15层
[06:37] 那当然
[06:37] 并不是每只巨头都这么好
[06:39] 就连是新挂牌的也是
[06:41] SpaceX这一次纳入到
[06:43] 纳斯达克100指数以后
[06:45] 开始连跌了
[06:46] 上市蜜月行情快速的退烧
[06:49] 周三是收债148块
[06:52] 连续两天跌破了上市收入
[06:54] 150美元的成交价
[06:56] 破发了啦
[06:57] SpaceX原本以每股135块发行的
[07:00] 5.5亿股
[07:01] IPO募资金额是857亿美元
[07:03] 那曾经在6月中旬
[07:05] 6月16号当天是收上了
[07:08] 201块的高点
[07:09] 之后呢
[07:10] 股价就依序不复返了
[07:12] 所以虽然现在看起来
[07:14] 机构对于SpaceX的长期前景
[07:16] 仍然持续看好
[07:17] 不过这个跌幅
[07:19] 第一跌破发行价
[07:20] 它是一个重要关卡
[07:21] 第二最近SpaceX
[07:23] 在刚IPO以后
[07:24] 马上进行公司再发行
[07:27] 整体公司在的惨状
[07:29] 简直就是惨不能赌
[07:31] 刚才我们讲说
[07:32] 科技巨头的股价
[07:34] 很像微软Meta
[07:35] 大概在地域第17层16层
[07:38] 有机会再往下
[07:39] 但是空间已经不是很大了
[07:41] 包括整个怪力修正的空间
[07:43] 都是如此
