[00:00] 投资变化 欢迎收听早晨财经速解读
[00:03] 现在是台北时间2026年8月10号礼拜一
[00:06] 早上8点31分
[00:07] 大家早上好 我是邓浩
[00:08] 每天早上开完前半小时
[00:10] 我们在这边陪伴着各位一起解读国际财经新闻时事变化
[00:14] 先战后看 腰缠万贯
[00:17] 说得好 说得好
[00:18] 希望大家可以帮我们点点赞
[00:19] 每一个赞都是对于我们的鼓励
[00:22] 真的觉得不喜欢
[00:23] 那也可以按两次倒赞
[00:25] 任何的回馈都很感谢
[00:27] 今天我们主要从几个角度来做思考
[00:30] 一方面来看这一次非农就业数据公布之后
[00:33] 市场上的解读到底是否代表着升息预期的下滑
[00:37] 还是仅仅在背后数据当中
[00:40] 大家也看到了不一样的角度
[00:42] 因为这一次意外的爆人
[00:43] 照来讲是一个很负面的数据
[00:45] 可是对于联准会现在的升息预期来看
[00:49] 其实变化好像没有想象中来的大
[00:51] 第二大方面
[00:52] 这是我们看到
[00:53] 不管是Michael Burry持续针对股市
[00:57] 放话喊空
[00:58] 我们看这一次
[00:59] 连巴菲特的波克夏
[01:01] 在新任投资长
[01:03] 新任的接班人阿贝尔底下
[01:06] 似乎在二季度
[01:07] 也是大幅度的开始买股了
[01:09] 是否代表着投资决策的转换
[01:11] 价值投资是不是现在
[01:13] 对于巴菲特指标不再动势
[01:16] 重点在于个股的期期
[01:18] 今天来跟投资朋友
[01:19] 做一系列的探讨
[01:20] 其实回归现实
[01:21] 美国股市在上礼拜
[01:24] 整体而言
[01:25] 单周大涨幅度算是不小
[01:28] 标普牌指数因为创下历史新高
[01:30] 单周上涨是3.6%
[01:32] 那更不用讲纳指和费办
[01:34] 涨幅来的更多
[01:35] 更重要的事情是
[01:36] 现在最具代表性的案例是
[01:39] 本轮美国股市的下修之后的创高
[01:41] 照来讲
[01:42] 其实大多数人
[01:43] 如果长期待在车上不会受影响
[01:45] 可是像之前
[01:46] 像是阿布纳申伦
[01:48] 就是主打AI投资的避险基金经理人
[01:51] 他这一次就受到比较惊人的一个冲击
[01:54] 说明的即便看对趋势
[01:56] 还是有可能会实在波动
[01:57] 韩国股市就是另外一次的缩影
[02:00] 那这一波AI股和半导体热潮
[02:03] 带领着韩国股市一度大涨到150%
[02:06] 结果现在根据市场统计
[02:08] 真正留下来赚钱的人居然不到一半
[02:11] 你要知道
[02:12] 从年初到现在
[02:13] 韩国股市还是全球最亮丽的表现
[02:16] 一方面就是大家都买在6月份
[02:18] 第二大方面
[02:19] 很多人他看对了趋势
[02:21] 的确半导体融解仍然在持续
[02:24] 但是实在波动了
[02:25] 标普牌指数上礼拜突破了7700点
[02:29] 那等同于过去10年标普已经涨了接近有三倍了
[02:33] 这也是2026年第八次突破新的白点的整数关卡
[02:38] 如果你把时间拉得更长
[02:39] 会看到美国股市长期趋势的力量有多强大
[02:43] 撇开AI它都很强
[02:44] 一年前指数还在6300点
[02:47] 五年前大概在4400点
[02:49] 10年前只有2200点
[02:51] 10年已经上涨了250%
[02:54] 来到当年的3.5倍
[02:56] 短期内
[02:57] 当然股市总会有估值过高的时候
[03:00] 景气总会有衰退或者崩盘的担忧
[03:02] 不过随着美国企业获利和经济规模的成长
[03:06] 标普白指数长期以来
[03:08] 就是不断的被刷新历史性高
[03:10] 那你要有什么样的原因来判断
[03:13] 本轮的AI股市
[03:15] 不会造成标普白指数
[03:16] 持续冲下历史性高呢
[03:18] 它也许会有估值回调
[03:20] 但是下一个题材发生的时候
[03:22] 标普还会不会创新高呢
[03:24] 我们上礼拜观察的
[03:25] 不只是标普道琼的创高
[03:27] 欧洲股市也创下历史新高了
[03:29] 我们看欧洲stock600指数
[03:31] 这一次在企业获利征服也不小
[03:34] 美国股市是很离谱了
[03:36] 47%
[03:37] 欧洲股市本轮企业获利是暴增了22%
[03:41] 这个是2022年以来的最佳表现
[03:43] 7月份的欧洲股票ETF
[03:46] 也出现了每一冲突以来
[03:48] 首次的单月见流露
[03:50] 这欧洲股市
[03:51] 西比亚洲股市好
[03:52] 你说亚洲股市
[03:53] 涨比较多吗
[03:54] 是没错
[03:54] 台湾和韩国股市
[03:57] 今年涨不很亮丽
[03:58] 可是台湾和韩国股市
[03:59] 外资都在卖
[04:00] 都是靠本地投资人
[04:02] 撑起来的
[04:03] 但是欧洲股市
[04:04] 是有外资流露的
[04:05] 我们看光是
[04:06] 贝莱德旗下的欧股产品
[04:08] 就吸金了44亿
[04:10] 上礼拜像德国DEX指数
[04:12] 英国的富时指数
[04:14] 法国的CAC40指数
[04:15] 西班牙指数
[04:17] 全部创下历史新高了
[04:19] 今年整体欧洲银行指数
[04:21] 涨幅超过21%
[04:22] 这个是目前表现最为亮丽的板块
[04:25] 你说欧洲股市
[04:26] 好像半导体没有这么亮丽
[04:27] 没错
[04:28] 不过它的银行股也跟着创高了
[04:30] 主要就来自于市场交易量的显著增长
[04:33] 英国股市更是那种
[04:34] 标准的金融股创高模式
[04:36] 因为全球在5月6月7月
[04:39] 在股市大涨的过程当中
[04:41] 后来反转
[04:42] 当大家选择降低半导体
[04:44] 和AI概念股的部位的时候
[04:46] 英国股市是最早创高的
[04:48] 科技含量最低
[04:49] 现在反而成为了赢家
[04:51] 富时一百指数
[04:52] 当时跟着道琼一起创高
[04:54] 因为他主要就是由银行能源
[04:56] 和防御型企业来撑盘
[04:57] 7月底的时候
[04:59] 一度来到10951点
[05:01] 现在还在高位持续震荡
[05:03] 所以现在就是AI股
[05:05] 部分大型巨头
[05:07] 美国股市科技巨头又开始跟上了
[05:09] 晶片股适度下修
[05:11] 非AI股暴冲
[05:13] 道琼创高
[05:14] 欧洲股市创高
[05:15] 英国股市的创高
[05:16] 那当然回过头说
[05:18] 这等同于今年大多数资产
[05:20] 又重新回到了正报酬
[05:21] 今年表现最为亮丽的资产
[05:23] 第一名还是大宗资产
[05:25] 有29.3%
[05:27] 第二名是价值股
[05:28] 23.3%
[05:29] 那小型股的部分是23%
[05:32] 其他像是中型股
[05:33] 纳斯达克100指数可转债
[05:35] 以开发市场
[05:37] 涨幅大概15到18%
[05:39] 还是很漂亮
[05:40] 大型股一直往下看到
[05:42] 美国的REITs
[05:43] 到新兴市场股市
[05:44] 美国成长股高收益债
[05:46] 涨幅大概2到10%左右
[05:48] 那大多数债券
[05:49] 涨幅大概都是0到2%左右
[05:52] 现在特别值得观察的是黄金价格
[05:55] 黄金价格在上礼拜是大涨了
[05:58] 接近有7%
[05:59] 本来今年还是负报酬
[06:01] 硬是给它拉到正值了
[06:02] 那当然了
[06:03] 在短期内很有可能
[06:05] 是因为联准会立即升息的压力
[06:07] 瞬间释放嘛
[06:08] 那对于黄金价格的提振效果
[06:11] 就开始快速的扩大
[06:12] 不过黄金
[06:13] 极确从今年2月3月当时高点进到以后
[06:17] 它就处于一个标准的下行格局
[06:19] 它其实是跟美伊战士所造成的通膨预期联动的
[06:23] 正由于在今年3月4月以后
[06:26] 市场的升息预期就在不断的提高
