[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 2.94%
[00:31] 是到11993点
[00:33] 那今天我们要从两个角度来看
[00:35] 第一个是目前在最新
[00:38] 本季度财报来到高峰之后
[00:40] 陆续投行报告开始出炉了
[00:42] 那这一次的确比较意外的事情是
[00:44] 其实财报表现非常非常亮丽
[00:46] 可是股价的反应是先跌后涨
[00:49] 那现在进入到高位来做盘旋
[00:51] 晶片股做了比较大的估值回调
[00:54] 可是呢在巨头
[00:55] 在道琼在标普层面
[00:57] 已经创下历史新高
[00:59] 在这样的一个效果底下
[01:00] 是否意味着
[01:01] 大家针对那些花钱的人
[01:03] 开始有了信心呢
[01:05] 难道是代表着自由现金流
[01:07] 好转的可能性
[01:09] 可能提前来到吗
[01:10] 事实上我们从本季度财报高峰来看
[01:13] 整体标普的营业利润率
[01:15] 已经来到16.9%
[01:17] 这基本上是本世纪以来的新高了
[01:19] 所以不只是我们赚的钱变多了
[01:21] 我们的营收创高了
[01:23] 重点来自于我们赚钱的效率
[01:25] 其实来得越来越好
[01:26] 当然回过头说
[01:28] 这也不代表市场会毫无节制的
[01:30] 给它进一步的高估值
[01:32] 我们讲过现在在标普到穷
[01:35] 在巨头的买盘
[01:36] 其实很大程度来自于左侧的价值买盘
[01:39] 也就是它买你是因为基期够低
[01:41] 它很标准的是属于低基期买盘
[01:44] 那你开始涨高以后
[01:46] 甚至开始创高以后
[01:47] 市场上也许就没有这么大的追价意愿了
[01:50] 其实在最近我们看到在产业配置的部分
[01:54] 其实史上最大的嘎空才过两周左右
[01:58] 避险基金最近又开始重新放空美股了
[02:01] 其实我们看到
[02:02] 因为标普500现在是创下了
[02:04] 今年第26次的历史新高之后
[02:06] 在整个大盘的部位
[02:08] 美国多空基金的总杠杆单周是下滑了3.9%
[02:12] 净杠杆则是增加了0.8个百分点
[02:15] 来到53.6%
[02:17] 稍微来看
[02:18] 也不是大砍多单
[02:20] 是开始放空的速度
[02:23] 重新超过买进的速度
[02:24] 其实现有部位并没有抛弃
[02:26] 但是避险单突然增加了很多
[02:29] 这也可以稍微解释
[02:30] 昨天外资其实回头买了517亿的台股
[02:35] 不过期货进空单又增加了1300口
[02:37] 现在又来到8.9万口的空单
[02:40] 所以市场上还是有非常明显的避险情绪
[02:43] 往好处想
[02:44] 就代表着肯定不是全面乐观
[02:46] 另外一方面
[02:47] 股价一涨高
[02:48] 对冲基金避险基金又开始紧张了
[02:52] 又担心会不会迎来一个
[02:54] 比较大剧烈的震荡
[02:55] 但是从目前资本支出
[02:57] 在几大四大CPA的财报当中
[03:00] 都看得出来
[03:01] 还在持续调高
[03:03] 现在标普500
[03:04] 第一季第二季的获利
[03:06] 年增幅都在25%以上
[03:08] 其中有一半的获利成长
[03:10] 其实来自于AI的资本支出的回收
[03:12] 云端巨头预估在明年的资本支出
[03:15] 来到1.1兆美元
[03:16] 甚至比运营的现金流
[03:18] 还要多出1500亿
[03:19] 所以看起来
[03:21] 自由现金流的集体转付
[03:23] 看起来搞不好在今年下半年就会提前看到
[03:26] 那明年是肯定要付一整年的
[03:28] 那现在真正的问题就来自于
[03:31] 现在第一企业投资等级在
[03:33] 在利率预期稍微释怀
[03:36] 因为最近升息预期没有这么强烈了
[03:38] 来自于疲软的就业数据
[03:40] 第一利率环境是否能够稍微宽松一点
[03:44] 美国企业增资金额现在来到1050亿美元
[03:48] 这是2021年同期以来的新高
[03:50] 那未来几年
[03:51] 27年28年上升幅度会越越快
[03:54] 那我们预估在28年左右
[03:56] 本轮的AI资料中心
[03:58] 会来到建制潮的高峰
[04:00] 与此同时在27年会陆续有资料中心开始建成
[04:04] 那个时候就是衡量本轮
[04:06] 建了这么多资料中心
[04:07] 能否有产能回馈的重要关键
[04:10] 但科技巨头目前的融资
[04:12] 的确相对于10年前
[04:14] 已经暴增了接近有24倍左右
[04:16] 那现在最大的问题就来自于
[04:18] AI投资从钱太多变成债太多
[04:21] 那么在建成的当下
[04:23] 能否有效的立即收回
[04:25] 其实就很重要的
[04:26] 我们过去提过
[04:27] 这一轮你不要看说
[04:29] 现在财报界高峰过以后
[04:31] 过以后很多巨头继续放新闻
[04:33] 像是SpaceX现在美元债
[04:36] 大概已经募资超过2000亿美元了
[04:39] 去年同期也不过130亿
[04:42] 暴增了接近有14倍左右
[04:44] 问题是现在新债
[04:46] 也有点开始卖不动了
[04:48] 从债券利差角度而言
[04:51] 搞不好随时会被列入到垃圾债等级
[04:53] 那也很神奇
[04:54] 股市是巨头
[04:55] 结果债市可能在边缘了
[04:58] 那辉达、SpaceX、亚马逊
[05:00] 各自在本月份和上个月
[05:02] 陆续增加250亿美元的债务
[05:05] 那华尔街当然也因此改变了卖债的方式
[05:08] 比如说你像贝莱德
[05:10] 他就替Meta的资料中心筹资的时候
[05:12] 刻意把125亿美元的债券
[05:15] 优先配给退休基金
[05:17] 或者保险公司
[05:18] 或者一些长期持有者
[05:20] 避免很多短线资金
[05:22] 一拿到钱就到货
[05:23] 那倒是拘谨的债券
[05:25] 会不会回过头影响到股市
[05:26] 即便如此
[05:27] Meta现在开的殖利率
[05:30] 7.5%起跳
[05:31] 而且现在还在升高
[05:33] 那就很吸引一些债券投资人
[05:36] 随随便便
[05:37] 这些巨头
[05:37] 这么厉害的巨头
[05:39] 他都要开7%到8%
[05:40] 如果是中小型企业
[05:42] 或其他企业来发行
[05:43] 那不是一定要10%以上了吗
[05:45] 所以我们才讲说
[05:46] 现在抢钱抢得越来越用力了
[05:49] 超大型云端月子
[05:50] 今年预估下半年
[05:51] 还大概有500到600亿美元的新
[05:54] 再要持续来做发行
[05:55] 那现在巨头的做法很简单
[05:57] 就先求有再求好
[05:59] 很多新产业的发展
[06:01] 最自然的入境
[06:02] AI现在最重要的事情就是
[06:04] 未必要立刻证明
[06:05] 每亿美元的资本支出
[06:08] 都能够产生最高报酬
[06:09] 但是你要至少先把
[06:11] 最基本的算力
[06:12] 晶片资料中心
[06:13] 电力和网络基础设施
[06:15] 先准备好
[06:16] 就好像网路刚起飞的时候
[06:17] 一定要先铺一下光纤
[06:19] 高速公路要先把路给盖出来
[06:21] 基础设施不足的阶段
[06:22] 最大的问题
[06:24] 不一定是效率不够高
[06:25] 因为根本没有足够的能源
[06:28] 足够的算力可以用
[06:29] 你如果没有算力
[06:30] 你再高的资本报酬率也没有意义
[06:33] 这没办法
[06:33] 你只能先把容量做出来
[06:35] 才能够讨论
[06:36] 才能够有资格去讨论
[06:38] 怎么把它用得更有效率
[06:40] 所以现在就先求有再求好了
[06:42] 这没办法的事情
[06:43] 至少先等第一批的资料中心建制完
[06:46] 再说
[06:46] 对不对
[06:47] 渣男最常说的
[06:49] 都是这样
[06:49] 先求有再求好
[06:51] 宝贝
[06:52] 好想给你买套房
[06:53] 可是现在经济能力有限
[06:56] 先买套房的话
[06:58] 以后再说好不好
[06:59] 所以先求有并不代表
[07:02] 可以永远不求好了
[07:04] 但是当资料中心建成以后
[07:06] 下一个阶段就会开始问
[07:08] 资料中心利用率到底有多少
[07:11] 我们看到
[07:12] 最近市场的普遍预估
[07:14] 因为你看
[07:15] 我们不要否认说
[07:16] 现在好像AI资料中心都没赚到钱
[07:18] 都没盖完要怎么赚到钱
[07:20] 那你相反的
[07:21] 你说现在一直盖资料中心
[07:24] 自由现金流一直翻覆
[07:25] 然后以后一直盖
[07:26] 以后就一直翻覆
[07:27] 最后财报一定出事
[07:28] 你怎么知道钱收不回来呢
[07:30] 他至少要盖好钱才收得回来
[07:33] 他永远盖不完
[07:34] 我们才可以确保他钱永远收不回来
[07:37] 当他盖好的那一刻
[07:38] 他就可以出租算力了
[07:40] 谁说到时候的现金流完全收不回来呢
[07:42] 我们看到最近大摩和高盛
[07:45] 在针对微软和Google在云端业务营收
[07:49] 你看微软是80%的成长
[07:51] Google是60%的成长
[07:52] 如此高强度的营收如果真的建成了也许自由现金流回来的速度不会太晚我们看真正的逻辑是26年到27年肯定是烧钱最严重的阶段
[08:04] 因为自由现金流
[08:05] 都已经陆续翻覆了
[08:06] Meta、微软、Alphabet、Amazon
[08:08] 加古文都大量的购买GPU
[08:10] 那FCF就是运营的现金流
