[00:00] 投资品欢迎收听早晨财经速解读
[00:02] 现在是台北时间2026年8月12号礼拜三
[00:06] 早上8点31分
[00:07] 大家早上我也是又听号
[00:09] 每天早上开盘前半小时
[00:10] 我们在这边陪伴着各位一起解读国际财经新闻时事变化
[00:13] 没有股市在昨天美伊和平协议还是没有显著进展情况底下
[00:18] 市场上很明显在等待接下来几天的美国通膨数据出炉
[00:22] 没有股市昨天算是都普遍走黑了
[00:25] 不过下压幅度也没有特别大
[00:27] 反而晶片股在记忆体族群有逆势走强
[00:30] 稍微收涨了0.8%
[00:32] 这一次在今天
[00:34] 大家最为观察的就是
[00:35] 辉达这一次所公布
[00:37] 向华尔街筹资5000亿美元的计划
[00:40] 到底会不会是2008年GPU次代化
[00:44] GPU证券化的可能性呢
[00:47] 那么目前所面临的挑战
[00:48] 辉达推出的意义用意为何呢
[00:51] 明明他的现金流又这么多
[00:53] 所以我们都清楚知道
[00:55] AI的下一个阶段
[00:56] 从以前我们都比谁的晶片最快
[00:59] 谁的生态系来得最为稳健
[01:02] 现在看起来是变成谁有足够的钱
[01:04] 谁能够把晶片
[01:06] 把电力
[01:06] 把资料中心全部盖出来
[01:09] 这一次辉达宣布和阿波罗黑石贝莱德
[01:12] 一系列的资产管理公司
[01:14] 六大金融集团合作
[01:16] 将会逐步动员5000亿美元的第三方资金
[01:20] 来专门支援辉达生态系的AI基础建设
[01:24] 你看以前上一年当时10月份
[01:27] 也差不多这个时间
[01:29] AI永动机的高点
[01:31] 是由科技巨头的互相投资
[01:33] 所达成的集体泡沫
[01:35] 这一次是把第三方给拉进来
[01:37] 由金融机构来专门筹资
[01:40] 背后原因是什么
[01:41] 很明显
[01:42] 一年的时间
[01:43] AI投资规模大到
[01:45] 科技公司自己快要吃不下了
[01:47] 根据摩根士坦利的推估
[01:49] 全球到2028年
[01:50] 光是资料中心建设
[01:53] 大概就要2.9兆美元
[01:54] 其中1.4兆
[01:55] 大概是可以靠之前
[01:57] 大型云端公司的
[01:59] 自由现金流来支付
[02:00] 不过呢
[02:01] 现在提前先花完了
[02:02] 所以马上要开始进行
[02:04] 资金缺口的填补
[02:05] 靠公司债
[02:06] 靠资产的证券化
[02:08] 那靠之前的私募信贷
[02:09] 可是到现在还是不够啊
[02:11] 所以一定要有一个
[02:12] 集体性的联合计划
[02:14] 来跟金融业打交道
[02:15] 那目前看起来啊
[02:17] 基本上可能会持续的
[02:18] 把金额往上调高
[02:20] 在26年可能还要借到
[02:22] 8700亿美元左右
[02:23] 那这也是本轮的AI行情
[02:25] 出现直变的地方
[02:27] 以前都是担心晶片不够
[02:29] 现在要担心钱不够
[02:30] 电不够
[02:31] 以及谁来承担这些债务
[02:33] 摩根士坦利的推估是
[02:35] 28年的电力需求
[02:36] 会来到74几瓦
[02:38] 那可以取得的电力缺口
[02:40] 可能已经高达49几瓦了
[02:41] 所以不只是AI资料中心的需求
[02:44] 现在电力的需求
[02:45] 还有相关电厂的配置
[02:47] 也越来越高
[02:48] 那更值得注意的事情是
[02:50] 回答一方面是卖晶片
[02:51] 一方面是协助客户取得资金
[02:54] 再由客户拿这些资金购买挥达设备
[02:57] 那这种融资循环
[02:59] 就会让营收成长和金融杠杆
[03:01] 它就绑得越来越紧
[03:03] 所以AI泡沫
[03:04] 现在你好像光是从本益比指标
[03:09] 也没法直接看出来
[03:10] 因为它没法反映这个表外的资产
[03:12] 那你要看什么
[03:13] 你现在要改看现金流了
[03:15] 改看负债
[03:15] 改看你的融资成本
[03:17] 那你发行投资等级债的利率是多少
[03:19] 难道你发行10年前20年期投资等级债
[03:23] 你给15%的利率
[03:24] 你都不担心你有没有能力付得起这么高的利息吗
[03:27] 这个是接下来市场上观察的重点
[03:30] 那为什么要找金融业
[03:32] 原因就来自于
[03:33] 如果你只单纯发行投资等级债
[03:35] 或者消耗自由现金流
[03:37] 杠杆就会反映在自己的资产负债表身上
[03:40] 我们过去提过
[03:41] 这一次他找阿波罗找黑石第三方基金成立SPV
[03:46] 就我们讲的特殊目的公司
[03:47] 他的目的去盖资料中心
[03:49] 再把算力租给云端商
[03:52] 或者用专案融资私募信贷
[03:55] 目的是什么
[03:55] 就是透过股权投资的方式
[03:58] 它可以在表外来进行认列
[04:01] 换句话说
[04:01] 基本上你在挥达看到的账面
[04:05] 因为客户是把融来的钱
[04:07] 再拿去买GPU
[04:08] 你只会看到营收账款
[04:10] 然后营收持续的增加
