[00:00] 投资片欢迎收听早晨财经速解读
[00:03] 现在是台北时间2026年8月13号礼拜四
[00:06] 早上8点31分
[00:07] 大家早上好我是雪婷浩
[00:08] 每天早上开会前半小时
[00:10] 我们在这边陪伴着各位一起解读
[00:11] 国际财经新闻时事变化
[00:13] 这一次美国7月份的通膨略微降温
[00:17] 那让市场的升息预期至少不要保持这么强
[00:20] 美欧股市在昨天也做了比较显著的反弹
[00:22] 费盘是大涨了2.5%
[00:24] 纳斯达克指数上涨0.5
[00:26] 标普则是0.26%
[00:28] 那现在随着这样的一个数据开出以后
[00:31] 难道8月份就安全了吗
[00:33] 是我们最为关注的
[00:34] 因为它年增幅虽然是2.5%
[00:37] 可是核心消费者物价指数的月增幅
[00:40] 还是有0.2%
[00:41] 好这就代表着
[00:42] 虽然9月份的升息几率
[00:44] 已经越来越低了
[00:46] 但是10月份还有12月份
[00:48] 是否能够一路过关斩将
[00:50] 到明年再说呢
[00:52] 那第二大方面
[00:53] 随着财富效果的膨胀
[00:55] 你看标普白指数现在是逼近历史新高
[00:58] 纳斯达克100指数则是在大型晶片股的带动底下
[01:02] 也创下了一个多月来的高点
[01:04] 微软其实过去一个月已经涨了快三成了
[01:07] 日韩股市期货也跟着上涨
[01:10] 那这也说明着财富效果
[01:12] 可能也让联总会的降息空间没有太多
[01:15] 那会不会就保持在这样的一个利率区间
[01:17] 很长一段时间呢
[01:19] 那但是另外一个角度来看
[01:20] 短期通膨降温
[01:22] 也不一定会让长期利率一起下来
[01:24] 美国十年期公债殖利率
[01:26] 这次通膨数据公布之后
[01:27] 还在4.69%附近左右
[01:30] 最新420亿美元的十年期公债的标售殖利率
[01:34] 甚至创下了07年的新高
[01:37] 30年期公债的标售
[01:38] 也面临25年以来的最高的融资成本
[01:41] 所以从这样的角度来看
[01:43] 都说明着一个月的通膨数据
[01:46] 还不足以把市场的降息预期通道给打开
[01:49] 我们还要细看一下
[01:50] 接下来能源价格的实质变化
[01:52] 但至少可以承认
[01:53] 其实本轮台北股市持续上涨底下
[01:57] 昨天夜盘又做显著拉升
[01:59] 台股其实已经要重新逼近到历史高点了
[02:03] 但这一轮美国的半导体股却比较显著掉队
[02:06] 接下来是要由谁来靠拢呢
[02:09] 值得大家来多做一些留意
[02:10] 但至少在软体股的部分
[02:12] 今年从7月份以来
[02:15] 至少从7月中旬以来
[02:16] 平均涨幅已经来到11%了
[02:18] 而硬体股的非半还是跌幅有接近4%
[02:21] 所以这一次半导体的短线筹码
[02:23] 的确洗掉非常多
[02:25] 但资金没有退场
[02:26] 反而涌起到道琼标普
[02:29] 或者软鸡股当中持续做轮动
[02:31] 甚至连过去我们看到
[02:33] 在IPO行情泡沫破灭
[02:35] 受到市场承压的SpaceX
[02:37] 最近也出现了很典型的嘎公行情
[02:39] 从8月初的低点一路到现在
[02:44] 其实已经上涨了接近有40%了
[02:47] 那你要知道因为现在SpaceX
[02:49] 是正式进入到第一波的解禁期
[02:51] 照理来讲
[02:53] 这代表的是
[02:54] 到底这些股东或者员工
[02:56] 他到底对于SpaceX有没有信心
[02:58] 解禁就代表可以卖了
[02:59] 可是这些人
[03:00] 看起来大多数并没有选择
[03:02] 做显著的卖出
[03:03] 反而形成了资金的嘎空行情
[03:06] 所以到时候就要来做观察
[03:08] 因为在接下来
[03:09] 像是8月21号
[03:10] 9月10号
[03:12] 9月25号
[03:13] 10月10号
[03:14] 10月25号
[03:15] 陆续的解禁期就会开始做释出
[03:17] 那8月6号是第一波的急进期
[03:19] 现在看起来
[03:20] 大多数的员工
[03:21] 都对于自己的老板有信心
[03:23] 不愿意在这个时间点
[03:24] 就顺势出脱
[03:26] 也有可能想要等股价高一点
[03:27] 因为一个月前卖
[03:28] 跟一个月后卖也差很多
[03:30] 但至少SpaceX的高空行情
[03:32] 也正式开启了
[03:34] 道琼指数是下跌21点
[03:35] 0.04%
