[00:00] 投资片欢迎收听早晨财经速解读
[00:03] 现在是台北时间2026年8月14号礼拜五
[00:06] 早上8点31分
[00:07] 大家早安我是又廷浩
[00:09] 每天早上开门前半小时
[00:10] 我们在这边陪伴着各位一起解读国际财经新闻时事变化
[00:14] 昨天7月份的PPI生产者物价指数算持平
[00:17] 稍微缓解了联准会9月份升息的担忧
[00:21] 现在大概已经延到12月份左右了
[00:23] 不过在昨天美国股市标普白指数
[00:26] 也算是首度突破了7800点
[00:29] 创下历史新高价了
[00:30] 那到底是由于PPI的数据言语
[00:33] 算是符合预期持平
[00:36] 所以导致股市的创高
[00:37] 还是说行情就在不断的反弹过程当中
[00:41] 逐步的拉高
[00:42] 那最后会不会让
[00:43] 已经估值消减已久的晶片股
[00:45] 有重新归来的可能性呢
[00:47] 今天来跟投资朋友做细一步的观察
[00:50] 同时来了解
[00:51] 目前似乎市场的焦点担忧
[00:53] 都主要集中在债券市场
[00:55] 而并不是股票市场了
[00:57] 因为第二季财报
[00:58] 其实表现还是很强劲
[00:59] 标普把有90%的企业
[01:01] 公布企业财报
[01:02] 其中64%的公司
[01:04] 获利至少高出预期
[01:06] 一个标准差
[01:08] 所以这一次
[01:08] 其实表现算非常不错
[01:10] 尤其现在已经是
[01:12] 财报的高峰期过后了
[01:14] 大部分财报都开出来了
[01:15] 这也带动了
[01:16] 2027年的获利预期
[01:18] 已经上修2%了
[01:19] 那最大的问题就是
[01:21] 其实本轮市场上
[01:22] 由于刚好面对
[01:23] 7月份的股价下修
[01:24] 那代表从均值来看
[01:27] 就是从整个7月份统计以来
[01:29] 大多数的企业公布它的财报之后
[01:32] 并没有那种大力奖励的好消息
[01:34] 市场上财报大幅超预期的公司
[01:38] 隔天对于标普百平均只有涨0.33个百分点
[01:42] 远远低于10年以来
[01:44] 每年0.95个百分点的水准
[01:46] 科技股反而落后0.99个百分点
[01:49] 那9月份联准会现在变成
[01:51] 就算9月份升息好像也不会怎么样
[01:54] 不升好像也不会怎么样
[01:56] 就利率预期的变化
[01:57] 也没有来得这么严重
[01:58] 市场上很明显知道
[02:00] 就是AI多头行情还没有结束
[02:02] 可是币延买多涨的阶段正在过去
[02:05] 这是第一种论调
[02:07] 不管是财报的好或坏
[02:09] 或者连准会利率预期的变化
[02:11] 短期内似乎不太有显著的影响
[02:13] 因为就算PPI算是持平
[02:15] 可是常在值利率也没有因此而下弯
[02:18] 那AI交易当然也出现分化
[02:20] 从7月份
[02:21] 当时7月下旬开始下跌的时候
[02:24] 像是光通讯 资料中心 记忆体 电力 云端算力
[02:28] 几乎都是一起被卖
[02:30] 可是这一波反弹也不是大家一起涨
[02:32] 你像光通讯 资料中心
[02:35] 或者新型的云端业者表现比较强
[02:37] 那记忆体 AI 电力也有反弹
[02:40] 但是还是相对落后一点
[02:41] 所以从这件事情都看得出来
[02:43] 市场上在本人的反弹格局来得更加谨慎
[02:46] 包括美国半导体的杠杆型 ETF
[02:49] 从当时6月底的高点1571美元
[02:52] 现在大概在990亿美元
[02:54] 8月份有没有反弹
[02:56] 有
[02:56] 但大部分是股价上涨
[02:58] 带来的账面增值
[02:59] 整体ETF的申购金额
[03:01] 并没有想象中还要来得多
[03:03] 整个道琼指数在昨天上涨69点
[03:06] 0.13%
[03:07] 收在53839点
[03:09] 标普上涨50点
[03:10] 0.65%
[03:11] 收在7798点
[03:13] 算是创下历史新高了
[03:14] 纳斯达克指数上涨214点
[03:16] 0.81%
[03:18] 收在26803点
[03:20] 持续创下本轮波段新高
[03:22] 距离历史高点
[03:23] 现在就不到2%的距离了
[03:25] 费办上涨56点
[03:27] 0.46%
[03:28] 说12456点
[03:30] 稍微碰到季线了
[03:32] 看一下是不是假突破
[03:33] 如果成功的让季线跟月线
[03:37] 在未来一个月度
[03:38] 能够重新的黄金交叉
[03:40] 对于美国股市的多头提振效果
[03:42] 会来得更加显著
[03:43] 事实上我们看到这一波
[03:45] Sandisk在昨天大涨了13.7%
[03:49] 主要是昨天
[03:50] 在整体2030财年的预估过程当中
[03:53] 每年会预估于15%到19%的财策预估成长
[03:57] 调整之后的毛利率是80%
[04:00] 所以即便我们知道记忆体股
[04:02] 这一波行情有杠杆炒作的成分
[04:05] 基本面是真的很不错
[04:07] 毛利率80%
[04:08] 那得多高
[04:10] 当然这也说明着
[04:11] AI卖产值的供应链
[04:13] 它其实更多是杠杆的堆砌而成
[04:16] 所造成的股价回调
[04:18] 它并不是基本面的显著松动
[04:20] 科技业针对科技巨头这些高资本之说的担忧
[04:24] 反而真的压力比较大
[04:26] 虽然其实最后这些七巨头股价也陆续站回来了
[04:29] 但是从年初到现在为止
[04:31] 当然涨最多的还是废半
[04:33] 其实从整个22年7月份来看
[04:36] 我们把当时的股价的回调的低点
[04:39] 一路到现在的高强度牛市
[04:41] 来到2026年的8月份
[04:43] 费城半导体指数是涨了大概有5.5倍
[04:47] 南韩COSPI指数涨了3.8倍
[04:50] 智慧电网基础建设大概是2.4倍
[04:53] 纯资料中心指数大概是90%到100%左右
[04:57] 这说明AI的投资是从GPU向外扩到
[05:01] 记忆体 晶片设施 电力
[05:03] 大家涨幅各不一样
[05:04] 可是卖产的企业还是有十足的获利
[05:07] 韩国股市这10天
[05:09] 你不要看说它距离高点还有一段距离
[05:11] 相对于台股的确落差很大
[05:13] 可是韩国股市这10天已经涨了22%了
[05:17] 高强度牛市
[05:18] 从低点上来
[05:19] 又算是进入到技术型牛市了
[05:21] 8月13号当天又大涨了3.6%
[05:24] 三星和SK海力士都成为主要的推手
[05:27] 所以机体的供需仍然十分紧绷
[05:29] 中国市场也是如此
[05:31] 中国这边市场也出现了
[05:33] 比较象征性的权力交替
[05:34] 因为长新存储上市之后
[05:36] 市值是5240亿美元
[05:39] 哇
[05:39] 它已经超越腾讯的5100亿美元了
[05:42] 莫名其妙
[05:43] 长兴存储居然变成
[05:45] 中国市值最高的公司了
[05:47] 这很神奇
[05:48] 这以前都是阿里腾讯
[05:50] 或者BAT
[05:52] 我们看到这些网络科技巨头
[05:54] 垄断
[05:55] 结果现在长兴存储
[05:57] 居然变成首屈一指的企业
[05:59] 所以这个超车最值得关注的
[06:01] 就是市场的偏好正在改变
[06:03] 腾讯它也有微信
[06:05] 也有AI
[06:06] 有游戏
[06:07] 而且有庞大的网络资产
[06:08] 就腾讯今年股价已经跌26%了
[06:12] 所以你从这件事情都看得出来
[06:14] 市场的周期轮替
[06:16] 正在往卖产值的方向来做集中
[06:18] 那台股就比较另类了
[06:20] 台股没有科技巨头
[06:21] 台股科技巨头就是做硬体的
[06:24] 就是卖产值的
[06:25] 所以就变成
[06:26] 台湾整个AI伺服器代工厂
[06:28] 在7月份的营收年增幅
[06:30] 是高达64%
[06:31] 今年累计已经暴增了74%
[06:34] 以台积电为首
[06:36] 受惠于本轮的AI资料中心的扩建
[06:39] 还有回达新一代的平台持续放量之后
[06:41] 现在根据Semi-Ansys的先前预估
[06:45] 台湾的伺服器代工和生产数据
[06:48] 显著放量以后
[06:49] 保持双位数的成长
[06:51] 可能至少到2029年
[06:53] 这种高强度的拉伸
[06:55] 你看你把它拿来跟23年22年
[06:57] 当时其实也算是半导体爆发
[06:59] 因为是疫情之后的3C电子需求潮
[07:02] 结果现在大概又比23年24年
[07:05] 高了两倍到三倍左右的量级
[07:07] 好
[07:08] 那就在这个市场高位盘旋之际
[07:10] 我们知道Anthropia最近释出新论调
[07:13] 真的准备要上市了
[07:15] 目标估值是两兆美元
[07:17] 在10月份就会上市
[07:18] 如果估值是两兆
[07:21] 那它就会超过SpaceX
[07:22] 等于今年我们会陆续看到
[07:25] 超越SpaceX史上规模最大的公开募股
[07:28] 本来想说6月份5月份已经是第一次
[07:31] 史上最大了
[07:32] 结果10月份还有一次
[07:33] 当然Anthropia在今年5月份公布年化的营收
[07:37] 已经突破470亿
[07:38] 市场预估可能到年底
[07:40] 就会冲高到1000到1200亿
[07:42] 相对于年初会成长超过10倍
[07:44] 那当然两兆美元的估值
[07:47] 如果现在市场论调已定的话
[07:50] 那说明其实大家钱还蛮多的
[07:53] 还可以以极高的成长来支付极高价格
[07:56] Enthorpe现在面临中国人工智慧模型的追赶
[08:00] 然后美国监管政府
[08:02] 他跟川普关系其实也不是很好
[08:05] 跟政府关系之间的紧张
[08:07] 而且企业客户现在很明显
[08:09] 对于AI的支出压力
[08:10] 有比较高的评价
[08:12] 但不妨碍它有如此高的高估值
[08:15] 当然了基本面爆发
[08:17] 为什么大家如此关注Enthropy
[08:18] 第一个就是它的收入真的成长很快
[08:21] 它的经营效率
[08:22] 看起来是比OpenAI好非常多
[08:24] 很多企业端愿意采用
[08:26] 年化收入现在超过300亿
[08:29] 年底可能直接到1000亿
[08:30] 那个速度有多快
[08:31] 第二个就是计算的护城河
[08:34] Enthropy现在主要合作的贸易伙伴
[08:37] 主要是博通和Google
[08:38] 那这三家公司已经扩大了战略合作
[08:41] 确保在2027年会获得
[08:43] 3.5千兆瓦的计算能力
[08:45] 那第三个就是
[08:47] 它的深度的技术优势
[08:49] 就是之前我们看到
[08:52] Android不是有很多超级人工智慧模型吗
[08:54] 它公开之前还被美国政府先按住
[08:57] 先不要公开
[08:57] 就让他意识到
[08:59] 他有非常多的计划
[09:00] 虽然跟川普之间有所嫌隙
[09:03] 可是美国军方跟他的合作
[09:05] 恐怕只会持续性的加强
[09:07] 那也说明着新一代的
[09:10] 这个不管是SpaceX还是Entropy
[09:13] 或者明年的OpenAI
[09:14] 陆续的上市潮它会让华尔街开始有大量还没有拿到钱的富豪纸上付费快速拉升你看OpenAI的部分它在24年25年
[09:25] 就已经发了110亿美元的
[09:27] 员工股票报酬
[09:28] 员工只有8000人
[09:29] 如果是一家上市公司
[09:31] 员工股票报酬
[09:33] 甚至可以排行到全美第七
