[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 7月份的下杀
[00:31] 在最后一天大家都谈了起来
[00:33] 亚马逊营收优于预期之后
[00:35] 股价是狂飙了15%
[00:37] 带动纳斯达克指数上涨1%
[00:39] 如果我们以月涨幅来看的话
[00:42] 道琼的月涨幅甚至还有0.3%
[00:44] 居然7月份还收红
[00:46] 这已经连续第四个月了
[00:48] 那标普的部分
[00:49] 月线跌幅也不大
[00:51] 才收黑0.1%
[00:52] 根本不算跌
[00:53] 纳斯达克指数则是下滑了3.2%
[00:57] 真正跌比较重的是废办
[00:59] 一个月跌了两成
[01:00] 重点是它还留了下影线
[01:02] 所以在这样的一个效果底下
[01:04] 如果硬要讲是大盘的回调
[01:06] 7月份根本就没有发生
[01:08] 它只是集中在涨幅比较高的这些晶片股
[01:11] 在7月份做了集体性回调
[01:13] 甚至整个大盘受到的影响都没有想象中来得高
[01:16] 现在大家聚焦的几大重点
[01:19] 一方面要回过头来看
[01:21] 目前在财报借过后
[01:22] 市场的叙事方式是否对于这些AI巨头产生重要转折
[01:27] 开始要求这些巨头把钱花在刀口上
[01:30] 那另外一方面
[01:31] 公债利率的预期不断的提升
[01:34] 就代表着通膨无法达成有效压制
[01:37] 30年级公债之利率已经创下20年来的新高了
[01:41] 那难道30年级公债之利率来到5%你不管
[01:44] 来到5.3 5.4来到6%你都不管
[01:47] 那难道对于股票市场完全没有任何影响吗
[01:50] 今天我们来做一个细节的探讨
[01:52] 事实上我们知道这一波BNO价格
[01:55] 在过去几个小时
[01:56] 开始做比较有效的回谍
[01:58] 其中一个根本原因来自于
[02:00] 川普这次宣布了
[02:01] 本来当时说在周末的时候
[02:03] 要采取进一步的空袭行动
[02:05] 不过呢
[02:06] 川普表示在伊朗和多个中东国家的要求底下
[02:09] 他已经决定要暂缓对伊朗发动新一轮的军事打击
[02:15] 那会暂缓到什么时候呢
[02:16] 会不会暂缓到其中选举呢
[02:18] 至少他说希望为外交谈判保留空间
[02:22] 那重点是现在有在谈吗
[02:23] 不过他也指出说
[02:24] 美军仍然维持随时可以出击的战备状态
[02:28] 但前提是各方能够迅速达成协议
[02:31] 那根据川普的说法
[02:32] 等同于目前其实仍然有在谈判
[02:34] 而且有形成初步的框架
[02:36] 重点包括立即恢复荷姆斯海峡的航运
[02:39] 以及消除伊朗的核威胁
[02:41] 那当然这项决定等同于
[02:44] 川普对于中东采取进一步军事行动的可能性
[02:48] 至少说事出的论调
[02:50] 是你不打我我也不引起进一步的冲突
[02:52] 我们就僵持在这边
[02:54] 另外一方面
[02:55] 伊朗目前至少从军政府角度来看
[02:57] 仍然维持比较强硬的立场
[02:59] 强调会对任何美以军事行动
[03:02] 做出果断且相称的回应
[03:05] 从今年2月份
[03:06] 美以对于伊朗所发动的空袭以来
[03:09] 伊朗其实已经大幅限制了
[03:11] 荷姆治海峡的通行
[03:12] 到目前为止
[03:13] 其实还是属于半封锁情况
[03:15] 基本上属于报备制
[03:16] 也就是伊朗当局如果有受到报备
[03:20] 可以进行许可制的发放
[03:21] 不过呢
[03:22] 我们要知道
[03:23] 原油价格的反应
[03:24] 看起来就非常直观
[03:26] 直接跳空往下跌
[03:27] 10月布兰特原油期货价格
[03:29] 盘中一度大跌7.3%
[03:32] 跌到每桶81块
[03:33] 现在已经跌到七字头了
[03:35] 这个基本上也没怎么谈判
[03:38] 只是说不空奇的
[03:39] 原油价格就跌这么重
[03:40] 这市场的反应也是相当大的
[03:42] 当然了
[03:43] 现在伊朗和阿曼
[03:44] 已经针对赫姆兹海峡的新航道
[03:46] 安排协商进入到最后阶段
[03:49] 也就是中东各国
[03:50] 似乎已经主动跟伊朗来谈及
[03:53] 相关的邮轮的护卫权
[03:55] 或者许可制
[03:56] 当然这不代表海盗
[03:58] 或者海峡的全面开放
[04:00] 因为赫姆兹海峡
[04:01] 到目前为止
[04:02] 仍然处于半封锁情况
[04:04] 可是至少对于国际油价的影响
[04:06] 我们讲过
[04:07] 似乎不用特别担心
[04:08] 川普就是这样子
[04:10] 至少在其中选举之前
[04:12] 不太能够允许原油价格
[04:14] 能够创下历史新高
[04:15] 一下说要空袭
[04:16] 一下说要不要
[04:17] 川普一下说停
[04:19] 一下又说不要
[04:20] 不要停
[04:21] 不要停
[04:22] 世人笑我太疯癫
[04:24] 我笑他人看不穿
[04:26] 对不对
[04:26] 至少从通膨担忧这条影子
[04:29] 它仍然存在
[04:30] 可是不见得会失控
[04:31] 我们看到30年级公债
[04:33] 实际的创高
[04:34] 其实有更多反应的
[04:36] 第一是美国的国债中
[04:37] 正式创下历史新高了
[04:39] 那另外一方面
[04:40] 则是目前投资等级债的发行速度
[04:43] 把整条债市卷入到AI循环
[04:46] 你以为现在债市跟股市
[04:48] 还有替代效果吗
[04:49] 应该还是有了
[04:50] 不过你也知道
[04:52] 现在债券市场对于AI的融资需求持续扩大
[04:55] 那么AI泡沫破灭跟AI债市破灭有什么两样呢
[04:59] 我们要回过头看股票市场的概况
[05:02] 虽然在亚马逊的财报和财策的强行带动底下
[05:06] 收复了肺瓣的部分失土
[05:08] 不过科技股内部的分化还是很明显的
[05:11] 这次亚马逊因为AWS的成长加速而暴涨
[05:15] 苹果却因为AI的布局和财策不如预期而重挫
[05:18] 之前不是才说
[05:20] 如果苹果在AI的投入不多
[05:22] 反而能够形成护城河吗
[05:24] 所以投资的润掉
[05:25] 就是这样子变来变去
[05:26] 我们看整个费办
[05:28] 在7月份是重挫了20.6%
[05:31] 创下了金融海啸以来的
[05:33] 最差单月记录
[05:34] 这也显示着
[05:35] 其实撇开三大指数
[05:37] 不管费办仍然在下行通道当中
[05:39] 当然我们也甚至不能说
[05:41] 它是熊市
[05:42] 即便它跌幅已经超过三成了
[05:44] 可是整条下行通道
[05:46] 似乎意味着费办
[05:47] 正在走出自己的路
[05:49] 把过去4月到6月7月这一波涨幅
[05:52] 做更进一步的消化
[05:54] 没办法确保
[05:55] 是不是现在的修正已经正式结束
[05:57] 就因为一天的几弹
[05:59] 因为市场的焦点很明显
[06:01] 在过去一段时间
[06:02] 把AI的投资规模转向AI的投资效率
[06:05] 如果呢
[06:06] 因为接下来还有AND和SpaceX的财报
[06:09] 如果大家很明显是要求你把钱花在刀口上
[06:13] 那难道对于废办一点影响都没有吗
[06:15] 把钱花在刀口上的概念就是
[06:18] 不允许你资本支出
[06:19] 无条件的每年都翻一倍往上升
[06:22] 因为市场没这么多的钱
[06:23] 也不愿意借你那么多的钱
[06:25] 但是呢
[06:26] 如果我不愿意无条件的扩张资本支出
[06:29] 那我会不会过去对于
[06:30] 废办晶片股的过度投射
[06:33] 就必须要做估值回调了
[06:34] 原本你都跟我说每年要订100万台
[06:37] 现在告诉我
[06:38] 明年我没办法订那么多了
[06:39] 我要尝试的提升我的效率
[06:41] 所以呢
[06:42] 我不能买这么多
[06:43] 但是呢
[06:44] 我尽量提供足够的算力
[06:45] 用这样的一个方式
[06:46] 要求你的技术更进一步
[06:48] 但是不会给你更多的进单
[06:49] 其实我们必须承认
[06:51] 晶片股本轮
[06:52] 顶多就是回调
[06:53] 从月K线来看
[06:55] 你看美光从2025年4月份完成整理之后
[06:59] 它就一直维持强劲的记忆体多头走势
[07:02] 期间虽然偶尔会出现单月的回荡
[07:05] 但是很快就能够收复失途
[07:07] 那截至目前为止
[07:09] 过去一整年
[07:10] 它还没有出现两个月收黑K的情况
[07:13] 所以你说这个叫做跌吗
[07:16] 它还没有连跌两个月过
[07:18] 每一次拉回都有资金逢低的成绩
[07:21] 那这一次7月份会不会也是如此呢
[07:23] 所以我们只能说
[07:24] 并不是说它一定会涨或一定会跌
[07:26] 是说其实7月份的下跌也没什么大不了
[07:30] 那对于纳斯达克指数而言
[07:32] 在短期内的反弹
[07:33] 的确有关键支撑开始做拉升
[07:36] 不过呢
[07:37] 我们必须承认
[07:38] 这段时间七巨头表现还是相对比较疲惫一点
[07:41] 加上我们也知道
[07:43] 当时把2000年来来进行高配他波动度比较高的动能股来做比较
[07:48] 会发现当时在2000年4月份出大跌之后也一度出现33.5%的强劲反弹所以即便本人的反弹市场很明显也并没有因此而变得相对乐观
[08:00] 觉得去杠杆筹码清洗已经完全干净了
[08:03] 因为这种长熊的短期的空头反弹
[08:08] 似乎也很常见到
[08:10] 所以市场上现在还是比较博弈的状况
[08:12] 虽然我们的论调一直都是比较显著的科技乐观论者
[08:16] 但是必须承认
[08:18] 这一波筹码是不是完全洗干净了
[08:21] 还有待商榷
[08:22] 其实已经回到正常合理估值了
[08:25] 可是有没有到极端值
[08:26] 市场上连续数周的悲观
[08:29] 来换取盘整
[08:30] 我觉得可能会见不到
[08:32] 原因很简单
[08:33] 因为一天的大涨
[08:34] 足以导致散户又归来了
[08:36] 这真的很难甩得掉
[08:38] 但这也许就是一个股市的新常态
[08:40] 不能用单纯散户的多空比
[08:42] 来看待市场的走势变化
[08:44] 完全以反向角度来做思维
[08:46] 要不然这几年台股ETF买盘
[08:49] 哪一次下跌
[08:50] 大家的买盘没有增加
[08:51] 现货型买盘每个都在上车
[08:53] 这次只是清理一下杠杆仔而已
[08:55] 我们举例来说
[08:56] 纳斯达克100指数
[08:58] 虽然创下了04年以来
[09:00] 最差的7月份表现
[09:02] AI概念股也做不较显著的修正
[09:04] 不过ETF市场反而展现出了不少韧性
[09:07] 我们举例来说
[09:09] 过去两个月
[09:11] 美国最受市场欢迎的
[09:14] 主要是两档ETF
[09:16] 一个是杠杆型ETF
[09:17] 另外一个是反向型ETF
[09:19] 那当然在六月份以后
[09:21] 双方都缩水了
[09:22] 可是缩水之后
[09:23] 有没有回到今年年初的水位呢
[09:25] 也没有哦
[09:26] 差不多就是三月份的水准
[09:28] 现在上市杠杆型的ETF
[09:31] 大概从六月份高点
[09:34] 回落大概有600亿美元左右
[09:37] 大概从2100亿回落到1500亿
[09:39] 那更值得观察的事情是
[09:41] 这类产品普遍拥有2.1倍的杠杆
[09:44] 代表的是韩国股市清理的速度很快
[09:47] 可是在美国股市
[09:48] 杠杆型连接ETF的资金量
[09:51] 其实看起来还相对是稳固的
[09:53] 再来是从美国股市
[09:55] 六七月份的高点回落以后
[09:57] 投资人对杠杆型ETF的资金流入
[10:00] 也没有想象中减少这么多
[10:03] 举一个比较直观的
[10:04] 七月份有没有减少
[10:06] 有
[10:06] 可是七月份还是流入了
[10:08] 六十亿美元的资金净流入到杠杆型ETF
[10:11] 所以很多人可能是
[10:13] 在4月5月6月都没有买正额
[10:15] 结果呢
[10:16] 在6月市场上开始做回调之后
[10:19] 在7月选择加仓正额
[10:21] 好 这说明可能杠杆仔又洗了一批
[10:24] 换了另外一批
[10:25] 美国杠杆型的ETF成交量
[10:27] 你不要看说这个月开始回档
[10:29] 的确
[10:29] 但是6月份当时创高记录是
[10:32] 平均每日成交金额600亿美元
[10:34] 占了全美ETF市场大概20%
[10:37] 7月份就算降温很多了
[10:39] 平均还有430亿
[10:41] 仍然排名历史前五
[10:43] 这件事情就说明着
[10:45] 大家只是回到五月份的状态
[10:47] 但是有没有说
[10:48] 现在就已经完全去化杠杆了
[10:51] 没有人再愿意参与股市
[10:53] 这又是两回事
[10:54] 再把AI主题相关的ETF来看
[10:57] 现在像是SMH SOXX SOXL
[11:00] 这些AI相关主题型的ETF
[11:03] 占全美的ETF的交易市场比重
[11:05] 仍然高达接近20%左右
[11:07] 从这件事情都说明着
[11:09] 在美国股市市场
[11:10] 并没有像韩国股市一样
[11:12] 出现那种显著去杠杆化
[11:14] 全民爆仓断头的迹象
[11:16] 大家对于杠杆型ETF的投入
[11:18] 还是抱持着比较乐观健康的态度
[11:21] 这是全系统性的问题
[11:22] 今年美国股市上市ETF的累积进流路速度
[11:26] 很明显
[11:27] 比过去五年的速度多还要来得快
[11:30] 如果按照目前的趋势
[11:31] 今年的资金流向可以来到2.1兆美元
[11:34] 所以等同于在韩国股市是
[11:36] 现货型持续加仓
[11:38] 杠杆型爆仓
[11:40] 在美国股市是杠杆型现货型
[11:42] 都在持续的7月份
[11:44] 继续进行资金流入
[11:46] 那台股也很明显
[11:47] 台股杠杆型ETF
[11:49] 比较没有那么蓬勃
[11:50] 因为各股型的正额型ETF
[11:52] 也没有很多
[11:53] 基本上没有
[11:54] 所以基本上
[11:55] 都是现货型ETF的买盘
[11:57] 来做持续性的进驻
[11:58] 那过去两个月
[11:59] 美国股市挂牌的ETF
[12:01] 速度也很快
[12:02] 基本上已经创下历史新高了
[12:04] 现在美国股市
[12:06] 大概是5000到6000档的上市柜公司
[12:09] ETF挂牌数已经高达6000档了
[12:12] 从这件事情就说明了出来
[12:13] 我们必须迎来一个市场高波动的社会
[12:16] 而且是散户长驱参与其中的社会
[12:19] 也不能说一定要洗得相当干净
[12:21] 那看一下台股的部分
[12:22] 台股上周五上演史诗级反弹
[12:25] 单日飙涨3186点
[12:27] 那当然这就导致上礼拜的周跌幅
[12:31] 急速收敛到500点
[12:33] 周线就留了一根很长的下影线
[12:35] 那你要知道外资上周还是卖很多
[12:38] 卖了825亿
[12:39] 已经连续六周来做卖炒了
[12:42] 但是我们也清楚知道
[12:43] 由于台股在礼拜五
[12:46] 是有多档涨停
[12:47] 这也导致ETF
[12:49] 在显著的资金带动底下
[12:51] 基本上也陆续挂涨停板
[12:53] 当然很多人会有一个
[12:56] 担心的理解
[12:57] 就是如果全部涨停板
[12:59] 而且我们知道在礼拜五
[13:02] 几乎大多数ETF
[13:03] 都出现了比较严重的溢价
[13:05] 甚至部分ETF
[13:07] 溢价幅度3% 4%
[13:09] 你像00990A
[13:12] 主动元大AI新经济
[13:14] 它溢价幅度在礼拜五有4.3%
[13:17] 00830国泰费城半导体有3.79%
[13:21] 911有3.59%
[13:23] 51有3.53%
[13:26] 这个高于2%以上溢价的ETF
[13:29] 居然有高达接近12档左右
[13:31] 那当然很多人的第一个看法就是
[13:33] 哇 ETF出现溢价
[13:34] 完了 买贵了
[13:36] 市场好像信心又过高了
[13:38] 这是一种角度
[13:40] 可是另外一种角度
[13:41] 是因为礼拜五是很多现货
[13:43] 都所在10%涨停
[13:45] 市场虽然知道
[13:46] 股票真正的价值更高
[13:47] 但因为交易制度的限制
[13:49] 无法透过现货市场完成价格发现
[13:52] 比如说台积电可能要涨15%
[13:54] 比如说部分个股可能要涨16%
[13:58] 可是它最多一天只能涨10%
[13:59] 多的那6%先反映在ETF里头
[14:02] 这是一个观察的角度
[14:04] 可是我们要清楚知道
[14:05] 它是多档ETF
[14:07] 连海外型的ETF
[14:08] 它也提前溢价了
[14:10] 海外型照来讲
[14:10] 你可以直接进行反应
[14:12] 所以从这件事情就说明了
[14:13] 市场还是有一定程度的
[14:15] 乐观情绪参与其中
[14:17] 那就说明了
[14:18] 这一波的行情
[14:19] 你说真的洗得掉所有人吗
[14:22] 应该是洗不掉了
[14:23] 从散户指标来看也是如此
[14:25] 融资余额的部分
[14:27] 在7月最后一天
[14:29] 还增加了135亿
[14:30] 我们就看这波反弹
[14:32] 会不会一路增加回来
[14:33] 最好不要了
[14:34] 那增加回来
[14:35] 那不是又回到了
[14:37] 在六月份的状态吗
[14:38] 其实从整个上半年来看
[14:40] 市场的情绪已经相对热观了
[14:42] 政权划拨与
[14:43] 从去年六月大概3.3兆
[14:46] 今年六月已经到4.48
[14:48] 哇那一年就增加了一兆
[14:50] 那七月份可能稍微回档
[14:52] 不过按照目前融资回归的速度
[14:55] 因为上次贵融资
[14:56] 一度冲高到8000亿
[14:57] 七月份是回入到6700亿
[15:00] 那看起来
[15:01] 再过几天回到7000亿
[15:03] 好像也不是太难了
[15:04] 我们讲的是上市柜一起做加总
[15:06] 那台股的开户人数到7月底
[15:09] 一个月到现在为止
[15:11] 已经来到1460万人了
[15:14] 一年新增112万户
[15:15] 其中61岁以上投资人增加24万户
[15:19] 0到19岁增长的幅度是最多的
[15:22] 39%增长23.6万户
[15:25] 小资族大家都一起进来了
[15:27] 所以这件事情就导致了一个现象
[15:29] 7月份看起来股市是重挫
[15:32] 的确洗掉了不少的杠杆投资者
[15:34] 可是现货型投资者
[15:36] 看起来是越来越多了
[15:37] 举一个比较直观的
[15:39] 来看看国巨目前的股东人数
[15:41] 我们看一下财讯所制作图表
