[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 道琼是涨了700点
[00:31] 创下历史新高了
[00:33] 纳斯达克指数也大涨2%
[00:35] 标普白指数
[00:36] 再稍微波动一下
[00:38] 也准备要创下历史高点了
[00:40] 在这样的一个效果底下
[00:42] 这一轮由科技巨头回补
[00:44] 所带动的行情
[00:45] 能否推动本轮的股市持续向上
[00:48] 那相对比较疲惫的晶片股
[00:51] 是否就意味着
[00:52] 开始有阻底的可能性呢
[00:54] 毕竟这一波巨头是相当给力
[00:56] 微软在过去六个交易日当中
[00:59] 大概已经暴增了7500亿美元
[01:01] 这6000所创造的市值
[01:03] 已经超过全球排名第21名以后
[01:06] 任何一家上市公司的总市值
[01:09] 这说明着
[01:10] 全球资金的逐步到位和归来
[01:12] 那当然了
[01:13] 科技巨头本来就已经盘整很久了
[01:15] 所以这一轮的顺势拉抬
[01:17] 它其实更类似于
[01:18] 晶片股这一轮回调以后
[01:20] 重新信心点燃之后的资金回补
[01:23] 其他像是亚马逊的部分
[01:25] Google的部分
[01:27] 你看连三根
[01:28] 已经突破了本轮的下行趋势线
[01:30] 那与此同时QQQ也出现了
[01:33] 在最近一段时间
[01:35] 应该是4月初以来
[01:36] 首次NACD在邻族下方的黄金交叉
[01:39] 那也是说明着
[01:40] 其实纳斯达克指数
[01:42] 它也乖离修正很久一段时间了
[01:45] 只不过纳指的跌幅一直都没有特别大
[01:47] 因为科技巨头也没怎么涨过
[01:49] 它下修幅度也是相当有限的
[01:52] 那是否意味着
[01:53] 由硬体股所主导的行情
[01:55] 开始重新往软体股来做集中
[01:57] 这是值得大家观察的重点
[01:59] 毕竟标普派指数的确随时准备创下历史新高价
[02:03] 那这段时间即便晶片股有做比较大的回调
[02:07] 其实情绪并没有在美国股市出现极度悲观
[02:10] 我们知道在台股市场当中
[02:12] 或者韩国股市市场当中
[02:14] 在融资层面的确有比较大的削减
[02:17] 不过也没有到极度恐慌的地步
[02:19] 大家就是手上的杠杆可能被迫
[02:23] 压力太大的时候要适度品尝
[02:25] 也没有到极度恐慌了
[02:27] 那美国股市更是如此
[02:28] 美国的现在的恐慌指数VIX指数
[02:31] 大概还维持在16左右的低档
[02:34] 你看晶片股从上面跌下来
[02:37] 它也算进入熊市了
[02:39] 这个VIX指数几乎没有什么太大的波动
[02:41] 其他我们看到反而是日元的波动率
[02:43] 债券的波动率
[02:45] 还有新兴市场的波动率反而是大幅攀升的
[02:47] 所以本轮的股价下杀
[02:49] 其实还是很明显围绕着晶片和新兴市场所受到的影响
[02:54] 尤其现在
[02:55] 每日利差大幅缩窄以后
[02:57] 大家又会担心
[02:58] 空单的9万口
[03:00] 我们知道
[03:00] 外资最近台子期空单
[03:02] 进空单已经突破9万口了
[03:04] 这么高
[03:04] 我们当然可以理解
[03:06] 难免有一点避险效果
[03:07] 随着指数点位的攀升
[03:09] 可是问题在于
[03:10] 是否意味着
[03:11] 现在在日元套利交易平仓
[03:14] 已经成为了台股的新变数
[03:16] 市场的资金是有限的
[03:18] 如果你连便宜的日元都找不到
[03:20] 让日元开始进入到高强度升值
[03:23] 那这场游戏还玩得下去吗
[03:25] 所以也许呢
[03:26] 空单口数的增加
[03:28] 并不是针对台股或者韩国股市而为
[03:30] 外资针对台股韩股
[03:31] 本来就在做调节了
[03:33] 那现在空单的大幅上行
[03:34] 就是以防新兴市场出现额外的变数
[03:38] 因为昨天外资太子奇境空单
[03:40] 是单日增加了7523口
[03:42] 这么高强度的拉伸
[03:44] 就不能单纯把它视为避险行为了
[03:46] 我们都很清楚知道
[03:47] 这一次美日联手干预日元之后
[03:50] 日元升值加上日本央行
[03:52] 释出更为积极缩减购债
[03:54] 退出宽松的讯号
[03:55] 那这种借日元买美股
[03:57] 借日元买台股
[03:59] 这种巴菲特的利差交易平仓
[04:01] 到时候会不会形成新一股的压力
[04:04] 我们今天来跟投资配偶
[04:05] 从不同角度来做观察
[04:07] 那如何把美国日本台湾韩国
[04:10] 把它串起来呢
[04:11] 基本上我们从最新所公布的偏爱数据
[04:14] 为基本面先做定调
[04:17] 来看一下他们的基本面表现为何
[04:19] 而内部的内生因素
[04:21] 会如何压抑住股价的表现
[04:23] 首先看的是标普全球
[04:25] 目前所公布的7月份制造片i
[04:27] 全球制造业现在还是很标准
[04:30] 除了中国市场稍微比较疲惫以外
[04:32] 基本上台湾日本韩国
[04:34] 是标准的上行通道
[04:36] 全球制造景气还在显著扩张
[04:38] 你像美国昨天也公布了
[04:40] ISM制造业经理人采购指数
[04:42] 也来到55.6了
[04:43] 这是2022年5月份以来的最高
[04:46] 欧元趋势从51.4上升到51.9
[04:49] 亚洲方面台湾标普制造业P&I是55.1
[04:52] 仅仅比6月的55.2稍微低一点
[04:55] 但是新订单是5年来的新高
[04:58] 南韩是从52.1上升到53.1
[05:01] 这是4年来最大改善
[05:02] 日本的部分是54.5
[05:04] 连续7个月高强度扩张
[05:06] 产出的增幅已经创下12年的新高
[05:09] 所以从基本面来说定调
[05:11] 本轮即便我们知道
[05:13] 3、4月股价有稍微波动
[05:14] 然后6月、7月到8月
[05:17] 市场的芯片股股价波动也很大
[05:19] 可是基本面基本从来没有改变
[05:22] 基本上就是一个标准的上行通道
[05:24] 这个是从市场的心理论调来看
[05:26] 你说没有啊
[05:27] 那制造业那都是落后指标
[05:29] 我们讲的是PNI
[05:30] PNI它是经理人采购指数
[05:33] 它是经济的前瞻指标
[05:35] 它是看这些经理人有多少
[05:37] 未来一个季度的采购意愿
[05:39] 那采购要干嘛
[05:40] 采购要出货嘛
[05:41] 对于台日韩都是如此
[05:43] 买了货目的是为了要出货
[05:45] 那我买的货越多
[05:46] 代表我的出口订单来的越多
[05:48] 所以才有更多的半成品
[05:50] 事实上就连美国的制造业
[05:52] 目前都在复苏当中
[05:53] 美国我们主要看的是
[05:55] 两份制造业的调查来做交叉比对
[05:57] 如果是标普全球制造业PNI
[05:59] 是53.9
[06:00] 基本上跟6月持平
[06:02] 如果是ISM
[06:03] 就大家比较关注的制造业PNI
[06:05] 是从53.8
[06:06] 大幅跳升到55.6
[06:08] 这是22年以来的新高
[06:10] 真正强劲的需求
[06:11] 主要集中在AI
[06:12] 半导体 电子设备 机械
[06:14] 和国防供应链
[06:15] 主要就是受惠于资料中心
[06:17] 当然如果细看内部有没有分化
[06:20] 有
[06:20] 你像金属运输化工消费相关的产业
[06:25] 还是面临的需求萎缩
[06:26] 没有太多的囤货意愿
[06:28] 所以经理人买的都是AI
[06:30] 非AI的其实没怎么买
[06:32] 这也说明着
[06:32] AI已经完全拉动美国经济
[06:35] 也让GDP数字
[06:36] 那出现一个比较有趣的现象
[06:39] 就是因为美国的资料中心
[06:42] 有很大程度的私服器都是进口而来的
[06:45] 美国本土生产的
[06:46] 我记得是几乎没有生产伺服器
[06:49] 最多是从墨西哥台商捞到进美国
[06:52] 美国本土是没有做伺服器组装的
[06:54] 就连台湾的台积电
[06:56] 在美国co-op或者封装以后
[06:59] 生产出晶片以后
[07:00] 那也是运回台湾
[07:01] 鸿海组装完之后再运回来
[07:03] 是很吊诡
[07:04] 美国虽然达到了晶片供应链
[07:06] 但整条供应链并没有完全的形成
[07:09] 由于进口量的大增
[07:11] 那我们知道GDP是什么
[07:13] C加I加G
[07:14] 消费加投资
[07:16] 加政府支出
[07:17] 加上出口减进口
[07:19] 那进口越高
[07:20] 那进口是一个负项
[07:21] 进口越多IT设备
[07:23] 软体和资料中心的投资
[07:25] GDP就越低
[07:26] 所以反而这一次
[07:27] 在整个二季度的消费支出
[07:29] 虽然有3.2%
[07:30] 不过整体第二季的GDP
[07:32] 年化成长放缓到1.5%
[07:35] 比市场预估的1.8%
[07:36] 还要来得低
[07:37] 但不代表美国经济很差
[07:39] 代表美国AI的设备进口额
[07:42] 暴增了
[07:43] 基金量非常的庞大
[07:44] 当然了
[07:46] 这也就意味着
[07:47] 现在美国的消费市场
[07:49] 表现并没有到特别好
[07:50] 可是就是属于半平稳的情况
[07:52] 而现在更多的消费市场
[07:54] 它其实来自于财富幻觉
[07:56] 或者说
[07:57] 我们看到财富效应的增长
[07:59] 也就是由于股票市场
[08:00] 还在维持在相对多头走势
[08:03] 让市场上有更多
[08:05] 未来前瞻乐观预期的消费意愿
[08:07] 过去我们提过
[08:08] 这很好理解
[08:09] 你像这张图表示
[08:10] 2025年散户占美国的股市交易量
[08:14] 现在已经突破20%几乎回到疫情时的高点了也高于2019年的15%今年初散户每日的交易选择权更来到3600万口
[08:25] 比6年前暴增150%
[08:26] 所以AI所带来的改变
[08:28] 一方面是
[08:29] 大家不得不参与本轮的财富行情
[08:32] 股市行情
[08:33] 另外一方面很多散户现在
[08:34] 也有接近机构等级的分析
[08:36] 或者自动化的交易工具
[08:38] 因为有AI的帮助
[08:39] 最后可以加入风控
[08:40] 停损机制和人工的监督
[08:42] 好 那我们讲的就是
[08:43] 由于大量的股民正在参与其中
[08:46] 就代表着财富效应
[08:48] 会直接影响到美国的消费行为
[08:50] 股市跌久了
[08:51] 股市跌跟你的消费有什么关系
[08:53] 股市跌了
[08:55] 你看着每天你的未实现损益
[08:57] 越来越少越来越少
[08:59] 然后变成负数
[09:00] 你就不消费了
[09:01] 你就精打细算了
[09:02] 你就每天去东击
[09:04] 会变这样子
[09:05] 但是如果你的财富价格不断的上涨
[09:08] 本来只是要订中秋机票
[09:10] 现在光复节机票也要订
[09:13] 明年过年机票也都先定了
[09:15] 会这样子
[09:16] 可是从头到尾
[09:17] 你也没有卖出股票
[09:18] 所以不管是股市下跌
[09:20] 股市上涨
[09:21] 虽然你都没有卖出股票
[09:22] 可是财富效应
[09:23] 已经开始影响到
[09:25] 美国内部的实质消费行为
[09:27] 所以为什么要维持在目前的位置
[09:28] 对于不管美国政府端
[09:30] 还是台湾政府端
[09:31] 都是有其必要的
[09:33] 当然了
[09:33] 它背后还是基本面的显著之层
[09:35] 基本面如果松动
[09:37] 股市也经不起如此高的高位
[09:39] 现在最强大的就是
[09:40] AI虽然已经把大半经济板块占比给夺走
[09:45] 可是AI是真的
[09:46] 创造的产值和美股盈余
[09:48] 仍然在持续攀升
[09:49] 我们现在因为财报季逐步来到中后段
[09:52] 标普在第二季的EPS
[09:54] 年增幅很漂亮
[09:55] 有33.2%
[09:57] 一个月前我们预估才19
[09:59] 33.2
[10:00] 这个是金融海啸和疫情复苏以外
[10:04] 这30年来的最高水准
[10:06] 那你要知道
[10:07] 一个是金融海啸之后的高强度复苏
[10:09] 一个是2020年的新冠疫情
[10:11] 也是低基期的复苏
[10:12] 去年基期低
[10:14] 去年基期又不低
[10:15] 所以基本上今年应该算是史上
[10:19] 本世纪以来表现最为亮丽的
[10:22] 经济最好的一年
[10:23] 原因就来自于AI的爆发
[10:25] 新一轮的基础建设期
[10:26] 以前有这么高的成长率
[10:28] 要么就海量货币宽松
[10:30] 要么就前一年大衰退了
[10:32] 我们去年又没衰退
[10:33] 今年也没有海量货币宽松
[10:36] 甚至联总会还搞不好升息
[10:38] 但是我们却有这样的一个
[10:39] EPS的成长表现
[10:40] 足以彰显市场的成长力度有多大
[10:43] 那回过头看道琼指数变化
[10:45] 道琼是上涨693点
[10:46] 1.32%
[10:47] 收在53,178点
[10:50] 创下历史新高了
[10:51] 标普上涨110点
[10:52] 1.48%
[10:53] 收在7600点
[10:55] 这个稍微波动一下
[10:56] 也准备创历史新高了
[10:57] 那萨克指数上涨540点
[10:59] 2.13%
[11:00] 收在25,913点
[11:02] 最近是重新回到月线
[11:05] 不过呢
[11:06] 那扎克指数本轮下跌幅度
[11:08] 本来就没有特别大
[11:09] 它就是从去年AI
[11:11] 用动机高电以后
[11:12] 盘整了一阵子
[11:13] 然后今年四五月份开始冲
[11:16] 不过现在看起来
[11:18] 至少比晶片股费办好一点
[11:20] 费办上涨129点
[11:21] 1.05%
[11:22] 上11430点
[11:24] 那月线跟季线已经形成死亡交叉
[11:27] 不过它本来乖离就拉很高了
[11:28] 它跌那么重
[11:29] 甚至连四月份的行情
[11:32] 都还没有完全跌破
[11:33] 这足以彰显的
[11:34] 过去晶片股涨得有多高
[11:36] 现在可能做半导体的
[11:38] 被吓到吓死了
