[00:00] 投资片欢迎收听早晨财经速解读
[00:02] 现在是台北时间2026年8月5号礼拜三
[00:05] 早上8点31分
[00:07] 大家早安我是邮挺号
[00:08] 每天早上开播前半小时
[00:09] 我们在这边陪伴着各位一起解读国际财经新闻时事变化
[00:13] 那随着美国股市这一波的大谈
[00:15] 道琼创下历史新高之后
[00:17] 标普也创下历史新高了
[00:19] 大家可以收拾一下行李
[00:21] 可以回家了
[00:22] 终于可以离开公园了
[00:24] 甚至在昨天Fibonacci也暴涨了6.5%
[00:27] 纳斯达克指数近扬3%
[00:29] 那现在标普派指数由于已经收在7700点之上
[00:33] 那我们就要看本轮在巨头的带动底下
[00:36] 是否能够引来第一波软硬体股之间的轮动
[00:40] 那么等软体股巨头带动上创高之后
[00:44] 废办现在反而变成低基期了
[00:46] 今年本来市场在上半年的主角一直都是废办
[00:50] 巨头已经疲惫很长一段时间了
[00:52] 现在反而是AND的财报公布之后
[00:55] 股价的下压
[00:56] 我们看到晶片股的提振效果就没这么明显了
[01:00] 那是不是终究有布局的机会
[01:02] 如果所有资产都在上涨
[01:04] 所有指数都在上涨
[01:06] 那其实还没有太多介入的空间
[01:08] 虽然现在左侧的回调好像告一段落
[01:11] 废办仍然在持续整理
[01:12] 不过还是可以看得出来
[01:14] 本轮在部分股票去化了非常多的估值
[01:17] 我们就这样假设好了
[01:19] 如果台积电有一天上上了3000
[01:22] 台股在未来几个季度站上了5万点
[01:26] 你觉得国巨回得了1000吗
[01:28] 这不是针对单一股票
[01:30] 是说本轮的估值下修
[01:32] 有非常多的中小型个股
[01:34] 或者中大型个股
[01:35] 它可能已经很难回到今年6月份的高点了
[01:39] 这就是我们看到
[01:40] 做资产配置跟单一个股投资的抉择
[01:43] 当然我们回过头说
[01:44] 这一次半导体股
[01:46] 在7月份高点见到之后的反弹其实也不少
[01:50] 昨天SK海力士ADR飙涨了8%
[01:53] Cendex飞涨超过10%
[01:55] 美光有飙了接近7%
[01:58] Marvel有13%
[01:59] 那现在呢
[02:00] 从最近几个交易日的美国股市快速上涨表现来看
[02:04] 市场似乎并没有反映外部环境的重大问题
[02:08] 包括美日利差的问题
[02:10] 包括中东的问题
[02:11] 甚至我们看到就连AI超大规模云端业者
[02:16] 目前对于投资过度消耗现金流的疑虑
[02:20] 莫名其妙消失了
[02:21] 自从亚马逊带领着股价创高以后
[02:24] 好像Google突然回神了
[02:26] 之前烧的自由现金流本来是利空的
[02:28] 瞬间又变成利多了
[02:30] 重要的事情是
[02:31] 外部环境其实慢慢在改善
[02:33] 我们根据美国财政部长贝森特的表示
[02:36] 本来川普的话我是没有打算念的
[02:39] 不过既然是贝森特讲的话
[02:40] 稍微理解一下
[02:41] 贝森特说
[02:42] 美国和伊朗预估在礼拜三到礼拜四左右
[02:46] 就会针对荷姆治海峡进行重新达成开放协议
[02:49] 市场会针对中东能源供给中断的担忧
[02:52] 很快就会降温
[02:53] 那的确他这样的谈话释出之后
[02:56] 国际油价开始出现重跌
[02:58] 现在西德州原油已经重新回到79字头了
[03:02] 差不多就是大概三月份左右的水准了
[03:05] 那当然我们也很清楚知道
[03:08] 这种每一谈判一样会充满着极大变数
[03:11] 可是狼来了第一次第二次第三次
[03:14] 我猜了就算未来有空袭
[03:17] 油价都不一定可以突破前高
[03:19] 这值得大家观察的重点
[03:21] 目前布兰特原油价格跌幅
[03:23] 昨天是5.3%
[03:24] 收在79美筒
[03:25] 西德州原油
[03:27] 昨天下滑5.8%
[03:28] 收在75美筒
[03:30] 这个都是三周来的新低
[03:32] 那当然了
[03:34] 整个7月份
[03:35] 市场经历了这几年
[03:37] 比较艰辛的交易环境
[03:39] 那科技股剧烈的轮动
[03:40] 现在好像又变成巨头开始带头冲
[03:43] 硬体股稍微休息一下
