[00:00] 投资朋友欢迎收听早晨财经速解读
[00:03] 现在是台北时间2026年8月7号礼拜五早上8点31分
[00:07] 大家早上好我是邮挺号
[00:08] 每天早上开会间半小时
[00:09] 我们在这边陪伴着各位一起解读国际财经新闻时事变化
[00:14] 对我是人在饭店心在公园
[00:18] 美欧股市反弹到这样的一个位阶以后
[00:21] 虽然道琼和标普是陆续创下历史新高了
[00:24] 但是对于本轮晶片股的收复之路还有很长一段距离
[00:28] 不管是针对韩国股市而言
[00:30] 台股而言
[00:31] 或者费办而言
[00:32] 都是如此
[00:33] 那投资人现在持续消化
[00:35] 最新一轮的企业财报
[00:37] 也在关注
[00:37] 美伊本来川普说
[00:39] 礼拜三到礼拜四
[00:40] 就能够针对和平协议取得进展
[00:43] 那目前看起来
[00:44] 好像市场有一点
[00:44] 过度透支预期乐观了
[00:47] 原油价格又开始回涨了
[00:48] 但本周最大的好消息是
[00:51] 至少道琼指数和标普白指数
[00:53] 都创下历史新高价了
[00:55] 标普其实今年已经是
[00:57] 第25次创下历史新高了
[00:59] 那至少可以在部分全资股层面
[01:02] 让大家意识到仍然在多头氛围
[01:04] 估值回调比较大的
[01:06] 只有涨比较高的晶片股而已
[01:08] 在昨天道琼指数下跌464点
[01:11] 0.85%
[01:12] 收在53,885点
[01:14] 标普下跌13点
[01:15] 纳指下跌15点
[01:16] 都波动不大
[01:17] 诶 费办还收红39点
[01:20] 0.3%
[01:21] 收到12048点
[01:23] 那当然AI现在市场的波动性越来越大以后
[01:27] 市场也开始承受这样的一个惯性
[01:29] 也越来越不容易把人甩掉
[01:32] 尤其经过这一次的经验以后
[01:34] 我们看这一次科技七巨头所公布的财报之后
[01:38] 股价的实际波动幅度
[01:39] 全部超过选择全市场的原先预期
[01:43] 就代表着本轮应该是
[01:45] 本世纪科技股财报公布以来的最大波动
[01:49] 如果剔除极端事件
[01:50] 比如说新冠疫情之外
[01:52] 那这也是确认GBT问世以来
[01:54] 首次出现这种比较显著的剧烈情况
[01:57] 也就代表着
[01:58] 过去大家针对这些巨头
[02:00] 都会根据实质的数据
[02:02] 比如说营收 EPS 毛利率
[02:04] 来做一个总体性的评估
[02:07] 来告诉你说
[02:07] 这次是优于预期所以该涨
[02:09] 这次是低于预期所以该跌
[02:11] 但这一次有的优于预期跌得很重
[02:13] 有的跟预期差不多就是股价暴涨
[02:15] 就是市场的反应
[02:17] 已经来得比过往来得更加剧烈
[02:19] 这第一件事情也是代表着
[02:21] 市场是在怀疑的
[02:23] 是在要求你钱有没有花在刀口
[02:25] 那即便花在刀口
[02:26] 没有让我特别的惊艳
[02:27] 股价也有可能会因此而受到松动
[02:29] 可是呢
[02:30] 如果刚好晶片股刚才修正完
[02:32] 现在需要反弹
[02:33] 没关系
[02:34] 利空也可以变成利多
[02:36] 好
[02:36] 这就是目前的真实行情
[02:38] 当然标普白指数在本季的美股盈余
[02:41] 我们都会提到
[02:42] 现在大概是45%左右
[02:44] 但由于科技巨头
[02:45] 现在有部分是属于股权
[02:47] 因为股价上涨所带来的账面收益
[02:49] 实际成长可能就会下滑到26%
[02:52] 所以必须承认
[02:53] 之前我们讲的黄仁勋搞的那一套融资游戏
[02:56] 互相持股
[02:57] 而且借由一大部分非本业收益
[03:01] 就挥达这些大型科技巨头
[03:03] 之前是持有投资部位
[03:04] 升值后的认裂的未实现损益
[03:07] 你把挥达当成科技版的波克夏这种感觉
[03:11] 投资别人的公司
[03:12] 别人的公司IPO按之后升值了
[03:15] 那当然也会影响到本公司的非本业获利
[03:18] 那这些成长当然是金融游戏所堆积出来的
[03:22] 可是它就是一步一步的在改变
[03:23] 让最后Google云端业务营收
[03:26] 开始有了40%的成长
[03:28] 微软有80%
[03:30] 为什么
[03:30] 因为大量的中小型AI企业
[03:32] 大部分还是没有自建资料中心
[03:34] 都得跟这些巨头来买
[03:37] 他们的云端AI营收业务回馈
[03:40] 也在提升
[03:40] 不是单单靠ChitGBT的订阅费了
[03:43] 所以比尔盖茨常讲
[03:44] 我们总是高估未来两年的变化
[03:48] 但是却低估了未来十年的变化
[03:50] 也许改变就是这样子
[03:51] 一步一步的往上走
[03:53] 那这一波上涨
[03:55] 当然很大一部分
[03:56] 还是来自于空头回补
[03:57] 那现在空头回补
[03:58] 看起来告了一段落以后
[04:00] 就要看市场上的基本面买盘
[04:02] 是否能够持续的推升
[04:04] 毕竟现在我们看
[04:06] 纳斯达克指数100
[04:07] 必须承认
[04:09] 现在还没有创立的新高
[04:10] 但是标普已经先创高了
[04:12] 而且追踪纳斯达克100的
[04:14] QQQ还有ETF的放空比率
[04:16] 还是比标普
[04:17] 白汉罗苏2000来的高
[04:18] 所以说明那种传产
[04:21] 纯道琼纯大型圈子股
[04:23] 的确现在已经有不少空单回补了
[04:27] 可是对于纳指而言
[04:28] 看起来还没有完全回补
[04:30] 如果纳指也破高
[04:32] 那我们就几乎可以完全确认了
[04:34] 晶片股废办
[04:36] 不会是三大指数的领先指标
[04:38] 而是标普重新成为晶片股的领先指标
[04:41] 只是晶片股今年涨太多休息一下而已
[04:43] 但是整体势头还是向上
[04:46] 那当然回过头说
[04:47] 市场上压力比较大的是
[04:49] 这次晶片股公布财报之后
[04:51] 也没有说到很差
[04:53] 但股价也是波动很大
[04:54] 像SANDEX在昨天公布财报之后
[04:57] 股价直接中出了6%
[04:58] 你要知道上季度营收是87.9亿元
[05:01] 调整之后的每股盈余是39.25块
[05:04] 它的营收成长429%
[05:08] 它的毛利成长1422%
[05:11] 所以从这件事情都看得出来
[05:13] 本季度财报运不差
[05:14] 主要还是来自于财策的预期变化
[05:17] 加上过去涨高之后
[05:19] 以及上方的集体套牢卖压
[05:21] Sendex管理层也强调
[05:23] 目前客户的需求依然高于供给
[05:25] 所以记忆体现在采取配给制度
[05:28] 要打造这个人民公社
[05:30] 而这记忆体公社
[05:31] 将会持续到2027年以后
[05:33] 也就是仍然需要限制客户的采购数量
[05:36] 每个人不能买太多
[05:37] 公司也推行了最长五年的长期合约HBM
[05:42] 相关我们看到在三星SK海力士
[05:46] 其实都有陆续的操作了
[05:47] 所以目前大家其实记忆体上
[05:50] 你不要说说一两年行情
[05:51] 他大概已经把五年的合约都给锁定了
[05:54] 所以其实已经签署相当多的最低保证营收
[05:58] 那某些事情在透露出
[06:00] 这些记忆体产业想要证明自己
[06:03] 不再是景气循环股
[06:04] 不要再给我这么低的本益比了
[06:06] 然后在另外一个角度
[06:07] 当然他也会引起其他市占率的变化
[06:10] 这次我们很清楚知道
[06:12] 苹果向长兴砍价之后
[06:14] 最近新闻传出遭到拒绝
[06:16] 这是路透社的报道
[06:17] 苹果为了要降低下一代的手机和装置成本
[06:21] 要求长兴存储调降低功耗记忆体的报价
[06:25] 不过呢
[06:26] 居然遭到拒绝
[06:27] 你就知道现在记忆体厂商的底气有多硬
[06:30] 长兴是不止坚持
[06:32] 现在价格不能够低于三星和SK海力士
[06:35] 而且可能会略高
[06:37] 主因是AI伺服器和高频宽记忆体的需求暴增
[06:40] 我们国内需求也很畅望
[06:42] 你跟三星跟海力士要得到货
[06:44] 你就去跟他要吧
[06:45] 我们现在只是要求你
[06:47] 提到跟海力士和三星一样的价格
[06:49] 不要再压我价格了
[06:51] 所以目前长兴的确有三座12寸晶圆厂
[06:55] 每个月产能大概是28到30万片
[06:58] 利用率已经来到95%以上了
[07:01] 年底目标是来到35万片
[07:03] 这已经快要接近美光的38万片了
[07:06] 当然了即便长兴产能开这么大
[07:08] 国内也是不够用
[07:09] 所以苹果来抢货也没有用
[07:11] 低润缺货直接烧到了i18
[07:13] 我们看目前业界传出
[07:15] 台积电目前手上大概有10亿美元的苹果处理器
[07:19] 要等待后续封装
[07:20] 但是没D-RAN
[07:21] 没D-RAN怎么办
[07:22] 生产流程就瞬间卡住了
[07:24] 这好像你汽车零组件什么都已经组好了
[07:28] 该进口的那个引擎没到
[07:30] 那你也出不了货
[07:31] 所以一个零组件卡关
[07:33] 后面的iPhone都可能会因此而延后
[07:36] 那现在苹果正在与组装伙伴来积极的抢货
[07:39] 主要就先跟美光跟海力士加购订单
[07:42] 而且跟长兴看看是否有价格上的松动
[07:45] 当然这也就意味着
[07:47] 目前记忆体产能仍然相当稀缺
[07:49] 我们看在最近日经的报道
[07:51] 全球三大PC品牌
[07:53] 惠普、华硕、宏基
[07:55] 在本周已经正式跟中国长兴存储
[07:59] D-REN完成认证
[08:00] 开始会在部分的笔电
[08:03] 采用少量的长兴存储记忆体
[08:05] 那看起来主要就是
[08:07] 只要华硕卖到中国的
[08:09] 宏基卖到中国的
[08:11] 惠普卖到中国的笔电
[08:12] 全部都直接采用
[08:14] 长期存储
[08:15] 所以美国供应链
[08:17] 当然还是用台韩供应链
[08:19] 来做连结
[08:19] 不过呢
[08:20] 陆续供应链
[08:21] 你已经看到
[08:22] 它已经逐步达成国产化
[08:23] 任何外资
[08:25] 不管是汽车
[08:26] 笔电
[08:27] 手机
[08:27] 只要你卖到中国来的
[08:29] 都必须采用
[08:31] 专属红色供应链
[08:32] 中国以外是非红供应链
[08:35] 只要进入到中国的本土
[08:37] 即便你是外资
[08:38] 你也必须采用中国供应链
[08:39] 那很多人说
[08:40] 那会不会造成市占率的变化
[08:42] 大幅压缩到目前
[08:44] 三巨头三星SK海力士
[08:46] 和美光的市占率空间呢
[08:48] 市占率肯定是会有影响的
[08:50] 可是事实已经证明了
[08:51] 目前记忆体是一个标准的增量市场
[08:54] 什么意思呢
[08:55] 就这块饼是越做越大的即便市占率分离一点都不代表我们赚的钱会因此而变少反而现在是一个新的AI时代举一个比较值得观察的例子
[09:06] 台积电就是一个很标准的例子
[09:08] 当时在2020年2019年孟晚舟事件以后
[09:11] 华为受到美国政府的全面封杀
[09:14] 那在2021年台积电就正式上市了
[09:17] 在中国市场的最大客户华为
[09:19] 所以你看2021年当时
[09:21] 华为的占台积电的营收快速的一个下滑
[09:24] 结果22年23年20年25年
[09:27] 台积电直接整个大爆发
[09:29] 为什么
[09:29] 因为全球半导体市场是一个增量市场
[09:32] 它不是存量市场
[09:33] 不会因为失去了华为这个客户
[09:35] 而大幅影响到内部的营收
[09:37] 事实上反而美国客户给你
[09:40] 你的订单来的更多
[09:41] 这是大家值得观察的几大方向
[09:44] 这也说明着
[09:45] 也许我们会往两个方向走
[09:47] 就是陆系供应链和美系供应链
[09:48] 同步随着AI生产力突破而持续茁壮
[09:52] 我们看最近记忆体的黄金盛世
[09:55] 也逐步到来
[09:55] 大量的中国记忆体商开始IPO
