[00:00] 我是朋友大家好,欢迎收看市场观察
[00:02] 随着2026年的到来,最近新闻从台湾少子化到退休人口的快速增加
[00:07] 以及生不如死的现象,几乎都在同步指向一件事
[00:10] 那就是台湾的人口结构正在快速翻页
[00:13] 它会一路影响到2026的缺工薪资、内需、房市和资产的重分配
[00:19] 那今天就来跟大家聊聊少子化会如何改写台湾的经济底盘
[00:23] 房地产市场会如何走向更剧烈的分化
[00:25] 以及我们如何在这个新的结构当中重新做抉择
[00:29] 其实从整个26年来看
[00:31] 今年生育率一样看起来不乐观
[00:33] 因为整个2025年
[00:35] 当前的新生儿数据
[00:36] 不仅是连续10年下滑
[00:38] 更是跌破了11万的大关
[00:40] 25年相对于24年
[00:42] 少了2万个出生人口
[00:44] 少子化本来就已经是全球面临的课题
[00:47] 可是台湾在少子化
[00:48] 不只是后段班
[00:49] 而且算是吊车尾
[00:51] 大约生育率只有0.8
[00:53] 就代表15到49岁
[00:55] 育龄期间平均生育不到0.8个孩子
[00:58] 对于人口置换所需要的2.1个孩子
[01:01] 其实有一长段落差
[01:02] 更何况从2020年疫情以后
[01:05] 台湾就已经正式陷入生不如死的泥沼
[01:08] 连生肖效应都已经失灵
[01:10] 2024年是农年
[01:11] 可是农年出生人口数
[01:13] 还是比2023年的兔年来得低
[01:16] 这也显示着传统民俗已经难敌现实压力
[01:19] 到2025年
[01:20] 我们预估新生儿的持续收缩
[01:23] 以及怀孕人口数
[01:24] 今年搞不好2026
[01:25] 连9万人都无法达标
[01:28] 这就导致台湾进入到超高龄社会的速度非常快
[01:32] 比日本还快
[01:33] 早在1993年台湾就正式进入到高龄化社会
[01:36] 也就是65岁以上的占比来到7%左右的人口
[01:41] 2018年则是进入到高龄化社会
[01:44] 也就是14%
[01:45] 到今年我们正式进入到超高龄社会
[01:48] 也就是每10个人就有两个人是65岁以上
[01:52] 人口断层从家庭到教育到劳动力市场
[01:55] 大家都开始陆续感受到了
[01:57] 第一个冲击就是劳动力市场的显著缺工
[02:00] 我们清楚知道2016年台湾新生儿人数每年还有20万人
[02:05] 到去年剩下10万人
[02:06] 今年大概会跌破10万
[02:08] 可是台湾的退休人口数在战后婴儿潮持续创高
[02:12] 从23年到24年每年退休人口数预估会以11万到12万左右逐步上升
[02:19] 就代表着早在去年退休人数就已经超过了出生人数
[02:23] 更何况这种缺工的现象
[02:26] 在疫情后持续发酵
[02:27] 使得市场上企业主遭受到极大压力
[02:30] 我们如果细看人口的供给断层
[02:33] 它往往会出现三个场景现象
[02:35] 一个就是企业被迫开始调息
[02:37] 这的确正在发生
[02:38] 第二个服务业的供给不稳定变成常态
[02:41] 第三个就是运营模式被迫改写
[02:44] 年轻人现在变成了稀缺资源
[02:46] 劳动力市场的权力结构
[02:48] 也开始慢慢的往年轻端来做倾斜
[02:50] 举例来说
[02:51] 如果我们细看
[02:52] 根据104所调查
[02:53] 多数职位工需比现在都低于1
[02:56] 这代表着职缺数已经明显大于找工作的人数
[03:00] 你像是在软体工程类比
[03:01] 工需比只有0.36
[03:03] 工程研发是0.45
[03:05] 操作技术是0.28
[03:06] 就代表着平均一个人
[03:08] 大概有三到四份职缺在抢他
[03:11] 就连制程规划
[03:12] 产品管理师
[03:14] 这种中阶职位
[03:15] 工需比大概在0.5
[03:16] 最夸张的是业务销售和门市的营业
[03:19] 现在呢
[03:20] 供需比有0.19和0.1
[03:22] 这就代表着
[03:23] 大家不管是从基层到技术端
[03:26] 全台湾都出现缺人缺工的现象
[03:28] 那你要知道啊
[03:29] 日韩就曾经因为这种缺工潮
[03:32] 已经引发一系列的中小型企业的破产潮
[03:35] 我们看到这张图表
[03:36] 是日本市场有很多餐厅啊
[03:38] 现在被迫结束营业
[03:39] 也不是说生意不好的问题
[03:41] 就是找不到人
[03:42] 日本因为人手不足而导致
[03:44] 中大型企业倒闭数量
[03:46] 在2020年已经创下历史新高
[03:48] 来到400件
[03:49] 2025年预估会继续创高
[03:51] 所以即便我们也知道
[03:52] 薪资增长
[03:54] 现在吸引年轻劳动力
[03:55] 还是不够大
[03:56] 可能是薪资调涨不够
[03:58] 年轻人现在宁愿去送Uber Eats
[04:00] 也不愿意被老板给盯着
[04:01] 这也导致
[04:02] 企业端的压力越来越大
[04:04] 我们看根据财讯的民调
[04:06] 赖政府在经济政策
[04:07] 多数其实还是受到企业界的支持
[04:10] 比如说对外的招商
[04:11] 成立资产管理中心
[04:13] 尤其现在赖政府已经松口
[04:14] 会考虑新石核能来解决电力问题
[04:17] 普遍工业界商业界
[04:19] 对于赖政府还是有足够的支持
[04:21] 但是唯一让企业不满的
[04:23] 反而是政府的劳工政策
[04:24] 为什么呢
[04:25] 因为未能够解决有效的缺工问题
[04:27] 对于企业主来说
[04:28] 台湾已经缺工多年
[04:30] 但是基本薪资不断调高
[04:32] 移工人数也开放的太慢
[04:33] 无法跟上产业所需
[04:35] 所以希望能够有更多的移工
[04:38] 能够持续开放
[04:39] 工统最新所透露的报告说
[04:41] 高达70%的台湾企业
[04:43] 将劳动力不足视为首要难题
[04:45] 如果缺乏稳定的人力支撑
[04:47] 企业的日常运营和生产的排程
[04:49] 都会因此而受阻
[04:51] 包括天下所做的调查
[04:53] 当然常年排行第一名
[04:55] 台商最大的挑战都是两岸关系
[04:57] 可是在过去几年
[04:58] 从2021年到2020年
[05:01] 成长最快的也是属于缺工问题
[05:03] 现在已经排行第二名
[05:04] 它导致一系列台湾各行各业的缺工现象
[05:08] 比如说缺工问题已经延烧到公家部门
[05:11] 现在不只是缺老师
[05:12] 连国金缺元的问题也创下历史新高
[05:15] 我们根据过往经验国军的边线比
[05:17] 也就是边制跟实质人员到的比例
[05:21] 要超过85%以上才能够维持战力
[05:23] 可是呢2025年甚至连77%都没有到
[05:27] 所以政府压力也是非常大
[05:29] 被迫开始进行大规模的国军薪资调涨来吸引年轻人
[05:33] 与此同时连公务员也在缺工
[05:35] 台湾政府每年大概会稳定招募1.5万名的公务员
[05:39] 不过呢到考人数却从2010年的36万人
[05:42] 减少到2021年的15万人
[05:44] 这几年甚至连15万都不到
[05:46] 录取率已经接近一成
[05:48] 尤其这几年政府机关也曾经出现过过劳事件
[05:52] 所以连公务员压力买房买车都很大
[05:54] 而且老板也不一定好相处
[05:56] 不如出去拼一把
[05:57] 那也不只是台湾的公家部门
[05:59] 我们看到台湾的医疗环境也是如此
[06:02] 目前全台湾护理师也出现了大规模的出走潮
[06:05] 过往每年的新进护理师大概有8500人
[06:08] 到22年只剩下7500人
[06:10] 隔年再减少到7400人
[06:12] 那这几年持续往下掉
[06:14] 新入职的护理师大概有三分之一
[06:17] 会在三个月以内就会离职
[06:19] 按照这个趋势
[06:20] 可能真的很快就要开放海外移工
[06:22] 担任护理师了
[06:23] 年纪大了学印尼语学越南语
[06:25] 比学英语还要来得有用
[06:27] 毕竟现在护理师
[06:29] 如果薪资调涨不够快
[06:30] 年轻人也不一定愿意去做
[06:32] 与此同时我们看到
[06:34] 在交通员也是如此
[06:35] 台湾的国道和公路客运
[06:37] 已经陷入驾驶能力不足
[06:39] 和高龄化的恶性循环
[06:40] 驾驶人数从19年的5600人
[06:42] 一路锐减到最近24年到25年
[06:45] 接近3500人
[06:46] 平均年龄更是上升到50.5岁
[06:49] 补充新解析是相当困难的
[06:51] 这也的确
[06:52] 因为疫情之后
[06:53] 营收下滑
[06:54] 延迟发行
[06:55] 很多驾驶对于投入相关运输行业的疑虑
[06:58] 陆续上升
[06:59] 很多人宁愿选择市区公车
[07:01] 等相对稳定的工作
[07:03] 也不愿意加入国道路线
[07:05] 不过呢
[07:05] 就算是公车
[07:06] 市区内台北市的驾驶缺额
[07:09] 也在逐年的上升
[07:10] 从原本的1000名到1200名
[07:12] 到1300名到1500名
[07:14] 现在降低入取门槛
[07:17] 也没有太大作用
[07:18] 唯一的解方
[07:19] 可能是优先开放Robotexy
[07:21] 或者Vemo来台湾
[07:22] 一方面解决公路运输的问题
[07:24] 另外一方面
[07:25] 也可以让这些科技巨头
[07:27] 来体验什么叫做
[07:28] 真正的道路难题
[07:29] 另外一方面
[07:30] 最为缺工的
[07:31] 反而是服务业的旅宿业
[07:33] 我们看到在现在为止
[07:34] 整体旅宿业缺工幅度
[07:36] 已经高达9万人
[07:37] 即便业者说
[07:38] 即便有加薪
[07:39] 还是招不到房务员
[07:40] 那我想应该是加的不够多
[07:42] 劳动部已经在今年
[07:44] 正式开放旅宿一工
[07:45] 不过到底业者是缺工
[07:47] 还是缺便宜的工
[07:48] 因为从24年的职业类别来看
[07:51] 住宿房务员的去年薪资
[07:53] 是30,941块
[07:55] 比前年同期的30,246块
[07:58] 只有加薪695块
[08:00] 相对还是比洗涤工
[08:02] 或者资源回收分类工好一点但是总体平均薪资还是落后给全台平均薪资资现在整个服务业不管是餐饮业都在大调薪的情况底下旅宿业也可能要被迫进行价格调升
[08:15] 事实上我们看到
[08:16] 全台湾平均薪资
[08:18] 相对比较低的上市公司
[08:19] 很明显都在观光餐饮业
[08:21] 食品工业和贸易百货
[08:23] 这一些反而是目前调涨压力来得最大的
[08:26] 你不调薪根本就找不到任何人
[08:28] 只能靠移工解决
[08:29] 比如说三商餐饮的平均年薪是29.7万
[08:33] 心态是33万
[08:34] 三商加购39万
[08:36] 远远低于平均上市柜公司的平均水准
[08:39] 其他有一些部分制造业和传产公司
[08:41] 也是榜上有名
[08:42] 比如说油电燃气的全国
[08:44] 电信电缆的三阳电
[08:46] 机械业的力企
