[00:00] 歡迎收聽趙華宇古貨載第1011集1011
[00:10] 今天是2026年的1月6號
[00:13] 今天的臺股甚至可能比昨天還要再驚奇一些哦
[00:18] 因為昨天盤中其實有漲到989點
[00:21] 是真的蠻誇張的啦
[00:22] 漲了快1000點
[00:23] 而且一口氣這個3萬點就把它站穩了
[00:25] 但大部分的人或者包括我自己哦
[00:28] 都會想說昨天那麼激情了
[00:30] 今天可能會休息一下
[00:31] 結果今天是收最高
[00:33] 大漲471點
[00:35] 這個我反而還有點意外
[00:37] 而且今天的量呢
[00:38] 還有7300多億哦
[00:40] 是一個放量上攻的狀態
[00:43] 當然因為今天我們知道有CES站
[00:46] 那黃文勳已經說話了
[00:48] 不過我也比較意外的是
[00:49] 他雖然有說到機器人或自駕車等等的
[00:52] 但他還是蠻大一部分
[00:54] 是在講他的盧比系統和晶片
[00:56] 因為這個是消費性電子
[00:58] 本來是比較希望他帶動的是
[01:00] 這一波幾乎比較沒有漲的機器人
[01:03] 或是自駕車相關的
[01:04] 但他還是在講他們的晶片
[01:07] 然後點名的還是我們這些組裝廠
[01:10] 廣達偽創臺積電等等的
[01:12] 臺積電今天也是厲害了
[01:14] 本來開盤的時候是黑的
[01:15] 因為昨天大漲太多了
[01:17] 結果沒想到也是收最高
[01:20] 上漲了35塊錢
[01:22] 收在1705元占上1700元大關
[01:27] 我昨天有發現一個現象
[01:29] 因為昨天這上三萬點
[01:30] 我想這是一個非常好的歷史時刻
[01:33] 昨天也有亮
[01:34] 那昨天這個盤中大漲的點數也很驚人
[01:36] 那昨天臺積電也創歷史新高等等的
[01:39] 可是昨天我看到有蠻多的網友在留言討論是
[01:42] 就算有臺積電
[01:44] 他也不敢這時候再加碼
[01:45] 當然是很慶幸
[01:47] 但是恨自己手上不夠多
[01:49] 這其一對不對
[01:49] 然後其二
[01:50] 有不少人就說
[01:52] 那我可不可以取個暖
[01:53] 請問有沒有人從2025年到現在
[01:56] 還沒有賺到錢的
[01:57] 或是賺很少的
[01:58] 這個回應很熱烈
[02:01] 因為昨天有講到是一個K型臺股
[02:04] 昨天漲臺積電和臺積電的好朋友們
[02:06] 但昨天的貴買下跌之外
[02:08] 1400多家公司是下跌的
[02:10] 那當然今天的體感溫度是有好一些
[02:12] 今天上漲的加速是比較多
[02:14] 而且是集中在大家熟悉的電子股上面
[02:17] 電子成交比重相當的高
[02:19] 不過我想大家還是有同樣的疑問
[02:21] 這樣兩天就漲了1000多點
[02:22] 我該怎麼做
[02:24] 那我現在去追臺積電嗎
[02:26] 好像也不對
[02:27] 那我要把臺積電賣掉嗎
[02:29] 好像也怪怪的
[02:30] 那今天來的人
[02:31] 他比較少上Podcast
[02:32] 但他每次來
[02:33] 大家的反應都很熱烈
[02:34] 因為他是一個實戰的操作者
[02:37] 今天來的是我們的冠軍操盤手
[02:40] 雲翔哥
[02:40] 大家好
[02:41] 雲翔哥大獲全勝
[02:43] 是在臺股兩萬兩千點以上的時候
[02:45] 就說他會把他的持股水位
[02:48] 拉高到70%以上
[02:49] 中間兩次回測際線
[02:51] 因為都有守住
[02:52] 所以這個70%策略沒有變
[02:55] 加上跨年的時候
[02:56] 雲陽哥來上節目
[02:57] 我就說他是高水位跨年
[03:00] 到今天他達成了
[03:02] 他的一個想要的成就
[03:04] 本來想要在2025年的
[03:05] 12月31號達成
[03:07] 沒達成
[03:07] 差兩天
