[00:00] 歡迎收聽趙華與古惑仔第1013集1013
[00:09] 今天是2026年的1月8號
[00:13] 哈嘍大家好
[00:14] 我是趙華
[00:15] 理財達人秀2026年第一場的實體講座
[00:19] 將在本週六1月10號跟大家見面咯
[00:22] 地點在臺北的富邦國際會議中心
[00:25] 這次我們邀請到五位超強來賓
[00:27] 題材獵人林漢偉
[00:28] 西南股神陳偉良
[00:29] 還有存股教父古瑜
[00:31] 安聯投信的投資長張偉敏
[00:34] 以及基金經理人施正廷
[00:36] 要帶來最關鍵的投資指引哦
[00:38] 到底今年的至勝配置怎麼抓
[00:41] 這個AI會不會在馬年再衝一波咧
[00:43] 主動式的ETF好熱哦
[00:45] 現在該怎麼選呢
[00:47] 希望幫大家在投資路上
[00:48] 跑得更快
[00:49] 看得更準
[00:50] 當然感謝各位粉絲的支援
[00:52] 現在報名是額滿的
[00:54] 是要提醒大家有報名的朋友
[00:55] 這個星期六1月10號
[00:58] 約好了不見不散哦
[01:00] 那還是要提醒
[01:01] 投資一定有風險
[01:03] 基金投資有賺有賠
[01:04] 深扣前因祥悅
[01:06] 公開說明書
[01:08] 今天的臺股
[01:09] 有比較冷靜一點點咯
[01:11] 怎麼講呢
[01:12] 因為像前幾天呢
[01:13] 是這個天天爆噴大漲
[01:15] 那昨天雖然沒有爆噴大漲
[01:17] 是下跌的
[01:17] 但昨天的成交量
[01:19] 嚇死人了
[01:20] 上市加上櫃是超過一兆元
[01:23] 以上市量來說
[01:24] 這個將近9000
[01:25] 因為還在加計盤後的話
[01:27] 是臺股史上的第一大量
[01:29] 昨天其實有反映在
[01:32] 我們可能各財經頻道的收視率上面
[01:35] 昨天看的人真的有特別的多
[01:38] 可見的成交量
[01:39] 確實是大家參與市場的一個蠻明確指標
[01:43] 當然昨天這個量到哪來的
[01:45] 眾說紛紜
[01:46] 那我有收到很多人問說
[01:48] 昨天外資不是賣超300億嗎
[01:50] 你們說外資過完新曆年就會回來
[01:54] 回來是回來
[01:54] 回來賣
[01:55] 賣也是量好嗎
[01:57] 賣也是量
[01:59] 可是誰接走了呢
[02:00] 也有一派揣測說
[02:02] 因為我們知道12月
[02:03] 受險有因為這個
[02:04] 有一些法規新制的關係
[02:06] 可能在12月有賣股票
[02:08] 那1月1號之後了嘛
[02:09] 可能受險有一些部位
[02:11] 以及也有人懷疑
[02:12] 這個國安基金沒退場
[02:14] 或是政府不希望
[02:16] 這個1月疊的話
[02:17] 是不是有可能在這個時候
[02:19] 伸出一隻默默無形的手
[02:20] 因為如果你只靠散戶
[02:22] 確實你說這個
[02:23] 8000多億9000億的上市量
[02:25] 靠散戶
[02:26] 這聽起來有點怪怪的
[02:28] 而且投信又是一直
[02:29] 比較站在賣方
[02:30] 所以看起來
[02:31] 也不像是投信大舉進場
[02:33] 大家就覺得這個神秘買盤
[02:35] 十分有趣
[02:36] 那今天比較康當一點
[02:38] 但今天的成交量
[02:39] 還是有7365億
[02:40] 這個是上市的成交量
[02:42] 哇
[02:43] 如果這個2026年以來
[02:45] 天天7000億不稀奇的話
[02:48] 那今年的證券股
[02:50] 或是證券相關的金控股
[02:53] 好像應該會賺不少哦
[02:55] 光是以這個交易的稅啦
[02:57] 交易的這個費用來看的話
[03:00] 好
[03:00] 不過今天很多人也是覺得
[03:02] 那體感還是又變得比較不好了
[03:04] 尤其貴買是開高走低哦
[03:06] 有很多的公司
[03:07] 也是呈現開高走低的狀況
[03:09] 先來歡迎今天的來賓哦
[03:11] 他這個結完婚之後
[03:12] 沒有休婚假
