[00:00] 歡迎收聽趙華語古惑仔第1015集1015
[00:09] 今天是2026年的1月12號
[00:13] 今天的臺股又創歷史新高
[00:16] 其實上個禮拜五我們有預期有一些事情
[00:19] 也許maybe會讓今天的臺股看看會不會壓抑一下
[00:23] 一個當然就是有提到
[00:25] 原本預期美國的高等法院
[00:27] 要來宣判了
[00:29] 這個川普到底關稅
[00:31] 有沒有違法
[00:32] 沒想到這個案子
[00:34] delay了
[00:34] 來不及宣佈
[00:36] 所以這件事情
[00:36] 就像是沒有了一樣
[00:38] 現在就不曉得
[00:39] 什麼時候才會宣佈
[00:41] 那第二個
[00:41] 當然大家知道
[00:42] 上個禮拜有非常多的記憶體
[00:44] 被關進去處置
[00:46] 但今天猛了
[00:47] 因為禮拜五的晚上
[00:48] 美光跟Sandy
[00:49] 還是大漲的
[00:51] 所以今天的記憶體
[00:52] 我不管有關沒關
[00:53] 我還是照長不入
[00:55] 這個夾縫中開出花的韌性
[00:59] 實在是讓人家覺得非常驚人
[01:01] 所以今天台股呢
[01:02] 其實在夜盤就已經創下歷史新高了
[01:05] 那今天日盤開盤現貨的部分
[01:08] 最高有來到30681
[01:11] 這個是在創歷史新高
[01:14] 收盤的30567也是收盤高
[01:16] 今天的櫃買更是非常的猛
[01:18] 漲了2.4個百分點
[01:20] 收在286.57
[01:21] 那大家想說286.57
[01:23] 其實不是一個歷史新高
[01:26] 其實不是是2000年以來的新高
[01:28] 在這個網路泡沫的時候
[01:30] 貴買曾經有來到340點左右
[01:33] 是非常猛
[01:34] 因為當時真的太多的小股票了
[01:36] 那今天的貴買有非常多的大型的
[01:39] 佔他的全職的股票加持
[01:41] 群聯
[01:42] 環球金
[01:43] 以及股王信華
[01:45] 股王信華太猛了
[01:47] 今天已經占上8000塊
[01:49] 好
[01:50] 今天的來賓
[01:50] 我們禮拜六才剛見面
[01:52] 其實禮拜六的
[01:53] 我們一起去參加了一個講座
[01:55] 對不對
[01:55] 那個講座其實我覺得收穫很多
[01:57] 等一下也可以就
[01:59] 我們在那一天講座討論的內容
[02:01] 來跟大家繼續分享
[02:02] 先來歡迎他
[02:03] 今天來的是題材獵人
[02:04] 哈偉哥
[02:05] 大家好
[02:06] 各位聽眾大家好
[02:07] 可能因為臺股熱
[02:09] 不過我覺得大家也真的是
[02:10] 供奉其盛
[02:11] 我們在最近有陸續
[02:13] 蠻多講座都有遇到
[02:14] 對
[02:15] 然後我是主持人
[02:16] 那哈偉哥是講者
[02:17] 這樣子
[02:17] 那禮拜六的話
[02:18] 我們是安聯投信的
[02:19] 有一場講座
[02:20] 那我們在裡面
[02:22] 我覺得感覺很好
[02:24] 是說第一是臺股在新高嘛
[02:26] 然後第二是因為自家投信
[02:28] 過去的積金積效真的還蠻亮眼的
[02:31] 然後再來是宇慧的經理人
[02:33] 他本身跑半導體
[02:34] 大家也知道我非常非常喜歡半導體
[02:36] 所以我們就聊了一下半導體的時候
[02:38] 就會有很親切的感覺
[02:40] 大家就會有很積極
[02:42] 因為本人個性喜歡科技就是積極
[02:44] 就會非常積極
[02:46] 臺股就算三萬點了
[02:47] 還是很有機會
[02:49] 的一個沖沖衝的感覺
[02:51] 當然啦
[02:51] 不可諱言
[02:52] 一定還是有壓力
[02:53] 就像我這個禮拜天
[02:55] 又跑到這個美提球場去打球
[02:58] 那去打球的時候
[02:59] 真的就是
[03:00] 我覺得我好累
[03:00] 因為我禮拜六
[03:01] 已經一整天的講座
[03:02] 真的累
[03:03] 然後禮拜天去打球
[03:04] 我就偷懶沒有下去打
[03:06] 但是真的好多人
[03:07] 看到我就是三萬點了
[03:09] 那買什麼什麼什麼
[03:10] 什麼什麼什麼
[03:11] 我就覺得哇
[03:13] 我整個人的精神
[03:14] 有點幹掉這樣子
[03:16] 好
[03:16] 那幸好還是
[03:18] 我們的班級
[03:19] 應該說我們的
[03:20] 那一個隊伍
[03:21] 還是拿下了
[03:22] 球賽的冠軍
[03:23] 可喜可賀
[03:24] 不囉嗦了
[03:25] 因為今天的盤
[03:26] 有點叫百花齊放
[03:27] 我們先來討論一下
[03:28] 這個實在是很驚人
[03:30] 就是創新高
[03:31] 又創新高
[03:32] 然後以為會發生的利空
[03:33] 目前沒有發生
[03:35] 對不對
[03:35] 好
[03:36] 那我們看到今天
[03:37] 剛剛講到的
[03:39] 當然臺積電
[03:39] 今天又去評了
[03:40] 前高1705
[03:41] 這個禮拜最大的
[03:42] 重頭戲
[03:43] 肯定是臺積電的
[03:44] 法說會
[03:45] 那現在也很明顯
[03:46] 資金不太可能
[03:47] 在這個時候
[03:47] 去硬拉臺積電
[03:48] 已經拉了一大段
[03:49] 那今天有什麼樣的表現呢
[03:51] 例如說像面板級的
[03:53] 三處型封裝
[03:53] 可能又捲土重來了
[03:55] 然後像歷程
[03:56] 對不對
[03:57] 漲停板創新高
[03:58] 那還有像是低軌衛星
[04:00] 我想今天很明白的
[04:01] 華通跟耀華都漲停板
[04:03] 那最近有一檔
[04:05] 神奇腰骨叫可寧衛
[04:07] 後來大家就找出來
[04:09] 它在漲什麼
[04:10] 但需不需要
[04:11] 因為這個題材
[04:12] 去追逐可寧衛
[04:14] 我覺得倒是
[04:15] 不用壓力那麼大
[04:16] 因為一開始是919
[04:17] 納進它的時候開始漲
[04:18] 後來就講到
[04:19] 最近的很多營建業
[04:20] 它的土方
[04:22] 就它一些廢氣物廢土
[04:23] 是不是有合法的去處理
[04:25] 那臺灣的合法業者
[04:26] 其實很少
[04:27] 所以就因此
[04:28] 就說可能是因為這樣
[04:30] 所以今天有一些廢氣物回收的
[04:32] 也是跟著噴漲
[04:33] 那高麗有特定人士在推
[04:35] 然後散熱的部分有漲
[04:37] 記憶體那可是收漲停板
[04:40] 群聯盤中漲停
[04:41] 一堆亂七八糟
[04:44] 讓我覺得很誇張的載板
[04:45] 對不對
[04:46] 大家看到這個錦碩
[04:48] 欣欣很強之外
[04:49] 真鼎KY終於表態了
[04:51] 終於表態了
[04:52] 所以今天要講的事情好多哦
[04:53] 那題材列人來嘛
[04:55] 沒有關係
[04:55] 就讓他一個一個來解讀
[04:57] 講到這邊
[04:58] 只有利空還不發生
[05:00] 那是不是就不要去預設上線了呢
[05:02] 對我覺得今天的東西真的很多
[05:04] 可能要分成上集跟下集來解讀
[05:06] 但沒關係
[05:07] 時間有限
[05:08] 所以我們儘量挑相關的重點
[05:10] 那剛剛來講一下這個
[05:12] 上個禮拜的演講啦
[05:13] 我覺得這個演講
[05:15] 剛剛其實趙老提到嘛
[05:16] 跟他們經理人是半導體出身的
[05:18] 但在那個會場
[05:19] 其實趙華聊最久是貓的話題
[05:22] 因為你們都不能
[05:23] 你們各位都不插嘴
[05:25] 就我跟對方的那一個
[05:26] 對啊
[05:27] 對
[05:27] 副總裁公關
[05:29] 對
[05:29] 就講了貓講了好久
[05:31] 都不會累的感覺
[05:33] 就是說其實現在的盤面上
[05:36] 我們第一個跟大家講
[05:37] 其實大家有注意到
[05:38] 今天其實大盤雖然說創業率新高
[05:40] 但量能是萎縮的
[05:41] 只有6000多億的量
[05:42] 那6000多億的量是怎麼來的
[05:44] 因為你看到臺股
[05:45] 這一波真的漲了很多
[05:47] 尤其是有一點點那種族群百花齊放
[05:49] 所以現在臺股的儲值的股票
[05:52] 大概也有快二十幾檔
[05:53] 所以量能就明顯急動
[05:55] 尤其是在基底族群有八檔
[05:58] 是在儲值交易期間
[05:59] 所以你發現到上個禮拜
[06:01] 基底還沒有被關那麼多的時候
[06:03] 成交量大家都七八千億
[06:04] 那基底被關之後
[06:06] 成交量就收到六千億上下
[06:08] 那我們在禮拜六的演講
[06:11] 不管是上半場下半場
[06:12] 有很多的投資人
[06:14] 對基底都非常的有興趣
[06:16] 所以還是跟大家說
[06:18] 就是說目前盤面上
[06:19] 我們還是要跟大家講
[06:20] 還是有一些主流的一個族群
[06:23] 持續在蔓延當中
[06:24] 所以我們先從大的族群來看
[06:27] 第一個就是在臺積電
[06:29] 因為這個禮拜要法說會嘛
[06:31] 所以臺積電股價
[06:32] 今天是評而歷史的新高
[06:34] 但是尾盤是壓回來
[06:36] 那尾盤壓回來的原因
[06:37] 也是因為如果大家去看
[06:38] 今天下午的美股電子盤
[06:40] 其實跌勢都有在擴大
[06:41] 像在道瓊啊
[06:43] 然後S&P500
[06:44] 那達克指數
[06:45] 大概平均跌0.5到接近一個百分點
[06:48] 所以看起來今天尾盤
[06:49] 這個指數的壓抑
[06:51] 應該是有一些法人在擔心
[06:53] 今天美股可能會出現拉回的走勢
[06:55] 那跟大家講拉回的原因
[06:56] 我們就要去做一個檢視
[06:58] 就從國際方向來看
[06:59] 今天這個美股下跌
[07:01] 我覺得有兩個原因
[07:02] 一個是這個美國可能在這個月底之前
[07:06] 對伊朗會有動作
[07:07] 所以地緣政治的風險
[07:09] 開始在國際上蔓延
[07:11] 這也是為什麼最近國際的軍工股
[07:13] 跟臺灣軍工股特別強的原因
[07:14] 第二件事情是川普又對鮑爾出手
[07:17] 對他做了一個刑事的指控
[07:20] 所以他下臺他也是服放過他
[07:23] 所以我覺得現在川普
[07:26] 因為其中選舉的關係
[07:27] 其實動作非常的大
[07:29] 你可以看到除了對鮑爾的刑事指控以外
[07:31] 他在禮拜二禮拜天又做了一些
[07:33] 所謂的政策連發
[07:34] 第一個是透過房地美跟房地美
[07:38] 舉行的川普版的QE
[07:40] 用2000億美元去購買一些抵押型的債券
[07:44] 那第二件事情是
[07:45] 他去限制了信用卡的一個利率的上限
[07:48] 所以原本美國的信用卡利率很高
[07:51] 那現在最多隻能夠收10%
[07:52] 所以大家會覺得說
[07:54] 川普的動作很多的時候
[07:56] 我覺得市場的動盪就會加劇
[07:58] 所以我覺得今天台股尾盤的壓抑
[08:00] 當然就是因為今天王美股可能會震盪
[08:02] 但目前來看
[08:03] 我覺得這兩件事情
[08:04] 一個是地緣政治
[08:05] 一個是川普伸手到金融市場的一個變化
[08:09] 對臺股的影響應該沒那麼直接
[08:11] 所以我覺得今天看起來就是
[08:13] 資金的部分還是在點火相關的重點族群
[08:18] 那臺積電既然在盤中評了歷史新高
[08:21] 代表說半導體這一塊
[08:23] 今天我覺得是整個盤面上
[08:24] 族群算是最整齊的
