[00:00] 歡迎收聽趙華與古惑仔第1016集
[00:09] 今天是2026年的1月13號
[00:12] 今天依舊是一個臺股再創歷史新高的日子
[00:16] 今天盤中最高有來到30973
[00:20] 事實上昨天晚上如果是臺指旗的夜盤
[00:22] 是有率先突破31000點
[00:24] 不過今天的洗刷是相當的大
[00:27] 今天盤中還一度翻黑
[00:29] 一度翻黑
[00:30] 上沖下洗
[00:32] 最高點是30973
[00:33] 但是最後收的話是30707
[00:37] 還是收漲
[00:38] 收漲了139點
[00:39] 那盤面上有非常多的訊息
[00:42] 昨天我們就已經覺得講不完了
[00:44] 昨天是題材獵人來
[00:46] 因為昨天是百花齊放盤
[00:48] 所以非常多的題材股都在漲
[00:51] 那今天說實話
[00:52] 體感溫度是沒有昨天好的
[00:54] 今天看起來疑慮也是比較多的
[00:57] 有一些比較大的新聞
[00:59] 我想昨天在這個傍晚的時候
[01:01] 國安基金開會是宣佈退場哦
[01:03] 那我們還記得之前國安基金說
[01:06] 為什麼三萬點啦
[01:07] 都快三萬點創新高了
[01:08] 你都不退場
[01:09] 他們的理由是因為關稅還沒有談妥
[01:14] 還會有震盪
[01:15] 所以大家也會有點捏著
[01:16] 怎麼講
[01:17] 男女捏的東西不一樣
[01:19] 捏著看等說
[01:20] 到底是不是這個關稅有什麼樣的意外或狀況
[01:23] 國安基金才不退場
[01:25] 那說來也巧
[01:26] 昨天傍晚說退場
[01:28] 今天清晨就聽到關稅
[01:30] 紐約時報的報道
[01:32] 說臺灣的關稅是談15%不疊加
[01:35] 然後232條款也還在談的當中
[01:39] 應該可以談到一定的優惠程度
[01:42] 總之大家視為一個利多
[01:44] 因為之前的話是擔心疊加
[01:46] 擔心20%以上
[01:47] 那如果15%的話
[01:49] 聽起來就比較符合
[01:51] 大家覺得有變寬鬆這件事情
[01:54] 好所以昨天的夜盤確實有率先反應
[01:58] 那今天也證實說那好像國安退場
[02:00] 股市照漲
[02:02] 要不然一開始聽到國安退場的時候
[02:05] 昨天下午的開盤夜盤是先跌的
[02:08] 先小跌的
[02:09] 好但是一來一回
[02:10] 那大家也會有點猶豫跟掙扎
[02:13] 對不對
[02:14] 那到底談妥了嗎
[02:15] 那聽說要投3000億美元到美國是什麼呢
[02:18] 聽說要加速這個臺積電建廠的速度
[02:21] 所以今天臺積電的資本支出概念股也在漲哦
[02:25] 包含了禮拜四因為法說也要公佈
[02:28] 2026年的全體資本支出到底到哪裡哦
[02:31] 好
[02:32] 綜合性的因素在盤面上來回洗刷
[02:35] 也有不少股票開高走低
[02:37] 尤其今天貴買一度像溜滑梯一樣刷下去
[02:40] 幸好尾盤有稍微拉回來哦
[02:42] 嗯
[02:43] 好
[02:44] 所以大家可能在投資上面
[02:46] 有時候會覺得自己選中的股票
[02:48] 真的是雲霄飛車
[02:50] 或是自己選中的股票
[02:51] 只漲一兩天又漲別的
[02:53] 那高高在上的
[02:54] 到底還能不能爆
[02:55] 能不能追
[02:56] 一樣今天還是有非常多的
[02:57] 低位階股票上漲
[02:58] 尤其最近有一些新的議題
[03:00] 這個2026年1月1號
[03:02] 正式上路
[03:02] 這個銀劍剩餘土
[03:03] 十方全流向管制
[03:06] 是這個前兩天有講到
[03:08] 是可林味在大標特標
[03:09] 現在賣到整一個
[03:10] 整個所謂回收
[03:12] 只要做回收
[03:12] 就通通亂漲一通這樣子
[03:14] 這種現象在盤面上
[03:16] 大家的心要怎麼樣安定呢
[03:18] 臺積電的法說會不會有
[03:20] 所謂的利多然後漲不動的問題
[03:22] 今天來的人
[03:23] 是最近有在幫我們關注一些低位階股票上漲
[03:28] 包括一些低價轉機股
[03:30] 好我講了這麼多前提
[03:32] 就是等一下希望他可以一鼓作氣講30分鐘
[03:36] 好今天來的是我們的選股教練黃金右下角
[03:40] 韋泰
[03:40] 嗨趙王好大家好
[03:42] 好韋泰我們該從哪一項開始講呢
[03:44] 國安退場講呢
[03:45] 還是關稅到底現在算是底定了來講呢
[03:48] 還是臺積電的法說會會不會力多出盡
[03:51] 還是會力多延續來講呢
[03:53] 我們先來聊這個國安基金好了
[03:56] 因為這次的一個護盤天數高達279天
[04:00] 史上最長
[04:01] 對史上最長的一個護盤天數
[04:03] 那就像剛剛這個趙懷友稍微提到
[04:06] 就是說這個退場的時間點非常巧妙
[04:10] 剛好就是跟這個我們的關稅
[04:13] 跟美國這個可能的一個底定
[04:16] 非常的接近
[04:17] 那今天早上就有其他的媒體
[04:22] 來跟我做一個就是討論
[04:24] 就是說這個會不會對臺北股市有很大影響
[04:28] 我早上看一下臺子期
[04:30] 在這個現貨開盤之前
