[00:00] 歡迎收聽趙華語古貨載第1017集
[00:09] 今天是2026年的1月14號
[00:12] 今天的加權指數在創歷史新高
[00:15] 中場大漲了234點
[00:17] 盤中最高有來到30994X6點
[00:21] 就要來到現貨價的31000點
[00:24] 這個臺址其實已經有過31000點先前
[00:27] 那好在這個創新高的路上
[00:30] 今天的狀態來說
[00:32] 我有聞到一點小瘋狂
[00:34] 因為我今天在樓下梳化的時候
[00:37] 所有的美髮師化妝師都有在講買股票的事情
[00:41] 而且是完全不知道這檔公司在做什麼
[00:44] 照買不誤而且有賺錢
[00:45] 這就是一個蠻有趣的
[00:47] 股市很熱的情況會看到的
[00:50] 其實蠻正常的
[00:51] 那今天的上漲加速其實有高達1400多家
[00:56] 跟之前我們常常講
[00:58] 2025年有沒有常常出現
[01:00] 就是雖然今天上漲
[01:01] 可是漲臺積電或是大型圈支股
[01:03] 下跌加速1400多家
[01:05] 今天不是哦
[01:06] 今天上漲加速有1400多家
[01:09] 那這幾天其實貴買的表現都相當好
[01:12] 也就是大家手上的中小型股
[01:14] 應該格外的有感
[01:16] 尤其今天臺積電是收平盤
[01:18] 明天就是臺積電的法說會了
[01:20] 那很多人在押寶的
[01:22] 看起來已經不是臺積電本人了
[01:25] 而是臺積電的周邊
[01:26] 為什麼我想大家經驗也充足了
[01:29] 之前即使臺積電講的再好
[01:32] 對不對
[01:33] 可是對於他本人來說
[01:34] 因為最近已經從1400塊
[01:36] 漲到1700塊
[01:37] 也算是不小的漲幅
[01:39] 所以如果以資金效益來說
[01:42] 也許去買他的周邊
[01:43] 包括像今天細金源也非常的厲害
[01:46] 因為都算是相對比較低檔
[01:48] 沒有過前面新高點的產業
[01:51] 那今天就圍繞臺積電之外
[01:53] 我們也看到之前比較低位階的低軌衛星
[01:56] 然後呢我們一直在講說AI的終點就是要這個電力啊
[02:00] 那華晨今天也是領軍表態
[02:03] 而且把這個二線軍就是亞歷啦中興電都有帶起來哦
[02:07] 今天重電也是很整齊的族群
[02:09] 第一位接轉強的真的也蠻多的
[02:12] 大家說國具啊終於也動起來了
[02:14] 所以今天可以聊的多之外
[02:18] 我想也是有很多的朋友會有點擔心說
[02:21] 會不會真的已經到了那一種大家一起集體熱
[02:24] 然後有點危險的狀態
[02:25] 先來歡迎今天的來賓
[02:26] 今天來的是古奇雙分析師
[02:28] 紀委名小明同學
[02:30] 哈嘍各位聽眾朋友大家好
[02:31] 好我們先從昨天晚上的總經講起好了
[02:35] 因為我們有講到
[02:35] 有一些資料還是會影響到整個盤面
[02:38] 昨天最重要的當然就是美國的CPI年增率
[02:41] 那結出來
[02:42] 本來說實話有點擔心
[02:45] 這個政府在正常運作之後
[02:47] 會不會有比較高的通膨資料給計算出來
[02:50] 但昨天的2.7%是符合市場預期
[02:53] 那大家其實昨天美股表現沒有非常的強
[02:55] 但今天台股卻非常的強
[02:57] 所以有一點點味道沒有同步
[03:00] 對為什麼會有呈現這樣的現象
[03:03] 在這兩個交易日
[03:05] 我感受特別的深
[03:07] 因為其實包含像是昨天
[03:08] 大家還記得那個大怒神
[03:10] 就是盤中大震盪
[03:11] 是那你這種震盪
[03:12] 對他一度翻黑
[03:14] 可是我自己其實在找盤的時候
[03:16] 我第一個疑惑是
[03:17] 奇怪美股好像也沒什麼大漲
[03:19] 那你臺股夜盤怎麼漲300多點
[03:21] 對
[03:22] 所以當時早上開高的時候
[03:24] 我心裡面就開始覺得
[03:25] 怎麼好像有點不太對
[03:27] 那包含像是今天也一樣
[03:29] 因為昨天美國公佈的
[03:31] 就是最新12月份的CPI
[03:32] 這份CPI有人跟你講說
[03:35] 低於預期
[03:35] 有人說符合預期
[03:36] 我還有聽到
[03:38] 有人說這個叫做高於預期
[03:39] 眾說紛紜
[03:40] 可是其實當今天
[03:42] 大家對資料的解讀
[03:43] 很紛亂
[03:45] 沒有一致的時候
[03:46] 也就代表其實
