[00:00] 歡迎收聽趙華宇古惑仔第1019集
[00:09] 今天是2026年的1月16號
[00:12] 好今天是星期五
[00:14] 照理來說大家應該心裡面有點要放假的心情了
[00:17] 可是以臺北股市來說呢
[00:18] 因為昨天開了一個非常勁爆的臺積電法
[00:22] 說昨天下午我們就有第一時間趕快來解讀
[00:25] 法說會中的種種資訊
[00:27] 也儘快上架給各位天龍朋友知道
[00:30] 那後來在今天做了一些驗證
[00:32] 確實是如昨天下午的分享
[00:35] 那今天當然因為他繳出這麼厲害的成績
[00:39] 是直接帶動了我們的股市
[00:41] 今天中場大漲了598點
[00:45] 那臺積電本人呢
[00:47] 當然今天是創下了歷史新高
[00:49] 盤中最高有來到了1750
[00:52] 那第一個先驗證到臺積電本身的是
[00:55] 當然因為他昨天講的真的太好了
[00:56] 即使我們覺得會有一點點利多頓化的可能性
[01:00] 因為利次的法書有這樣的問題
[01:02] 大家今天還是很努力
[01:04] 他還是很努力
[01:05] 中場收漲大概三個百分點
[01:07] 但他還是符合昨天講的
[01:09] 他漲的比所謂的美國的ADR的漲少一點
[01:13] 以及昨天美國的ADR還是有開高走低的問題
[01:16] 那當然今天盤面上不止臺積電在放光芒
[01:20] 我們看到PCB上游等等的還是非常的強
[01:24] 但我想大家內心還是會有疑問
[01:26] 這個疑問就是
[01:28] 雖然今天大漲600點
[01:30] 盤中甚至漲得更多
[01:31] 這個卻沒有是一個
[01:33] 例如說裝置股全面起揚
[01:35] 不是說資本支出很高嗎
[01:37] 那為什麼裝置股
[01:37] 今天只有很典放的股票
[01:39] 甚至大部分是小跌做收
[01:42] 那還有其他的股票
[01:44] 像今天有臺達電的竄起
[01:45] 因為昨天臺積電也講到
[01:48] 產能也許不是最大的問題
[01:49] 而是沒有電力
[01:50] 所以今天電力相關的
[01:52] 也都有表態
[01:53] 還有記憶體
[01:54] 昨天也提到
[01:55] 魏董說
[01:56] 這個記憶體都還有空間的
[01:58] 幸好臺移電他們夠力
[01:59] 他們有好的供應商
[02:01] 所以不太擔心記憶體的漲價
[02:02] 但這句話也讓記憶體
[02:04] 今天是繼續的大漲
[02:05] 那其他呢
[02:06] 那其他呢
[02:07] 不是整體的AI
[02:09] 都應該非常的棒嗎
[02:10] 那今天算不算百花齊放呢
[02:12] 我跟今天來的這位來賓
[02:14] 講的時候
[02:14] 他說今天不算百花齊放
[02:17] 我的感受是百花齊放
[02:18] 但他好像覺得沒有
[02:20] 沒有關係
[02:21] 對了
[02:22] 今天還有一個很大的事情
[02:23] 就是確定關稅15%
[02:25] 是一個拍板定案的
[02:26] 但是要投資美國5000億美元
[02:29] 以前大家好擔心這個投資額
[02:32] 到了今天
[02:33] 好像也不覺得怎麼樣了
[02:34] 因為臺積電去美國
[02:36] 投那麼多毛利率
[02:37] 還可以拉到六幾趴
[02:38] 是不是一個很驚人的
[02:40] 很厲害的臺灣企業的韌性呢
[02:43] 大家現在市場上的想法
[02:44] 隨著指數是上漲的
[02:46] 可能各自有不同的解讀
[02:48] 但我們要在今天這麼樂觀
[02:50] 這麼開心嗎
[02:51] 我來請教今天的來賓
[02:53] 好 今天來賓是我們的
[02:54] 國家基金操盤手
[02:56] 黃峰凱凱哥
[02:56] 大家好
[02:57] 趙好
[02:58] 我最後一句說
[02:59] 要這麼樂觀嗎
[03:00] 是因為講的
[03:00] 講得自己都興奮了
[03:01] 今天成交量
[03:02] 上市量就八千多億
[03:04] 又重演這個
[03:05] 上市加上櫃
[03:06] 有一兆的這個威風
[03:08] 好
[03:08] 而且是禮拜五
[03:09] 廉價錢
[03:10] 所以凱哥
[03:11] 剛剛在跟我對的時候
[03:12] 其實凱哥
[03:13] 有點想要拉住我了
[03:14] 因為他覺得
[03:15] 可能現在全市場的人
[03:16] 都有種
[03:17] 我要買
[03:18] 我今天要追
[03:19] 因為不止凱哥的學生
[03:20] 我這邊的
[03:21] 這個聽眾觀眾
[03:23] 也都有傳訊息來
[03:24] 表達他們現在對於持股不夠多的憂愁和煩惱
[03:28] 這個凱哥先來破個題吧
[03:31] 因為昨天臺積電法說
[03:32] 我想他所有的數字都是超乎法人的預期
[03:35] 對基本上昨天臺積電法說
[03:37] 我們之前就講過
[03:38] 其實我說他不會講差的
[03:40] 他一定都講很好
[03:41] 我說他唯一讓我擔心的就是他的資本支出
[03:44] 會不會像市場那麼瘋狂講到600億
[03:46] 其實他沒有講到600億
[03:48] 他落在520到560
[03:49] 但是520到560
[03:50] 其實也比凱哥講的481
[03:52] 附近的這個數字來得高了
[03:55] 所以基本上我就覺得
[03:56] 他講得算不錯
[03:57] 所以其實昨天跟我學員講說
[03:59] 基本上凱哥已經打一個
[04:00] 很高的成績給臺積電
[04:02] 但是你要知道
[04:03] 凱哥不是一個非常樂觀的人
[04:05] 所以市場上單人會比我樂觀的
[04:08] 不過今天看起來臺積電就
[04:10] 也是順風順水
[04:11] 就是開個高之後壓下來之後
[04:13] 又緩緩地把早上的高點給突破
[04:15] 但是不要忘記
[04:17] 其實今天市場
[04:18] 我認為其實應該不只漲這麼多
[04:21] 應該還要漲更多
[04:22] 因為臺鏈確實講得非常的好
[04:25] 而且其實昨天的臺鏈ADR
[04:28] 就有點讓人家覺得不舒服
[04:30] 就是它留了一個長上影線
[04:32] 而且它是爆大量
[04:34] 不要忘記它是爆大量
[04:36] 所以其實今天早上就有點忐忑
[04:38] 就覺得說臺鏈爆個大量
[04:39] 而且昨天美國大部分的AI股
[04:42] 其實都留上影線
[04:44] 甚至有人漲翻跌都有
[04:46] 所以其實某種程度告訴你說
[04:48] 其實臺鏈雖然講得很好
[04:49] 可是大部分的股價
[04:51] 應該都已經有一部分的price in
[04:53] 就是已經部分的反應了
[04:55] 所以今天市場上就在反映什麼
[04:58] 就在反映那個
[04:58] 法人持股結構沒有鬆動的股票
[05:02] 對
[05:03] 你就會想
[05:03] 今天什麼大漲
