[00:00] 歡迎收聽趙懷谷貨載第1020集1020
[00:09] 今天是2026年的1月19號
[00:13] 今天是星期一
[00:14] 那這個臺股真的叫做得了不會跌的病
[00:18] 因為呢這個在週末的時候
[00:21] 其實川普有去加徵歐洲的關稅
[00:23] 那原則上本來會覺得他又在做這些動作的時候
[00:27] 會引起一些市場的動盪
[00:29] 所以今天台股確實剛開盤的時候壓力是比較大
[00:32] 是開黑的
[00:32] 但中場是上漲了230點
[00:35] 真的很猛
[00:36] 盤中的高點有到31827
[00:39] 也等於是非常接近3萬2000點了
[00:42] 再度上下歷史新高
[00:44] 哇這個很猛啊
[00:47] 而且今天的成交量也是上市量將近8000億
[00:50] 如果盤後量再加進來上市上櫃
[00:52] 可能又是一個一兆的成交量
[00:54] 現在這個量真的很難去想象
[00:57] 那融資月已經來到3600億以上
[00:59] 也是在創下
[01:01] 那個近期的一個新高點了
[01:03] 那很多人都講說
[01:04] 前一陣子的融資
[01:05] 比較像聰明融資
[01:06] 就是大戶中實戶
[01:08] 因為他們進場是賺錢
[01:09] 而且持續賺錢
[01:10] 那現在會不會散戶的融資
[01:12] 才剛進來
[01:13] 那繼續推波助瀾
[01:14] 也不是不無可能
[01:15] 因為最近我真的收到
[01:17] 非常多的私訊
[01:18] 這個私訊確實就是充滿了FOMO
[01:20] 以及充滿了
[01:21] 例如說像今天好了
[01:23] 今天又創新高的同時
[01:25] 但大家知道
[01:25] 絕對不是所有的股票都會漲
[01:27] 那今天有非常明顯族群性的
[01:30] 就是像撲千步的
[01:31] 那個PCB上游
[01:32] 撲千步類的
[01:33] 以及像被動元件
[01:35] 以及像記憶體
[01:36] 因為劉德英
[01:37] 前臺移電的董事長
[01:39] 跑去買了美光
[01:40] 而且價格在310多美元
[01:42] 讓大家覺得太
[01:44] 太怎麼講
[01:45] 太驚奇了
[01:46] 太驚奇了
[01:47] 所以這個記憶體
[01:48] 今天是不囉嗦
[01:49] 被關的也照樣做漲停
[01:51] 因為集中在比較特定的族群上
[01:54] 以及剛剛講到說
[01:55] 現在都在低位階
[01:56] 所以都100塊以下
[01:58] 甚至50塊以下的股票會在噴
[02:00] 就會很多人覺得
[02:02] 那他的被剝奪感非常非常重
[02:04] 那即使去買了
[02:06] 我知道現在買可能是蹲點
[02:08] 可是可能跌個一兩趴
[02:10] 沒有跟上今天創新高的氣氛
[02:12] 心情就會不好
[02:13] 那怎麼改善這個問題呢
[02:16] 這個我也理解
[02:18] 因為像AI現金
[02:19] 這個偽創今天是大跌
[02:21] 很多人說偽創不是獲利好好的嗎
[02:23] 那為什麼會大跌
[02:25] 因為第四季毛利率不好就該死嗎
[02:27] 好多人在問這個
[02:28] 茂聯KY怎麼了
[02:29] 奇宏怎麼了
[02:30] 臺光店怎麼了
[02:32] 這些我們過去耳熟能詳
[02:33] 我們覺得千金股很猛的
[02:35] 都怎麼了
[02:36] 一堆怎麼了
[02:37] 在現在的反面上
[02:38] 怎麼了
[02:39] 來歡迎今天的來賓一起來討論
[02:41] 怎麼了以及怎麼做
[02:43] 今天的來賓呢
[02:44] 是在我們podcast
[02:45] 一直有他在排名就會往上衝的
[02:48] 題材獵人漢偉哥
[02:49] 大家好
[02:50] 各位聽眾大家好
[02:51] 好那我
[02:52] 我看到漢偉哥來
[02:53] 我就有一個靈感了
[02:54] 就從今天開始呢
[02:55] 我也會把我們內容
[02:57] 除了標題之外
[02:58] 稍微做一點調列式的提綱
[03:00] 放在我們的文字說明欄
[03:02] 因為我們每天日更
[03:03] 大家知道日更完
[03:04] 我上架
[03:05] 上架完
[03:06] 我就去錄理財大人秀
[03:08] 所以真的很忙
[03:09] 然後也沒有人會幫我做這個
[03:10] 就是所謂把內容再整理的事情
[03:13] 但是我覺得
[03:14] 為什麼會有這個感嘆
[03:15] 因為最近我身邊討論股票的人
[03:17] 真的太多了
[03:19] 包括我自己
[03:19] 有在聚餐的一些好朋友
[03:21] 但反而很奇妙哦
[03:23] 我這些好朋友都不聽我的proc.
[03:26] 可能真的太熟了
[03:27] 然後他們就會在群組裡面
[03:29] 問我proc.講過的事情
[03:31] 例如像今天
[03:32] 他們就一直在問說
[03:33] 大力光是不是有做細光子
[03:35] 他們做這個CPU到底好不好
[03:38] 然後我就把我1月5號
[03:39] 應該也是漢偉哥在的那一集
[03:41] 貼給他們說
[03:42] 我們那一天剛好聚餐
[03:43] 那一天我的主題就是
[03:44] 大力光切入細光子的利弊
[03:46] 你們到底有沒有在理我的節目
[03:48] 他們說不好意思不好意思
[03:50] 不會因為他們也是喜歡聽名牌的
[03:53] 可以理解
[03:53] 我的節目說實話
[03:55] 還是比較屬於
[03:57] 不但是每一天在盤面上的資訊更新
[04:00] 我們更希望帶給大家
[04:02] 這些資訊後面
[04:03] 例如說產業的見解
[04:04] 籌碼面或技術面上的見解
[04:06] 以及在操作的策略上的想法
[04:09] 是需要點時間和耐心來聽
[04:11] 我也是可以理解
[04:12] 好那我現在先把這個交給漢偉哥
[04:16] 因為今天要討論的事情很多
[04:18] 大盤要唱高
[04:19] 不過今天晚上美股不開盤
[04:20] 馬丁路德紀念日
[04:22] 所以今天晚上美股
[04:23] 我們比較沒有參考的依據
[04:24] 明天台股會不會就呈現
[04:26] 會比較亮說正當
[04:28] 我覺得應該會
[04:29] 剛剛其實趙娃提到
[04:30] 現在很方便有那種
[04:32] AI轉入的摘要
[04:33] 當然坊間有很多那種
[04:35] 各大Package的懶人包
[04:37] 所以大家可以花點時間去看
[04:39] 但是那個不是很好
[04:39] 那不是很好
[04:40] 因為我覺得懶人包
[04:41] 還是要把它聽完
[04:42] 因為有些時候有點偏頗
[04:43] 或者說可能重點
[04:45] AI幫你解決重點
[04:45] 不是我們要講的重點
[04:47] 所以還是要把整個Package聽完
[04:49] 那但我覺得今天的盤面上
[04:51] 我覺得臺股的搶
[04:52] 真的是會讓大家覺得有點意外
[04:53] 因為禮拜天傳出來
[04:56] 所謂的美國跟歐盟之間的
[04:59] 因為格英蘭世界
[05:00] 所謂的關稅的對沖
[05:02] 那美國要克這個
[05:04] 歐盟大概對10%
[05:06] 相關的八個國家
[05:07] 反對他們奪取格英蘭
[05:10] 這八個國家要克10%關稅
[05:12] 而且未來可能要提高到25%
[05:14] 如果他們繼續反對下去
[05:15] 那歐盟大概馬上反制
[05:17] 從這個馬克龍
[05:18] 然後到現在很多的歐洲的一些媒體也提到說
[05:21] 如果川普再這樣一意孤行下去
[05:24] 可能要針對所謂的美債
[05:26] 做了一些所謂相關
[05:28] 類似拋售的一個反制措施
[05:30] 所以我覺得這個當然
[05:31] 對於整個全球金融市場來講
[05:32] 是一個很大的動盪
[05:33] 你看到美股的三大起始
[05:35] 從今天早上開盤
[05:36] 大概平均跌幅
[05:37] 像納達克都跌1%以上
[05:39] 那道瓊跟標普
[05:41] 大概是0.5到0.6個百分點
[05:43] 但今天台股完全沒有任何的影響
[05:45] 因為如果看這些美股的電子盤開盤
[05:48] 會覺得今天大概要有個200點300點
[05:51] 是很合理的下跌幅度
[05:52] 可是都沒有還漲了200多點
[05:54] 對因為早盤期只有反應
[05:56] 早盤期我覺得早上大概9點之前
[05:59] 看到有跌到200多點
[06:00] 然後臺股的開盤大概跌了100多點
[06:04] 到31,200多點之後
[06:06] 就馬上翻紅極
[06:08] 那盤中最高到31,800多點
[06:11] 又創了一個歷史新高
[06:12] 那當然主要工程來自於臺積電
[06:15] 所以我覺得目前來看
[06:16] 你說大盤指數臺階沒有出現轉落之前
[06:19] 那指數我覺得就是維持這種所謂金銀掌
[06:22] 甚至說好像感覺大家會講說
[06:24] 臺股是不是得了不會跌的病
[06:26] 但我覺得這個在短線來看
[06:28] 就是代表有點過熱啦
[06:29] 因為剛剛其實趙豪有跟大家分享到
[06:31] 現在大盤的成長真的有點熱絡
[06:33] 而且你不要忘記
[06:34] 臺股現在有三十幾檔股票被關
[06:36] 都是那種大市值的股票
[06:38] 所以這麼大的一個
[06:40] 所謂的很大的集團或群體被關的時候
[06:44] 還能滾出這麼大的量呢
[06:46] 代表我覺得現在
[06:46] 真的大家那種
[06:47] FOMO情緒
[06:48] 對
[06:49] 怕追不到股票
[06:51] 那怕別人股票
[06:52] 比我股票更強的那種情緒
[06:53] 我覺得非常的嚴重
[06:54] 所以你發現到
[06:55] 從大概
[06:56] 2026開年以來
[06:58] 尤其是越到這一個多禮拜的時間
[07:01] 每天漲停板加速越來越多
[07:03] 大概平均大概都50幾家
[07:04] 到70幾家
[07:05] 那一漲停下去的話
[07:07] 那種中低價股票
[07:08] 非常活潑的上漲
[07:09] 那我覺得這就代表說
[07:11] 散戶的一個追買情緒
[07:13] 相當的高
[07:14] 尤其是喜歡低價的股票
[07:16] 因為低價股票
[07:17] 就相對來看
[07:17] 比較好進出
[07:18] 那波動又大
[07:20] 那我覺得這個情況裡面
[07:21] 還是要提醒大家
[07:22] 就是說這個時間點
[07:23] 但指數我們講
[07:25] 臺階沒有跌之前
[07:26] 應該都還是有機會
[07:27] 維持金銀漲
[07:28] 但在個股的操作風險
[07:30] 就會越來越大
[07:31] 所以我覺得這個時候
[07:32] 但不能夠說
[07:34] 你應該要把股票
[07:35] 大部分開始做一個
[07:36] 變現的動作
[07:37] 但我覺得這邊
[07:38] 你要去嚴控你的資金水位
[07:40] 既然市場有那種
[07:42] 比較瘋狂的情緒
[07:43] 那我覺得這邊你的現金
[07:45] 所謂就要同步做一些拉高的動作
[07:47] 目前指數最高
[07:48] 我們講到三萬一千八了
[07:50] 離三萬二非常接近
[07:51] 那我們會說過了三萬點之後
[07:54] 三萬一三萬二
[07:55] 好像就覺得沒有什麼
[07:56] 是
[07:56] 對因為那個萬點的整數關卡
[07:59] 整數關卡
[07:59] 的壓力都過了
[08:00] 大家覺得三萬一三萬二
[08:02] 就反正就是時間會慢慢
[08:03] 把它做一個推升的動作
[08:05] 但畢竟如果大家去看
[08:07] 所謂的KD指標
[08:08] 日KD周KD指標
[08:10] 都來到九十以上的超買區
[08:12] 那看所謂的均線乖離
[08:14] 從所謂的季線月線的乖離
[08:16] 大概都是近期的乖離率最大
[08:18] 所以我覺得這個時間點
[08:19] 當然就會呈現什麼
[08:20] 指標性的頓化
[08:22] 那也代表一件事情
[08:23] 現在的大盤就變成
[08:24] 它只能漲不能跌
[08:25] 如果一旦跌了又爆量
[08:28] 然後主流股又出現拉回的話
[08:29] 我覺得那個震盪幅度
[08:31] 或大家趕快想要獲利了結
[08:33] 下車的幅度就變得更快
[08:34] 所以還是要提醒大家
[08:35] 就是說這邊看起來
[08:37] 如果你手上多單比較多
[08:39] 那線股比較多的
[08:40] 那我覺得其實你逢高
[08:42] 可以開始做一些豁了結
[08:43] 儘量是能夠持贏保泰
[08:45] 那但是個股輪動裡面
[08:47] 我覺得還是會有它的機會存在
[08:49] 所以今天盤面上
[08:50] 我們跟大家講
[08:51] 如果大家看大盤指數
[08:53] 看貴買指數
[08:54] 其實都是在創
[08:55] 劣勢新高或不斷新高
[08:56] 所以在沒有轉落之前
[08:58] 但我們也不能夠烏鴉嘴說
[08:59] 一定會跌
[09:00] 但是就是從這個盤面上的
[09:03] 輪動的現象來跟大家講
[09:05] 今天我覺得大家心裡面有一個
[09:07] 就是類似所謂的
[09:09] 價值上的迷思
[09:11] 也就是說
[09:12] 你會發現到像
[09:13] 禮拜五我記得看到
[09:14] 那個偽創的財報出來之後
[09:17] 那網友就紛紛在討論
[09:19] 這個什麼
[09:20] 買進偽創身心湊創
[09:23] 然後買進這個群創
[09:25] 然後我忘了後面那句是什麼
[09:27] 都是創
[09:29] 可是現在狀況差很大
[09:31] 對
[09:31] 跟之前是反過來嗎
[09:33] 因為群創當然這一次
[09:34] 我想他是在
[09:35] 整個整體的轉型
[09:37] 說到市場肯定了
[09:38] 但是我也必須講
[09:39] 連群創自己內部
[09:41] 都在講說
[09:41] 我們是一直在轉型
[09:42] 但是不是一天兩天的事情
[09:44] 已經是兩年三年的事情
[09:46] 那為什麼市場突然這樣
[09:47] 你可以告訴我嗎
[09:48] 那我就想說
[09:49] 也沒有怎樣
[09:50] 就是資金現在想這樣
[09:52] 對
[09:52] 就是市場的共識
[09:53] 就是一個有趣的事情
[09:54] 它一直在轉型
[09:55] 我也認同它的轉型
[09:56] 甚至我會建議說
[09:58] 他們可以的話
[09:58] 最好再減資
