[00:00] 歡迎收聽趙華與古貨仔第1021集1021
[00:10] 今天是2026年的1月20號
[00:14] 臺股真的得了不會跌的病
[00:17] 怎麼這麼講
[00:18] 今天開盤是跌的
[00:19] 今天也覺得理應要跌一下
[00:21] 為什麼呢
[00:22] 昨晚美股是沒開盤的
[00:24] 不過因為我們知道前一天
[00:25] 其實美股的電子企業是表現不好的
[00:28] 那昨天台股已經沒有跌了
[00:30] 今天為什麼覺得
[00:31] 本來應該跌下
[00:32] 其實有啦
[00:33] 每次都是開盤跌一下
[00:34] 但中場又收漲了120點
[00:37] 因為昨天南亞克開法說
[00:39] 南亞克的法說
[00:41] 說實在話
[00:42] 他對今年第一季的展望
[00:43] 是低於內外資所有的預期
[00:46] 就是他對漲價的幅度
[00:49] QOQ
[00:49] 就季度比季度
[00:51] 他認為大概漲價25%
[00:53] 可是外資其實有最樂觀
[00:55] 看到快要60%的漲價幅度
[00:57] 所以這個落差很大
[00:59] 那今天我看到報告也非常有趣
[01:01] 其實有外資直接就把他今年的EPS南亞科
[01:04] 從五十幾塊砍到二九塊
[01:06] 但是今天南亞科
[01:08] 他雖然盤中跌停
[01:10] 但後來拉起來
[01:11] 以及昨天利基電
[01:12] 這個很厲害的發了一個重訊
[01:15] 告訴大家跟美光的賣場協議
[01:17] 其實還沒有完全談妥
[01:19] 那利基電今天也是開黑但收漲停
[01:22] 好總之
[01:23] 本來在一些環境的因素下
[01:25] 會覺得今天應該要修正一下
[01:27] 讓大家也許也可以思考一下
[01:29] 如何重新上車
[01:30] 但後來不給機會
[01:32] 連記憶體都不見得全部都大跌
[01:34] 還蠻多都拉紅的
[01:36] 所以今天的盤呢
[01:37] 又是一個創下收盤高
[01:39] 盤中新高是沒有過
[01:41] 昨天的盤中新高
[01:42] 那臺積電呢
[01:44] 今天是來到了1775
[01:46] 跟昨天差五塊錢
[01:47] 昨天是1780
[01:48] 總之今天在貴買的部分
[01:50] 中小型股的表現
[01:51] 也都是算蠻好的
[01:52] 所以在這個樣的情況下
[01:55] 我有一個感受
[01:56] 因為今天連我們的行政助理都有來問我說
[02:00] 你們剛剛在講哪一檔股票
[02:02] 我就想我現在真實的感受到
[02:04] 身邊的人對於股票的熱度和興趣是真的進來了
[02:08] 那我今天也有在注意說所謂的融資餘額
[02:11] 就發現現在上市加上貴融資餘額是逼近5000億
[02:14] 本來呢
[02:15] 本來我想說這個數字好像還沒有過1999年
[02:19] 網路泡沫時的熱潮
[02:20] 那個時候是超過5000億的融資餘額
[02:23] 結果我們今天的來賓剛剛點醒我
[02:26] 不是這樣的
[02:26] 現在在市場裡的錢
[02:28] 遠遠比當時還要多
[02:29] 因為現在借錢的管道非常多
[02:32] 那現在我想
[02:33] 我真的會有點心急
[02:35] 是因為現在有很多
[02:36] 所謂右下角的股票
[02:37] 之前不會動的
[02:38] 現在照漲不悟
[02:39] 像今天這個什麼家金
[02:41] 在漲中心店
[02:43] 有沒有
[02:43] 重店裡面股性最牛的在漲
[02:46] 連跌了好一陣子的高價股窗戶
[02:49] 他今天也來一個漲停板
[02:50] 強茂尼克森
[02:52] 就是有很多那種
[02:54] 以前覺得你可能跟AI比不上關係的
[02:57] 現在也告訴你
[02:58] 這個跟定有關係
[02:59] 這個跟什麼有關係
[03:00] 都來了
[03:01] 臺坡今天漲停
[03:04] 又收一個驚奇的新高
[03:06] 種種的
[03:07] 熱門也漲
[03:08] 右下角也漲
[03:09] 大家的心情會越來越浮動
[03:10] 想要趕快來加入
[03:12] 我先來歡迎今天的來賓
[03:13] 今天的來賓
[03:14] 他一定可以幫你找到
[03:16] 現在還相對物美價廉的公司
[03:19] 今天來的是我們的
[03:20] 存股總編
[03:21] 富旭哥
[03:22] 趙華你好
[03:23] 聽眾朋友
[03:24] 大家好
[03:24] 好久不見
[03:25] 富士哥來上PROCESS
[03:26] 那上次有去講
[03:28] 你整個2026年的計劃
[03:30] 但目前聽起來
[03:31] 你2026年開展
[03:32] 即使現在看起來
[03:34] 有點曲抹亂舞
[03:35] 但你說你已經得到
[03:36] 覺得蠻好的成績了
[03:38] 對
[03:38] 2026年到現在
[03:40] 我的那個報酬率
[03:44] 大概是7點多
[03:46] 7點多
[03:47] 對7點多
[03:47] 那我2025年的
[03:49] 韓系報酬率是-6.1
[03:51] 等於1月的報酬
[03:53] 已經贏去年了
[03:54] 對已經贏去年一整年了
[03:57] 那我大家還不記得
[04:00] 我曾經在這個
[04:02] 造華這個podcast節目講說
[04:04] 我2026年一個投資關鍵字就是翻
[04:07] 那個等待我手上的價值股翻身
[04:11] 然後不要把那個
[04:13] 停利點設的高一點
[04:15] 就是一個細部的操作
[04:17] 那我也真的是秉持這樣的原則
[04:20] 沒有說看到賺了幾萬塊
[04:23] 一二十萬
[04:24] 好心動就把它賣了
[04:27] 假如賣了
[04:28] 我的群力證就賣飛了
[04:30] 因為現在交易量很熱
[04:32] 群力證我的今年以來
[04:35] 大概漲了15%
[04:37] 它現在是我第一大持股
[04:40] 因為今年蠻多認券股
[04:43] 看到這個交易量
[04:44] 動輒今天上市加上櫃
[04:45] 還是9000多億
[04:46] 真的很驚人
[04:47] 我第二道持股是地寶
[04:51] 地寶也因為關稅的原因
[04:54] 因為關稅調降
[04:56] 它是受惠的指標
[04:59] 甚至把市場
[05:01] 有點把它當成受惠的指標了
[05:03] 所以它大概今年以來
[05:05] 也漲了15%
[05:06] 這兩檔就佔我部位
[05:09] 大概將近40%
[05:11] 所以真的翻了起來
[05:13] 對就翻了起來
[05:14] 而且我都幾乎幾乎
[05:16] 只有少賣個一兩張
[05:18] 有時候就是手很癢這樣
[05:21] 但是完全的那個大部分
