[00:00] 歡迎收聽趙華宇古貨載第1022集1022集
[00:10] 今天是2026年的1月21號
[00:14] 臺股不會跌的病在今天算是痊癒了嗎
[00:17] 今天下跌了
[00:19] 今天盤中最高有跌到將近快600點
[00:21] 中場下跌了513點
[00:24] 那今天的量能上市櫃如果加在一起的話
[00:28] 又是一個破照的量能
[00:30] 這個破照的量能
[00:32] 應該還創下了新高
[00:33] 如果上市加上櫃的話
[00:35] 上櫃今天是一個爆量2000多億
[00:37] 真的很驚人
[00:38] 以前光是一個總量2000多億
[00:41] 我們都覺得是爆天亮了
[00:42] 現在光是一個上櫃量
[00:43] 可以到2000多億
[00:45] 那今天我想
[00:46] 大家會想
[00:48] 這個終於跌了
[00:49] 前兩天就已經有一些
[00:50] 紛紛擾擾沒有跌
[00:51] 是不是在今天
[00:52] 就乾脆一次的發作
[00:53] 其實今天早盤
[00:54] 剛開盤的時候
[00:55] 臺股還蠻強的
[00:56] 還撐在那邊
[00:57] 還一度收斂到只有跌
[00:59] 大概八九十點
[01:00] 我想說如果今天還翻紅
[01:01] 這個病得不輕啊
[01:03] 不過後來的話是盤中開始下跌
[01:06] 而且量有放出來
[01:07] 也會有一些人踩人的現象
[01:10] 是因為記憶體今天又成為一個團滅的重災區
[01:13] 那這個上面說實話籌碼真的非常多
[01:16] 即使是被分盤交易
[01:17] 還是非常多人熱衷在交易記憶體
[01:20] 所以它就變成今天的重災區
[01:23] 加上今天是一個期貨的結算日
[01:25] 所以很多人如果去看
[01:27] 記憶體的個股期會發現
[01:29] 這個個股期幾乎都是壓在最低點
[01:31] 去做結算
[01:32] 這個很有趣
[01:34] 這在籌碼上面有一些些的
[01:35] 好玩的地方
[01:37] 但是我覺得對於一般的投資人
[01:39] 可能最想知道的是
[01:40] 是不是跌停的記憶體就可以減
[01:43] 那除了記憶體
[01:44] 盤面上今天還是有熱鬧的
[01:46] 例如說自從國防部公佈
[01:48] 有1.25兆的軍購案之後
[01:50] 今天軍工突然就來
[01:52] 昨天還小小轉強
[01:54] 今天有幾檔是漲停板的
[01:56] 重電股
[01:57] 今天也是繼續的續強
[01:59] 今天漲停的是雅力
[02:00] 每天都換人漲
[02:02] 那南電
[02:03] 載板裡面
[02:03] 南電一直獨秀的跑出來
[02:05] 但是說實話
[02:06] 載板三雄也是一個輪流漲
[02:08] CPO
[02:09] 連電參戰之後
[02:10] 整個成熟製程好像是爆噴
[02:12] 那CPO也有這種
[02:13] 所謂從低檔回溫的味道
[02:15] 所以你說盤面上熱不熱鬧
[02:18] 還是蠻多熱鬧的股票
[02:19] 只是今天當然整體的體感
[02:21] 相對之下比較差
[02:23] 那跌500多點夠了嗎
[02:25] 起因當然是這個丹麥
[02:27] 和川普之間的糾紛
[02:30] 因為大家知道
[02:30] 川普想要買下格林蘭
[02:32] 所以就對這個
[02:34] 阻止的歐盟八國
[02:37] 提高了跌價關稅10%
